"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-01-01 00:00:00",16,8,4,1,21,,
"2019-01-02 00:00:00",18,16,6,1,18,,
"2019-01-03 00:00:00",18,13,5,4,18,,
"2019-01-04 00:00:00",12,11,3,3,18,,
"2019-01-05 00:00:00",23,12,11,6,22,,
"2019-01-06 00:00:00",16,12,2,3,18,,
"2019-01-07 00:00:00",14,18,6,6,17,57.142857142857146,
"2019-01-08 00:00:00",15,13,4,2,16,57.142857142857146,
"2019-01-09 00:00:00",21,7,1,2,17,55.57142857142857,
"2019-01-10 00:00:00",14,13,0,2,11,53,
"2019-01-11 00:00:00",22,7,5,2,20,54.285714285714285,
"2019-01-12 00:00:00",12,7,5,3,13,49.42857142857143,
"2019-01-13 00:00:00",21,10,4,2,12,49.142857142857146,
"2019-01-14 00:00:00",11,11,5,3,18,47.285714285714285,
"2019-01-15 00:00:00",14,10,3,4,18,47.142857142857146,
"2019-01-16 00:00:00",19,13,5,6,21,49.42857142857143,
"2019-01-17 00:00:00",18,8,0,1,18,50.142857142857146,
"2019-01-18 00:00:00",13,12,4,3,17,49.142857142857146,
"2019-01-19 00:00:00",20,13,7,2,14,51.42857142857143,
"2019-01-20 00:00:00",21,9,2,0,21,52,
"2019-01-21 00:00:00",12,8,6,1,13,50.857142857142854,
"2019-01-22 00:00:00",17,6,2,3,21,50.857142857142854,
"2019-01-23 00:00:00",17,7,4,2,18,48.57142857142857,
"2019-01-24 00:00:00",13,7,6,2,13,48,
"2019-01-25 00:00:00",10,4,6,4,9,45.714285714285715,
"2019-01-26 00:00:00",24,11,6,5,24,47.714285714285715,
"2019-01-27 00:00:00",21,7,4,0,12,46.42857142857143,
"2019-01-28 00:00:00",14,12,3,4,18,48,
"2019-01-29 00:00:00",16,10,4,5,18,48.57142857142857,
"2019-01-30 00:00:00",19,10,2,4,11,48.285714285714285,
"2019-01-31 00:00:00",23,14,3,2,22,51.57142857142857,
"2019-02-01 00:00:00",15,9,6,5,13,53.714285714285715,
"2019-02-02 00:00:00",27,13,2,3,10,51.57142857142857,
"2019-02-03 00:00:00",21,5,3,1,28,53.57142857142857,
"2019-02-04 00:00:00",15,18,4,4,14,54.142857142857146,
"2019-02-05 00:00:00",17,11,2,3,18,53.857142857142854,
"2019-02-06 00:00:00",21,10,1,1,19,54.714285714285715,
"2019-02-07 00:00:00",19,7,5,1,18,52.714285714285715,
"2019-02-08 00:00:00",9,10,5,3,12,51.42857142857143,
"2019-02-09 00:00:00",23,6,3,4,17,51.142857142857146,
"2019-02-10 00:00:00",21,15,10,0,19,52.142857142857146,
"2019-02-11 00:00:00",12,14,8,2,19,52.142857142857146,
"2019-02-12 00:00:00",13,11,5,3,16,51.714285714285715,
"2019-02-13 00:00:00",20,17,5,4,15,53,
"2019-02-14 00:00:00",20,7,0,3,12,51.857142857142854,
"2019-02-15 00:00:00",14,16,4,3,18,54.142857142857146,
"2019-02-16 00:00:00",25,14,8,2,22,56.714285714285715,
"2019-02-17 00:00:00",18,8,5,5,22,55.714285714285715,
"2019-02-18 00:00:00",14,12,8,5,15,55.57142857142857,
"2019-02-19 00:00:00",19,10,2,5,19,56.57142857142857,
"2019-02-20 00:00:00",16,13,4,6,13,55.285714285714285,
"2019-02-21 00:00:00",18,6,5,2,11,55.285714285714285,
"2019-02-22 00:00:00",11,9,6,6,17,54.42857142857143,
"2019-02-23 00:00:00",24,11,1,5,11,51.714285714285715,
"2019-02-24 00:00:00",18,8,4,1,27,51.714285714285715,
