"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-01-01 00:00:00",1237671,319056,38378,5567,1141463,,
"2019-01-02 00:00:00",1086489,867667,50050,0,776236,,
"2019-01-03 00:00:00",883130,882606,26039,6316,884041,,
"2019-01-04 00:00:00",574963,488041,10705,11512,1579891,,
"2019-01-05 00:00:00",1383134,349471,123909,36584,1370689,,
"2019-01-06 00:00:00",1061692,608818,25649,8968,952788,,
"2019-01-07 00:00:00",835240,911741,23460,16831,1053540,2804621.4285714286,
"2019-01-08 00:00:00",931901,485490,33966,10121,484817,2690930,
"2019-01-09 00:00:00",1314981,386448,1114,11168,643834,2630516.4285714286,
"2019-01-10 00:00:00",652244,931065,0,3541,754716,2581864.1428571427,
"2019-01-11 00:00:00",1461439,355973,21479,10480,1113796,2624443.4285714286,
"2019-01-12 00:00:00",674149,209253,2739,8178,342195,2334833,
"2019-01-13 00:00:00",1282931,531146,27037,2756,788532,2331188.1428571427,
"2019-01-14 00:00:00",668039,405859,24827,6674,1189427,2253190,
"2019-01-15 00:00:00",834069,704242,19436,9085,584945,2282544.714285714,
"2019-01-16 00:00:00",1090528,458071,16063,25687,818881,2289928.1428571427,
"2019-01-17 00:00:00",848762,448720,0,3706,609656,2228396.1428571427,
"2019-01-18 00:00:00",738952,434255,20663,3780,789751,2089001.142857143,
"2019-01-19 00:00:00",1332472,446716,64142,6620,270568,2215287.5714285714,
"2019-01-20 00:00:00",1355443,344341,15509,0,814092,2200570.5714285714,
"2019-01-21 00:00:00",599013,355371,41845,2852,484254,2084643.4285714286,
"2019-01-22 00:00:00",1044679,307093,3838,8962,914471,2102824.4285714286,
"2019-01-23 00:00:00",939783,315096,23031,6506,635510,2032923.7142857143,
"2019-01-24 00:00:00",551287,345921,32444,8017,509278,1966652.857142857,
"2019-01-25 00:00:00",568904,266093,31351,20536,673783,1905690.5714285714,
"2019-01-26 00:00:00",1285739,729749,44459,8446,674638,1994620.7142857143,
"2019-01-27 00:00:00",1439116,516793,52458,0,397046,1976910.7142857143,
"2019-01-28 00:00:00",766996,546915,518,8922,963446,2091690.7142857143,
"2019-01-29 00:00:00",841680,517343,51264,15084,1195237,2140485.4285714286,
"2019-01-30 00:00:00",1222711,548781,33510,7364,763520,2234194.1428571427,
"2019-01-31 00:00:00",1058257,667720,23847,6730,813904,2394695.8571428573,
"2019-02-01 00:00:00",962955,614661,20999,25117,538712,2480664.285714286,
"2019-02-02 00:00:00",1539689,821110,741,5173,586262,2510656.4285714286,
"2019-02-03 00:00:00",1356850,120580,7463,4885,1786080,2635005.714285714,
"2019-02-04 00:00:00",915187,489295,53415,10307,740538,2623855.1428571427,
"2019-02-05 00:00:00",1107230,658026,28286,8195,468369,2573783.714285714,
"2019-02-06 00:00:00",1078540,378706,11556,4487,978074,2555994.714285714,
"2019-02-07 00:00:00",1051269,192525,39343,289,1244427,2549908.1428571427,
"2019-02-08 00:00:00",532949,471019,37763,6228,619482,2479193.285714286,
"2019-02-09 00:00:00",1231273,256934,2484,30164,1059136,2425909.8571428573,
"2019-02-10 00:00:00",1720987,692424,62839,0,1293220,2496425.714285714,
"2019-02-11 00:00:00",645614,1109174,36119,3810,803467,2552060.285714286,
"2019-02-12 00:00:00",760014,485692,25244,11237,613928,2498633.1428571427,
"2019-02-13 00:00:00",1239770,876561,8320,12772,364632,2505874.714285714,
"2019-02-14 00:00:00",1236838,385225,0,13596,420622,2438507.1428571427,
"2019-02-15 00:00:00",652996,857997,38840,14630,1061438,2575430,
"2019-02-16 00:00:00",1537283,786626,37753,8061,856396,2667734,
"2019-02-17 00:00:00",1143634,351749,25739,15335,1108793,2507131.4285714286,
"2019-02-18 00:00:00",937004,645354,70901,14457,1180080,2542790.285714286,
"2019-02-19 00:00:00",1266259,409638,2236,26570,692534,2614378.8571428573,
"2019-02-20 00:00:00",1004736,411724,27105,17216,599821,2551314.1428571427,
"2019-02-21 00:00:00",1093966,311919,17455,4576,581880,2544673.714285714,
"2019-02-22 00:00:00",514962,195889,43413,27434,983672,2421740.8571428573,
"2019-02-23 00:00:00",1489469,551534,6711,8679,554574,2333861.8571428573,
"2019-02-24 00:00:00",1386213,457302,12741,10184,1564901,2446160.5714285714,
"2019-02-25 00:00:00",1152055,871186,10013,4643,398089,2387330.5714285714,
"2019-02-26 00:00:00",799611,390097,9589,6095,1059027,2368356.5714285714,
"2019-02-27 00:00:00",1053881,274736,26014,5165,570555,2349749.285714286,
"2019-02-28 00:00:00",924057,431077,15251,0,959783,2395516.5714285714,
"2019-03-01 00:00:00",636350,523095,30928,0,548841,2391779.714285714,
"2019-03-02 00:00:00",1361999,604988,8162,8100,975347,2441441.1428571427,
"2019-03-03 00:00:00",1094353,187741,33519,30650,1448272,2350468.714285714,
"2019-03-04 00:00:00",316082,240045,7816,1971,563478,2163812.4285714286,
"2019-03-05 00:00:00",913956,414948,14833,19006,872339,2159621.5714285714,
"2019-03-06 00:00:00",1564306,649162,6279,5160,525494,2276771.5714285714,
"2019-03-07 00:00:00",683925,506570,6712,15579,844547,2237795.1428571427,
"2019-03-08 00:00:00",485433,425226,12150,7861,908151,2252025,
"2019-03-09 00:00:00",1419001,272898,38015,24460,897279,2208176,
"2019-03-10 00:00:00",1178247,426901,46013,9289,1299939,2231869.5714285714,
"2019-03-11 00:00:00",1078353,308284,30788,6360,833127,2392943.714285714,
"2019-03-12 00:00:00",635513,556368,16947,656,1101913,2403845.714285714,
"2019-03-13 00:00:00",1044121,122955,26687,5334,865124,2305820.1428571427,
