"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-01-01 00:00:00",8,25,3,2,12,,
"2019-01-02 00:00:00",3,8,8,1,4,,
"2019-01-03 00:00:00",7,37,2,2,16,,
"2019-01-04 00:00:00",7,21,2,1,11,,
"2019-01-05 00:00:00",5,31,3,3,22,,
"2019-01-06 00:00:00",4,12,1,2,8,,
"2019-01-07 00:00:00",12,26,4,2,11,46.57142857142857,
"2019-01-08 00:00:00",3,19,3,0,10,44.42857142857143,
"2019-01-09 00:00:00",11,40,2,1,15,50.857142857142854,
"2019-01-10 00:00:00",4,24,1,2,8,47.285714285714285,
"2019-01-11 00:00:00",5,38,8,3,21,52,
"2019-01-12 00:00:00",4,12,3,1,8,46.857142857142854,
"2019-01-13 00:00:00",6,29,2,0,16,50.57142857142857,
"2019-01-14 00:00:00",10,31,7,1,12,51.42857142857143,
"2019-01-15 00:00:00",4,23,3,3,10,52.57142857142857,
"2019-01-16 00:00:00",10,30,2,2,16,51.285714285714285,
"2019-01-17 00:00:00",5,10,1,1,12,49.857142857142854,
"2019-01-18 00:00:00",5,22,2,4,10,45.285714285714285,
"2019-01-19 00:00:00",2,16,3,1,6,45.285714285714285,
"2019-01-20 00:00:00",11,27,3,2,16,46.142857142857146,
"2019-01-21 00:00:00",6,20,4,2,14,44,
"2019-01-22 00:00:00",5,20,1,2,11,43.42857142857143,
"2019-01-23 00:00:00",11,20,1,0,12,41.142857142857146,
"2019-01-24 00:00:00",2,22,0,1,12,42.285714285714285,
"2019-01-25 00:00:00",8,22,4,0,12,42.714285714285715,
"2019-01-26 00:00:00",5,27,3,1,6,44.714285714285715,
"2019-01-27 00:00:00",6,32,4,1,18,45,
"2019-01-28 00:00:00",8,31,5,2,10,46.42857142857143,
"2019-01-29 00:00:00",7,28,2,1,9,47.57142857142857,
"2019-01-30 00:00:00",4,35,4,3,15,50,
"2019-01-31 00:00:00",4,25,2,0,10,50.57142857142857,
"2019-02-01 00:00:00",4,20,3,0,8,49,
"2019-02-02 00:00:00",7,23,3,3,8,49.285714285714285,
"2019-02-03 00:00:00",7,24,1,1,6,46.142857142857146,
"2019-02-04 00:00:00",12,25,5,0,10,45.57142857142857,
"2019-02-05 00:00:00",6,27,2,2,9,45.42857142857143,
