"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-01-01 00:00:00",226523,1169945,17135,5989,438014,,
"2019-01-02 00:00:00",109301,437483,74129,0,553937,,
"2019-01-03 00:00:00",177908,2218651,36586,13991,1127282,,
"2019-01-04 00:00:00",166532,1173814,3649,4762,515879,,
"2019-01-05 00:00:00",64718,1737393,34136,3772,2008200,,
"2019-01-06 00:00:00",102893,750789,16147,0,370394,,
"2019-01-07 00:00:00",373706,1991913,25875,0,390634,2334584.8571428573,
"2019-01-08 00:00:00",70243,885405,4605,0,444325,2269866.4285714286,
"2019-01-09 00:00:00",248481,1993049,19370,0,1423851,2628423.8571428573,
"2019-01-10 00:00:00",107748,1020089,1662,10383,483394,2349689.285714286,
"2019-01-11 00:00:00",122252,2207349,86773,6688,1651975,2665460.8571428573,
"2019-01-12 00:00:00",37281,707658,18814,2729,347545,2274862,
"2019-01-13 00:00:00",318114,2597739,15345,0,1247018,2694575.1428571427,
"2019-01-14 00:00:00",203507,2733419,76993,4736,1228634,2903883.8571428573,
"2019-01-15 00:00:00",73309,1635362,29284,13324,677794,3050240.285714286,
"2019-01-16 00:00:00",247643,1354867,0,7053,868942,2877919.5714285714,
"2019-01-17 00:00:00",129413,654399,36975,11594,1016413,2910136.5714285714,
"2019-01-18 00:00:00",82860,820757,37200,17576,1014995,2609901,
"2019-01-19 00:00:00",27126,975860,34781,6652,733700,2704771.5714285714,
"2019-01-20 00:00:00",214601,1359435,24484,0,752134,2443691.285714286,
"2019-01-21 00:00:00",264361,1148962,49176,8923,615957,2135132.714285714,
"2019-01-22 00:00:00",124821,1226564,2096,0,1666778,2219588,
"2019-01-23 00:00:00",491138,1091057,1911,0,530383,2167585.4285714286,
"2019-01-24 00:00:00",9957,1209923,0,0,769021,2187600.4285714286,
"2019-01-25 00:00:00",98757,1208414,24063,0,516535,2169654.714285714,
"2019-01-26 00:00:00",133148,1675768,24789,2183,648508,2270551.1428571427,
"2019-01-27 00:00:00",146520,1764901,35784,0,1804652,2470723,
"2019-01-28 00:00:00",258590,2311610,36806,4991,1038470,2694021.285714286,
"2019-01-29 00:00:00",224552,1450575,15317,0,477559,2572270.285714286,
"2019-01-30 00:00:00",155005,1420954,42233,2908,1115177,2661097.5714285714,
"2019-01-31 00:00:00",76914,1324466,12769,0,626876,2668544,
"2019-02-01 00:00:00",62078,1189494,15973,0,336931,2633788,
"2019-02-02 00:00:00",241766,1034733,65861,0,875863,2595763.1428571427,
"2019-02-03 00:00:00",146255,1436274,0,0,352986,2336285.714285714,
"2019-02-04 00:00:00",385949,1347019,26885,0,1038709,2214585,
"2019-02-05 00:00:00",130200,857318,26033,11873,522308,2125974.714285714,
"2019-02-06 00:00:00",113117,690462,20749,20951,446335,1919593.857142857,
"2019-02-07 00:00:00",140259,1378249,13732,3243,1313481,2035013.7142857143,
