"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-01-01 00:00:00",56,47,15,7,77,,
"2019-01-02 00:00:00",34,41,11,6,65,,
"2019-01-03 00:00:00",40,30,10,5,68,,
"2019-01-04 00:00:00",34,43,5,6,62,,
"2019-01-05 00:00:00",41,44,13,6,87,,
"2019-01-06 00:00:00",41,40,10,4,50,,
"2019-01-07 00:00:00",49,38,10,11,67,167.57142857142858,
"2019-01-08 00:00:00",50,42,16,3,64,163.71428571428572,
"2019-01-09 00:00:00",39,34,7,8,67,163.42857142857142,
"2019-01-10 00:00:00",45,35,20,9,73,167.57142857142858,
"2019-01-11 00:00:00",48,31,12,3,59,168,
"2019-01-12 00:00:00",44,39,12,10,80,167.14285714285714,
"2019-01-13 00:00:00",39,48,10,4,57,169,
"2019-01-14 00:00:00",46,45,11,3,76,169.85714285714286,
"2019-01-15 00:00:00",38,37,20,8,61,168.28571428571428,
"2019-01-16 00:00:00",43,39,12,5,72,170.57142857142858,
"2019-01-17 00:00:00",45,34,12,6,81,170,
"2019-01-18 00:00:00",38,40,12,4,75,172.28571428571428,
"2019-01-19 00:00:00",48,35,18,7,57,169.42857142857142,
"2019-01-20 00:00:00",43,59,13,5,71,174.14285714285714,
"2019-01-21 00:00:00",51,46,12,2,62,173,
"2019-01-22 00:00:00",45,42,11,9,67,174.42857142857142,
"2019-01-23 00:00:00",45,52,14,8,54,174.71428571428572,
"2019-01-24 00:00:00",43,28,11,7,66,171.42857142857142,
"2019-01-25 00:00:00",33,52,8,6,80,172.85714285714286,
"2019-01-26 00:00:00",32,34,17,5,68,171.57142857142858,
"2019-01-27 00:00:00",49,50,11,8,58,169.42857142857142,
"2019-01-28 00:00:00",37,41,10,3,51,165,
"2019-01-29 00:00:00",47,44,9,0,85,166.57142857142858,
"2019-01-30 00:00:00",43,58,11,5,74,169.14285714285714,
"2019-01-31 00:00:00",48,41,14,7,63,171.71428571428572,
"2019-02-01 00:00:00",34,45,15,1,78,170.85714285714286,
"2019-02-02 00:00:00",42,38,12,4,60,170.85714285714286,
"2019-02-03 00:00:00",32,43,13,9,57,167.71428571428572,
"2019-02-04 00:00:00",40,42,17,5,73,172.71428571428572,
"2019-02-05 00:00:00",47,47,19,7,67,173,
"2019-02-06 00:00:00",48,42,11,7,64,170.28571428571428,
"2019-02-07 00:00:00",43,39,9,5,64,168.42857142857142,
"2019-02-08 00:00:00",31,34,15,16,73,167.85714285714286,
"2019-02-09 00:00:00",46,36,18,11,84,173.42857142857142,
