"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-01-01 00:00:00",1317693,3059194,90466,5085,3784502,,
"2019-01-02 00:00:00",1054030,2509210,45320,12055,3876315,,
"2019-01-03 00:00:00",1206031,2121409,62542,13748,2612893,,
"2019-01-04 00:00:00",1345748,2957164,26046,14000,3996192,,
"2019-01-05 00:00:00",1179068,2347697,65544,16503,4429628,,
"2019-01-06 00:00:00",1170789,2019584,46896,12423,2544791,,
"2019-01-07 00:00:00",1421855,1990580,46442,24044,4026624,7350303.714285715,
"2019-01-08 00:00:00",1784140,2430547,69984,943,2206425,7098175,
"2019-01-09 00:00:00",1089016,2055613,29731,9651,2402775,6825297.428571428,
"2019-01-10 00:00:00",1615081,1867566,98296,18991,2407241,6823947.714285715,
"2019-01-11 00:00:00",1753114,1580415,48932,0,2021483,6404632.428571428,
"2019-01-12 00:00:00",1300132,2702762,34305,25325,3107731,6280605.857142857,
"2019-01-13 00:00:00",987496,2765446,70760,10046,2789383,6398983.857142857,
"2019-01-14 00:00:00",1426285,3075667,28356,3878,3335314,6450405.857142857,
"2019-01-15 00:00:00",1160484,1552886,118660,25157,2145980,6237710.142857143,
"2019-01-16 00:00:00",1160221,2394365,95045,3190,3742110,6496016.571428572,
"2019-01-17 00:00:00",1598946,2068657,64008,10554,4103191,6758613.857142857,
"2019-01-18 00:00:00",1474213,2140576,40862,16051,2738831,6902412.428571428,
"2019-01-19 00:00:00",1427419,1702102,107469,24455,1702251,6587189.714285715,
"2019-01-20 00:00:00",1364105,3129808,81571,11261,2391574,6637931.142857143,
"2019-01-21 00:00:00",1450295,2839097,39601,10480,1842571,6396866.285714285,
"2019-01-22 00:00:00",1278408,2029041,62826,35521,3059606,6605756.714285715,
"2019-01-23 00:00:00",1218883,2548537,106575,14017,2674682,6486865.571428572,
"2019-01-24 00:00:00",1227525,1171536,59457,18315,2921991,6137360.857142857,
"2019-01-25 00:00:00",1234374,2974376,27144,7944,3150693,6277932.142857143,
"2019-01-26 00:00:00",1109499,1159504,74032,6367,2800907,6304591,
"2019-01-27 00:00:00",1434807,2442380,45954,21902,3458320,6365311.571428572,
"2019-01-28 00:00:00",1352548,2268358,33794,4487,2924408,6422675.714285715,
"2019-01-29 00:00:00",1337314,2419617,49695,0,3097848,6485400.571428572,
"2019-01-30 00:00:00",1366518,3380529,77922,1323,2479560,6591566.142857143,
"2019-01-31 00:00:00",1197355,1638534,58042,14011,3541762,6741691.857142857,
"2019-02-01 00:00:00",1238842,1566917,87332,7794,3889630,6655403.857142857,
"2019-02-02 00:00:00",1074080,2512622,47959,7000,2956455,6862233.571428572,
"2019-02-03 00:00:00",986198,2333666,51049,22560,4120549,6878041.857142857,
"2019-02-04 00:00:00",1237964,2440295,90707,13215,3255233,6942873.285714285,
"2019-02-05 00:00:00",1246790,2598457,61260,10873,2873690,6926672.428571428,
"2019-02-06 00:00:00",1308072,2390042,57831,22479,2977509,6848112.428571428,
"2019-02-07 00:00:00",1544136,2578526,55599,9825,1645788,6760136.857142857,
"2019-02-08 00:00:00",1172733,1753778,118139,18461,3334250,6703972,
"2019-02-09 00:00:00",1377346,1742459,94697,26564,3591388,6737448.857142857,
"2019-02-10 00:00:00",1752048,1978253,85748,37867,3356288,6694046.428571428,
"2019-02-11 00:00:00",1373062,2800027,33458,16409,2459714,6643368.571428572,
"2019-02-12 00:00:00",1468718,1870779,124824,6320,3065919,6607010.142857143,
"2019-02-13 00:00:00",1019053,2814410,70545,7136,3444516,6692685.428571428,
"2019-02-14 00:00:00",1559462,2434115,31893,974,2647637,6812715,
"2019-02-15 00:00:00",1387840,1628481,64896,7915,4223438,6943458.857142857,
"2019-02-16 00:00:00",1473135,2397317,73481,9369,1974667,6814246.857142857,
