"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-01-01 00:00:00",8,11,2,3,42,,
"2019-01-02 00:00:00",13,10,0,2,45,,
"2019-01-03 00:00:00",11,10,4,0,54,,
"2019-01-04 00:00:00",12,14,2,1,42,,
"2019-01-05 00:00:00",15,13,3,1,41,,
"2019-01-06 00:00:00",7,15,1,2,40,,
"2019-01-07 00:00:00",10,8,4,1,60,72.42857142857143,
"2019-01-08 00:00:00",8,10,8,1,42,72.85714285714286,
"2019-01-09 00:00:00",7,6,4,1,26,69.14285714285714,
"2019-01-10 00:00:00",10,8,6,2,43,67.71428571428571,
"2019-01-11 00:00:00",8,9,4,1,49,67.71428571428571,
"2019-01-12 00:00:00",8,10,6,0,42,66.71428571428571,
"2019-01-13 00:00:00",7,12,2,1,28,64.57142857142857,
"2019-01-14 00:00:00",8,6,4,5,43,62.142857142857146,
"2019-01-15 00:00:00",12,10,4,4,32,61.142857142857146,
"2019-01-16 00:00:00",10,19,6,1,37,65.28571428571429,
"2019-01-17 00:00:00",11,13,4,0,37,64.71428571428571,
"2019-01-18 00:00:00",11,7,1,0,38,62.714285714285715,
"2019-01-19 00:00:00",9,11,4,2,41,62.857142857142854,
"2019-01-20 00:00:00",11,14,5,2,50,67.42857142857143,
"2019-01-21 00:00:00",7,11,6,2,41,67.57142857142857,
"2019-01-22 00:00:00",8,8,2,3,43,67.85714285714286,
"2019-01-23 00:00:00",5,6,0,0,38,64.42857142857143,
"2019-01-24 00:00:00",6,9,1,0,35,62.42857142857143,
"2019-01-25 00:00:00",11,9,4,0,30,62,
"2019-01-26 00:00:00",10,12,3,0,47,62.714285714285715,
"2019-01-27 00:00:00",10,12,2,0,44,60.714285714285715,
"2019-01-28 00:00:00",11,12,3,3,35,60.285714285714285,
"2019-01-29 00:00:00",11,7,4,0,38,59.714285714285715,
"2019-01-30 00:00:00",7,14,4,2,44,62.857142857142854,
"2019-01-31 00:00:00",6,9,5,1,32,63.142857142857146,
"2019-02-01 00:00:00",8,8,3,0,39,63.714285714285715,
"2019-02-02 00:00:00",10,3,4,1,40,61.714285714285715,
"2019-02-03 00:00:00",6,9,6,2,42,61.285714285714285,
"2019-02-04 00:00:00",7,14,2,1,38,61,
"2019-02-05 00:00:00",9,18,1,3,35,61.857142857142854,
"2019-02-06 00:00:00",8,12,2,0,36,60,
"2019-02-07 00:00:00",8,17,1,5,39,62.42857142857143,
"2019-02-08 00:00:00",9,11,2,2,45,64,
"2019-02-09 00:00:00",6,10,4,0,50,65.71428571428571,
"2019-02-10 00:00:00",8,12,6,0,45,66.57142857142857,
"2019-02-11 00:00:00",7,9,1,2,30,64.71428571428571,
"2019-02-12 00:00:00",11,9,3,3,36,64.14285714285714,
"2019-02-13 00:00:00",3,13,2,1,40,64.28571428571429,
"2019-02-14 00:00:00",9,13,6,2,44,64.85714285714286,
"2019-02-15 00:00:00",10,16,5,2,40,65.42857142857143,
"2019-02-16 00:00:00",11,14,2,0,47,66,
"2019-02-17 00:00:00",4,9,2,0,34,62.857142857142854,
"2019-02-18 00:00:00",13,17,4,1,47,67.57142857142857,
"2019-02-19 00:00:00",8,10,7,2,38,68,
"2019-02-20 00:00:00",10,15,5,0,46,70.42857142857143,
"2019-02-21 00:00:00",9,18,1,3,53,71.85714285714286,
"2019-02-22 00:00:00",16,15,1,3,51,73.71428571428571,
"2019-02-23 00:00:00",12,10,6,1,56,75.28571428571429,
"2019-02-24 00:00:00",13,14,3,3,45,79.42857142857143,
"2019-02-25 00:00:00",10,9,2,0,34,75.57142857142857,
"2019-02-26 00:00:00",12,10,3,1,33,74.71428571428571,
"2019-02-27 00:00:00",1,16,0,1,30,70.71428571428571,
"2019-02-28 00:00:00",7,14,1,4,38,67.85714285714286,
"2019-03-01 00:00:00",8,10,3,3,55,66.85714285714286,
"2019-03-02 00:00:00",13,14,3,1,40,64.85714285714286,
"2019-03-03 00:00:00",7,14,1,3,48,64.14285714285714,
"2019-03-04 00:00:00",7,9,3,1,36,64.28571428571429,
"2019-03-05 00:00:00",14,12,3,2,47,67,
"2019-03-06 00:00:00",11,14,7,1,57,73,
"2019-03-07 00:00:00",4,10,3,1,35,71.42857142857143,
"2019-03-08 00:00:00",5,17,3,1,51,71.14285714285714,
"2019-03-09 00:00:00",15,10,3,1,61,73.85714285714286,
"2019-03-10 00:00:00",7,7,1,2,39,71.42857142857143,
"2019-03-11 00:00:00",8,11,1,1,26,70.14285714285714,
"2019-03-12 00:00:00",9,7,0,2,39,67.14285714285714,
"2019-03-13 00:00:00",12,15,3,1,47,65.42857142857143,
"2019-03-14 00:00:00",10,9,4,3,38,67,
"2019-03-15 00:00:00",6,11,3,4,39,65,
"2019-03-16 00:00:00",9,12,1,1,37,60.714285714285715,
"2019-03-17 00:00:00",12,12,3,2,50,64,
"2019-03-18 00:00:00",6,2,1,1,34,63.57142857142857,
"2019-03-19 00:00:00",12,10,2,2,39,64.71428571428571,
"2019-03-20 00:00:00",11,11,3,2,45,63.857142857142854,
