"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-01-01 00:00:00",191610,326461,10255,2898,2495676,,
"2019-01-02 00:00:00",547743,487020,0,2013,1680733,,
"2019-01-03 00:00:00",428426,360563,12144,0,2922246,,
"2019-01-04 00:00:00",573967,438669,22708,8512,1559196,,
"2019-01-05 00:00:00",557629,659561,2521,0,2151691,,
"2019-01-06 00:00:00",129019,490939,1799,7826,2487646,,
"2019-01-07 00:00:00",343721,226869,14350,2281,2479232,3089419.714285714,
"2019-01-08 00:00:00",363172,382677,58634,0,1089847,2927624.1428571427,
"2019-01-09 00:00:00",271559,281960,9307,0,1885463,2889164,
"2019-01-10 00:00:00",286487,189300,25189,12097,807159,2545857.4285714286,
"2019-01-11 00:00:00",315331,220227,4757,6926,1015141,2397190.1428571427,
"2019-01-12 00:00:00",235034,214084,31290,0,795232,2097795.5714285714,
"2019-01-13 00:00:00",374576,415932,5407,0,1585647,1992700.2857142857,
"2019-01-14 00:00:00",460797,122220,17756,4518,3009894,2071090.4285714286,
"2019-01-15 00:00:00",552642,113578,27156,13915,1447540,2108304.8571428573,
"2019-01-16 00:00:00",477913,583847,19872,0,2347453,2248418.4285714286,
"2019-01-17 00:00:00",353541,517151,10013,0,2146416,2492259.5714285714,
"2019-01-18 00:00:00",393980,269350,4546,0,2116818,2666875.5714285714,
"2019-01-19 00:00:00",313474,149061,15137,0,1566967,2776732.5714285714,
"2019-01-20 00:00:00",379462,623089,35572,3476,1627617,2817826,
"2019-01-21 00:00:00",281689,370999,59561,8883,357934,2455523.1428571427,
"2019-01-22 00:00:00",267049,378121,9020,6352,2228951,2560475,
"2019-01-23 00:00:00",265863,44838,0,0,2002254,2401027.8571428573,
"2019-01-24 00:00:00",123371,223192,17519,0,2050334,2313498.714285714,
"2019-01-25 00:00:00",435737,253029,34051,0,1493370,2232283.285714286,
"2019-01-26 00:00:00",409224,337253,9592,0,1890765,2318311.4285714286,
"2019-01-27 00:00:00",327753,617858,32752,0,2508779,2435158,
"2019-01-28 00:00:00",288592,369533,23678,9034,1126002,2540554.1428571427,
"2019-01-29 00:00:00",446134,375494,11055,0,2361125,2584027.4285714286,
"2019-01-30 00:00:00",198816,552539,11766,4234,1531906,2582071.285714286,
"2019-01-31 00:00:00",293004,368901,20187,2013,1806392,2592940.285714286,
"2019-02-01 00:00:00",282772,233110,16277,0,1851368,2616846.1428571427,
"2019-02-02 00:00:00",357447,126345,16182,2013,2494766,2666834.5714285714,
"2019-02-03 00:00:00",249022,205446,54444,0,1686854,2482352.1428571427,
"2019-02-04 00:00:00",336169,370599,8381,0,1010318,2469299,
"2019-02-05 00:00:00",384026,251039,0,7281,634799,2195490,
"2019-02-06 00:00:00",297577,373934,17196,0,1085360,2120462.1428571427,
"2019-02-07 00:00:00",244359,431909,4180,4219,1825098,2123214.5714285714,
"2019-02-08 00:00:00",302333,278857,3152,0,989152,2007495.5714285714,
"2019-02-09 00:00:00",217217,359963,37973,0,1709525,1911484.5714285714,
"2019-02-10 00:00:00",375324,527123,57873,0,2500360,2092186.7142857143,
"2019-02-11 00:00:00",393358,458930,0,0,1211492,2140517.285714286,
"2019-02-12 00:00:00",396885,406913,7862,8901,679577,2172373.714285714,
"2019-02-13 00:00:00",158819,428082,10900,0,949458,2139972.5714285714,
"2019-02-14 00:00:00",457266,416099,3740,341,1022426,2052844.857142857,
"2019-02-15 00:00:00",375536,456946,18448,341,1830094,2211112.1428571427,
"2019-02-16 00:00:00",500271,542967,6856,0,1968781,2310283.1428571427,
"2019-02-17 00:00:00",270852,340247,4178,0,973603,2042883.142857143,
"2019-02-18 00:00:00",392158,363023,14049,3877,1414823,2060618.7142857143,
"2019-02-19 00:00:00",328697,416404,27796,6764,977417,2097324.4285714286,
"2019-02-20 00:00:00",208880,370882,16227,0,760090,2070013,
"2019-02-21 00:00:00",236942,360272,2720,6324,931179,2018236.7142857143,
"2019-02-22 00:00:00",377270,521817,0,3736,1929967,2039868.857142857,
