"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-01-01 00:00:00",1018466,618654,112660,21900,1279775,,
"2019-01-02 00:00:00",1534924,227315,8536,37934,518306,,
"2019-01-03 00:00:00",555097,977689,39398,10829,804257,,
"2019-01-04 00:00:00",1044184,430139,3673,3430,759384,,
"2019-01-05 00:00:00",1218925,777548,4587,5567,628481,,
"2019-01-06 00:00:00",832089,664305,27559,0,314955,,
"2019-01-07 00:00:00",434155,711501,33826,5124,894303,2365641.1428571427,
"2019-01-08 00:00:00",1418046,452795,9552,16898,868355,2324811,
"2019-01-09 00:00:00",1303088,452256,21889,4875,824016,2364683.714285714,
"2019-01-10 00:00:00",748401,503278,34894,26878,961390,2348622.285714286,
"2019-01-11 00:00:00",883967,528275,23318,17440,930693,2369034.1428571427,
"2019-01-12 00:00:00",893912,657561,27263,2942,859363,2341310.4285714286,
"2019-01-13 00:00:00",744842,304922,7518,0,947238,2364969.285714286,
"2019-01-14 00:00:00",802733,290096,41096,14874,390131,2287829.4285714286,
"2019-01-15 00:00:00",1037320,245336,18425,0,749687,2185704.1428571427,
"2019-01-16 00:00:00",1374657,269480,5322,9853,1066528,2202806.285714286,
"2019-01-17 00:00:00",608352,192306,8528,13801,438824,2058087.857142857,
"2019-01-18 00:00:00",1029753,360190,17973,6270,705268,2020339.4285714286,
"2019-01-19 00:00:00",1032036,636038,6815,2186,910228,2041234.142857143,
"2019-01-20 00:00:00",584733,664293,100358,8850,468224,2015796.7142857143,
"2019-01-21 00:00:00",750272,547699,20432,4612,1099518,2142025.8571428573,
"2019-01-22 00:00:00",801358,881005,41126,14183,976455,2236791.4285714286,
"2019-01-23 00:00:00",1627659,415434,21363,3600,669317,2238439,
"2019-01-24 00:00:00",826662,732469,4047,0,672064,2377500.4285714286,
"2019-01-25 00:00:00",1049463,317355,1829,9663,571197,2353222.4285714286,
"2019-01-26 00:00:00",934706,553162,56752,3733,782587,2316599,
"2019-01-27 00:00:00",661159,443222,25446,12122,734973,2323808.4285714286,
"2019-01-28 00:00:00",908502,606223,3139,8983,1035275,2343749.4285714286,
"2019-01-29 00:00:00",804347,323897,38498,11186,600271,2210045.4285714286,
"2019-01-30 00:00:00",1837628,134450,6371,11452,589908,2187536.285714286,
"2019-01-31 00:00:00",600004,460599,7232,0,651995,2113906.1428571427,
"2019-02-01 00:00:00",1167244,472686,26335,0,350200,2123471.4285714286,
"2019-02-02 00:00:00",1340067,110529,34475,5596,897669,2131671,
"2019-02-03 00:00:00",788849,1035142,18620,289,513576,2200178.5714285714,
"2019-02-04 00:00:00",705471,74252,20135,18882,1261018,2131269.5714285714,
"2019-02-05 00:00:00",1352079,894237,32197,5572,978843,2343373.714285714,
"2019-02-06 00:00:00",1579166,847403,12647,24540,1274682,2508892.4285714286,
"2019-02-07 00:00:00",869491,625154,14297,15293,946325,2616139.4285714286,
"2019-02-08 00:00:00",1140934,730920,10451,7421,1180281,2766645.4285714286,
"2019-02-09 00:00:00",965900,875131,3541,14105,381014,2745410.1428571427,
"2019-02-10 00:00:00",1040039,676753,2737,9147,565842,2736559,
"2019-02-11 00:00:00",827992,788603,43808,14762,1011891,2823316.1428571427,
"2019-02-12 00:00:00",961515,557261,29631,15047,1333944,2771097.714285714,
"2019-02-13 00:00:00",1640663,333315,0,20230,983393,2662406.714285714,
"2019-02-14 00:00:00",452455,351874,33298,2120,613943,2517139.8571428573,
"2019-02-15 00:00:00",1268842,300266,16086,0,373904,2358438.285714286,
"2019-02-16 00:00:00",1120728,209918,29388,15573,660190,2329310.714285714,
"2019-02-17 00:00:00",1391568,116950,24354,5328,746841,2327956.8571428573,
"2019-02-18 00:00:00",605596,466052,9453,19526,898098,2229623.4285714286,
"2019-02-19 00:00:00",831623,431794,17297,5781,561868,2079761.2857142857,
"2019-02-20 00:00:00",1220269,587971,11526,0,850585,2035868.142857143,
"2019-02-21 00:00:00",1216587,585219,42574,16726,782342,2205833.4285714286,
"2019-02-22 00:00:00",987961,569943,29258,7361,1279196,2336493.8571428573,
"2019-02-23 00:00:00",1334848,699727,51106,18957,1050150,2496349.714285714,
"2019-02-24 00:00:00",765486,478194,0,17578,1024054,2496388.4285714286,
"2019-02-25 00:00:00",781551,520837,24293,3452,481337,2469638,
"2019-02-26 00:00:00",1139887,351029,34450,8206,603130,2510829.1428571427,
"2019-02-27 00:00:00",1383333,22638,11260,5366,735409,2437637.1428571427,
"2019-02-28 00:00:00",873440,630467,14264,9046,555574,2357543.285714286,
"2019-03-01 00:00:00",1019636,637326,13556,17758,1037578,2336419.5714285714,
"2019-03-02 00:00:00",1195473,674692,36065,27571,733565,2266787.8571428573,
"2019-03-03 00:00:00",1365695,597044,1737,13832,832481,2341856,
"2019-03-04 00:00:00",660315,482510,24117,8429,782340,2362747.285714286,
"2019-03-05 00:00:00",922559,385174,40899,0,926245,2382486.4285714286,
"2019-03-06 00:00:00",762038,605426,49483,6331,918383,2408723,
"2019-03-07 00:00:00",1054799,288857,14845,24461,1343904,2500733.714285714,
"2019-03-08 00:00:00",1290221,533453,2308,0,835181,2491492.1428571427,
"2019-03-09 00:00:00",470642,632112,62079,3034,1366030,2472425.1428571427,
"2019-03-10 00:00:00",866145,513748,18555,3066,826962,2389237.714285714,
"2019-03-11 00:00:00",414340,486258,47299,18427,997426,2390100.5714285714,
"2019-03-12 00:00:00",927741,531797,21105,4168,1169269,2444272.5714285714,
"2019-03-13 00:00:00",1568992,284551,1458,12963,500065,2448039.4285714286,
"2019-03-14 00:00:00",732226,624192,25822,13607,1234394,2434235.714285714,
"2019-03-15 00:00:00",1026372,371248,11245,25373,691391,2357731.1428571427,
"2019-03-16 00:00:00",907953,558461,41268,7282,449212,2276342.285714286,
"2019-03-17 00:00:00",983672,198385,33332,8151,624030,2221927,
"2019-03-18 00:00:00",898410,354130,14040,2811,435765,2184984.8571428573,
"2019-03-19 00:00:00",935164,674277,50966,10202,944202,2179375,
"2019-03-20 00:00:00",1796838,28921,1115,5851,1411842,2304594.5714285714,
"2019-03-21 00:00:00",631254,795918,5717,0,484700,2202787.1428571427,
"2019-03-22 00:00:00",725534,543497,13894,2875,570107,2164255.285714286,
"2019-03-23 00:00:00",1138010,483167,9031,6501,1036671,2265570.4285714286,
"2019-03-24 00:00:00",640262,435131,30214,7505,844695,2281318.5714285714,
"2019-03-25 00:00:00",752816,497320,29031,3456,903055,2349964.8571428573,
"2019-03-26 00:00:00",1100927,563851,38863,15640,879105,2347618.5714285714,
"2019-03-27 00:00:00",1307072,825749,1924,11721,299312,2233505.714285714,
"2019-03-28 00:00:00",619071,804382,20012,34438,729387,2274891.714285714,
