"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","30-day Moving Average","Prior Year: 30-day Moving Average"
"2019-01-01 00:00:00",3171870,6969141,140072,2756,1197957,,
"2019-01-02 00:00:00",3276218,7176376,193896,7000,1366654,,
"2019-01-03 00:00:00",2015030,6193684,252063,5521,2945052,,
"2019-01-04 00:00:00",2936524,6743415,153189,6326,1263370,,
"2019-01-05 00:00:00",3486574,6963048,176879,1258,2264810,,
"2019-01-06 00:00:00",2590776,5219573,156848,5530,1875921,,
"2019-01-07 00:00:00",3182185,8649426,192991,7830,2213283,,
"2019-01-08 00:00:00",2932308,8009616,189798,5809,946751,,
"2019-01-09 00:00:00",2168909,6731854,120464,3916,2401205,,
"2019-01-10 00:00:00",2483225,7144120,115253,4127,2163355,,
"2019-01-11 00:00:00",2041512,7070096,154981,10124,1085756,,
"2019-01-12 00:00:00",1643809,6115927,123925,12998,1396857,,
"2019-01-13 00:00:00",2818701,7388897,158583,2481,991464,,
"2019-01-14 00:00:00",2441065,6657521,228334,8127,1847600,,
"2019-01-15 00:00:00",1752827,5390627,138089,6892,1374861,,
"2019-01-16 00:00:00",3379119,6359306,120687,10274,1827923,,
"2019-01-17 00:00:00",3884613,6167333,204664,7765,1271670,,
"2019-01-18 00:00:00",2105201,8119189,153026,8487,2558405,,
"2019-01-19 00:00:00",3549555,4098471,130683,2462,1140305,,
"2019-01-20 00:00:00",2269913,7071020,107978,7843,1716930,,
"2019-01-21 00:00:00",2958525,6274443,118570,5875,1779070,,
"2019-01-22 00:00:00",1985313,6192365,146055,7900,2248254,,
"2019-01-23 00:00:00",2693289,7308145,171209,12425,1567636,,
"2019-01-24 00:00:00",3057623,5797584,151222,2977,1213119,,
"2019-01-25 00:00:00",2993732,6252970,155504,11400,1987682,,
"2019-01-26 00:00:00",2342602,5956861,181994,4284,1926433,,
"2019-01-27 00:00:00",1939443,5705573,101450,6966,1796841,,
"2019-01-28 00:00:00",1786980,5861676,156265,10758,2138759,,
"2019-01-29 00:00:00",1911194,6674726,92509,7034,1677280,,
"2019-01-30 00:00:00",1565652,7821225,81874,8470,938714,11044938.9,
"2019-01-31 00:00:00",1633065,4963591,157606,4977,2173163,10959958.866666667,
"2019-02-01 00:00:00",1742416,6697135,168837,7181,2222357,10920551.666666666,
"2019-02-02 00:00:00",2164042,5382886,120262,3072,2410397,10876194.833333334,
"2019-02-03 00:00:00",1199887,6965741,56630,7539,1526125,10831297.933333334,
"2019-02-04 00:00:00",1130365,3940831,105353,4252,1175577,10613424.366666667,
"2019-02-05 00:00:00",1885146,4268738,59398,7672,1225609,10533354.266666668,
"2019-02-06 00:00:00",1936986,5163109,62924,4096,1168390,10336346.933333334,
"2019-02-07 00:00:00",788949,5589487,61548,2868,1611826,10202026.733333332,
"2019-02-08 00:00:00",1874077,4742440,56373,1170,1547003,10095183.466666667,
"2019-02-09 00:00:00",1997393,6670793,85611,1625,1556844,10041922.233333332,
"2019-02-10 00:00:00",1275286,5526458,79302,4395,1203368,9966133.266666668,
"2019-02-11 00:00:00",1492779,5844155,126604,12733,1591940,9958623.166666666,
"2019-02-12 00:00:00",2402088,7576720,146269,5261,1975011,9983464.233333332,
"2019-02-13 00:00:00",2028629,6366595,108570,7945,1889540,9957418.6,
"2019-02-14 00:00:00",1550875,8114941,127710,18659,2355543,10074232.9,
"2019-02-15 00:00:00",2040311,4956666,106156,6203,1183607,9960753.833333334,
"2019-02-16 00:00:00",2478478,7189171,139805,9889,2008679,9970419.9,
"2019-02-17 00:00:00",1495157,5757287,123826,3297,1538338,9836206.1,
"2019-02-18 00:00:00",2253395,6270617,108551,6738,2251277,9901843.1,
"2019-02-19 00:00:00",1981057,6149485,133926,5815,1323224,9849170.4,
"2019-02-20 00:00:00",2275687,7033445,170768,3526,1555911,9845932.266666668,
"2019-02-21 00:00:00",1929218,5924139,157492,3907,1856853,9822323.1,
"2019-02-22 00:00:00",2201978,7678456,113237,5253,1798244,9823805.233333332,
"2019-02-23 00:00:00",2156822,7337883,114758,14375,997798,9837108.866666667,
"2019-02-24 00:00:00",2512158,5435802,109814,5031,972879,9758255.466666667,
"2019-02-25 00:00:00",1321365,5319049,131131,11677,2231891,9711686.766666668,
"2019-02-26 00:00:00",2103678,6393889,159553,5013,992156,9715154.133333333,
"2019-02-27 00:00:00",1915161,6772183,154139,3323,2233107,9752603.5,
"2019-02-28 00:00:00",2166103,6417467,172261,6426,1660242,9754595.733333332,
"2019-03-01 00:00:00",1991616,5889662,167140,3432,1743084,9733895.833333334,
"2019-03-02 00:00:00",2606987,8295158,197462,4585,1243241,9847730.233333332,
"2019-03-03 00:00:00",1745431,6597058,113919,5495,2238482,9843145.3,
