"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","30-day Moving Average","Prior Year: 30-day Moving Average"
"2019-01-01 00:00:00",2820937,1642967,143682,9186,285377,,
"2019-01-02 00:00:00",3061021,2239377,103663,11901,417030,,
"2019-01-03 00:00:00",2764396,2495737,150108,13238,481879,,
"2019-01-04 00:00:00",2543693,2399743,90722,8580,374757,,
"2019-01-05 00:00:00",3532727,2169253,95848,12104,647538,,
"2019-01-06 00:00:00",2769166,2181165,131179,9451,431463,,
"2019-01-07 00:00:00",3194191,2331396,134585,15016,487861,,
"2019-01-08 00:00:00",3648037,2250744,118969,3086,327098,,
"2019-01-09 00:00:00",3450314,2258381,142292,15171,655014,,
"2019-01-10 00:00:00",3214833,2493591,92684,7504,339265,,
"2019-01-11 00:00:00",4397854,2091638,161912,24118,461791,,
"2019-01-12 00:00:00",3527340,1171240,82739,15408,522272,,
"2019-01-13 00:00:00",3112437,1941858,126844,7186,350464,,
"2019-01-14 00:00:00",3196036,2487844,188004,4632,583241,,
"2019-01-15 00:00:00",2704338,2276868,84031,9151,286265,,
"2019-01-16 00:00:00",3914301,2795714,106972,6967,463326,,
"2019-01-17 00:00:00",2993192,2442437,130424,5356,436067,,
"2019-01-18 00:00:00",3405020,2946078,140025,11450,689615,,
"2019-01-19 00:00:00",3869512,2425931,133913,6242,372816,,
"2019-01-20 00:00:00",3294923,2431125,169881,5386,314596,,
"2019-01-21 00:00:00",3734580,2359100,100448,10240,620403,,
"2019-01-22 00:00:00",3690532,3018880,114109,8470,493877,,
"2019-01-23 00:00:00",3811699,2365942,89797,13322,618655,,
"2019-01-24 00:00:00",3585941,2345500,114581,3514,517130,,
"2019-01-25 00:00:00",3407747,2649354,108839,9379,852414,,
"2019-01-26 00:00:00",3228026,2883881,146487,6076,462383,,
"2019-01-27 00:00:00",3143935,2369800,111063,14663,499640,,
"2019-01-28 00:00:00",4169685,2353941,105252,10649,742745,,
"2019-01-29 00:00:00",4020646,2092232,128290,14079,470449,,
"2019-01-30 00:00:00",4273185,1893032,79460,12978,445136,6362259.733333333,
"2019-01-31 00:00:00",3192370,2297926,113602,4273,377588,6398380.133333334,
"2019-02-01 00:00:00",4263330,2093503,75293,9344,311160,6429034.466666667,
