"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","30-day Moving Average","Prior Year: 30-day Moving Average"
"2019-01-01 00:00:00",193,202,101,11,149,,
"2019-01-02 00:00:00",207,223,93,16,167,,
"2019-01-03 00:00:00",216,235,107,16,189,,
"2019-01-04 00:00:00",210,199,81,14,147,,
"2019-01-05 00:00:00",242,219,89,9,177,,
"2019-01-06 00:00:00",210,201,86,14,159,,
"2019-01-07 00:00:00",225,248,96,20,178,,
"2019-01-08 00:00:00",206,234,92,14,192,,
"2019-01-09 00:00:00",201,234,73,13,167,,
"2019-01-10 00:00:00",208,217,76,13,189,,
"2019-01-11 00:00:00",217,234,95,25,182,,
"2019-01-12 00:00:00",209,188,76,20,181,,
"2019-01-13 00:00:00",203,209,90,11,140,,
"2019-01-14 00:00:00",205,232,104,11,209,,
"2019-01-15 00:00:00",175,183,60,12,164,,
"2019-01-16 00:00:00",228,255,60,21,181,,
"2019-01-17 00:00:00",215,221,100,10,170,,
"2019-01-18 00:00:00",209,239,89,20,202,,
"2019-01-19 00:00:00",243,197,79,13,144,,
"2019-01-20 00:00:00",209,211,83,11,146,,
"2019-01-21 00:00:00",182,223,84,16,208,,
"2019-01-22 00:00:00",210,241,93,16,189,,
"2019-01-23 00:00:00",210,249,80,20,183,,
"2019-01-24 00:00:00",194,218,83,7,156,,
"2019-01-25 00:00:00",210,227,86,17,193,,
"2019-01-26 00:00:00",218,216,83,12,162,,
"2019-01-27 00:00:00",208,212,70,15,151,,
"2019-01-28 00:00:00",190,230,97,19,204,,
"2019-01-29 00:00:00",204,229,68,15,176,,
"2019-01-30 00:00:00",184,237,67,17,162,703.6666666666666,
"2019-01-31 00:00:00",195,198,74,9,176,703.5333333333333,
"2019-02-01 00:00:00",229,228,72,14,203,704.8666666666667,
"2019-02-02 00:00:00",210,183,63,12,208,701.9666666666667,
"2019-02-03 00:00:00",182,214,65,9,128,700.2,
"2019-02-04 00:00:00",148,125,53,7,114,690.5666666666667,
"2019-02-05 00:00:00",160,141,44,10,169,685.7,
"2019-02-06 00:00:00",159,149,43,7,154,677.2,
"2019-02-07 00:00:00",119,174,33,9,145,668.6,
"2019-02-08 00:00:00",139,173,33,7,212,664.4666666666667,
"2019-02-09 00:00:00",140,199,37,10,145,658.7333333333333,
"2019-02-10 00:00:00",141,172,43,9,132,650.2,
"2019-02-11 00:00:00",158,180,63,8,170,647.0333333333333,
"2019-02-12 00:00:00",151,213,69,11,176,645.9333333333333,
"2019-02-13 00:00:00",126,214,58,9,178,640.0666666666667,
"2019-02-14 00:00:00",131,197,62,16,183,639.9,
"2019-02-15 00:00:00",165,188,70,13,172,635.3333333333334,
"2019-02-16 00:00:00",190,214,85,9,188,634.3333333333334,
"2019-02-17 00:00:00",133,183,59,12,146,626.8,
"2019-02-18 00:00:00",165,208,74,10,190,625.8333333333334,
"2019-02-19 00:00:00",152,176,71,16,159,622.9666666666667,
"2019-02-20 00:00:00",185,219,87,15,192,622.4666666666667,
"2019-02-21 00:00:00",176,218,85,14,185,620.1,
"2019-02-22 00:00:00",222,219,75,19,197,619.7666666666667,
"2019-02-23 00:00:00",225,224,79,12,190,622.1666666666666,
"2019-02-24 00:00:00",207,201,83,15,132,619,
"2019-02-25 00:00:00",174,188,80,17,149,616.2333333333333,
"2019-02-26 00:00:00",189,219,97,13,178,617.5666666666667,
"2019-02-27 00:00:00",183,241,78,12,199,616.6666666666666,
"2019-02-28 00:00:00",213,218,87,14,193,617.7666666666667,
"2019-03-01 00:00:00",225,237,92,14,189,620.7666666666667,
"2019-03-02 00:00:00",219,224,65,14,181,622.4666666666667,
"2019-03-03 00:00:00",185,200,79,10,164,618.8666666666667,
"2019-03-04 00:00:00",207,201,80,25,185,619.6,
"2019-03-05 00:00:00",172,220,74,15,161,621.0666666666667,
"2019-03-06 00:00:00",201,192,83,18,161,628,
"2019-03-07 00:00:00",223,231,95,14,194,635.7666666666667,
"2019-03-08 00:00:00",236,194,71,20,159,641.3666666666667,
"2019-03-09 00:00:00",201,200,66,11,149,646.2666666666667,
"2019-03-10 00:00:00",202,180,75,16,103,646.6666666666666,
"2019-03-11 00:00:00",188,229,106,17,172,652.7,
"2019-03-12 00:00:00",207,241,79,21,190,660.7333333333333,
"2019-03-13 00:00:00",207,240,90,16,192,666.2666666666667,
"2019-03-14 00:00:00",229,224,87,22,185,670.5,
"2019-03-15 00:00:00",227,229,88,19,182,675.8333333333334,
"2019-03-16 00:00:00",230,213,85,17,176,680.2333333333333,
"2019-03-17 00:00:00",184,203,70,12,147,680.5,
"2019-03-18 00:00:00",222,219,110,17,199,683.2,
"2019-03-19 00:00:00",208,224,73,7,161,687.8666666666667,
"2019-03-20 00:00:00",177,209,84,8,138,686.8333333333334,
"2019-03-21 00:00:00",230,207,77,16,183,691.4666666666667,
"2019-03-22 00:00:00",221,234,90,18,159,692.2666666666667,
"2019-03-23 00:00:00",231,219,70,13,191,693.8,
"2019-03-24 00:00:00",200,202,75,16,134,690.3,
"2019-03-25 00:00:00",216,245,95,26,198,691.9666666666667,
"2019-03-26 00:00:00",205,250,84,9,186,695.1666666666666,
"2019-03-27 00:00:00",211,197,86,17,181,697.9666666666667,
"2019-03-28 00:00:00",217,239,96,16,169,699.3333333333334,
"2019-03-29 00:00:00",232,194,93,20,164,699,
"2019-03-30 00:00:00",217,184,95,9,142,696.4,
"2019-03-31 00:00:00",208,233,84,7,133,693.3333333333334,
"2019-04-01 00:00:00",198,216,92,19,172,693.1333333333333,
"2019-04-02 00:00:00",219,211,97,17,171,695.7,
"2019-04-03 00:00:00",209,232,96,14,184,696.9333333333333,
"2019-04-04 00:00:00",207,208,87,17,154,697.9666666666667,
"2019-04-05 00:00:00",229,226,95,16,172,700.7333333333333,
"2019-04-06 00:00:00",228,216,90,7,164,699,
"2019-04-07 00:00:00",185,206,87,16,126,697,
"2019-04-08 00:00:00",154,198,74,10,134,695.1,
"2019-04-09 00:00:00",170,173,76,17,123,694.5333333333333,
"2019-04-10 00:00:00",226,228,73,16,160,694.2333333333333,
"2019-04-11 00:00:00",212,224,90,11,191,693.9,
"2019-04-12 00:00:00",242,248,91,25,182,695.3333333333334,
"2019-04-13 00:00:00",252,209,85,13,188,695.3333333333334,
"2019-04-14 00:00:00",207,204,75,9,160,692.3333333333334,
"2019-04-15 00:00:00",207,232,75,23,163,691.6333333333333,
"2019-04-16 00:00:00",215,229,106,12,182,695.9,
"2019-04-17 00:00:00",188,236,75,16,173,693.2666666666667,
"2019-04-18 00:00:00",208,224,84,15,164,694,
"2019-04-19 00:00:00",227,186,94,11,141,695.4333333333333,
"2019-04-20 00:00:00",230,240,76,13,188,696.5666666666667,
"2019-04-21 00:00:00",189,182,60,15,119,691.3333333333334,
"2019-04-22 00:00:00",171,226,84,15,157,688.9666666666667,
"2019-04-23 00:00:00",163,182,63,16,137,686.7666666666667,
"2019-04-24 00:00:00",165,173,96,13,169,681.3,
"2019-04-25 00:00:00",226,241,87,18,189,682.2,
"2019-04-26 00:00:00",245,281,102,20,191,687.1,
"2019-04-27 00:00:00",253,234,93,16,194,688.8666666666667,
"2019-04-28 00:00:00",217,237,86,15,183,690.0333333333333,
"2019-04-29 00:00:00",210,230,92,12,161,691.9666666666667,
"2019-04-30 00:00:00",53,78,22,6,40,676.4333333333333,
"2019-05-01 00:00:00",131,234,64,9,126,672,
"2019-05-02 00:00:00",235,353,137,23,275,682.2666666666667,
"2019-05-03 00:00:00",236,242,90,15,171,682.9,
"2019-05-04 00:00:00",227,223,78,11,176,684.3,
"2019-05-05 00:00:00",215,219,94,15,135,682.3,
"2019-05-06 00:00:00",201,245,112,15,195,684.4,
"2019-05-07 00:00:00",217,240,102,13,179,688.7666666666667,
"2019-05-08 00:00:00",217,262,85,20,183,695.3333333333334,
"2019-05-09 00:00:00",201,216,79,17,178,699.7333333333333,
"2019-05-10 00:00:00",243,237,89,19,181,701.9333333333333,
"2019-05-11 00:00:00",221,259,92,17,165,702.8,
"2019-05-12 00:00:00",210,211,71,15,157,698.6666666666666,
"2019-05-13 00:00:00",203,225,106,21,182,698.3333333333334,
"2019-05-14 00:00:00",185,230,98,17,184,700.3,
"2019-05-15 00:00:00",205,230,85,22,174,700.8333333333334,
"2019-05-16 00:00:00",179,213,79,14,154,697.3333333333334,
"2019-05-17 00:00:00",166,154,66,13,143,692.4666666666667,
"2019-05-18 00:00:00",260,253,97,14,179,696.0666666666667,
"2019-05-19 00:00:00",187,186,70,11,136,693.7666666666667,
"2019-05-20 00:00:00",210,252,110,17,196,695.0333333333333,
"2019-05-21 00:00:00",226,263,83,16,197,702.3666666666667,
"2019-05-22 00:00:00",215,254,92,16,212,706.9,
"2019-05-23 00:00:00",202,239,105,17,224,714.4333333333333,
"2019-05-24 00:00:00",242,233,98,20,173,719.4333333333333,
"2019-05-25 00:00:00",236,241,75,12,154,718,
"2019-05-26 00:00:00",188,171,68,10,107,708.1666666666666,
"2019-05-27 00:00:00",228,228,86,28,197,707.4,
"2019-05-28 00:00:00",221,273,98,18,193,709.5666666666667,
"2019-05-29 00:00:00",204,254,99,16,204,711.9666666666667,
"2019-05-30 00:00:00",216,220,88,15,164,728.7666666666667,
"2019-05-31 00:00:00",211,266,94,14,195,735.9666666666667,
"2019-06-01 00:00:00",265,252,85,15,178,728.3666666666667,
"2019-06-02 00:00:00",218,217,78,14,135,725.3,
"2019-06-03 00:00:00",205,251,100,20,220,728,
"2019-06-04 00:00:00",213,254,92,15,169,730.1666666666666,
"2019-06-05 00:00:00",206,220,95,13,157,727.6,
"2019-06-06 00:00:00",189,183,81,16,146,723.0666666666667,
"2019-06-07 00:00:00",227,257,104,23,191,724.2333333333333,
"2019-06-08 00:00:00",229,233,81,9,176,725.4666666666667,
"2019-06-09 00:00:00",235,205,91,16,141,722.7666666666667,
"2019-06-10 00:00:00",225,222,105,21,187,722.9666666666667,
"2019-06-11 00:00:00",221,281,86,20,195,727.6,
"2019-06-12 00:00:00",203,238,83,19,200,727.8,
"2019-06-13 00:00:00",210,246,84,16,170,728.2,
"2019-06-14 00:00:00",231,239,90,19,185,729.8,
"2019-06-15 00:00:00",244,237,81,14,159,733,
"2019-06-16 00:00:00",228,236,75,15,143,738.1666666666666,
"2019-06-17 00:00:00",222,229,84,20,185,736.0666666666667,
"2019-06-18 00:00:00",206,249,74,18,199,741.2666666666667,
"2019-06-19 00:00:00",216,238,76,19,171,739.1,
"2019-06-20 00:00:00",216,213,85,18,177,736.5666666666667,
"2019-06-21 00:00:00",227,239,84,16,187,735.3666666666667,
"2019-06-22 00:00:00",245,235,97,10,171,734.4,
"2019-06-23 00:00:00",195,207,89,25,143,730.8333333333334,
"2019-06-24 00:00:00",218,262,87,19,197,733,
"2019-06-25 00:00:00",221,213,89,24,189,739.4,
"2019-06-26 00:00:00",181,233,91,17,193,737.6666666666666,
"2019-06-27 00:00:00",210,226,96,17,161,734.5666666666667,
"2019-06-28 00:00:00",223,231,85,15,184,733.2666666666667,
"2019-06-29 00:00:00",250,194,79,15,175,733.6,
"2019-06-30 00:00:00",204,217,61,12,122,728.1333333333333,
"2019-07-01 00:00:00",204,214,87,20,195,725.6333333333333,
"2019-07-02 00:00:00",205,247,89,16,156,727.3333333333334,
"2019-07-03 00:00:00",212,228,93,14,198,725.6333333333333,
"2019-07-04 00:00:00",210,229,84,20,163,724.4,
"2019-07-05 00:00:00",233,228,81,22,172,725.9,
"2019-07-06 00:00:00",233,221,96,8,156,729.2,
"2019-07-07 00:00:00",208,195,85,21,142,724.1666666666666,
"2019-07-08 00:00:00",223,241,94,21,196,725.7333333333333,
"2019-07-09 00:00:00",213,221,73,18,163,725.7333333333333,
"2019-07-10 00:00:00",218,220,74,15,172,723.7,
"2019-07-11 00:00:00",216,221,92,10,206,721.7666666666667,
"2019-07-12 00:00:00",234,226,85,15,194,722.1333333333333,
"2019-07-13 00:00:00",250,222,77,17,144,721.6,
"2019-07-14 00:00:00",216,228,89,10,160,719.5666666666667,
"2019-07-15 00:00:00",214,251,116,18,177,720.9333333333333,
"2019-07-16 00:00:00",200,216,72,17,182,720.6,
"2019-07-17 00:00:00",220,224,91,22,173,720.2666666666667,
"2019-07-18 00:00:00",207,205,96,15,178,718.7666666666667,
"2019-07-19 00:00:00",213,214,88,11,146,717.1666666666666,
"2019-07-20 00:00:00",228,226,82,14,168,717.4666666666667,
"2019-07-21 00:00:00",178,193,65,13,123,711.4333333333333,
"2019-07-22 00:00:00",217,220,61,21,168,709.0666666666667,
"2019-07-23 00:00:00",203,227,81,15,183,710.7333333333333,
"2019-07-24 00:00:00",217,242,92,16,188,709.8,
"2019-07-25 00:00:00",222,224,91,19,187,710.0333333333333,
"2019-07-26 00:00:00",235,228,102,22,189,712.0666666666667,
"2019-07-27 00:00:00",258,216,87,13,160,712.8666666666667,
"2019-07-28 00:00:00",199,230,80,18,161,711.2,
"2019-07-29 00:00:00",207,231,88,10,161,710.6666666666666,
"2019-07-30 00:00:00",206,229,84,18,186,714.2333333333333,
"2019-07-31 00:00:00",165,207,78,10,170,711.2333333333333,
"2019-08-01 00:00:00",182,215,67,20,162,709,
"2019-08-02 00:00:00",259,204,76,20,191,709.1666666666666,
"2019-08-03 00:00:00",245,229,84,15,179,710.7,
"2019-08-04 00:00:00",191,202,66,14,139,706.5666666666667,
