"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","30-day Moving Average","Prior Year: 30-day Moving Average"
"2019-01-01 00:00:00",114222,640811,2107,0,155579,,
"2019-01-02 00:00:00",291127,882278,2531,0,280523,,
"2019-01-03 00:00:00",235463,1055904,9875,63,223662,,
"2019-01-04 00:00:00",159672,895481,18989,4670,544931,,
"2019-01-05 00:00:00",139212,607319,2305,0,250805,,
"2019-01-06 00:00:00",453914,475137,0,0,161772,,
"2019-01-07 00:00:00",168529,1000736,13831,0,303720,,
"2019-01-08 00:00:00",136423,803890,1005,0,206607,,
"2019-01-09 00:00:00",59118,825732,5939,0,383844,,
"2019-01-10 00:00:00",156285,1003097,6639,1771,254030,,
"2019-01-11 00:00:00",222859,1125355,31845,0,285841,,
"2019-01-12 00:00:00",140755,811263,11063,16,303842,,
"2019-01-13 00:00:00",282335,565800,23606,0,112660,,
"2019-01-14 00:00:00",166550,783896,2105,172,247341,,
"2019-01-15 00:00:00",190244,639095,9466,0,423976,,
"2019-01-16 00:00:00",164352,638948,1031,0,147283,,
"2019-01-17 00:00:00",151169,970493,17976,172,436862,,
"2019-01-18 00:00:00",258635,356787,2953,192,342169,,
"2019-01-19 00:00:00",32608,811802,11818,0,253500,,
"2019-01-20 00:00:00",154841,794825,17576,0,329455,,
"2019-01-21 00:00:00",32679,681732,3017,0,206929,,
"2019-01-22 00:00:00",162694,730972,7084,479,262149,,
"2019-01-23 00:00:00",74627,724055,9097,0,298021,,
"2019-01-24 00:00:00",188373,721572,6609,0,152393,,
"2019-01-25 00:00:00",122662,413624,8513,0,269121,,
"2019-01-26 00:00:00",121836,875961,6419,479,119711,,
"2019-01-27 00:00:00",335883,346636,0,3612,249365,,
"2019-01-28 00:00:00",73511,758575,22234,0,221738,,
"2019-01-29 00:00:00",105241,697124,15722,1022,247242,,
"2019-01-30 00:00:00",117808,978919,6063,1687,181495,1192664.8333333333,
"2019-01-31 00:00:00",303003,1059933,10544,2674,122806,1212206.3666666667,
"2019-02-01 00:00:00",115436,962863,3284,1935,298741,1209732.9333333333,
"2019-02-02 00:00:00",74647,705300,17261,0,280867,1194836.7,
"2019-02-03 00:00:00",154884,462827,21771,0,251349,1170406.2,
"2019-02-04 00:00:00",38285,1018054,14664,0,181803,1178845.1333333333,
"2019-02-05 00:00:00",140765,841159,3365,172,363907,1187463.4,
"2019-02-06 00:00:00",142371,406353,16396,0,52354,1158485.1333333333,
"2019-02-07 00:00:00",287036,797945,3933,0,140535,1161202.6333333333,
"2019-02-08 00:00:00",217243,688190,17209,0,212037,1156537.5333333334,
"2019-02-09 00:00:00",124770,569870,9257,3057,183630,1138829.6,
"2019-02-10 00:00:00",188170,506028,14239,0,287049,1116482.4333333333,
"2019-02-11 00:00:00",96857,995280,5963,0,135720,1115378.5,
"2019-02-12 00:00:00",160914,449819,2696,0,262104,1111749.5666666667,
"2019-02-13 00:00:00",79037,712042,11554,129,264153,1107311.4333333333,
"2019-02-14 00:00:00",219112,855082,17139,2942,181852,1107756.2666666666,
"2019-02-15 00:00:00",269807,408898,6663,16,347964,1110480.7666666666,
"2019-02-16 00:00:00",154920,934263,10147,129,125048,1098741.9,
"2019-02-17 00:00:00",146560,1343380,8522,129,486165,1132875.8333333333,
"2019-02-18 00:00:00",87422,797536,18760,129,154946,1131177.9666666666,
"2019-02-19 00:00:00",190571,988458,29687,6926,277586,1137729.2,
"2019-02-20 00:00:00",90569,764272,9703,0,254973,1144234.6333333333,
"2019-02-21 00:00:00",113061,898034,20752,0,256719,1148407.3666666667,
"2019-02-22 00:00:00",162308,1245790,3494,172,154544,1163757.8,
"2019-02-23 00:00:00",66711,597191,9843,0,262969,1159350.2333333334,
"2019-02-24 00:00:00",152139,1066953,8647,0,287615,1182731.4333333333,
"2019-02-25 00:00:00",69105,1313830,2511,129,384806,1204263.8333333333,
"2019-02-26 00:00:00",109532,677102,15548,1159,263680,1208648.2666666666,
"2019-02-27 00:00:00",122499,585816,48808,172,183341,1204134.3666666667,
"2019-02-28 00:00:00",68701,820363,11698,3732,343037,1210173.8333333333,
"2019-03-01 00:00:00",205270,713482,16825,0,318042,1209095.5333333334,
"2019-03-02 00:00:00",53462,909978,25795,2576,265822,1201051.2,
"2019-03-03 00:00:00",50619,836746,5280,0,265019,1193564.9333333333,
"2019-03-04 00:00:00",62144,690822,13682,0,196565,1189735.9666666666,
