"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","30-day Moving Average","Prior Year: 30-day Moving Average"
"2019-01-01 00:00:00",48090,129645,16038,0,53320,,
"2019-01-02 00:00:00",422038,137952,3162,0,7080,,
"2019-01-03 00:00:00",103411,275757,5053,608,78933,,
"2019-01-04 00:00:00",178376,266825,11294,0,17704,,
"2019-01-05 00:00:00",242459,195327,5629,0,144706,,
"2019-01-06 00:00:00",200341,161521,1005,0,157800,,
"2019-01-07 00:00:00",104051,279538,10591,0,92083,,
"2019-01-08 00:00:00",213782,233512,0,2592,136404,,
"2019-01-09 00:00:00",130683,221369,9093,0,124720,,
"2019-01-10 00:00:00",118236,170878,21540,0,80180,,
"2019-01-11 00:00:00",139738,265719,5450,0,11522,,
"2019-01-12 00:00:00",123085,145572,5776,5187,97422,,
"2019-01-13 00:00:00",98838,119962,3770,0,54875,,
"2019-01-14 00:00:00",147394,308079,40240,846,238327,,
"2019-01-15 00:00:00",110601,244551,3326,2048,64414,,
"2019-01-16 00:00:00",178802,244530,4513,0,152948,,
"2019-01-17 00:00:00",87041,100354,15616,846,112763,,
"2019-01-18 00:00:00",139233,179746,668,1732,25056,,
"2019-01-19 00:00:00",102790,321440,6256,0,53623,,
"2019-01-20 00:00:00",33973,208608,6917,0,12192,,
"2019-01-21 00:00:00",230188,206271,7098,0,31943,,
"2019-01-22 00:00:00",75768,345648,3782,1570,3943,,
"2019-01-23 00:00:00",131340,209718,3311,0,60649,,
"2019-01-24 00:00:00",16451,35471,3572,0,626,,
"2019-01-25 00:00:00",284130,160701,10844,0,89476,,
"2019-01-26 00:00:00",133218,132074,18318,1570,37886,,
"2019-01-27 00:00:00",84602,171639,5932,0,88604,,
"2019-01-28 00:00:00",299489,25453,10469,5607,52076,,
"2019-01-29 00:00:00",197479,102281,14699,0,116991,,
"2019-01-30 00:00:00",233254,228927,22313,8897,111058,435173.4666666667,
"2019-01-31 00:00:00",147612,146327,1566,4950,46120,438489.4,
"2019-02-01 00:00:00",127164,282401,6123,1352,81572,436102.1,
"2019-02-02 00:00:00",152172,262589,3919,0,88159,437538.0333333333,
"2019-02-03 00:00:00",237424,320795,31807,0,20404,442079.0333333333,
"2019-02-04 00:00:00",130405,328073,41737,0,92771,442241.0333333333,
"2019-02-05 00:00:00",76075,190394,4709,846,91791,437012.73333333334,
"2019-02-06 00:00:00",117899,110461,2956,0,50248,430189.26666666666,
"2019-02-07 00:00:00",68243,133944,2765,0,171794,423204.43333333335,
"2019-02-08 00:00:00",47472,219936,5406,2942,131151,420572.5,
"2019-02-09 00:00:00",291113,299079,15927,1124,130876,432148.63333333336,
"2019-02-10 00:00:00",235782,245772,929,0,114966,437982.56666666665,
"2019-02-11 00:00:00",123119,213450,28700,0,35495,438773.3,
"2019-02-12 00:00:00",155577,187065,1552,0,7669,441253.86666666664,
"2019-02-13 00:00:00",139720,133984,12771,1124,85340,429189.0333333333,
"2019-02-14 00:00:00",94630,142653,12377,0,8839,423641.0333333333,
"2019-02-15 00:00:00",74325,20933,7681,517,23922,408527.23333333334,
"2019-02-16 00:00:00",142202,260340,9174,1636,62347,413829.8333333333,
"2019-02-17 00:00:00",229239,168508,11142,3902,105892,419571.5,
"2019-02-18 00:00:00",92024,274958,14710,1124,10652,416550,
"2019-02-19 00:00:00",108553,129840,8109,594,111562,419782.23333333334,
"2019-02-20 00:00:00",262458,219538,5748,0,75839,422718.4,
"2019-02-21 00:00:00",41575,201320,0,0,24624,417278.6,
"2019-02-22 00:00:00",123606,231964,24506,846,49323,418119.63333333336,
"2019-02-23 00:00:00",151252,247934,4795,0,147115,434618.9,
"2019-02-24 00:00:00",153082,126161,13039,0,67707,428446.73333333334,
"2019-02-25 00:00:00",191334,276649,12994,1124,1533,433798.9666666667,
"2019-02-26 00:00:00",62366,257959,2278,0,46999,434426.4,
"2019-02-27 00:00:00",204449,231775,1212,1357,114707,439773.23333333334,
"2019-02-28 00:00:00",84080,117835,6563,2030,139428,437056.13333333336,
"2019-03-01 00:00:00",158635,262405,5808,0,94799,434296.0333333333,
"2019-03-02 00:00:00",309886,260977,10824,0,21309,442843.6,
"2019-03-03 00:00:00",139412,180162,21609,0,70238,439937.3,
"2019-03-04 00:00:00",134471,172525,28814,0,196451,440784.7,
"2019-03-05 00:00:00",71808,280162,24587,0,24391,433802.1,
"2019-03-06 00:00:00",159445,165016,5957,0,19902,425713.3,
"2019-03-07 00:00:00",47509,209111,12922,0,166296,428113.9666666667,
"2019-03-08 00:00:00",48149,133170,45118,0,143831,431070.9,
"2019-03-09 00:00:00",246979,76905,3306,0,83538,432203.6,
"2019-03-10 00:00:00",146230,152713,18473,3450,1916,429399.4666666667,
"2019-03-11 00:00:00",94459,54004,12175,0,102534,413567.8333333333,
"2019-03-12 00:00:00",194965,374934,14683,0,110898,416835.5,
"2019-03-13 00:00:00",229817,68676,19749,517,130702,418458.73333333334,
"2019-03-14 00:00:00",76552,377058,21687,5237,63727,424872.0333333333,
"2019-03-15 00:00:00",109447,97989,5882,3969,100856,423045.3333333333,
"2019-03-16 00:00:00",193379,343787,19008,1124,65183,435178.1666666667,
"2019-03-17 00:00:00",190277,181510,12122,0,99884,447058.5333333333,
"2019-03-18 00:00:00",145502,278873,23783,0,40436,447488.36666666664,
"2019-03-19 00:00:00",114011,238600,10840,2555,3690,442522.06666666665,
