"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","30-day Moving Average","Prior Year: 30-day Moving Average"
"2019-01-01 00:00:00",0,0,2233,0,10273,,
"2019-01-02 00:00:00",0,0,0,0,97,,
"2019-01-03 00:00:00",0,0,0,0,2551,,
"2019-01-04 00:00:00",0,42434,0,0,0,,
"2019-01-05 00:00:00",4081,0,412,0,2551,,
"2019-01-06 00:00:00",0,0,2003,0,0,,
"2019-01-07 00:00:00",0,0,0,0,2551,,
"2019-01-08 00:00:00",0,0,0,0,2551,,
"2019-01-09 00:00:00",0,42122,0,0,3394,,
"2019-01-10 00:00:00",4373,31504,2003,0,6412,,
"2019-01-11 00:00:00",30513,0,0,0,0,,
"2019-01-12 00:00:00",0,52654,0,0,0,,
"2019-01-13 00:00:00",0,0,2003,0,2648,,
"2019-01-14 00:00:00",0,0,0,0,40485,,
"2019-01-15 00:00:00",0,0,3009,0,15783,,
"2019-01-16 00:00:00",0,0,0,0,112324,,
"2019-01-17 00:00:00",0,0,0,0,9273,,
"2019-01-18 00:00:00",14606,0,0,0,0,,
"2019-01-19 00:00:00",0,0,0,0,0,,
"2019-01-20 00:00:00",0,0,0,0,3861,,
"2019-01-21 00:00:00",0,0,0,0,5103,,
"2019-01-22 00:00:00",0,0,0,0,7894,,
"2019-01-23 00:00:00",16694,0,0,0,2551,,
"2019-01-24 00:00:00",17301,0,828,0,3861,,
"2019-01-25 00:00:00",4543,0,2003,0,3394,,
"2019-01-26 00:00:00",0,48713,0,0,9273,,
"2019-01-27 00:00:00",0,0,699,0,0,,
"2019-01-28 00:00:00",4381,0,0,0,0,,
"2019-01-29 00:00:00",8637,0,2003,0,0,,
"2019-01-30 00:00:00",0,14968,0,0,164346,25530.033333333333,
"2019-01-31 00:00:00",0,0,0,0,15379,25625.8,
"2019-02-01 00:00:00",7080,27758,0,0,1481,26833.233333333334,
"2019-02-02 00:00:00",4543,0,0,0,2551,26984.666666666668,
"2019-02-03 00:00:00",0,0,0,0,3394,25683.333333333332,
"2019-02-04 00:00:00",16800,41538,3078,0,8964,27794.533333333333,
"2019-02-05 00:00:00",0,0,4006,0,148769,32820.3,
"2019-02-06 00:00:00",0,0,0,0,0,32735.266666666666,
"2019-02-07 00:00:00",0,0,0,0,0,32650.233333333334,
"2019-02-08 00:00:00",6858,0,0,0,21632,32082.7,
"2019-02-09 00:00:00",0,0,0,0,8588,30892.533333333333,
"2019-02-10 00:00:00",0,0,0,0,3861,30004.133333333335,
"2019-02-11 00:00:00",5451,77760,0,0,6412,31236.466666666667,
"2019-02-12 00:00:00",0,86545,0,0,9273,34275.36666666667,
"2019-02-13 00:00:00",55839,0,2003,0,78307,37464.2,
"2019-02-14 00:00:00",16800,55517,3320,0,2551,39444.1,
"2019-02-15 00:00:00",0,0,0,0,0,35699.96666666667,
"2019-02-16 00:00:00",6858,0,2003,0,9273,35995.36666666667,
"2019-02-17 00:00:00",0,27758,0,0,3394,36546.933333333334,
"2019-02-18 00:00:00",0,0,0,0,2551,36631.96666666667,
"2019-02-19 00:00:00",6352,27758,0,0,0,37640.3,
"2019-02-20 00:00:00",10177,27758,0,0,304480,48884.1,
"2019-02-21 00:00:00",4373,0,0,0,3861,48895.433333333334,
"2019-02-22 00:00:00",0,0,0,0,0,48253.933333333334,
"2019-02-23 00:00:00",12145,26795,0,0,52539,50570.26666666667,
"2019-02-24 00:00:00",0,27758,0,0,9273,51473.3,
"2019-02-25 00:00:00",0,0,0,0,9273,49849.5,
"2019-02-26 00:00:00",0,71750,0,0,3861,52346.6,
"2019-02-27 00:00:00",8712,0,0,0,0,52490.96666666667,
"2019-02-28 00:00:00",5864,0,159,0,3283,52446.5,
"2019-03-01 00:00:00",0,55517,0,0,3861,48448.63333333333,
"2019-03-02 00:00:00",0,0,0,0,3394,48049.13333333333,
"2019-03-03 00:00:00",0,0,0,0,0,46838.46666666667,
"2019-03-04 00:00:00",0,585,2003,0,0,46688.3,
"2019-03-05 00:00:00",0,0,0,0,3394,46688.3,
"2019-03-06 00:00:00",4884,0,0,0,0,44505.066666666666,
"2019-03-07 00:00:00",0,0,0,0,0,39412.53333333333,
"2019-03-08 00:00:00",2705,0,2003,0,2551,39654.5,
"2019-03-09 00:00:00",0,2727,4389,0,0,39891.7,
"2019-03-10 00:00:00",0,0,0,0,0,38942.03333333333,
"2019-03-11 00:00:00",0,0,0,0,0,38655.76666666667,
"2019-03-12 00:00:00",0,0,0,0,0,38527.066666666666,
"2019-03-13 00:00:00",0,0,0,0,0,35539.6,
"2019-03-14 00:00:00",0,0,0,0,2551,32430.666666666668,
"2019-03-15 00:00:00",0,0,0,0,0,27892.333333333332,
"2019-03-16 00:00:00",0,0,0,0,6736,25510.566666666666,
"2019-03-17 00:00:00",31497,8734,0,0,278702,36141.666666666664,
"2019-03-18 00:00:00",0,27758,0,0,97,36465.7,
"2019-03-19 00:00:00",39299,0,0,0,7722,36994.63333333333,
"2019-03-20 00:00:00",7303,27758,0,0,0,38078.3,
"2019-03-21 00:00:00",1355,0,0,0,2551,37071.46666666667,
"2019-03-22 00:00:00",0,51004,849,0,2551,27471.033333333333,
