"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","30-day Moving Average","Prior Year: 30-day Moving Average"
"2019-01-01 00:00:00",0,0,0,0,491825,,
"2019-01-02 00:00:00",0,0,0,0,454268,,
"2019-01-03 00:00:00",0,0,0,0,263331,,
"2019-01-04 00:00:00",0,0,0,0,803759,,
"2019-01-05 00:00:00",0,0,0,0,455637,,
"2019-01-06 00:00:00",0,0,206,0,6736,,
"2019-01-07 00:00:00",0,0,0,0,623214,,
"2019-01-08 00:00:00",0,0,0,0,272426,,
"2019-01-09 00:00:00",0,0,0,0,10233,,
"2019-01-10 00:00:00",0,0,206,0,216544,,
"2019-01-11 00:00:00",129,0,0,0,253560,,
"2019-01-12 00:00:00",0,0,0,0,279046,,
"2019-01-13 00:00:00",0,0,206,0,883695,,
"2019-01-14 00:00:00",0,0,0,0,265500,,
"2019-01-15 00:00:00",0,0,0,0,1030622,,
"2019-01-16 00:00:00",0,0,0,0,169069,,
"2019-01-17 00:00:00",0,0,0,0,8975,,
"2019-01-18 00:00:00",259,0,0,0,80832,,
"2019-01-19 00:00:00",0,0,0,0,0,,
"2019-01-20 00:00:00",0,0,0,0,12481,,
"2019-01-21 00:00:00",0,0,657,0,338139,,
"2019-01-22 00:00:00",0,0,0,0,985980,,
"2019-01-23 00:00:00",1773,0,0,0,701682,,
"2019-01-24 00:00:00",0,0,0,0,201853,,
"2019-01-25 00:00:00",0,0,206,0,158525,,
"2019-01-26 00:00:00",0,0,0,0,548576,,
"2019-01-27 00:00:00",0,0,0,0,318832,,
"2019-01-28 00:00:00",0,0,0,0,0,,
"2019-01-29 00:00:00",0,0,206,0,1122097,,
"2019-01-30 00:00:00",0,0,0,0,0,365376.3333333333,
"2019-01-31 00:00:00",0,0,0,0,349165,360621,
"2019-02-01 00:00:00",0,1415,0,0,620365,366204.73333333334,
"2019-02-02 00:00:00",0,0,0,0,447634,372348.1666666667,
"2019-02-03 00:00:00",0,0,0,0,10233,345897.3,
"2019-02-04 00:00:00",0,0,0,0,735151,355214.43333333335,
"2019-02-05 00:00:00",0,0,413,0,677088,377566.36666666664,
"2019-02-06 00:00:00",0,0,505,0,277710,366066.4,
"2019-02-07 00:00:00",0,0,0,0,3160,357090.86666666664,
"2019-02-08 00:00:00",1773,0,0,0,504400,373622.2,
"2019-02-09 00:00:00",0,0,0,0,408835,380025,
"2019-02-10 00:00:00",0,0,0,0,12481,371984.73333333334,
"2019-02-11 00:00:00",0,1415,0,0,428994,377030.1666666667,
"2019-02-12 00:00:00",0,0,0,0,425706,361756.9666666667,
"2019-02-13 00:00:00",129,0,206,0,252046,361319.7,
"2019-02-14 00:00:00",0,2830,0,0,970745,359418.13333333336,
"2019-02-15 00:00:00",0,0,0,0,132500,358199.1666666667,
"2019-02-16 00:00:00",1773,0,206,0,270652,366987.73333333334,
"2019-02-17 00:00:00",0,1415,5674,0,384109,377324.63333333336,
"2019-02-18 00:00:00",0,0,0,0,720472,401340.36666666664,
"2019-02-19 00:00:00",0,1415,0,0,288564,410590.3,
"2019-02-20 00:00:00",0,1415,0,0,279132,408648.6666666667,
"2019-02-21 00:00:00",0,0,0,0,686714,398673.13333333336,
"2019-02-22 00:00:00",0,0,0,0,272301,384301.3333333333,
"2019-02-23 00:00:00",23162,0,0,0,314644,388833.1,
"2019-02-24 00:00:00",0,1415,0,0,560621,402276.56666666665,
"2019-02-25 00:00:00",0,0,0,0,556674,402546.5,
"2019-02-26 00:00:00",0,1415,0,0,499678,408621.86666666664,
"2019-02-27 00:00:00",0,0,0,0,263616,417409.06666666665,
"2019-02-28 00:00:00",0,0,0,0,259420,388646.26666666666,
"2019-03-01 00:00:00",0,2830,0,0,12481,389156.63333333336,
"2019-03-02 00:00:00",0,0,0,0,417920,391448.4666666667,
"2019-03-03 00:00:00",0,0,0,0,1090869,407084.76666666666,
"2019-03-04 00:00:00",0,0,206,0,407695,405760.3333333333,
"2019-03-05 00:00:00",0,0,0,0,235958,413284.5,
"2019-03-06 00:00:00",0,0,0,0,436330,403323.8,
"2019-03-07 00:00:00",0,0,0,0,265584,389593.23333333334,
"2019-03-08 00:00:00",0,0,206,0,169069,385961.9,
"2019-03-09 00:00:00",0,0,0,0,139612,390510.3,
"2019-03-10 00:00:00",0,0,0,0,399594,386957.6666666667,
"2019-03-11 00:00:00",0,0,0,0,664354,395474.9666666667,
"2019-03-12 00:00:00",0,0,0,0,485794,411252.06666666665,
"2019-03-13 00:00:00",0,0,0,0,132690,401328.1,
"2019-03-14 00:00:00",0,0,6599,0,427271,401600.23333333334,
"2019-03-15 00:00:00",0,12899,0,0,310294,403960.6,
"2019-03-16 00:00:00",0,0,0,0,111591,375227.8,
"2019-03-17 00:00:00",0,0,0,0,518831,388105.5,
"2019-03-18 00:00:00",0,1415,0,0,683399,401844.9,
"2019-03-19 00:00:00",0,0,0,0,135569,393323.93333333335,
"2019-03-20 00:00:00",129,1415,0,0,568643,388314.4666666667,
"2019-03-21 00:00:00",0,0,0,0,443198,393421.76666666666,
"2019-03-22 00:00:00",0,0,0,0,169069,389705.8333333333,
"2019-03-23 00:00:00",0,0,0,0,694433,389963.13333333336,
"2019-03-24 00:00:00",0,1415,0,0,275513,390117.36666666664,
"2019-03-25 00:00:00",0,0,0,0,0,378857.1666666667,
"2019-03-26 00:00:00",0,1415,0,0,279938,369501.06666666665,
"2019-03-27 00:00:00",0,0,0,0,722823,375039.36666666664,
"2019-03-28 00:00:00",0,0,0,0,0,358336.26666666666,
"2019-03-29 00:00:00",0,1415,0,0,980466,382278.43333333335,
"2019-03-30 00:00:00",0,0,0,0,265773,382490.2,
"2019-03-31 00:00:00",0,0,0,0,0,381979.8333333333,
"2019-04-01 00:00:00",0,1415,0,0,447038,382997.6,
"2019-04-02 00:00:00",0,0,0,0,140584,351321.43333333335,
"2019-04-03 00:00:00",0,0,0,0,759230,363032.4,
"2019-04-04 00:00:00",0,0,390,0,334678,366336.06666666665,
"2019-04-05 00:00:00",0,0,0,0,296054,361660.2,
"2019-04-06 00:00:00",0,1415,0,0,438079,367457.2,
"2019-04-07 00:00:00",0,0,206,0,180607,367841.8,
"2019-04-08 00:00:00",0,0,0,0,842090,391257.73333333334,
"2019-04-09 00:00:00",0,0,0,0,282708,387361.5333333333,
"2019-04-10 00:00:00",0,0,0,0,424009,379350.0333333333,
"2019-04-11 00:00:00",0,0,0,0,0,363156.9,
"2019-04-12 00:00:00",0,0,0,0,789215,385041.06666666665,
"2019-04-13 00:00:00",0,0,0,0,424232,384719.8,
"2019-04-14 00:00:00",0,1415,0,0,21456,374709.06666666665,
"2019-04-15 00:00:00",0,0,206,0,1120376,408342.1,
"2019-04-16 00:00:00",0,0,0,0,297466,400963.26666666666,
"2019-04-17 00:00:00",0,24033,206,0,552589,397363.76666666666,
"2019-04-18 00:00:00",0,0,1779,0,415993,406770.5333333333,
"2019-04-19 00:00:00",0,0,0,0,530164,405436.4,
"2019-04-20 00:00:00",0,0,0,0,314600,401149.8,
"2019-04-21 00:00:00",0,0,0,0,742490,420263.8333333333,
"2019-04-22 00:00:00",0,1415,206,0,138321,401780.8333333333,
"2019-04-23 00:00:00",0,0,0,0,12481,392965.93333333335,
"2019-04-24 00:00:00",0,0,0,0,284805,402459.43333333335,
"2019-04-25 00:00:00",129,1415,375,0,863798,421938.26666666666,
"2019-04-26 00:00:00",0,1415,0,0,283083,407327.43333333335,
"2019-04-27 00:00:00",0,0,0,0,636919,428558.06666666665,
"2019-04-28 00:00:00",0,1415,0,0,281173,405248.3,
"2019-04-29 00:00:00",0,0,0,0,615677,416911.76666666666,
"2019-04-30 00:00:00",129,0,0,0,12481,417332.1,
"2019-05-01 00:00:00",0,0,0,0,105096,405886.86666666664,
"2019-05-02 00:00:00",0,0,206,0,609379,421520.26666666666,
"2019-05-03 00:00:00",0,0,0,0,318289,406822.23333333334,
"2019-05-04 00:00:00",0,0,0,0,350620,407340.63333333336,
"2019-05-05 00:00:00",0,0,0,0,404249,410947.13333333336,
"2019-05-06 00:00:00",0,1415,5679,0,156281,401743.1666666667,
"2019-05-07 00:00:00",0,1415,0,0,182537,401847.8,
"2019-05-08 00:00:00",0,0,0,0,701280,397154.13333333336,
