"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","30-day Moving Average","Prior Year: 30-day Moving Average"
"2019-01-01 00:00:00",0,0,1,0,7,,
"2019-01-02 00:00:00",0,0,0,0,3,,
"2019-01-03 00:00:00",1,0,0,0,3,,
"2019-01-04 00:00:00",1,1,1,0,3,,
"2019-01-05 00:00:00",2,0,2,0,2,,
"2019-01-06 00:00:00",0,0,1,0,2,,
"2019-01-07 00:00:00",1,0,0,0,4,,
"2019-01-08 00:00:00",0,0,0,0,4,,
"2019-01-09 00:00:00",0,1,0,0,1,,
"2019-01-10 00:00:00",2,1,1,0,4,,
"2019-01-11 00:00:00",3,0,0,0,2,,
"2019-01-12 00:00:00",0,1,0,0,2,,
"2019-01-13 00:00:00",0,0,1,0,5,,
"2019-01-14 00:00:00",0,0,1,0,4,,
"2019-01-15 00:00:00",0,0,1,0,8,,
"2019-01-16 00:00:00",0,0,0,0,2,,
"2019-01-17 00:00:00",0,0,0,0,1,,
"2019-01-18 00:00:00",2,0,0,0,2,,
"2019-01-19 00:00:00",0,0,0,0,1,,
"2019-01-20 00:00:00",0,0,0,0,1,,
"2019-01-21 00:00:00",0,0,1,0,2,,
"2019-01-22 00:00:00",0,0,0,0,6,,
"2019-01-23 00:00:00",2,0,0,0,5,,
"2019-01-24 00:00:00",1,0,1,0,4,,
"2019-01-25 00:00:00",1,0,1,0,4,,
"2019-01-26 00:00:00",0,1,0,0,4,,
"2019-01-27 00:00:00",0,0,2,0,2,,
"2019-01-28 00:00:00",1,0,0,0,0,,
"2019-01-29 00:00:00",1,0,1,0,7,,
"2019-01-30 00:00:00",1,1,0,0,2,4.566666666666666,
"2019-01-31 00:00:00",1,0,0,0,3,4.433333333333334,
"2019-02-01 00:00:00",1,1,0,0,6,4.6,
"2019-02-02 00:00:00",1,0,0,0,3,4.6,
"2019-02-03 00:00:00",0,0,0,0,1,4.433333333333334,
"2019-02-04 00:00:00",1,1,1,0,5,4.5,
"2019-02-05 00:00:00",0,0,2,0,7,4.7,
"2019-02-06 00:00:00",0,0,1,0,2,4.633333333333334,
"2019-02-07 00:00:00",2,0,1,0,2,4.666666666666667,
"2019-02-08 00:00:00",1,0,1,0,7,4.9,
"2019-02-09 00:00:00",0,0,0,0,4,4.766666666666667,
"2019-02-10 00:00:00",0,0,0,0,1,4.633333333333334,
"2019-02-11 00:00:00",1,2,0,0,6,4.833333333333333,
"2019-02-12 00:00:00",0,3,0,0,3,4.833333333333333,
"2019-02-13 00:00:00",3,0,1,0,3,4.9,
"2019-02-14 00:00:00",2,2,2,0,4,4.933333333333334,
"2019-02-15 00:00:00",0,0,0,0,1,4.9,
"2019-02-16 00:00:00",1,0,1,0,3,5.033333333333333,
"2019-02-17 00:00:00",0,1,2,0,3,5.1,
"2019-02-18 00:00:00",0,0,0,0,3,5.166666666666667,
"2019-02-19 00:00:00",1,1,0,0,1,5.233333333333333,
"2019-02-20 00:00:00",1,1,0,0,4,5.333333333333333,
"2019-02-21 00:00:00",1,0,0,0,5,5.333333333333333,
"2019-02-22 00:00:00",0,0,0,0,2,5.166666666666667,
"2019-02-23 00:00:00",2,1,0,0,5,5.233333333333333,
"2019-02-24 00:00:00",0,1,0,0,3,5.166666666666667,
"2019-02-25 00:00:00",0,0,0,0,6,5.2,
