"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","30-day Moving Average","Prior Year: 30-day Moving Average"
"2019-01-01 00:00:00",283920,639364,38148,11825,467232,,
"2019-01-02 00:00:00",221737,537867,33310,971,241405,,
"2019-01-03 00:00:00",266982,984023,66565,2115,415957,,
"2019-01-04 00:00:00",375082,1673513,93053,1274,700336,,
"2019-01-05 00:00:00",274328,1235964,79722,2361,582363,,
"2019-01-06 00:00:00",235430,1211387,107365,7209,535116,,
"2019-01-07 00:00:00",548486,584421,140565,5337,738299,,
"2019-01-08 00:00:00",387557,1063114,106258,2677,516572,,
"2019-01-09 00:00:00",508577,907025,148804,2135,335786,,
"2019-01-10 00:00:00",388614,1142535,130843,5342,1297816,,
"2019-01-11 00:00:00",267318,679127,119413,2928,455995,,
"2019-01-12 00:00:00",228678,1083145,93142,3537,601791,,
"2019-01-13 00:00:00",220684,816259,89307,3916,498162,,
"2019-01-14 00:00:00",428728,878951,162914,7356,545004,,
"2019-01-15 00:00:00",399023,708647,131552,5260,981263,,
"2019-01-16 00:00:00",326468,955218,163748,4558,641193,,
"2019-01-17 00:00:00",287995,880515,132086,2438,671060,,
"2019-01-18 00:00:00",265746,1317347,120980,1407,741765,,
"2019-01-19 00:00:00",229753,892859,95116,2875,698985,,
"2019-01-20 00:00:00",283224,1014166,141631,18209,446207,,
"2019-01-21 00:00:00",490776,752131,133380,10741,515492,,
"2019-01-22 00:00:00",319413,1346409,116083,4470,629703,,
"2019-01-23 00:00:00",398310,574759,128532,5782,356776,,
"2019-01-24 00:00:00",404974,1112976,102903,7203,315780,,
"2019-01-25 00:00:00",236249,1016136,141519,19994,550187,,
"2019-01-26 00:00:00",231422,915723,90295,3361,376388,,
"2019-01-27 00:00:00",240520,998296,105556,4071,732986,,
"2019-01-28 00:00:00",407257,723082,140678,4139,416342,,
"2019-01-29 00:00:00",409882,437626,121600,4714,427717,,
"2019-01-30 00:00:00",368972,516703,161570,21861,593772,1939362.7666666666,
"2019-01-31 00:00:00",332383,966637,125083,11645,738825,1963833.2333333334,
"2019-02-01 00:00:00",266882,983103,135799,16449,515461,1993247.4,
