"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","30-day Moving Average","Prior Year: 30-day Moving Average"
"2019-01-01 00:00:00",77105,82385,32048,3355,116205,,
"2019-01-02 00:00:00",92029,321514,64974,1532,263466,,
"2019-01-03 00:00:00",109935,182904,78352,3381,342971,,
"2019-01-04 00:00:00",60472,129485,87808,5645,276099,,
"2019-01-05 00:00:00",170274,237021,85070,6440,130040,,
"2019-01-06 00:00:00",101793,118460,90990,7285,180304,,
"2019-01-07 00:00:00",201168,249502,139108,12352,242032,,
"2019-01-08 00:00:00",171213,171763,113355,14850,178997,,
"2019-01-09 00:00:00",165018,121421,147111,10450,356404,,
"2019-01-10 00:00:00",289331,187259,119662,25295,235696,,
"2019-01-11 00:00:00",326664,133083,128953,17890,202313,,
"2019-01-12 00:00:00",353610,141770,113883,14558,277829,,
"2019-01-13 00:00:00",188549,155923,98633,13817,268281,,
"2019-01-14 00:00:00",90406,130977,132218,16114,283297,,
"2019-01-15 00:00:00",322276,256333,116429,22732,295040,,
"2019-01-16 00:00:00",385970,160934,137608,23580,255123,,
"2019-01-17 00:00:00",347674,100390,126137,20367,204623,,
"2019-01-18 00:00:00",327716,173527,150292,19685,323215,,
"2019-01-19 00:00:00",367617,148158,103076,13356,252686,,
"2019-01-20 00:00:00",155522,184553,109247,20658,175679,,
"2019-01-21 00:00:00",316129,218088,125518,22637,276714,,
"2019-01-22 00:00:00",208465,283072,145571,16270,338916,,
"2019-01-23 00:00:00",291873,80026,135357,15966,208119,,
"2019-01-24 00:00:00",524665,81218,135259,14415,569096,,
"2019-01-25 00:00:00",313223,141897,134544,21181,349245,,
"2019-01-26 00:00:00",204902,144103,88700,16203,260130,,
"2019-01-27 00:00:00",110110,270313,100798,39497,220312,,
"2019-01-28 00:00:00",218127,161121,124647,18751,207995,,
"2019-01-29 00:00:00",166688,77074,101536,19554,132888,,
"2019-01-30 00:00:00",322662,203539,140625,25469,459204,793462,
"2019-01-31 00:00:00",486013,136445,100086,27274,234719,815910.8333333334,
"2019-02-01 00:00:00",239095,152445,117769,19339,321028,819450.5666666667,
"2019-02-02 00:00:00",236620,176371,104185,5733,254045,821430.5666666667,
"2019-02-03 00:00:00",157081,95610,100786,16244,248219,823378.4333333333,
"2019-02-04 00:00:00",191515,99657,128815,25610,299005,827237.2333333333,
"2019-02-05 00:00:00",154269,189568,140002,9905,245407,835248.4333333333,
"2019-02-06 00:00:00",168539,258068,112949,17051,253234,834104.3333333334,
"2019-02-07 00:00:00",407200,110625,115046,22341,282346,843683.9666666667,
"2019-02-08 00:00:00",346179,228607,154463,13683,187634,848023.0666666667,
"2019-02-09 00:00:00",348217,214206,94366,15653,264850,850691.1,
"2019-02-10 00:00:00",249244,107163,97951,9769,146469,844080.6333333333,
"2019-02-11 00:00:00",238301,203527,147850,39124,244139,843123.9333333333,
"2019-02-12 00:00:00",139664,87608,113057,16809,143564,835640.8,
"2019-02-13 00:00:00",344117,163053,121335,26654,198957,842343.7,
"2019-02-14 00:00:00",247496,364645,134945,13403,341898,845329.7666666667,
"2019-02-15 00:00:00",501080,149159,134568,30009,187481,846632.7333333333,
"2019-02-16 00:00:00",252364,222614,117971,10260,198573,846719.0333333333,
"2019-02-17 00:00:00",131421,98270,146547,16813,199072,833308.1666666666,
"2019-02-18 00:00:00",295887,224645,154577,27916,339893,838575.7333333333,
"2019-02-19 00:00:00",264593,125269,109124,23048,175615,840309.3,
"2019-02-20 00:00:00",276001,182234,129836,13785,228094,836004.4,
"2019-02-21 00:00:00",282335,202187,141693,14526,184676,830441.9,
"2019-02-22 00:00:00",389821,185761,132443,22675,209138,837392.1,
"2019-02-23 00:00:00",138717,177081,97813,28831,236243,815859.8,
"2019-02-24 00:00:00",251173,186991,139871,24785,358475,815899.8,
"2019-02-25 00:00:00",202662,137092,122974,29454,476657,824393.4333333333,
"2019-02-26 00:00:00",298367,220480,128395,15253,261821,830503.2333333333,
"2019-02-27 00:00:00",214664,144745,131916,26675,197006,829982.1,
"2019-02-28 00:00:00",332040,164240,121984,17565,193181,841024.5666666667,
"2019-03-01 00:00:00",297646,185680,130422,11643,207310,830397.8,
"2019-03-02 00:00:00",177420,252656,104665,14924,195187,822408.2333333333,
"2019-03-03 00:00:00",186513,72508,94706,16040,185965,812609.6333333333,
"2019-03-04 00:00:00",272314,203476,123625,25267,258105,816138.0333333333,
"2019-03-05 00:00:00",285604,138600,124471,15584,315336,824859.7,
"2019-03-06 00:00:00",203555,90902,133596,19174,266834,823842.0333333333,
"2019-03-07 00:00:00",353278,108059,112710,10997,362244,830779.8,
"2019-03-08 00:00:00",474007,258664,107557,11012,182733,838250.7,
"2019-03-09 00:00:00",232360,92263,100948,12410,236396,829477.6,
"2019-03-10 00:00:00",107825,162640,106596,19774,230392,819366.2333333333,
"2019-03-11 00:00:00",165850,165390,81327,14027,178897,808306.3,
"2019-03-12 00:00:00",183961,549454,120136,42679,224505,825311.5333333333,
"2019-03-13 00:00:00",168418,153888,128780,20093,198030,818520.1333333333,
"2019-03-14 00:00:00",347130,180527,150805,23165,245442,833399.2666666667,
"2019-03-15 00:00:00",388341,178445,147892,20423,458850,844727.4666666667,
"2019-03-16 00:00:00",198064,61565,101563,13957,244800,828646,
"2019-03-17 00:00:00",317698,216221,132793,29127,211804,825490.4333333333,
"2019-03-18 00:00:00",266865,315411,138101,17800,419109,837341.1,
"2019-03-19 00:00:00",226700,329679,128807,37767,300632,851723.8,
"2019-03-20 00:00:00",296145,234972,137389,17588,259849,848491.0666666667,
"2019-03-21 00:00:00",194485,188971,135518,16647,142522,847840.5,
"2019-03-22 00:00:00",407987,190291,139638,7600,219494,852342.8333333334,
"2019-03-23 00:00:00",192124,187637,107941,15857,306276,851823.1333333333,
"2019-03-24 00:00:00",136724,215561,112119,23350,374778,849246.2333333333,
"2019-03-25 00:00:00",226973,219732,140164,27764,603266,867220.3,
"2019-03-26 00:00:00",204900,209676,173395,14422,327989,866189.9,
"2019-03-27 00:00:00",373236,277973,122156,34119,460025,876145.9,
"2019-03-28 00:00:00",465571,183128,145664,31394,308083,883129.9333333333,
"2019-03-29 00:00:00",435561,175751,150454,39162,241062,894029.1666666666,
"2019-03-30 00:00:00",136251,101272,116960,16967,203030,885544.6333333333,
"2019-03-31 00:00:00",144204,196293,78282,22330,159665,877813.8,
"2019-04-01 00:00:00",239280,166011,132636,19731,218797,878867.2333333333,
"2019-04-02 00:00:00",246765,140437,104085,18840,180478,883363.4333333333,
"2019-04-03 00:00:00",84203,134956,135665,23918,204852,873390.1333333333,
"2019-04-04 00:00:00",197542,112952,134760,10270,215204,866428.1,
"2019-04-05 00:00:00",165945,296007,113167,14547,181942,868346.0333333333,
"2019-04-06 00:00:00",172735,99378,115272,14510,162688,855588.5,
"2019-04-07 00:00:00",228864,181263,123414,19143,170209,845219.1333333333,
"2019-04-08 00:00:00",180700,154415,125553,25081,236867,846827.3666666667,
"2019-04-09 00:00:00",86310,69971,109441,19179,188659,841704.7333333333,
"2019-04-10 00:00:00",204772,124445,131867,8094,188781,843453.7333333333,
"2019-04-11 00:00:00",328849,185790,115435,30945,212823,835223.7,
"2019-04-12 00:00:00",464918,188697,140453,21110,191298,846465.9666666667,
"2019-04-13 00:00:00",250668,242005,101544,14112,192760,841599.5666666667,
"2019-04-14 00:00:00",25996,143701,74564,19014,203548,817361.3,
"2019-04-15 00:00:00",114970,130838,121381,28378,222948,817313.7666666667,
"2019-04-16 00:00:00",161484,196654,133982,18673,254354,812564,
"2019-04-17 00:00:00",261398,157801,133206,19470,209616,800037.4333333333,
"2019-04-18 00:00:00",402592,201321,141532,24421,189653,797901.6666666666,
"2019-04-19 00:00:00",465467,130283,149821,13700,675852,814207.7666666667,
"2019-04-20 00:00:00",327543,173591,99383,15841,308162,822419.9333333333,
"2019-04-21 00:00:00",325228,251936,98139,30122,214765,820925.5333333333,
