"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","30-day Moving Average","Prior Year: 30-day Moving Average"
"2019-01-01 00:00:00",58,46,72,9,143,,
"2019-01-02 00:00:00",62,54,90,8,211,,
"2019-01-03 00:00:00",68,85,165,11,253,,
"2019-01-04 00:00:00",73,96,215,13,293,,
"2019-01-05 00:00:00",69,84,186,16,238,,
"2019-01-06 00:00:00",58,96,235,43,252,,
"2019-01-07 00:00:00",99,112,328,48,354,,
"2019-01-08 00:00:00",91,117,253,47,293,,
"2019-01-09 00:00:00",116,99,307,39,282,,
"2019-01-10 00:00:00",116,121,293,63,282,,
"2019-01-11 00:00:00",109,114,271,55,310,,
"2019-01-12 00:00:00",102,100,226,51,281,,
"2019-01-13 00:00:00",67,90,218,50,256,,
"2019-01-14 00:00:00",105,121,320,63,329,,
"2019-01-15 00:00:00",114,110,290,53,280,,
"2019-01-16 00:00:00",113,113,323,61,290,,
"2019-01-17 00:00:00",106,99,288,51,291,,
"2019-01-18 00:00:00",105,119,297,57,304,,
"2019-01-19 00:00:00",83,92,211,41,285,,
"2019-01-20 00:00:00",76,106,288,62,271,,
"2019-01-21 00:00:00",94,100,304,58,355,,
"2019-01-22 00:00:00",106,131,286,64,302,,
"2019-01-23 00:00:00",117,89,296,54,278,,
"2019-01-24 00:00:00",122,100,293,59,308,,
"2019-01-25 00:00:00",113,114,288,63,332,,
"2019-01-26 00:00:00",86,92,215,49,211,,
"2019-01-27 00:00:00",68,125,239,81,264,,
"2019-01-28 00:00:00",98,104,282,60,311,,
"2019-01-29 00:00:00",111,97,261,54,269,,
"2019-01-30 00:00:00",116,95,303,56,307,778.6333333333333,
"2019-01-31 00:00:00",110,107,243,62,270,794.1,
"2019-02-01 00:00:00",90,116,280,49,246,805.9666666666667,
"2019-02-02 00:00:00",77,81,217,40,249,808.7,
"2019-02-03 00:00:00",84,101,265,62,262,811.5,
"2019-02-04 00:00:00",88,117,281,66,334,821.2666666666667,
"2019-02-05 00:00:00",122,132,279,57,279,827.4333333333333,
"2019-02-06 00:00:00",104,96,283,49,274,822.9333333333333,
"2019-02-07 00:00:00",117,112,279,57,294,824.8666666666667,
"2019-02-08 00:00:00",104,109,279,44,280,823.9666666666667,
"2019-02-09 00:00:00",92,87,211,48,268,818.3333333333334,
"2019-02-10 00:00:00",69,80,202,52,242,811.2,
"2019-02-11 00:00:00",85,120,311,65,344,816.7,
"2019-02-12 00:00:00",86,110,285,57,268,820.8666666666667,
"2019-02-13 00:00:00",95,108,270,61,288,817,
"2019-02-14 00:00:00",94,121,307,56,314,818.5,
"2019-02-15 00:00:00",87,128,276,53,261,815.3333333333334,
"2019-02-16 00:00:00",59,80,211,41,253,808.9666666666667,
"2019-02-17 00:00:00",65,108,271,69,292,806.4,
"2019-02-18 00:00:00",96,133,340,56,381,816.2,
"2019-02-19 00:00:00",108,109,250,62,278,816.3333333333334,
"2019-02-20 00:00:00",110,102,240,52,299,812.7333333333333,
"2019-02-21 00:00:00",105,126,305,57,300,812.8666666666667,
"2019-02-22 00:00:00",88,109,280,65,323,813.9,
"2019-02-23 00:00:00",72,76,216,49,242,806.3333333333334,
"2019-02-24 00:00:00",82,126,292,80,296,805.2,
"2019-02-25 00:00:00",92,114,311,67,329,813.8666666666667,
"2019-02-26 00:00:00",136,122,312,67,322,819.9333333333333,
"2019-02-27 00:00:00",112,110,275,60,325,820.8333333333334,
"2019-02-28 00:00:00",125,99,275,61,291,822.8,
"2019-03-01 00:00:00",99,114,277,46,284,820.9,
"2019-03-02 00:00:00",72,96,238,42,252,817.8333333333334,
"2019-03-03 00:00:00",73,97,260,69,274,817.5666666666667,
"2019-03-04 00:00:00",96,116,264,59,256,821.8,
"2019-03-05 00:00:00",126,100,281,57,288,824.4,
"2019-03-06 00:00:00",109,103,290,59,290,823.2333333333333,
"2019-03-07 00:00:00",125,114,258,55,286,822.2,
"2019-03-08 00:00:00",112,118,261,43,294,822.9333333333333,
"2019-03-09 00:00:00",75,80,241,50,269,818.1333333333333,
"2019-03-10 00:00:00",71,96,247,70,236,814.9333333333333,
"2019-03-11 00:00:00",110,96,236,44,256,816.1333333333333,
"2019-03-12 00:00:00",112,115,286,67,279,823.2666666666667,
"2019-03-13 00:00:00",108,121,303,45,273,820.7666666666667,
"2019-03-14 00:00:00",119,117,300,64,292,823.6333333333333,
"2019-03-15 00:00:00",101,109,304,58,303,825.4,
"2019-03-16 00:00:00",83,87,228,48,262,819.2666666666667,
"2019-03-17 00:00:00",64,124,275,83,274,819.7666666666667,
"2019-03-18 00:00:00",106,122,332,62,332,830.1,
"2019-03-19 00:00:00",119,106,298,63,298,832.7333333333333,
"2019-03-20 00:00:00",131,107,284,52,305,828.5,
"2019-03-21 00:00:00",106,100,284,57,253,828.2666666666667,
"2019-03-22 00:00:00",102,106,280,59,308,830,
"2019-03-23 00:00:00",79,85,212,46,266,823.1666666666666,
"2019-03-24 00:00:00",66,101,296,76,286,821.8333333333334,
"2019-03-25 00:00:00",107,131,316,74,351,832.6333333333333,
"2019-03-26 00:00:00",105,108,314,68,301,833.3,
"2019-03-27 00:00:00",124,106,301,63,290,832.3333333333334,
"2019-03-28 00:00:00",119,112,287,75,293,829.9,
"2019-03-29 00:00:00",104,105,295,61,306,829.5333333333333,
"2019-03-30 00:00:00",55,88,235,40,248,823.3666666666667,
"2019-03-31 00:00:00",60,105,228,62,236,819.0666666666667,
"2019-04-01 00:00:00",103,115,291,57,329,825.5666666666667,
"2019-04-02 00:00:00",127,118,281,52,288,828.6666666666666,
"2019-04-03 00:00:00",126,99,298,56,295,831.4333333333333,
"2019-04-04 00:00:00",127,124,306,51,294,833.1,
"2019-04-05 00:00:00",100,110,240,49,257,829.9333333333333,
"2019-04-06 00:00:00",70,71,229,36,247,823.7666666666667,
"2019-04-07 00:00:00",74,117,288,64,269,823.2333333333333,
"2019-04-08 00:00:00",115,121,299,63,309,829.6333333333333,
"2019-04-09 00:00:00",117,96,287,60,262,833.0333333333333,
"2019-04-10 00:00:00",122,93,242,48,289,834.7666666666667,
"2019-04-11 00:00:00",126,111,280,66,270,834.5666666666667,
"2019-04-12 00:00:00",112,113,305,53,295,835.5,
"2019-04-13 00:00:00",88,96,226,36,249,828.9333333333333,
"2019-04-14 00:00:00",22,99,212,45,277,821.6,
"2019-04-15 00:00:00",82,124,294,57,315,827.0666666666667,
"2019-04-16 00:00:00",131,112,304,58,313,830.3333333333334,
"2019-04-17 00:00:00",130,116,298,48,311,828.6333333333333,
"2019-04-18 00:00:00",128,138,328,58,312,831.3,
"2019-04-19 00:00:00",123,101,296,54,308,831.4,
"2019-04-20 00:00:00",80,84,224,46,276,828.4,
"2019-04-21 00:00:00",69,123,280,75,274,827.2666666666667,
"2019-04-22 00:00:00",98,120,338,56,342,836.1333333333333,
"2019-04-23 00:00:00",139,109,287,74,295,838.7666666666667,
"2019-04-24 00:00:00",123,103,282,63,312,835.5666666666667,
"2019-04-25 00:00:00",127,123,314,69,309,837.1,
"2019-04-26 00:00:00",104,100,263,48,279,834.1,
"2019-04-27 00:00:00",100,76,199,47,248,826.9,
"2019-04-28 00:00:00",56,83,190,43,250,818.6,
"2019-04-29 00:00:00",63,86,215,32,264,818.4,
