"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","30-day Moving Average","Prior Year: 30-day Moving Average"
"2019-01-01 00:00:00",20204,0,3843,0,694,,
"2019-01-02 00:00:00",10494,130815,0,0,41705,,
"2019-01-03 00:00:00",11770,110011,2506,0,41821,,
"2019-01-04 00:00:00",21279,0,2484,0,0,,
"2019-01-05 00:00:00",4495,79282,0,0,0,,
"2019-01-06 00:00:00",4636,267384,0,0,1227,,
"2019-01-07 00:00:00",0,87411,1965,0,0,,
"2019-01-08 00:00:00",18797,0,0,819,1157,,
"2019-01-09 00:00:00",11195,32743,1965,0,0,,
"2019-01-10 00:00:00",18194,0,1877,5109,0,,
"2019-01-11 00:00:00",0,43807,0,0,0,,
"2019-01-12 00:00:00",5277,136253,1324,49,1369,,
"2019-01-13 00:00:00",0,100227,1676,0,0,,
"2019-01-14 00:00:00",11998,40165,1965,0,1369,,
"2019-01-15 00:00:00",13733,0,5811,0,28013,,
"2019-01-16 00:00:00",18661,0,1965,162,619,,
"2019-01-17 00:00:00",1175,0,0,0,0,,
"2019-01-18 00:00:00",1738,179379,4652,0,0,,
"2019-01-19 00:00:00",857,97608,1965,0,42979,,
"2019-01-20 00:00:00",1556,18873,0,0,0,,
"2019-01-21 00:00:00",1365,51744,5902,162,1085,,
"2019-01-22 00:00:00",17805,106883,720,0,1227,,
"2019-01-23 00:00:00",17114,109949,1965,3073,0,,
"2019-01-24 00:00:00",20146,0,5505,0,0,,
"2019-01-25 00:00:00",6915,98155,0,0,1116,,
"2019-01-26 00:00:00",0,0,0,0,0,,
"2019-01-27 00:00:00",3229,0,1965,162,0,,
"2019-01-28 00:00:00",7068,0,1965,0,0,,
"2019-01-29 00:00:00",7467,104619,9389,0,0,,
"2019-01-30 00:00:00",17078,111042,0,0,1369,80577,
"2019-01-31 00:00:00",7976,79811,0,0,0,82678.53333333334,
"2019-02-01 00:00:00",9131,0,1965,0,41821,78342.03333333334,
"2019-02-02 00:00:00",6555,224480,0,0,774,80532,
"2019-02-03 00:00:00",5416,0,3460,0,0,80035.8,
"2019-02-04 00:00:00",0,113684,221,0,0,81040.06666666667,
"2019-02-05 00:00:00",28219,49931,0,0,1369,74582.53333333334,
"2019-02-06 00:00:00",21004,127952,3426,0,0,76682.73333333334,
"2019-02-07 00:00:00",0,126098,1965,2520,775,80368.93333333333,
"2019-02-08 00:00:00",4636,97748,0,0,0,82251.6,
"2019-02-09 00:00:00",14757,38942,0,0,0,83202.23333333334,
"2019-02-10 00:00:00",0,0,0,0,1157,81780.56666666667,
"2019-02-11 00:00:00",8378,120386,1965,0,0,81329.16666666667,
"2019-02-12 00:00:00",13197,108111,960,0,41985,83407.53333333334,
"2019-02-13 00:00:00",6926,0,0,0,0,81788.46666666666,
"2019-02-14 00:00:00",0,58553,0,2041,0,82223.03333333334,
"2019-02-15 00:00:00",0,0,0,0,0,81509.46666666666,
"2019-02-16 00:00:00",14311,297509,8163,162,0,92141.83333333333,
"2019-02-17 00:00:00",4636,83973,349,0,0,88914.8,
"2019-02-18 00:00:00",6336,70905,0,0,1700,86765.86666666667,
"2019-02-19 00:00:00",17750,89586,1965,0,0,89728.3,
"2019-02-20 00:00:00",8760,153008,561,0,0,93130.7,
"2019-02-21 00:00:00",1174,56923,0,0,465,90861.53333333334,
