"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","30-day Moving Average","Prior Year: 30-day Moving Average"
"2019-01-01 00:00:00",0,41886,901,0,0,,
"2019-01-02 00:00:00",0,0,0,0,123384,,
"2019-01-03 00:00:00",0,3008,0,0,40125,,
"2019-01-04 00:00:00",0,0,0,0,116872,,
"2019-01-05 00:00:00",818,3008,0,0,0,,
"2019-01-06 00:00:00",237,3008,0,0,100709,,
"2019-01-07 00:00:00",0,2653,901,0,22471,,
"2019-01-08 00:00:00",1070,0,0,593,50262,,
"2019-01-09 00:00:00",0,0,901,0,111951,,
"2019-01-10 00:00:00",1022,15001,0,0,51473,,
"2019-01-11 00:00:00",0,0,0,0,240693,,
"2019-01-12 00:00:00",0,0,0,39,108157,,
"2019-01-13 00:00:00",0,3008,0,0,95607,,
"2019-01-14 00:00:00",0,3008,901,0,68870,,
"2019-01-15 00:00:00",818,0,0,0,13485,,
"2019-01-16 00:00:00",475,0,901,80,79055,,
"2019-01-17 00:00:00",525,0,0,0,51276,,
"2019-01-18 00:00:00",0,3008,0,0,5006,,
"2019-01-19 00:00:00",0,3008,12991,0,70550,,
"2019-01-20 00:00:00",1824,2653,0,0,1085,,
"2019-01-21 00:00:00",0,0,0,80,104364,,
"2019-01-22 00:00:00",818,0,0,0,66933,,
"2019-01-23 00:00:00",237,3008,901,0,138920,,
"2019-01-24 00:00:00",237,0,0,0,84170,,
"2019-01-25 00:00:00",0,5661,0,0,93649,,
"2019-01-26 00:00:00",0,0,0,0,59492,,
"2019-01-27 00:00:00",0,0,901,80,110989,,
"2019-01-28 00:00:00",818,0,901,0,72506,,
"2019-01-29 00:00:00",0,0,0,0,95730,,
"2019-01-30 00:00:00",0,0,0,0,776,76681.76666666666,
"2019-01-31 00:00:00",818,0,0,0,72169,77688.4,
"2019-02-01 00:00:00",1055,0,901,0,69210,75947.8,
"2019-02-02 00:00:00",237,0,0,0,75757,77043.16666666667,
"2019-02-03 00:00:00",0,15836,656,0,259697,82353.76666666666,
"2019-02-04 00:00:00",0,13638,0,0,56816,84574.7,
"2019-02-05 00:00:00",0,16387,3414,0,23304,82546.4,
"2019-02-06 00:00:00",237,3008,0,0,46214,83327.53333333334,
"2019-02-07 00:00:00",524,0,1284,0,59477,83639.5,
"2019-02-08 00:00:00",237,0,0,0,51703,81609.1,
"2019-02-09 00:00:00",818,0,0,0,59861,81381.86666666667,
"2019-02-10 00:00:00",0,0,0,0,49325,75002.93333333333,
"2019-02-11 00:00:00",895,2653,901,0,51442,73259.43333333333,
"2019-02-12 00:00:00",0,0,0,0,149192,74945.33333333333,
"2019-02-13 00:00:00",7725,0,0,0,620,72797.53333333334,
"2019-02-14 00:00:00",5251,0,0,0,49028,74130.06666666667,
"2019-02-15 00:00:00",5101,0,0,0,81598,74336.33333333333,
"2019-02-16 00:00:00",0,3008,0,80,5470,72894.93333333333,
"2019-02-17 00:00:00",237,3008,0,0,98914,76033.1,
"2019-02-18 00:00:00",0,0,0,0,77930,75745.76666666666,
"2019-02-19 00:00:00",818,3008,901,0,67522,77968.7,
"2019-02-20 00:00:00",0,0,0,0,62697,76577.13333333333,
"2019-02-21 00:00:00",4907,32517,0,0,166933,81130.73333333334,
"2019-02-22 00:00:00",0,0,0,0,63533,78479.63333333333,
