"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","30-day Moving Average","Prior Year: 30-day Moving Average"
"2019-01-01 00:00:00",3,2,2,0,2,,
"2019-01-02 00:00:00",2,2,0,0,4,,
"2019-01-03 00:00:00",3,3,1,0,4,,
"2019-01-04 00:00:00",2,0,1,0,4,,
"2019-01-05 00:00:00",1,2,0,3,2,,
"2019-01-06 00:00:00",1,5,0,0,3,,
"2019-01-07 00:00:00",0,3,1,0,2,,
"2019-01-08 00:00:00",2,0,0,1,3,,
"2019-01-09 00:00:00",2,1,1,0,2,,
"2019-01-10 00:00:00",5,1,1,1,2,,
"2019-01-11 00:00:00",0,1,0,1,3,,
"2019-01-12 00:00:00",1,3,1,1,3,,
"2019-01-13 00:00:00",0,2,1,1,2,,
"2019-01-14 00:00:00",1,1,2,1,3,,
"2019-01-15 00:00:00",2,1,2,0,2,,
"2019-01-16 00:00:00",3,0,1,2,5,,
"2019-01-17 00:00:00",3,0,0,0,2,,
"2019-01-18 00:00:00",1,4,1,0,1,,
"2019-01-19 00:00:00",1,2,2,0,6,,
"2019-01-20 00:00:00",2,1,0,0,1,,
"2019-01-21 00:00:00",1,1,1,2,3,,
"2019-01-22 00:00:00",2,2,1,0,2,,
"2019-01-23 00:00:00",3,2,1,2,4,,
"2019-01-24 00:00:00",3,1,2,1,2,,
"2019-01-25 00:00:00",1,3,0,0,4,,
"2019-01-26 00:00:00",0,0,0,1,1,,
"2019-01-27 00:00:00",1,1,1,2,2,,
"2019-01-28 00:00:00",3,0,1,1,2,,
"2019-01-29 00:00:00",1,4,3,0,6,,
"2019-01-30 00:00:00",2,3,0,0,1,7.766666666666667,
"2019-01-31 00:00:00",2,2,0,0,2,7.666666666666667,
"2019-02-01 00:00:00",2,0,1,1,3,7.633333333333334,
"2019-02-02 00:00:00",2,4,0,0,2,7.533333333333333,
"2019-02-03 00:00:00",2,1,3,1,3,7.633333333333334,
"2019-02-04 00:00:00",0,5,1,0,1,7.6,
"2019-02-05 00:00:00",2,2,1,1,3,7.6,
"2019-02-06 00:00:00",3,3,1,1,2,7.733333333333333,
"2019-02-07 00:00:00",1,2,2,1,4,7.866666666666666,
"2019-02-08 00:00:00",2,2,0,0,3,7.9,
"2019-02-09 00:00:00",3,2,0,1,2,7.833333333333333,
"2019-02-10 00:00:00",0,1,0,1,2,7.8,
"2019-02-11 00:00:00",2,4,2,0,2,7.833333333333333,
"2019-02-12 00:00:00",1,3,2,1,7,8.1,
"2019-02-13 00:00:00",3,0,0,0,1,7.966666666666667,
"2019-02-14 00:00:00",3,1,0,2,1,7.966666666666667,
"2019-02-15 00:00:00",1,1,0,1,1,7.733333333333333,
"2019-02-16 00:00:00",2,8,2,1,2,8.066666666666666,
"2019-02-17 00:00:00",1,3,1,0,2,8.066666666666666,
"2019-02-18 00:00:00",1,1,0,0,3,7.866666666666666,
"2019-02-19 00:00:00",2,2,1,1,1,7.966666666666667,
"2019-02-20 00:00:00",2,3,2,0,3,8.033333333333333,
"2019-02-21 00:00:00",4,4,0,1,3,8.2,
"2019-02-22 00:00:00",2,1,2,0,3,8.066666666666666,
"2019-02-23 00:00:00",0,1,0,0,2,7.866666666666666,
"2019-02-24 00:00:00",2,2,0,0,2,7.8,
"2019-02-25 00:00:00",0,2,1,0,0,7.833333333333333,
"2019-02-26 00:00:00",1,1,0,2,4,7.866666666666666,
"2019-02-27 00:00:00",4,4,0,1,2,8,
"2019-02-28 00:00:00",1,5,1,0,3,7.866666666666666,
"2019-03-01 00:00:00",0,0,0,2,0,7.733333333333333,
"2019-03-02 00:00:00",3,3,2,1,4,7.966666666666667,
"2019-03-03 00:00:00",1,5,0,2,3,8.1,
"2019-03-04 00:00:00",0,1,0,1,1,7.933333333333334,
"2019-03-05 00:00:00",3,2,1,0,3,7.9,
"2019-03-06 00:00:00",3,3,0,1,3,8,
"2019-03-07 00:00:00",0,3,2,1,2,7.966666666666667,
"2019-03-08 00:00:00",4,3,2,0,1,7.966666666666667,
"2019-03-09 00:00:00",2,1,1,1,4,7.933333333333334,
"2019-03-10 00:00:00",2,1,1,0,3,7.933333333333334,
"2019-03-11 00:00:00",2,5,0,0,3,8,
"2019-03-12 00:00:00",1,2,2,0,4,8.166666666666666,
"2019-03-13 00:00:00",2,1,1,1,3,8.1,
"2019-03-14 00:00:00",1,2,1,1,0,7.8,
"2019-03-15 00:00:00",2,3,1,1,4,8.033333333333333,
"2019-03-16 00:00:00",2,1,1,0,2,8,
"2019-03-17 00:00:00",3,1,1,0,1,8.066666666666666,
"2019-03-18 00:00:00",1,4,1,1,4,7.933333333333334,
"2019-03-19 00:00:00",2,2,3,1,1,8,
"2019-03-20 00:00:00",2,3,1,1,2,8.133333333333333,
"2019-03-21 00:00:00",1,0,1,1,3,8.1,
"2019-03-22 00:00:00",3,4,0,0,3,8.1,
"2019-03-23 00:00:00",0,3,2,1,3,8,
"2019-03-24 00:00:00",1,0,0,0,1,7.8,
"2019-03-25 00:00:00",0,1,0,1,1,7.8,
"2019-03-26 00:00:00",5,0,0,0,9,8.066666666666666,
"2019-03-27 00:00:00",2,3,3,0,0,8.233333333333333,
"2019-03-28 00:00:00",1,2,0,1,4,8.233333333333333,
"2019-03-29 00:00:00",2,3,0,0,3,8.133333333333333,
"2019-03-30 00:00:00",2,1,1,1,1,8,
"2019-03-31 00:00:00",0,0,0,0,1,7.966666666666667,
"2019-04-01 00:00:00",3,3,0,0,4,7.866666666666666,
"2019-04-02 00:00:00",1,5,0,0,4,7.833333333333333,
"2019-04-03 00:00:00",3,1,1,0,2,7.966666666666667,
"2019-04-04 00:00:00",2,3,1,0,2,7.933333333333334,
"2019-04-05 00:00:00",1,2,1,1,0,7.766666666666667,
"2019-04-06 00:00:00",0,3,0,1,3,7.733333333333333,
"2019-04-07 00:00:00",3,3,0,0,3,7.7,
"2019-04-08 00:00:00",2,2,1,0,1,7.6,
"2019-04-09 00:00:00",3,3,0,0,2,7.633333333333334,
"2019-04-10 00:00:00",2,1,2,0,4,7.6,
"2019-04-11 00:00:00",3,0,0,3,3,7.6,
"2019-04-12 00:00:00",0,1,0,1,3,7.5,
"2019-04-13 00:00:00",1,6,1,0,2,7.666666666666667,
"2019-04-14 00:00:00",3,2,0,0,1,7.5,
"2019-04-15 00:00:00",2,1,1,1,4,7.6,
"2019-04-16 00:00:00",1,2,0,1,2,7.6,
"2019-04-17 00:00:00",3,1,2,2,5,7.666666666666667,
"2019-04-18 00:00:00",1,0,0,0,1,7.433333333333334,
"2019-04-19 00:00:00",2,3,0,1,2,7.4,
"2019-04-20 00:00:00",3,3,3,1,1,7.566666666666666,
"2019-04-21 00:00:00",0,4,1,2,4,7.6,
"2019-04-22 00:00:00",1,1,2,0,2,7.5,
"2019-04-23 00:00:00",2,4,0,0,4,7.766666666666667,
"2019-04-24 00:00:00",2,1,0,0,2,7.833333333333333,
"2019-04-25 00:00:00",2,4,0,0,5,7.733333333333333,
"2019-04-26 00:00:00",1,1,4,3,2,7.833333333333333,
"2019-04-27 00:00:00",2,2,0,1,1,7.766666666666667,
"2019-04-28 00:00:00",2,2,2,1,5,7.9,
"2019-04-29 00:00:00",1,3,0,2,1,7.933333333333334,
"2019-04-30 00:00:00",1,0,1,0,3,8.066666666666666,
"2019-05-01 00:00:00",2,4,3,1,1,8.1,
"2019-05-02 00:00:00",3,3,1,1,1,8.066666666666666,
"2019-05-03 00:00:00",4,2,0,2,3,8.2,
"2019-05-04 00:00:00",1,4,1,2,4,8.333333333333334,
"2019-05-05 00:00:00",1,3,0,2,3,8.466666666666667,
"2019-05-06 00:00:00",0,0,2,0,2,8.366666666666667,
"2019-05-07 00:00:00",0,2,2,0,2,8.266666666666667,
"2019-05-08 00:00:00",4,4,0,1,1,8.4,
"2019-05-09 00:00:00",2,0,1,0,3,8.333333333333334,
"2019-05-10 00:00:00",2,2,1,0,4,8.333333333333334,
"2019-05-11 00:00:00",1,3,3,2,6,8.533333333333333,
"2019-05-12 00:00:00",0,1,1,0,1,8.466666666666667,
"2019-05-13 00:00:00",3,2,0,0,2,8.366666666666667,
"2019-05-14 00:00:00",1,4,1,0,3,8.466666666666667,
"2019-05-15 00:00:00",2,0,1,2,2,8.4,
"2019-05-16 00:00:00",3,2,0,0,5,8.533333333333333,
"2019-05-17 00:00:00",1,1,0,1,2,8.266666666666667,
"2019-05-18 00:00:00",1,3,0,0,2,8.4,
"2019-05-19 00:00:00",0,1,0,1,2,8.266666666666667,
"2019-05-20 00:00:00",0,4,1,0,6,8.266666666666667,
"2019-05-21 00:00:00",2,2,0,0,1,8.066666666666666,
"2019-05-22 00:00:00",4,4,1,1,2,8.266666666666667,
"2019-05-23 00:00:00",1,0,0,0,2,8.033333333333333,
"2019-05-24 00:00:00",2,4,0,1,2,8.166666666666666,
"2019-05-25 00:00:00",1,4,1,1,1,8.066666666666666,
"2019-05-26 00:00:00",0,1,1,3,3,7.966666666666667,
"2019-05-27 00:00:00",2,1,1,0,3,8,
"2019-05-28 00:00:00",2,2,2,0,2,7.866666666666666,
"2019-05-29 00:00:00",1,5,2,1,4,8.066666666666666,
"2019-05-30 00:00:00",1,0,1,0,3,8.066666666666666,
"2019-05-31 00:00:00",1,2,0,0,0,7.8,
"2019-06-01 00:00:00",1,1,0,0,6,7.766666666666667,
