"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","30-day Moving Average","Prior Year: 30-day Moving Average"
"2019-01-01 00:00:00",10596,62221,3041,191,0,,
"2019-01-02 00:00:00",9291,79801,2314,0,3141,,
"2019-01-03 00:00:00",24280,45476,292,0,14671,,
"2019-01-04 00:00:00",44679,0,0,0,2121,,
"2019-01-05 00:00:00",4645,18259,0,0,33998,,
"2019-01-06 00:00:00",12388,65902,0,0,0,,
"2019-01-07 00:00:00",9291,85836,0,191,0,,
"2019-01-08 00:00:00",13937,101569,6212,0,40361,,
"2019-01-09 00:00:00",4645,66249,1584,662,42592,,
"2019-01-10 00:00:00",4645,94534,11647,0,0,,
"2019-01-11 00:00:00",0,0,292,0,0,,
"2019-01-12 00:00:00",31960,221106,12359,2255,0,,
"2019-01-13 00:00:00",5692,65902,1086,0,4780,,
"2019-01-14 00:00:00",9291,65902,4395,191,0,,
"2019-01-15 00:00:00",10285,124959,292,191,2078,,
"2019-01-16 00:00:00",26407,98854,292,853,0,,
"2019-01-17 00:00:00",0,62226,292,0,0,,
"2019-01-18 00:00:00",16713,0,2314,471,0,,
"2019-01-19 00:00:00",27805,0,0,0,0,,
"2019-01-20 00:00:00",9291,0,0,0,0,,
"2019-01-21 00:00:00",25594,32951,2314,3322,0,,
"2019-01-22 00:00:00",4645,33298,1160,0,0,,
"2019-01-23 00:00:00",4645,0,2840,191,49640,,
"2019-01-24 00:00:00",12381,166000,5669,0,3796,,
"2019-01-25 00:00:00",5692,0,3426,0,0,,
"2019-01-26 00:00:00",17369,103854,0,191,8310,,
"2019-01-27 00:00:00",13758,71777,2666,0,1871,,
"2019-01-28 00:00:00",13701,0,1328,0,670,,
"2019-01-29 00:00:00",1910,90081,0,191,0,,
"2019-01-30 00:00:00",16448,62157,0,3002,189,83228.36666666667,
"2019-01-31 00:00:00",3060,96226,3076,0,3796,84232.03333333334,
"2019-02-01 00:00:00",18774,0,0,471,1871,81784.3,
"2019-02-02 00:00:00",9291,32951,292,662,1871,80462.63333333333,
"2019-02-03 00:00:00",16950,0,0,0,0,79467.63333333333,
"2019-02-04 00:00:00",33442,3277,120,0,0,78798.83333333333,
"2019-02-05 00:00:00",27335,0,0,0,0,77100.33333333333,
"2019-02-06 00:00:00",10135,32951,0,0,3950,75490.93333333333,
"2019-02-07 00:00:00",0,124634,13991,191,0,74715.5,
"2019-02-08 00:00:00",18920,48787,0,0,0,73114.6,
"2019-02-09 00:00:00",19461,211381,292,0,3743,77249.66666666667,
"2019-02-10 00:00:00",20925,0,13970,0,670,78425.46666666666,
"2019-02-11 00:00:00",17238,74320,2169,0,0,72627.03333333334,
"2019-02-12 00:00:00",0,0,6315,0,0,70255.46666666666,
"2019-02-13 00:00:00",30221,62221,0,0,6438,70892.16666666667,
"2019-02-14 00:00:00",28100,151019,120,0,1732,72331.06666666667,
"2019-02-15 00:00:00",18484,42271,225,0,3743,70274.96666666666,
"2019-02-16 00:00:00",11039,32436,0,662,0,69662.26666666666,
"2019-02-17 00:00:00",13937,50819,0,0,0,71170.86666666667,
"2019-02-18 00:00:00",12180,124078,0,0,1732,74843.73333333334,
"2019-02-19 00:00:00",4645,49022,2839,0,3950,76549.23333333334,
