"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","30-day Moving Average","Prior Year: 30-day Moving Average"
"2019-01-01 00:00:00",3502,51369,0,63,0,,
"2019-01-02 00:00:00",11022,84198,3082,0,354705,,
"2019-01-03 00:00:00",4419,0,19,0,133135,,
"2019-01-04 00:00:00",7921,0,0,0,92176,,
"2019-01-05 00:00:00",1751,0,0,0,180509,,
"2019-01-06 00:00:00",3502,22531,0,0,161757,,
"2019-01-07 00:00:00",3502,11265,0,63,185056,,
"2019-01-08 00:00:00",5254,0,8311,0,295545,,
"2019-01-09 00:00:00",1751,45801,2147,141,222236,,
"2019-01-10 00:00:00",1751,11265,0,0,177442,,
"2019-01-11 00:00:00",0,0,19,0,0,,
"2019-01-12 00:00:00",6170,0,9086,0,178685,,
"2019-01-13 00:00:00",6170,22531,303,0,79391,,
"2019-01-14 00:00:00",3502,54799,3624,63,95803,,
"2019-01-15 00:00:00",1751,1603,19,63,123194,,
"2019-01-16 00:00:00",7005,33797,4259,204,169446,,
"2019-01-17 00:00:00",0,31187,19,0,68046,,
"2019-01-18 00:00:00",262,39713,3082,78,0,,
"2019-01-19 00:00:00",1751,28297,0,0,0,,
"2019-01-20 00:00:00",7121,0,0,0,39819,,
"2019-01-21 00:00:00",4419,11265,3082,0,0,,
"2019-01-22 00:00:00",1751,47103,88,0,405505,,
"2019-01-23 00:00:00",14249,334,38,63,167339,,
"2019-01-24 00:00:00",36870,11631,17995,0,97368,,
"2019-01-25 00:00:00",6170,0,0,0,308769,,
"2019-01-26 00:00:00",1751,13091,0,9202,184519,,
"2019-01-27 00:00:00",1751,0,580,0,195874,,
"2019-01-28 00:00:00",8182,0,19,2451,189321,,
"2019-01-29 00:00:00",0,0,0,63,203603,,
"2019-01-30 00:00:00",1751,0,0,63,248872,176773.56666666668,
"2019-01-31 00:00:00",8195,59282,3151,0,266452,186178.43333333332,
"2019-02-01 00:00:00",3278,45340,0,78,118682,176657.43333333332,
"2019-02-02 00:00:00",14926,11265,19,141,40666,174305.66666666666,
"2019-02-03 00:00:00",1751,0,0,0,0,171027.46666666667,
"2019-02-04 00:00:00",3502,51149,50,0,0,166775.5,
"2019-02-05 00:00:00",3339,38376,0,0,86638,164794.26666666666,
"2019-02-06 00:00:00",0,11265,0,0,300308,168517.16666666666,
"2019-02-07 00:00:00",0,22531,0,63,97852,162228.33333333334,
"2019-02-08 00:00:00",1751,11265,0,0,59492,155575.96666666667,
"2019-02-09 00:00:00",12945,24357,19,0,383712,163261.83333333334,
"2019-02-10 00:00:00",23467,45352,5229,0,40298,167072.76666666666,
"2019-02-11 00:00:00",4419,42366,2185,0,140060,166909.06666666668,
"2019-02-12 00:00:00",3205,0,0,0,197669,169991.66666666666,
"2019-02-13 00:00:00",0,0,0,0,186941,170963.26666666666,
"2019-02-14 00:00:00",4419,0,50,0,374059,179359.9,
"2019-02-15 00:00:00",11052,74417,284,0,188381,181340.63333333333,
"2019-02-16 00:00:00",30977,81495,577,141,150022,186806.03333333333,
"2019-02-17 00:00:00",5254,0,0,0,21563,186262.1,
"2019-02-18 00:00:00",4419,22531,0,0,190499,192508.83333333334,
"2019-02-19 00:00:00",1751,0,0,0,170103,196672.63333333333,
"2019-02-20 00:00:00",1751,11265,19,0,32176,197554.13333333333,
"2019-02-21 00:00:00",6170,0,0,0,148905,187575.03333333333,
"2019-02-22 00:00:00",13632,49790,19,0,160260,188964.3,
"2019-02-23 00:00:00",14764,11265,19,0,326149,195242.06666666668,
"2019-02-24 00:00:00",10589,51390,0,141,206360,193693.53333333333,
"2019-02-25 00:00:00",1751,14589,561,0,127553,191556.56666666668,
"2019-02-26 00:00:00",14764,22531,0,0,183024,192293.73333333334,
"2019-02-27 00:00:00",6635,51392,0,63,86792,190457.43333333332,
"2019-02-28 00:00:00",6170,28954,3624,0,147702,189883.6,
"2019-03-01 00:00:00",1751,11265,542,0,31584,183032.16666666666,
"2019-03-02 00:00:00",7921,0,3082,0,197674,178752.06666666668,
"2019-03-03 00:00:00",3134,33099,0,0,0,174380.5,
"2019-03-04 00:00:00",0,11265,38,0,92570,175608.96666666667,
"2019-03-05 00:00:00",20584,23636,0,63,206158,183898.66666666666,
"2019-03-06 00:00:00",5678,11265,561,0,170297,188335.4,
"2019-03-07 00:00:00",4419,0,0,63,207867,191135.26666666666,
"2019-03-08 00:00:00",0,63193,0,0,238253,190797.7,
"2019-03-09 00:00:00",0,0,0,0,222323,194193.6,
"2019-03-10 00:00:00",9386,28110,2924,0,132671,197546.36666666667,
"2019-03-11 00:00:00",4592,51681,38,0,458349,200667.2,
"2019-03-12 00:00:00",0,18661,3101,126,162932,203016.36666666667,
"2019-03-13 00:00:00",4419,39357,19,0,73122,200612.56666666668,
"2019-03-14 00:00:00",6170,22531,5398,0,74239,197528.1,
"2019-03-15 00:00:00",6632,11265,11041,0,219551,199579.76666666666,
"2019-03-16 00:00:00",3119,60176,5229,141,198567,195869.9,
"2019-03-17 00:00:00",6170,4035,3082,0,202080,193911,
"2019-03-18 00:00:00",6170,11265,542,0,100954,189101.6,
"2019-03-19 00:00:00",0,11265,0,0,269613,197570.33333333334,
"2019-03-20 00:00:00",0,0,0,0,213595,197441.83333333334,
"2019-03-21 00:00:00",22350,0,1005,78,91016,195528.36666666667,
"2019-03-22 00:00:00",1751,55883,4854,0,40914,197468.1,
"2019-03-23 00:00:00",1751,0,0,78,167942,197958,
"2019-03-24 00:00:00",2277,11265,2892,0,120400,195062.46666666667,
"2019-03-25 00:00:00",1751,0,0,0,26409,184261.2,
"2019-03-26 00:00:00",0,11265,625,0,411824,189435.56666666668,
"2019-03-27 00:00:00",1897,0,0,0,0,184683.63333333333,
"2019-03-28 00:00:00",10589,42857,19,0,108982,182754.6,
"2019-03-29 00:00:00",8637,60839,0,0,1095,180277.53333333333,
"2019-03-30 00:00:00",1228,0,0,78,15145,174610.9,
"2019-03-31 00:00:00",1751,0,7746,63,40119,174762.1,
"2019-04-01 00:00:00",6170,21779,0,0,120440,172752.46666666667,
"2019-04-02 00:00:00",0,20584,0,3239,190916,178702.7,
"2019-04-03 00:00:00",897,0,0,0,27100,176173.46666666667,
"2019-04-04 00:00:00",6170,0,9808,0,249570,176677.03333333333,
"2019-04-05 00:00:00",4419,0,177,0,78862,173198.93333333332,
"2019-04-06 00:00:00",1629,36589,0,0,194967,173893.43333333332,
"2019-04-07 00:00:00",0,115186,20135,0,62063,170424.7,
"2019-04-08 00:00:00",4419,11265,2245,0,440097,178281.5,
"2019-04-09 00:00:00",1751,0,0,63,447072,187474.66666666666,
"2019-04-10 00:00:00",1944,11265,0,0,79639,173414.26666666666,
"2019-04-11 00:00:00",0,22531,0,0,21563,168723.33333333334,
"2019-04-12 00:00:00",1751,31958,0,0,333640,177071.1,
"2019-04-13 00:00:00",0,32543,19,78,385299,187391.06666666668,
"2019-04-14 00:00:00",5714,11265,0,0,105090,183177.03333333333,
"2019-04-15 00:00:00",0,48902,0,0,160244,181240.76666666666,
"2019-04-16 00:00:00",0,0,4295,63,140159,178879.06666666668,
"2019-04-17 00:00:00",0,11265,3082,63,121436,179442.9,
"2019-04-18 00:00:00",11058,11265,0,0,230225,178498.56666666668,
"2019-04-19 00:00:00",0,26846,3559,0,198705,179015.8,
"2019-04-20 00:00:00",5674,0,0,63,38686,176681.56666666668,
"2019-04-21 00:00:00",0,44648,2125,78,171857,180525.06666666668,
"2019-04-22 00:00:00",5473,1826,0,0,166915,180673.13333333333,
"2019-04-23 00:00:00",0,32829,0,0,0,177206.26666666666,
"2019-04-24 00:00:00",0,13560,3082,0,135130,181326.7,
"2019-04-25 00:00:00",4419,0,19,63,384865,180181.76666666666,
"2019-04-26 00:00:00",1751,66674,19,0,258879,191029.3,
"2019-04-27 00:00:00",11285,0,19,0,165264,191499.96666666667,
