"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","30-day Moving Average","Prior Year: 30-day Moving Average"
"2019-01-01 00:00:00",301942,119647,362,2705,162296,,
"2019-01-02 00:00:00",126861,126807,5835,1031,55651,,
"2019-01-03 00:00:00",115341,19227,0,2120,93852,,
"2019-01-04 00:00:00",50321,0,1618,836,169234,,
"2019-01-05 00:00:00",165857,113215,7137,8323,251638,,
"2019-01-06 00:00:00",117606,0,8676,4238,311028,,
"2019-01-07 00:00:00",108103,90718,3674,500,42915,,
"2019-01-08 00:00:00",75853,53584,0,586,305149,,
"2019-01-09 00:00:00",71428,126265,101,836,93430,,
"2019-01-10 00:00:00",41931,139917,0,7909,10753,,
"2019-01-11 00:00:00",64619,49255,2501,586,26203,,
"2019-01-12 00:00:00",133462,139508,702,2557,182976,,
"2019-01-13 00:00:00",214968,114212,7548,3213,28715,,
"2019-01-14 00:00:00",96721,229594,2179,1503,628713,,
"2019-01-15 00:00:00",310616,190366,0,586,67981,,
"2019-01-16 00:00:00",66924,40808,660,250,69429,,
"2019-01-17 00:00:00",81915,0,0,0,91530,,
"2019-01-18 00:00:00",124353,27443,5831,5474,202134,,
"2019-01-19 00:00:00",140497,84735,1945,5435,42626,,
"2019-01-20 00:00:00",141652,0,2675,4617,110556,,
"2019-01-21 00:00:00",166851,213103,29687,4376,15809,,
"2019-01-22 00:00:00",142118,219994,0,586,182723,,
"2019-01-23 00:00:00",109915,166343,9176,0,7672,,
"2019-01-24 00:00:00",103875,39963,4500,2119,148416,,
"2019-01-25 00:00:00",49555,51745,0,4884,59936,,
"2019-01-26 00:00:00",29881,69245,0,0,44986,,
"2019-01-27 00:00:00",117908,21940,16463,250,78887,,
"2019-01-28 00:00:00",224016,99515,1945,420,32940,,
"2019-01-29 00:00:00",242873,68376,362,3216,201337,,
"2019-01-30 00:00:00",183011,122270,1951,604,17871,352716.5,
"2019-01-31 00:00:00",109794,55328,11600,0,58555,340993.93333333335,
"2019-02-01 00:00:00",38811,46789,3180,0,147383,338326.5,
"2019-02-02 00:00:00",63446,10435,0,1615,193705,339615.23333333334,
"2019-02-03 00:00:00",130043,167187,4264,2119,46541,343886.73333333334,
"2019-02-04 00:00:00",85128,2608,0,2705,126048,332897.3333333333,
"2019-02-05 00:00:00",275252,85475,1330,0,297100,340151,
"2019-02-06 00:00:00",18865,162637,2334,3050,156798,343410.26666666666,
"2019-02-07 00:00:00",113122,0,24514,8194,60998,335798.8,
"2019-02-08 00:00:00",145684,24369,1708,250,41547,333182,
"2019-02-09 00:00:00",54583,73287,6621,2668,95801,334263.7,
"2019-02-10 00:00:00",133999,0,0,1086,181434,340042.13333333336,
"2019-02-11 00:00:00",171760,24369,1708,2551,16430,331962.5,
"2019-02-12 00:00:00",49603,2608,2387,2119,122560,325649.73333333334,
"2019-02-13 00:00:00",19919,128323,362,586,198553,305284.13333333336,
"2019-02-14 00:00:00",221895,102113,0,4707,476601,313143.1,
"2019-02-15 00:00:00",151559,51347,5835,250,137276,318749.63333333336,
"2019-02-16 00:00:00",41921,31030,3148,6397,71078,318087.3,
"2019-02-17 00:00:00",204128,67106,0,1024,28090,315924.4666666667,
"2019-02-18 00:00:00",188623,71796,362,3368,77701,318144.86666666664,
"2019-02-19 00:00:00",111162,134584,0,0,24355,318498.23333333334,
"2019-02-20 00:00:00",233969,69998,27458,14507,303647,325823.4,
"2019-02-21 00:00:00",57093,375486,11218,4566,106556,326140.1,
"2019-02-22 00:00:00",15397,67361,461,2977,75316,321753.7,
"2019-02-23 00:00:00",60092,25278,2035,4166,54742,316668.4,
"2019-02-24 00:00:00",111466,43606,362,0,139323,320956.26666666666,
"2019-02-25 00:00:00",123995,31832,4351,3403,149937,326603.1666666667,
"2019-02-26 00:00:00",184812,54787,8951,250,170608,332735.2,
"2019-02-27 00:00:00",136023,979,3896,250,65130,327649.93333333335,
"2019-02-28 00:00:00",67779,24369,362,586,123114,317651.4666666667,
"2019-03-01 00:00:00",92026,20927,0,2808,50308,312330.1666666667,
"2019-03-02 00:00:00",38080,30931,580,0,123898,310937.23333333334,
"2019-03-03 00:00:00",113074,92364,4674,5644,56269,312132.6666666667,
"2019-03-04 00:00:00",189532,191891,580,2121,283168,325402.4,
"2019-03-05 00:00:00",121032,280256,18049,2241,343189,339222.76666666666,
"2019-03-06 00:00:00",17322,48958,3902,1535,222912,341827.5,
"2019-03-07 00:00:00",79772,0,5733,6759,105335,326442.3,
"2019-03-08 00:00:00",70536,43749,1945,586,215750,326071.6,
