"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","30-day Moving Average","Prior Year: 30-day Moving Average"
"2019-01-01 00:00:00",48610,61818,30,304,430167,,
"2019-01-02 00:00:00",77528,17429,3105,0,190720,,
"2019-01-03 00:00:00",60678,10317,0,251,609679,,
"2019-01-04 00:00:00",132437,53720,0,456,219547,,
"2019-01-05 00:00:00",178441,26456,30,0,1279042,,
"2019-01-06 00:00:00",80362,74467,0,106,580928,,
"2019-01-07 00:00:00",101153,5457,632,1102,650277,,
"2019-01-08 00:00:00",150913,113998,0,251,492710,,
"2019-01-09 00:00:00",103530,40186,1034,456,301958,,
"2019-01-10 00:00:00",61117,14192,1536,304,194152,,
"2019-01-11 00:00:00",57646,104326,1148,251,189976,,
"2019-01-12 00:00:00",132030,110199,13603,0,592195,,
"2019-01-13 00:00:00",40983,103694,5202,0,709825,,
"2019-01-14 00:00:00",42326,19649,4873,363,830575,,
"2019-01-15 00:00:00",92879,13150,0,940,511544,,
"2019-01-16 00:00:00",215362,26457,4113,205,379281,,
"2019-01-17 00:00:00",7514,0,0,0,454747,,
"2019-01-18 00:00:00",127708,52621,0,0,597607,,
"2019-01-19 00:00:00",108488,63311,2641,53,667717,,
"2019-01-20 00:00:00",95715,0,3491,456,42764,,
"2019-01-21 00:00:00",84071,40781,16382,863,1193231,,
"2019-01-22 00:00:00",107278,52716,1419,251,746556,,
"2019-01-23 00:00:00",79075,65830,1023,0,1045968,,
"2019-01-24 00:00:00",115935,0,92,53,976284,,
"2019-01-25 00:00:00",114591,41158,0,53,624744,,
"2019-01-26 00:00:00",47313,28636,0,6123,666374,,
"2019-01-27 00:00:00",112724,78315,2119,205,1098117,,
"2019-01-28 00:00:00",237544,0,1035,17,510120,,
"2019-01-29 00:00:00",203859,158545,6953,876,861380,,
"2019-01-30 00:00:00",21991,182380,9499,0,299434,754705.9666666667,
"2019-01-31 00:00:00",137799,42995,3144,0,1223607,783593.1333333333,
"2019-02-01 00:00:00",23677,23813,9409,0,524081,793333.0333333333,
"2019-02-02 00:00:00",76733,0,7945,251,670873,795828.9666666667,
