"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","30-day Moving Average","Prior Year: 30-day Moving Average"
"2019-01-01 00:00:00",323849,28485,32084,145,474819,,
"2019-01-02 00:00:00",250013,39206,23542,596,717454,,
"2019-01-03 00:00:00",67103,4946,30073,1269,238888,,
"2019-01-04 00:00:00",383886,45725,22030,408,402593,,
"2019-01-05 00:00:00",124718,111301,14622,1192,172480,,
"2019-01-06 00:00:00",190785,100990,19816,661,366092,,
"2019-01-07 00:00:00",306103,38645,16406,1330,358968,,
"2019-01-08 00:00:00",301251,44284,23541,561,452438,,
"2019-01-09 00:00:00",339167,113120,25811,2696,632775,,
"2019-01-10 00:00:00",274156,37293,13627,822,382768,,
"2019-01-11 00:00:00",343490,5875,20000,0,221153,,
"2019-01-12 00:00:00",104965,12444,28419,1077,234386,,
"2019-01-13 00:00:00",454463,141501,34720,698,422858,,
"2019-01-14 00:00:00",168673,132204,37170,2578,806859,,
"2019-01-15 00:00:00",119558,62782,15369,280,100974,,
"2019-01-16 00:00:00",217158,298547,9176,599,590709,,
"2019-01-17 00:00:00",167818,119344,10992,969,294688,,
"2019-01-18 00:00:00",228195,58183,10982,1221,764366,,
"2019-01-19 00:00:00",214560,275986,15093,641,506409,,
"2019-01-20 00:00:00",338867,27607,36442,919,304889,,
"2019-01-21 00:00:00",179616,115169,36475,3553,385196,,
"2019-01-22 00:00:00",277103,80904,14462,0,634307,,
"2019-01-23 00:00:00",254334,419295,19626,732,226828,,
"2019-01-24 00:00:00",273203,83328,25440,40,630763,,
"2019-01-25 00:00:00",277494,22630,6500,0,263159,,
"2019-01-26 00:00:00",199417,16094,7814,451,179079,,
"2019-01-27 00:00:00",265337,93331,36616,1239,450380,,
"2019-01-28 00:00:00",234044,121913,32170,2560,692228,,
"2019-01-29 00:00:00",163274,45498,32999,455,581455,,
"2019-01-30 00:00:00",399153,42800,22474,1070,602557,799235.6666666666,
"2019-01-31 00:00:00",224947,415562,31071,582,340801,804355.1333333333,
"2019-02-01 00:00:00",246295,67177,16720,40,446228,795876.6666666666,
"2019-02-02 00:00:00",84122,221647,18880,1821,354033,807150.8,
"2019-02-03 00:00:00",348285,3596,12723,145,112322,794565.1,
"2019-02-04 00:00:00",178029,59501,24120,185,743363,813928.0666666667,
"2019-02-05 00:00:00",281512,227495,9828,4097,518714,826038.1666666666,
"2019-02-06 00:00:00",181382,141220,27505,0,204592,820479.7,
"2019-02-07 00:00:00",299157,106648,26165,900,225829,815033.8666666667,
