"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","30-day Moving Average","Prior Year: 30-day Moving Average"
"2019-01-01 00:00:00",169628,14964,5502,4133,203108,,
"2019-01-02 00:00:00",235456,58293,11917,1211,123624,,
"2019-01-03 00:00:00",231386,5100,11228,2503,255892,,
"2019-01-04 00:00:00",232570,10600,14211,7971,122180,,
"2019-01-05 00:00:00",201536,8248,4449,1021,237243,,
"2019-01-06 00:00:00",350847,3656,15899,14550,246652,,
"2019-01-07 00:00:00",201949,33516,26223,2360,213016,,
"2019-01-08 00:00:00",218904,27177,18094,616,147355,,
"2019-01-09 00:00:00",222223,9147,3614,4441,209023,,
"2019-01-10 00:00:00",169675,10454,7150,3480,223972,,
"2019-01-11 00:00:00",389735,85195,19870,3934,247763,,
"2019-01-12 00:00:00",214379,127575,6523,2087,175047,,
"2019-01-13 00:00:00",343335,5948,11694,8648,166501,,
"2019-01-14 00:00:00",159080,8121,11348,5174,264865,,
"2019-01-15 00:00:00",97960,7068,3665,4546,178690,,
"2019-01-16 00:00:00",300006,29107,5186,4453,356107,,
"2019-01-17 00:00:00",238213,29967,10071,693,111771,,
"2019-01-18 00:00:00",252691,0,12936,2759,375564,,
"2019-01-19 00:00:00",298950,40934,15394,9483,280038,,
"2019-01-20 00:00:00",331982,26971,6087,3662,182438,,
"2019-01-21 00:00:00",95332,18628,10648,2758,266922,,
"2019-01-22 00:00:00",209034,11026,5623,3136,184873,,
"2019-01-23 00:00:00",237400,48339,4616,12506,235567,,
"2019-01-24 00:00:00",181071,40009,10052,4892,361644,,
"2019-01-25 00:00:00",255861,6752,7050,3326,277095,,
"2019-01-26 00:00:00",311359,17330,5588,1252,187053,,
"2019-01-27 00:00:00",162289,7516,9882,7616,377842,,
"2019-01-28 00:00:00",189652,53620,19943,8648,286108,,
"2019-01-29 00:00:00",297678,0,14405,5109,339776,,
"2019-01-30 00:00:00",680391,0,10554,16624,155375,523069.63333333336,
"2019-01-31 00:00:00",193537,22568,6376,4495,147419,522304.9666666667,
"2019-02-01 00:00:00",176963,2923,10241,7582,167627,520132.76666666666,
"2019-02-02 00:00:00",181144,6004,20782,8302,348050,522071.9,
"2019-02-03 00:00:00",222643,0,1984,719,77803,519258.93333333335,
"2019-02-04 00:00:00",73720,64029,12173,2832,196703,515824.3,
"2019-02-05 00:00:00",74764,32485,4661,0,187874,504763.5,
"2019-02-06 00:00:00",169649,75949,23255,0,154423,502970.5333333333,
"2019-02-07 00:00:00",119859,8717,9177,3563,202728,500700.43333333335,
"2019-02-08 00:00:00",251556,29469,9531,4482,268618,504540.6666666667,
"2019-02-09 00:00:00",622712,10769,12248,719,175116,518101.93333333335,
"2019-02-10 00:00:00",139744,22776,2450,2918,258738,507439.6,
"2019-02-11 00:00:00",128785,3656,1780,13283,132323,499246.8,
"2019-02-12 00:00:00",279981,80181,12599,308,251324,502189.0333333333,
"2019-02-13 00:00:00",163414,1231,13949,7787,442091,508185.1,
"2019-02-14 00:00:00",256881,88025,5292,5384,257883,518903,
"2019-02-15 00:00:00",299114,7651,7396,6573,185466,512614.36666666664,
"2019-02-16 00:00:00",169251,250447,14351,11763,186528,520668.76666666666,
"2019-02-17 00:00:00",302979,87544,27582,19249,271439,522830.4,
"2019-02-18 00:00:00",197810,12108,12661,6522,271456,518022.3333333333,
"2019-02-19 00:00:00",250824,25798,5908,8533,332341,520431.13333333336,
"2019-02-20 00:00:00",202608,13898,4566,2185,237625,522651,
"2019-02-21 00:00:00",155514,29045,10462,13651,140495,520500.2,
"2019-02-22 00:00:00",366777,82582,4788,701,280929,527078.5,
"2019-02-23 00:00:00",386555,34800,5688,4920,203613,528342.1333333333,
"2019-02-24 00:00:00",221373,106561,4013,8738,424730,535519.8666666667,
"2019-02-25 00:00:00",87357,21573,18932,5425,225886,530073.0666666667,
"2019-02-26 00:00:00",265666,31105,9037,4251,194534,528054.7333333333,
"2019-02-27 00:00:00",126270,40145,9833,8198,87424,518517.9666666667,
"2019-02-28 00:00:00",149446,47855,18987,1934,245084,512062.63333333336,
"2019-03-01 00:00:00",178308,9763,9476,5020,159081,495352.7,
"2019-03-02 00:00:00",180146,37180,7954,0,127537,494633.4,
"2019-03-03 00:00:00",246899,25705,8612,2934,126878,496156.5333333333,
"2019-03-04 00:00:00",182366,2923,5581,6151,356212,495788.1666666667,
"2019-03-05 00:00:00",195444,8193,7144,358,291645,502442.86666666664,
"2019-03-06 00:00:00",168090,100677,10727,3833,117499,504155.2,
"2019-03-07 00:00:00",149202,28109,9027,7552,133417,505072.7,
"2019-03-08 00:00:00",140079,37605,41697,6210,508429,515430.93333333335,
"2019-03-09 00:00:00",400340,79825,19872,701,231839,528382.1666666666,
"2019-03-10 00:00:00",250013,17036,17146,5883,201039,525964.3,
"2019-03-11 00:00:00",282714,63072,37604,6008,270029,520559.7,
"2019-03-12 00:00:00",226597,16872,13465,5261,390412,528092.4666666667,
"2019-03-13 00:00:00",193369,67439,22340,7945,508619,545422.0666666667,
"2019-03-14 00:00:00",314160,57531,23908,5251,214191,545110.3666666667,
"2019-03-15 00:00:00",185913,92910,40197,2691,256952,543450.2,
"2019-03-16 00:00:00",224936,147410,21462,4768,238552,544239.0333333333,
"2019-03-17 00:00:00",453352,24061,22689,2592,322833,554883.3,
"2019-03-18 00:00:00",166667,66561,40358,8658,475828,559074.2666666667,
"2019-03-19 00:00:00",340330,45693,13345,5676,243214,557056.4,
"2019-03-20 00:00:00",143791,0,1732,0,111921,548952.4666666667,
"2019-03-21 00:00:00",265732,57780,4233,2975,192806,545623.1666666666,
"2019-03-22 00:00:00",187029,62585,10670,4491,426642,553307.6666666666,
"2019-03-23 00:00:00",217568,27685,10266,717,274673,559365.8333333334,
"2019-03-24 00:00:00",280877,61051,10675,2591,198487,553296,
"2019-03-25 00:00:00",133358,4412,16685,17296,341137,549206.5333333333,
"2019-03-26 00:00:00",232598,66783,13285,2206,306309,544398.6666666666,
"2019-03-27 00:00:00",307862,45341,8918,17202,165279,550579.6,
"2019-03-28 00:00:00",134460,56463,19711,8906,385806,553937.9666666667,
"2019-03-29 00:00:00",266250,10819,7287,14404,255252,563342.6666666666,
"2019-03-30 00:00:00",225628,69860,8378,14557,218827,565807.2666666667,
"2019-03-31 00:00:00",226795,43485,14256,1237,155027,568445.7333333333,
"2019-04-01 00:00:00",181291,62350,12533,3103,262276,574070.5333333333,
"2019-04-02 00:00:00",97628,17330,4853,1274,147751,569330.7333333333,
"2019-04-03 00:00:00",278409,19616,20763,2896,145004,566446,
"2019-04-04 00:00:00",196325,69975,9212,9547,108555,562806.9333333333,
"2019-04-05 00:00:00",162312,36745,9421,6763,300398,566633.9333333333,
"2019-04-06 00:00:00",157945,26751,22729,3573,236195,570630.2,
"2019-04-07 00:00:00",154072,8815,7869,666,202040,558611.5,
"2019-04-08 00:00:00",214355,11251,17320,7018,235720,550381.0666666667,
"2019-04-09 00:00:00",87285,17330,9583,2498,55389,539746.5333333333,
"2019-04-10 00:00:00",183863,72753,7186,5332,309030,537037.7666666667,
"2019-04-11 00:00:00",962559,20499,4939,8275,358689,560449.5,
"2019-04-12 00:00:00",190776,96132,17744,6410,218550,551446.2,
"2019-04-13 00:00:00",297329,22076,15470,5001,148753,547232.5333333333,
"2019-04-14 00:00:00",339700,70663,17559,2193,99239,545588.8,
"2019-04-15 00:00:00",184957,69570,20416,2669,244007,541738.5,
"2019-04-16 00:00:00",168820,68134,21486,1435,350246,534558.3333333334,
"2019-04-17 00:00:00",115566,28076,4999,3801,198057,520972.56666666665,
"2019-04-18 00:00:00",187216,1090,15053,1837,134832,510698.1,
"2019-04-19 00:00:00",334419,18084,21003,9802,258167,523499.3,
"2019-04-20 00:00:00",398658,102341,7791,7151,548708,541536.8,
"2019-04-21 00:00:00",110225,21029,10731,3060,279811,532651.4333333333,
"2019-04-22 00:00:00",137755,126850,25183,6629,443750,539626.6666666666,
"2019-04-23 00:00:00",152751,8337,9986,4158,273928,536142.7333333333,
"2019-04-24 00:00:00",190543,46293,9759,717,204962,534122.2,
"2019-04-25 00:00:00",309724,13720,14289,5245,157207,530089.0666666667,
"2019-04-26 00:00:00",217350,16131,17319,3661,199283,527060.3,
"2019-04-27 00:00:00",365636,88623,12818,9999,268516,531735.3333333334,
"2019-04-28 00:00:00",175883,72667,23789,19481,179791,528988.7,
"2019-04-29 00:00:00",163277,72353,20756,8405,182448,525988.5666666667,
"2019-04-30 00:00:00",25138,40736,6162,358,65550,515893.2,
"2019-05-01 00:00:00",182270,79423,13794,10191,250828,516391.43333333335,
"2019-05-02 00:00:00",315192,11250,13316,805,198693,525405.4333333333,
"2019-05-03 00:00:00",495034,94016,24821,9699,206970,537533.8666666667,
"2019-05-04 00:00:00",357656,99443,30432,743,144312,545499.6333333333,
"2019-05-05 00:00:00",353052,44459,25036,8056,216723,549889.2666666667,
"2019-05-06 00:00:00",172289,73873,19288,5726,183101,550125.4,
"2019-05-07 00:00:00",124021,6515,16798,666,179816,548603.8666666667,
"2019-05-08 00:00:00",247762,84481,6561,8995,367745,556266.5333333333,
"2019-05-09 00:00:00",142324,56948,40948,9864,393070,571969,
"2019-05-10 00:00:00",316356,86175,24166,13533,321555,578089.8666666667,
"2019-05-11 00:00:00",175107,2322,13814,5459,394802,552641.3333333334,
"2019-05-12 00:00:00",254197,117020,17925,5145,213408,555244.1333333333,
"2019-05-13 00:00:00",165598,77197,21795,9033,195510,554594.2,
"2019-05-14 00:00:00",216237,7672,9660,9576,242446,553135.3666666667,
"2019-05-15 00:00:00",351554,1613,17149,5274,188928,554565.3,
"2019-05-16 00:00:00",146588,1090,16373,15609,318636,550837.7666666667,
