"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","30-day Moving Average","Prior Year: 30-day Moving Average"
"2019-01-01 00:00:00",46,7,19,2,39,,
"2019-01-02 00:00:00",35,12,20,2,39,,
"2019-01-03 00:00:00",32,3,24,5,51,,
"2019-01-04 00:00:00",41,5,18,4,34,,
"2019-01-05 00:00:00",39,3,16,2,41,,
"2019-01-06 00:00:00",54,7,11,6,49,,
"2019-01-07 00:00:00",41,10,22,7,67,,
"2019-01-08 00:00:00",48,7,18,5,45,,
"2019-01-09 00:00:00",48,5,14,6,51,,
"2019-01-10 00:00:00",43,3,15,5,46,,
"2019-01-11 00:00:00",50,5,14,3,53,,
"2019-01-12 00:00:00",45,8,15,4,57,,
"2019-01-13 00:00:00",45,6,25,6,43,,
"2019-01-14 00:00:00",45,7,23,12,61,,
"2019-01-15 00:00:00",32,7,11,5,35,,
"2019-01-16 00:00:00",45,8,11,5,55,,
"2019-01-17 00:00:00",35,4,14,5,49,,
"2019-01-18 00:00:00",49,6,13,5,55,,
"2019-01-19 00:00:00",53,8,17,5,57,,
"2019-01-20 00:00:00",51,3,22,6,49,,
"2019-01-21 00:00:00",25,9,21,10,50,,
"2019-01-22 00:00:00",39,8,12,6,48,,
"2019-01-23 00:00:00",46,12,12,6,49,,
"2019-01-24 00:00:00",38,9,16,6,58,,
"2019-01-25 00:00:00",37,7,11,1,49,,
"2019-01-26 00:00:00",48,2,9,4,38,,
"2019-01-27 00:00:00",45,8,27,7,56,,
"2019-01-28 00:00:00",48,10,32,12,63,,
"2019-01-29 00:00:00",42,6,23,5,62,,
"2019-01-30 00:00:00",50,3,17,11,52,122.8,
"2019-01-31 00:00:00",33,16,18,4,42,122.8,
"2019-02-01 00:00:00",48,3,19,6,52,123.46666666666667,
"2019-02-02 00:00:00",37,10,17,8,40,123.36666666666666,
"2019-02-03 00:00:00",48,1,13,1,32,123.13333333333334,
"2019-02-04 00:00:00",30,5,16,2,55,123.36666666666666,
"2019-02-05 00:00:00",30,6,6,1,48,122.16666666666667,
"2019-02-06 00:00:00",44,12,22,0,53,121.63333333333334,
"2019-02-07 00:00:00",36,6,20,6,38,121.06666666666666,
"2019-02-08 00:00:00",50,11,13,4,50,121.2,
"2019-02-09 00:00:00",33,8,10,1,34,120.33333333333333,
"2019-02-10 00:00:00",43,11,17,6,56,120.6,
"2019-02-11 00:00:00",35,5,9,11,48,119.9,
"2019-02-12 00:00:00",43,8,13,2,51,119.63333333333334,
"2019-02-13 00:00:00",46,5,20,14,64,119.66666666666667,
"2019-02-14 00:00:00",42,10,11,3,60,120.86666666666666,
"2019-02-15 00:00:00",42,10,18,5,46,120.76666666666667,
"2019-02-16 00:00:00",43,13,19,7,47,121.5,
"2019-02-17 00:00:00",42,20,36,10,59,122.8,
"2019-02-18 00:00:00",37,7,15,10,67,122.66666666666667,
"2019-02-19 00:00:00",49,6,17,5,65,123.03333333333333,
"2019-02-20 00:00:00",48,10,15,4,53,123.53333333333333,
"2019-02-21 00:00:00",28,10,12,9,40,123.06666666666666,
"2019-02-22 00:00:00",45,11,20,3,45,123.03333333333333,
"2019-02-23 00:00:00",52,4,18,5,51,123.13333333333334,
"2019-02-24 00:00:00",42,13,15,10,49,123.93333333333334,
"2019-02-25 00:00:00",37,10,19,10,46,124.63333333333334,
"2019-02-26 00:00:00",48,13,20,4,46,124.23333333333333,
"2019-02-27 00:00:00",44,8,18,7,33,122.4,
"2019-02-28 00:00:00",37,9,21,5,47,121.76666666666667,
"2019-03-01 00:00:00",46,2,15,3,41,120.9,
"2019-03-02 00:00:00",45,4,15,1,41,120.66666666666667,
"2019-03-03 00:00:00",40,11,15,7,53,120.6,
"2019-03-04 00:00:00",39,4,17,10,48,120.8,
"2019-03-05 00:00:00",45,5,21,3,60,122.1,
"2019-03-06 00:00:00",45,10,20,4,46,122.66666666666667,
"2019-03-07 00:00:00",34,12,13,1,51,123.33333333333333,
"2019-03-08 00:00:00",47,25,40,12,76,125.63333333333334,
"2019-03-09 00:00:00",59,16,25,5,58,127.53333333333333,
"2019-03-10 00:00:00",46,12,26,6,43,127.7,
"2019-03-11 00:00:00",56,10,35,10,78,131.13333333333333,
"2019-03-12 00:00:00",52,10,16,2,66,131.56666666666666,
"2019-03-13 00:00:00",43,10,25,6,76,133.3,
"2019-03-14 00:00:00",48,14,25,3,63,134.5,
"2019-03-15 00:00:00",49,20,40,4,69,135.6,
"2019-03-16 00:00:00",59,8,23,3,62,136.56666666666666,
"2019-03-17 00:00:00",62,9,24,5,70,138.2,
"2019-03-18 00:00:00",52,14,34,15,87,140.63333333333333,
"2019-03-19 00:00:00",47,16,18,3,47,139.43333333333334,
"2019-03-20 00:00:00",36,1,8,1,44,137.9,
"2019-03-21 00:00:00",40,10,16,4,47,137.06666666666666,
"2019-03-22 00:00:00",42,7,18,4,58,137.03333333333333,
"2019-03-23 00:00:00",44,13,14,3,46,137.73333333333332,
"2019-03-24 00:00:00",46,8,19,5,56,138.06666666666666,
"2019-03-25 00:00:00",38,3,17,16,52,137.93333333333334,
"2019-03-26 00:00:00",45,9,22,3,43,137.7,
"2019-03-27 00:00:00",49,5,12,6,39,137.33333333333334,
"2019-03-28 00:00:00",38,7,27,5,48,137.13333333333333,
"2019-03-29 00:00:00",49,9,12,6,40,137.33333333333334,
"2019-03-30 00:00:00",42,6,13,7,41,137,
"2019-03-31 00:00:00",48,15,16,4,41,137.56666666666666,
"2019-04-01 00:00:00",43,9,19,9,48,138.3,
