"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","30-day Moving Average","Prior Year: 30-day Moving Average"
"2019-01-01 00:00:00",274780,36036,20891,330,543365,,
"2019-01-02 00:00:00",363042,195057,27511,403,470722,,
"2019-01-03 00:00:00",323349,169559,13718,4680,724935,,
"2019-01-04 00:00:00",216731,169778,15205,2772,396572,,
"2019-01-05 00:00:00",189631,258645,10639,4730,1111123,,
"2019-01-06 00:00:00",79635,231433,24403,0,402996,,
"2019-01-07 00:00:00",317828,492833,35027,3844,445956,,
"2019-01-08 00:00:00",65138,172582,12999,1340,598250,,
"2019-01-09 00:00:00",327557,376285,38394,3591,570986,,
"2019-01-10 00:00:00",453577,205198,32286,5388,895279,,
"2019-01-11 00:00:00",207413,306285,38752,6454,473862,,
"2019-01-12 00:00:00",57038,171741,27856,4070,508384,,
"2019-01-13 00:00:00",140501,222750,50802,6268,278789,,
"2019-01-14 00:00:00",223764,182753,33041,5297,1021902,,
"2019-01-15 00:00:00",316589,455613,48096,3091,474519,,
"2019-01-16 00:00:00",159938,189234,70197,5584,590721,,
"2019-01-17 00:00:00",217811,520751,22350,4187,322754,,
"2019-01-18 00:00:00",106081,237322,14959,7570,642060,,
"2019-01-19 00:00:00",165249,312089,10004,1063,671553,,
"2019-01-20 00:00:00",146987,216701,40401,2201,465646,,
"2019-01-21 00:00:00",164876,138990,39346,5252,570139,,
"2019-01-22 00:00:00",143572,249530,49042,5030,296432,,
"2019-01-23 00:00:00",224617,349452,32440,13255,633376,,
"2019-01-24 00:00:00",180877,274373,25509,1938,294914,,
"2019-01-25 00:00:00",184445,345518,22988,4827,1016785,,
"2019-01-26 00:00:00",334369,446108,45483,5738,299925,,
"2019-01-27 00:00:00",43964,110327,36397,2923,838765,,
"2019-01-28 00:00:00",168236,394463,29555,4386,433156,,
"2019-01-29 00:00:00",301664,334693,30164,4058,836480,,
"2019-01-30 00:00:00",264913,390846,56474,8368,554883,1099671.1333333333,
"2019-01-31 00:00:00",343195,348879,29796,5116,578302,1114000.8333333333,
"2019-02-01 00:00:00",270841,468744,25853,8595,804870,1131406.6,
"2019-02-02 00:00:00",170904,233571,49288,2525,625061,1126243.5666666667,
"2019-02-03 00:00:00",77539,177165,31402,1319,366168,1121328.1666666667,
"2019-02-04 00:00:00",211566,197599,22019,4840,186895,1089599.8,
"2019-02-05 00:00:00",334217,41231,35225,7189,1059855,1114241.4666666666,
"2019-02-06 00:00:00",102390,379459,42514,7845,344928,1100296.4666666666,
"2019-02-07 00:00:00",351468,462141,45234,7641,1080919,1136866.3666666667,
"2019-02-08 00:00:00",115883,98505,36970,3955,705315,1124993.5333333334,
"2019-02-09 00:00:00",206276,39456,9784,5025,968147,1112892,
"2019-02-10 00:00:00",50908,454920,46667,6303,488880,1113389.1333333333,
"2019-02-11 00:00:00",295256,146126,46712,9417,451568,1119388.8666666667,
"2019-02-12 00:00:00",315639,482615,49894,1063,625281,1145235.0666666667,
"2019-02-13 00:00:00",73701,197973,39388,9115,424002,1121149.1666666667,
