"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","30-day Moving Average","Prior Year: 30-day Moving Average"
"2019-01-01 00:00:00",147006,7518,22210,2089,105059,,
"2019-01-02 00:00:00",53882,43322,14689,0,141549,,
"2019-01-03 00:00:00",185982,72298,28804,5507,220027,,
"2019-01-04 00:00:00",170613,52481,24554,2052,213643,,
"2019-01-05 00:00:00",213540,0,10479,4430,247869,,
"2019-01-06 00:00:00",186109,1199,15323,2171,186439,,
"2019-01-07 00:00:00",92974,0,20153,5750,577329,,
"2019-01-08 00:00:00",115695,56444,16813,7098,198924,,
"2019-01-09 00:00:00",131847,0,27453,2166,231473,,
"2019-01-10 00:00:00",323112,17745,24530,7263,229213,,
"2019-01-11 00:00:00",254884,0,23014,4430,275088,,
"2019-01-12 00:00:00",272945,0,19526,3241,193297,,
"2019-01-13 00:00:00",78857,50286,17640,3753,158417,,
"2019-01-14 00:00:00",186338,125377,26584,3392,189595,,
"2019-01-15 00:00:00",113824,4867,38640,3241,413646,,
"2019-01-16 00:00:00",223479,31166,28631,5619,239444,,
"2019-01-17 00:00:00",92233,26932,39294,11652,424551,,
"2019-01-18 00:00:00",379043,85291,16352,5856,201902,,
"2019-01-19 00:00:00",281111,0,26130,3241,196949,,
"2019-01-20 00:00:00",152536,0,17593,4847,350639,,
"2019-01-21 00:00:00",280649,0,28580,3570,315311,,
"2019-01-22 00:00:00",148724,4023,17312,2959,199812,,
"2019-01-23 00:00:00",86502,30505,35562,7770,374688,,
"2019-01-24 00:00:00",212159,0,33892,10133,244148,,
"2019-01-25 00:00:00",267605,57517,27005,8653,248170,,
"2019-01-26 00:00:00",242634,4361,22317,4275,281503,,
"2019-01-27 00:00:00",371998,52058,3886,5525,162719,,
"2019-01-28 00:00:00",186382,31433,14928,3646,281718,,
"2019-01-29 00:00:00",134809,57864,28510,4419,255992,,
"2019-01-30 00:00:00",150282,3130,16313,3241,210707,498410.26666666666,
"2019-01-31 00:00:00",133903,16895,32170,3780,446976,510071.8,
"2019-02-01 00:00:00",129107,0,23620,3241,397439,520070.8,
"2019-02-02 00:00:00",259703,9562,19460,3467,175556,518575.2,
"2019-02-03 00:00:00",136575,29125,14221,6064,190289,515672.8,
"2019-02-04 00:00:00",188154,0,16870,5119,159699,512123.6666666667,
"2019-02-05 00:00:00",278727,88996,31821,3546,141893,517248.63333333336,
"2019-02-06 00:00:00",175335,43242,28972,5521,404542,515962,
"2019-02-07 00:00:00",128797,11659,26167,8913,595179,528486.6333333333,
"2019-02-08 00:00:00",56461,11258,12917,7276,301564,528371.2333333333,
"2019-02-09 00:00:00",214010,4155,9494,3611,215444,523199.4666666667,
"2019-02-10 00:00:00",373249,30742,19114,3477,111642,522559.73333333334,
"2019-02-11 00:00:00",141925,0,30395,11111,231473,520089.6666666667,
"2019-02-12 00:00:00",123032,2538,24599,4622,103168,518389.9,
"2019-02-13 00:00:00",95626,21235,37758,2683,186927,512154.6666666667,
"2019-02-14 00:00:00",148470,32632,17430,9187,292952,509703.13333333336,
"2019-02-15 00:00:00",80505,0,43738,5591,228521,504036.8333333333,
"2019-02-16 00:00:00",293999,0,16723,2378,416783,508544.0333333333,
"2019-02-17 00:00:00",213281,17173,7199,3823,356326,505522.5,
"2019-02-18 00:00:00",213922,4431,20046,8504,215450,504019.9666666667,
"2019-02-19 00:00:00",212632,55833,37612,4530,322257,507595.13333333336,
"2019-02-20 00:00:00",79543,102010,39972,1825,313208,504543.5333333333,
"2019-02-21 00:00:00",215080,31461,20883,8389,508478,518258.86666666664,
"2019-02-22 00:00:00",217889,45102,17965,7998,297744,519981.23333333334,
"2019-02-23 00:00:00",297225,32254,16817,2357,559519,533575.9,
"2019-02-24 00:00:00",239535,9562,18080,6236,662021,544458.4333333333,
"2019-02-25 00:00:00",226983,93219,37204,6660,140474,542773.4666666667,
"2019-02-26 00:00:00",147768,8726,25838,4501,224192,536601.5666666667,
"2019-02-27 00:00:00",76624,17320,31560,5619,148433,528649.9,
"2019-02-28 00:00:00",101081,156702,23258,3946,414012,535896.7666666667,
"2019-03-01 00:00:00",81719,115983,21169,3289,155348,535691.2333333333,
"2019-03-02 00:00:00",226678,4155,24563,8519,332653,534452.6,
"2019-03-03 00:00:00",138692,4155,22945,2290,199221,528249.1333333333,
"2019-03-04 00:00:00",271206,11539,13595,5543,301867,532782.6,
"2019-03-05 00:00:00",179808,9090,22904,3504,502500,544167.0666666667,
"2019-03-06 00:00:00",83286,1396,30568,8856,372712,548399.5666666667,
"2019-03-07 00:00:00",101803,30831,29209,2922,250887,544088.4333333333,
"2019-03-08 00:00:00",136911,51810,17714,9131,163703,534810.3333333334,
"2019-03-09 00:00:00",143659,155199,17522,7421,303494,530029.8333333334,
"2019-03-10 00:00:00",87912,0,12843,2052,227200,528047.4666666667,
"2019-03-11 00:00:00",191033,2595,21476,9285,110629,524324.2666666667,
"2019-03-12 00:00:00",87278,7404,22606,5863,429288,524798.1666666666,
"2019-03-13 00:00:00",120188,3130,19378,6835,289341,525597.0666666667,
"2019-03-14 00:00:00",105120,40830,19310,4105,240932,530674.9666666667,
"2019-03-15 00:00:00",166533,0,16156,6403,234534,533321.5666666667,
"2019-03-16 00:00:00",43283,7518,12408,4446,221789,526280.5,
"2019-03-17 00:00:00",212404,5243,14012,1181,307409,532343.7,
"2019-03-18 00:00:00",221341,20059,26188,10865,192143,523700.8,
"2019-03-19 00:00:00",140681,12062,24969,967,403799,523190,
"2019-03-20 00:00:00",108278,18939,35837,4513,117158,517269.1,
"2019-03-21 00:00:00",140092,33646,22625,5772,548922,521208.86666666664,
"2019-03-22 00:00:00",290934,56724,22106,4430,239674,523785.8333333333,
"2019-03-23 00:00:00",191781,22866,18200,4527,218855,512850.5,
"2019-03-24 00:00:00",135882,0,28681,7825,108202,502646.8333333333,
"2019-03-25 00:00:00",406666,37889,26330,6237,202745,495036.56666666665,
"2019-03-26 00:00:00",212354,121665,20500,3241,416002,489647.63333333336,
"2019-03-27 00:00:00",106296,1396,31078,3407,335320,488746.13333333336,
"2019-03-28 00:00:00",269435,17699,24469,7932,251289,494072.6666666667,
"2019-03-29 00:00:00",108982,31747,27608,7871,285043,500129.3,
"2019-03-30 00:00:00",123158,47946,20547,4823,154860,488540.43333333335,
"2019-03-31 00:00:00",227691,7518,12650,3459,182326,490411.5333333333,
"2019-04-01 00:00:00",251113,2374,18675,7460,278906,489143.56666666665,
"2019-04-02 00:00:00",101576,60026,27065,9301,261446,492213.86666666664,
"2019-04-03 00:00:00",57969,96491,24278,11564,434595,492918.73333333334,
"2019-04-04 00:00:00",190800,21103,29710,9584,509954,494363.6666666667,
"2019-04-05 00:00:00",280074,1581,7475,6668,196774,494222.13333333336,
"2019-04-06 00:00:00",287065,69860,18936,7795,294550,502973.9666666667,
"2019-04-07 00:00:00",142539,0,17607,3427,192041,502185.43333333335,
"2019-04-08 00:00:00",114382,82055,17179,7267,202669,495393.9666666667,
"2019-04-09 00:00:00",94251,1265,29138,7252,157489,494040.3,
"2019-04-10 00:00:00",80135,18620,33253,9041,380974,500273.9666666667,
"2019-04-11 00:00:00",105295,85170,26020,12217,613250,509924.4,
"2019-04-12 00:00:00",237384,53767,16176,12182,419325,519923.13333333336,
