"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","30-day Moving Average","Prior Year: 30-day Moving Average"
"2019-01-01 00:00:00",22,2,33,2,87,,
"2019-01-02 00:00:00",12,4,35,1,89,,
"2019-01-03 00:00:00",32,10,32,9,99,,
"2019-01-04 00:00:00",30,6,39,8,92,,
"2019-01-05 00:00:00",24,4,18,5,114,,
"2019-01-06 00:00:00",21,6,25,4,76,,
"2019-01-07 00:00:00",39,8,42,10,105,,
"2019-01-08 00:00:00",21,6,26,9,97,,
"2019-01-09 00:00:00",28,5,39,9,111,,
"2019-01-10 00:00:00",35,9,48,10,108,,
"2019-01-11 00:00:00",37,9,44,7,105,,
"2019-01-12 00:00:00",31,5,25,9,100,,
"2019-01-13 00:00:00",17,7,35,7,71,,
"2019-01-14 00:00:00",32,8,45,9,108,,
"2019-01-15 00:00:00",22,11,40,10,99,,
"2019-01-16 00:00:00",29,8,54,7,99,,
"2019-01-17 00:00:00",24,12,49,12,83,,
"2019-01-18 00:00:00",27,8,31,9,110,,
"2019-01-19 00:00:00",28,8,28,6,89,,
"2019-01-20 00:00:00",26,6,39,7,99,,
"2019-01-21 00:00:00",26,3,50,11,109,,
"2019-01-22 00:00:00",24,7,39,9,85,,
"2019-01-23 00:00:00",26,10,60,11,97,,
"2019-01-24 00:00:00",35,7,40,11,94,,
"2019-01-25 00:00:00",27,10,40,9,99,,
"2019-01-26 00:00:00",30,8,37,7,73,,
"2019-01-27 00:00:00",17,7,21,7,88,,
"2019-01-28 00:00:00",30,9,33,9,91,,
"2019-01-29 00:00:00",34,11,41,8,115,,
"2019-01-30 00:00:00",30,6,42,7,106,176.76666666666668,
"2019-01-31 00:00:00",32,9,47,9,108,178.73333333333332,
"2019-02-01 00:00:00",29,8,41,7,130,181.2,
"2019-02-02 00:00:00",27,5,27,8,84,180.16666666666666,
"2019-02-03 00:00:00",23,6,34,5,82,179.33333333333334,
"2019-02-04 00:00:00",40,4,31,13,93,179.86666666666667,
"2019-02-05 00:00:00",32,7,49,10,94,181.86666666666667,
"2019-02-06 00:00:00",34,9,47,9,90,181.36666666666667,
"2019-02-07 00:00:00",26,8,42,11,112,182.7,
"2019-02-08 00:00:00",30,10,34,9,103,182.5,
"2019-02-09 00:00:00",26,2,20,10,94,180.56666666666666,
"2019-02-10 00:00:00",16,7,35,8,73,178.46666666666667,
"2019-02-11 00:00:00",34,4,54,15,114,180.16666666666666,
"2019-02-12 00:00:00",29,8,44,9,102,182,
"2019-02-13 00:00:00",24,8,53,7,107,181.9,
"2019-02-14 00:00:00",32,9,38,12,91,181.9,
"2019-02-15 00:00:00",24,8,46,9,105,181.73333333333332,
"2019-02-16 00:00:00",35,8,28,7,111,182.03333333333333,
"2019-02-17 00:00:00",19,12,23,7,89,180.86666666666667,
"2019-02-18 00:00:00",41,5,50,13,100,182.53333333333333,
"2019-02-19 00:00:00",23,11,54,11,97,183.16666666666666,
"2019-02-20 00:00:00",31,11,52,5,101,183.2,
"2019-02-21 00:00:00",31,10,38,10,100,184.03333333333333,
"2019-02-22 00:00:00",23,12,29,9,101,183.03333333333333,
"2019-02-23 00:00:00",28,6,29,7,116,183,
"2019-02-24 00:00:00",22,4,30,10,92,182.1,
"2019-02-25 00:00:00",35,8,53,13,101,183.93333333333334,
"2019-02-26 00:00:00",29,10,44,10,98,185.63333333333333,
"2019-02-27 00:00:00",26,9,59,6,88,186.16666666666666,
"2019-02-28 00:00:00",25,13,37,10,109,185.66666666666666,
"2019-03-01 00:00:00",22,11,40,8,127,186.23333333333332,
"2019-03-02 00:00:00",23,5,36,9,90,184.83333333333334,
"2019-03-03 00:00:00",27,5,28,7,92,182.96666666666667,
"2019-03-04 00:00:00",34,7,33,16,96,184.13333333333333,
"2019-03-05 00:00:00",31,5,33,10,122,185.83333333333334,
"2019-03-06 00:00:00",30,8,42,10,106,186.33333333333334,
"2019-03-07 00:00:00",27,10,38,8,119,186.66666666666666,
"2019-03-08 00:00:00",32,10,36,11,110,187,
"2019-03-09 00:00:00",14,10,31,6,95,185.56666666666666,
"2019-03-10 00:00:00",20,2,24,5,80,183.73333333333332,
"2019-03-11 00:00:00",25,7,35,15,84,184.2,
"2019-03-12 00:00:00",26,7,38,10,97,185.5,
"2019-03-13 00:00:00",20,6,36,8,93,183.56666666666666,
"2019-03-14 00:00:00",26,14,41,8,107,183.7,
"2019-03-15 00:00:00",30,5,31,10,108,183.2,
"2019-03-16 00:00:00",12,9,18,7,83,181.43333333333334,
"2019-03-17 00:00:00",26,6,31,12,77,180.1,
"2019-03-18 00:00:00",27,9,48,16,97,180.36666666666667,
"2019-03-19 00:00:00",28,10,55,9,129,183.06666666666666,
"2019-03-20 00:00:00",26,10,42,8,91,182,
"2019-03-21 00:00:00",34,6,28,13,123,182.26666666666668,
"2019-03-22 00:00:00",27,10,41,7,97,181.66666666666666,
"2019-03-23 00:00:00",26,6,24,8,112,181.23333333333332,
"2019-03-24 00:00:00",24,4,33,7,89,180.66666666666666,
"2019-03-25 00:00:00",32,10,51,14,94,181.16666666666666,
"2019-03-26 00:00:00",38,14,43,8,113,183.1,
"2019-03-27 00:00:00",26,8,56,10,91,182.46666666666667,
"2019-03-28 00:00:00",35,13,31,10,94,182.2,
"2019-03-29 00:00:00",30,5,43,12,109,182.56666666666666,
"2019-03-30 00:00:00",22,8,26,10,96,181.5,
"2019-03-31 00:00:00",25,6,26,4,97,179.83333333333334,
"2019-04-01 00:00:00",33,4,49,9,119,181.53333333333333,
"2019-04-02 00:00:00",33,12,40,9,93,182.46666666666667,
"2019-04-03 00:00:00",26,7,44,9,108,182.73333333333332,
"2019-04-04 00:00:00",33,12,45,9,117,183.23333333333332,
"2019-04-05 00:00:00",38,10,23,6,108,182.86666666666667,
"2019-04-06 00:00:00",28,9,29,9,95,181.8,
"2019-04-07 00:00:00",15,7,37,8,89,180.36666666666667,
"2019-04-08 00:00:00",33,10,52,10,94,181.8,
"2019-04-09 00:00:00",34,5,47,11,109,184.3,
"2019-04-10 00:00:00",28,5,43,9,107,185.16666666666666,
"2019-04-11 00:00:00",47,13,41,11,109,186.6,
"2019-04-12 00:00:00",33,8,28,17,104,187.5,
"2019-04-13 00:00:00",17,8,27,10,88,185.96666666666667,
"2019-04-14 00:00:00",21,9,44,7,98,185.8,
"2019-04-15 00:00:00",45,9,49,9,87,188.13333333333333,
"2019-04-16 00:00:00",34,8,43,14,80,189.03333333333333,
"2019-04-17 00:00:00",25,6,42,7,93,188.23333333333332,
"2019-04-18 00:00:00",26,8,47,9,103,186.96666666666667,
"2019-04-19 00:00:00",44,6,27,8,99,187.2,
"2019-04-20 00:00:00",26,7,13,9,92,185.3,
"2019-04-21 00:00:00",21,5,22,5,74,183.46666666666667,
"2019-04-22 00:00:00",28,6,31,7,88,182.93333333333334,
"2019-04-23 00:00:00",29,7,43,6,91,183.56666666666666,
"2019-04-24 00:00:00",24,5,41,9,80,182.16666666666666,
"2019-04-25 00:00:00",33,12,33,9,97,181.1,
"2019-04-26 00:00:00",22,10,31,7,111,180.76666666666668,
"2019-04-27 00:00:00",20,4,20,5,113,180.06666666666666,
"2019-04-28 00:00:00",24,10,34,4,95,179,
"2019-04-29 00:00:00",38,5,48,10,76,179.5,
"2019-04-30 00:00:00",7,1,7,2,24,175.6,
"2019-05-01 00:00:00",44,6,58,12,144,177.26666666666668,
"2019-05-02 00:00:00",30,8,39,14,104,177.53333333333333,
"2019-05-03 00:00:00",35,4,43,8,86,176.93333333333334,
"2019-05-04 00:00:00",23,9,20,8,108,175.33333333333334,
"2019-05-05 00:00:00",27,6,34,6,90,174.6,
"2019-05-06 00:00:00",32,8,43,10,105,175.53333333333333,
"2019-05-07 00:00:00",25,5,37,10,100,176.23333333333332,
"2019-05-08 00:00:00",29,13,43,9,107,176.3,
"2019-05-09 00:00:00",30,7,38,15,101,175.8,
"2019-05-10 00:00:00",29,6,30,10,104,175.36666666666667,
"2019-05-11 00:00:00",29,6,26,7,88,173.2,
"2019-05-12 00:00:00",25,7,40,8,88,172.46666666666667,
"2019-05-13 00:00:00",32,10,29,15,99,173.63333333333333,
"2019-05-14 00:00:00",24,8,45,12,95,173.8,
"2019-05-15 00:00:00",33,9,32,11,109,173.63333333333333,
"2019-05-16 00:00:00",31,7,49,7,96,174,
"2019-05-17 00:00:00",31,10,42,8,99,174.56666666666666,
"2019-05-18 00:00:00",22,5,23,8,90,173.06666666666666,
"2019-05-19 00:00:00",22,5,40,8,68,171.7,
"2019-05-20 00:00:00",31,11,43,12,91,173.06666666666666,
"2019-05-21 00:00:00",31,12,31,9,108,175.2,
"2019-05-22 00:00:00",33,8,34,12,103,176.2,
"2019-05-23 00:00:00",30,9,47,9,110,177.16666666666666,
"2019-05-24 00:00:00",28,11,30,10,114,178.3,
"2019-05-25 00:00:00",22,11,27,7,81,177.1,
"2019-05-26 00:00:00",26,7,31,7,82,176.16666666666666,
"2019-05-27 00:00:00",34,4,34,15,102,177.06666666666666,
"2019-05-28 00:00:00",25,8,40,7,108,177.76666666666668,
"2019-05-29 00:00:00",32,4,38,11,105,178.2,
"2019-05-30 00:00:00",28,9,36,6,106,183,
"2019-05-31 00:00:00",26,3,21,9,105,179.66666666666666,
"2019-06-01 00:00:00",27,10,15,5,96,178.26666666666668,
"2019-06-02 00:00:00",22,7,22,6,76,176.83333333333334,
"2019-06-03 00:00:00",30,9,45,11,97,177.63333333333333,
"2019-06-04 00:00:00",29,6,35,8,82,177.53333333333333,
"2019-06-05 00:00:00",31,11,46,14,88,177.26666666666668,
"2019-06-06 00:00:00",36,9,46,6,109,178.23333333333332,
"2019-06-07 00:00:00",27,9,39,11,99,177.7,
"2019-06-08 00:00:00",15,9,13,6,93,175.86666666666667,
"2019-06-09 00:00:00",19,4,25,5,83,174.43333333333334,
"2019-06-10 00:00:00",27,8,40,11,93,175.2,
"2019-06-11 00:00:00",31,5,42,9,88,175.43333333333334,
"2019-06-12 00:00:00",34,6,47,8,113,176.2,
"2019-06-13 00:00:00",37,14,44,9,105,177.03333333333333,
"2019-06-14 00:00:00",26,8,34,9,100,176.46666666666667,
"2019-06-15 00:00:00",18,5,19,8,69,174.1,
"2019-06-16 00:00:00",31,3,34,8,78,172.9,
"2019-06-17 00:00:00",33,9,33,12,107,174.43333333333334,
"2019-06-18 00:00:00",25,9,47,7,101,175.96666666666667,
"2019-06-19 00:00:00",22,11,48,9,106,176.23333333333332,
"2019-06-20 00:00:00",35,7,43,13,105,176.63333333333333,
"2019-06-21 00:00:00",27,10,38,10,82,175.86666666666667,
"2019-06-22 00:00:00",27,9,20,5,100,174.4,
"2019-06-23 00:00:00",22,4,34,5,84,172.93333333333334,
"2019-06-24 00:00:00",39,8,42,9,100,174.6,
"2019-06-25 00:00:00",26,11,49,10,90,175.7,
"2019-06-26 00:00:00",26,7,32,17,102,175.53333333333333,
"2019-06-27 00:00:00",37,8,41,7,88,175.3,
"2019-06-28 00:00:00",36,5,31,13,103,175.23333333333332,
"2019-06-29 00:00:00",24,8,30,8,97,174.63333333333333,
"2019-06-30 00:00:00",24,4,37,4,93,174.56666666666666,
"2019-07-01 00:00:00",30,14,34,10,104,175.86666666666667,
"2019-07-02 00:00:00",36,8,31,8,96,177.4,
"2019-07-03 00:00:00",34,11,42,12,87,177.2,
"2019-07-04 00:00:00",31,6,40,11,94,177.93333333333334,
"2019-07-05 00:00:00",27,6,34,9,110,177.8,
"2019-07-06 00:00:00",25,6,23,10,95,176.23333333333332,
"2019-07-07 00:00:00",23,2,23,6,58,173.8,
"2019-07-08 00:00:00",43,9,59,12,111,177.06666666666666,
"2019-07-09 00:00:00",28,10,33,7,98,178.4,
"2019-07-10 00:00:00",27,9,48,8,125,179.66666666666666,
"2019-07-11 00:00:00",42,4,49,11,85,180.2,
"2019-07-12 00:00:00",20,6,43,9,104,179.33333333333334,
"2019-07-13 00:00:00",29,6,25,9,93,177.76666666666668,
"2019-07-14 00:00:00",24,4,40,4,93,177.36666666666667,
"2019-07-15 00:00:00",33,7,37,11,112,180.06666666666666,
"2019-07-16 00:00:00",24,8,37,9,101,180.9,
"2019-07-17 00:00:00",33,6,53,9,98,181.06666666666666,
"2019-07-18 00:00:00",36,7,39,11,94,181,
"2019-07-19 00:00:00",25,5,26,11,117,180.6,
"2019-07-20 00:00:00",29,7,16,7,103,179.23333333333332,
"2019-07-21 00:00:00",18,2,37,5,79,178.36666666666667,
"2019-07-22 00:00:00",35,6,28,9,95,178.76666666666668,
"2019-07-23 00:00:00",28,10,41,9,80,179.4,
"2019-07-24 00:00:00",27,7,39,6,89,178.4,
"2019-07-25 00:00:00",30,1,41,10,92,178,
"2019-07-26 00:00:00",18,4,37,6,105,177.53333333333333,
"2019-07-27 00:00:00",35,4,29,6,111,177.66666666666666,
"2019-07-28 00:00:00",24,8,32,8,72,176.2,
"2019-07-29 00:00:00",32,4,54,11,93,177.1,
"2019-07-30 00:00:00",23,7,44,8,88,177.36666666666667,
"2019-07-31 00:00:00",32,10,44,7,104,177.53333333333333,
"2019-08-01 00:00:00",31,12,35,10,98,177.76666666666668,
"2019-08-02 00:00:00",26,5,28,12,94,177.06666666666666,
"2019-08-03 00:00:00",32,5,11,5,102,176.16666666666666,
"2019-08-04 00:00:00",17,2,35,8,80,174.7,
"2019-08-05 00:00:00",37,10,36,12,111,176.26666666666668,
"2019-08-06 00:00:00",21,9,41,8,111,178.86666666666667,
"2019-08-07 00:00:00",36,4,39,8,106,177.5,
"2019-08-08 00:00:00",28,9,28,8,100,177.4,
"2019-08-09 00:00:00",32,6,32,6,116,176.56666666666666,
"2019-08-10 00:00:00",10,4,8,6,96,174.33333333333334,
"2019-08-11 00:00:00",24,5,28,8,75,172.93333333333334,
"2019-08-12 00:00:00",34,6,51,9,96,174.06666666666666,
"2019-08-13 00:00:00",24,12,40,9,115,175.23333333333332,
"2019-08-14 00:00:00",27,9,45,8,89,174.5,
"2019-08-15 00:00:00",36,7,42,7,92,174.66666666666666,
"2019-08-16 00:00:00",25,7,22,11,116,174.06666666666666,
"2019-08-17 00:00:00",21,4,18,8,88,172.46666666666667,
"2019-08-18 00:00:00",21,6,32,8,68,170.83333333333334,
"2019-08-19 00:00:00",33,3,45,10,114,172.26666666666668,
"2019-08-20 00:00:00",28,6,43,6,102,173.73333333333332,
"2019-08-21 00:00:00",33,7,44,13,93,174.3,
"2019-08-22 00:00:00",30,9,45,7,107,175.3,
"2019-08-23 00:00:00",28,5,33,10,90,175.23333333333332,
"2019-08-24 00:00:00",27,8,14,12,98,174.73333333333332,
"2019-08-25 00:00:00",28,3,30,8,105,174.86666666666667,
"2019-08-26 00:00:00",38,9,54,8,96,175.53333333333333,
"2019-08-27 00:00:00",32,8,33,9,93,176.56666666666666,
"2019-08-28 00:00:00",33,11,49,8,91,176.5,
"2019-08-29 00:00:00",30,9,43,8,101,177.2,
"2019-08-30 00:00:00",27,7,35,10,112,177,
"2019-08-31 00:00:00",25,2,24,9,83,175.56666666666666,
"2019-09-01 00:00:00",21,1,33,6,94,175.23333333333332,
"2019-09-02 00:00:00",33,9,57,10,110,177.36666666666667,
"2019-09-03 00:00:00",23,4,41,7,100,178.46666666666667,
"2019-09-04 00:00:00",35,8,51,9,98,178.3,
"2019-09-05 00:00:00",28,8,39,7,87,177.6,
"2019-09-06 00:00:00",26,7,27,8,120,177.43333333333334,
"2019-09-07 00:00:00",25,7,24,7,88,176.7,
"2019-09-08 00:00:00",26,6,32,7,85,175.5,
"2019-09-09 00:00:00",36,10,37,11,91,177.53333333333333,
"2019-09-10 00:00:00",31,2,31,8,113,179.03333333333333,
"2019-09-11 00:00:00",28,7,50,10,89,178.63333333333333,
"2019-09-12 00:00:00",29,6,34,9,93,177.66666666666666,
"2019-09-13 00:00:00",26,8,30,12,103,177.7,
"2019-09-14 00:00:00",18,3,22,5,94,176.3,
"2019-09-15 00:00:00",25,3,24,7,81,174.93333333333334,
"2019-09-16 00:00:00",31,6,51,12,113,177.4,
"2019-09-17 00:00:00",29,4,36,10,86,178.4,
"2019-09-18 00:00:00",32,7,33,10,94,177.43333333333334,
"2019-09-19 00:00:00",28,11,45,11,110,178.1,
"2019-09-20 00:00:00",21,8,32,11,97,177.4,
"2019-09-21 00:00:00",36,8,24,7,91,176.33333333333334,
"2019-09-22 00:00:00",26,7,28,10,82,175.9,
"2019-09-23 00:00:00",27,11,45,9,96,176.86666666666667,
"2019-09-24 00:00:00",27,5,40,10,95,176.96666666666667,
"2019-09-25 00:00:00",32,6,36,8,108,176.46666666666667,
"2019-09-26 00:00:00",34,7,46,10,93,176.96666666666667,
"2019-09-27 00:00:00",25,4,38,10,114,176.93333333333334,
"2019-09-28 00:00:00",26,3,21,7,79,175.1,
"2019-09-29 00:00:00",22,5,29,7,79,173.46666666666667,
"2019-09-30 00:00:00",32,8,42,12,103,175.26666666666668,
"2019-10-01 00:00:00",39,11,39,14,90,176.53333333333333,
"2019-10-02 00:00:00",30,4,37,7,86,174.7,
"2019-10-03 00:00:00",34,5,42,9,100,175.2,
"2019-10-04 00:00:00",28,3,25,6,116,174.43333333333334,
"2019-10-05 00:00:00",29,4,30,7,116,175,
"2019-10-06 00:00:00",19,7,29,9,67,173.1,
"2019-10-07 00:00:00",32,2,56,12,96,174.66666666666666,
"2019-10-08 00:00:00",29,6,52,12,94,175.9,
"2019-10-09 00:00:00",35,5,52,6,101,176.36666666666667,
"2019-10-10 00:00:00",32,6,50,10,93,176.56666666666666,
"2019-10-11 00:00:00",25,3,34,8,84,175.56666666666666,
"2019-10-12 00:00:00",28,5,23,9,89,175,
"2019-10-13 00:00:00",34,6,32,10,74,174.23333333333332,
"2019-10-14 00:00:00",26,5,42,13,104,175.83333333333334,
"2019-10-15 00:00:00",27,9,44,11,98,177.46666666666667,
"2019-10-16 00:00:00",37,2,39,8,104,176.7,
"2019-10-17 00:00:00",28,1,41,9,84,176.63333333333333,
