"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","30-day Moving Average","Prior Year: 30-day Moving Average"
"2019-01-01 00:00:00",178425,28476,1276,0,94762,,
"2019-01-02 00:00:00",321007,58016,6708,3514,224254,,
"2019-01-03 00:00:00",296585,26547,4847,0,19237,,
"2019-01-04 00:00:00",549894,53542,10090,0,250930,,
"2019-01-05 00:00:00",506714,14647,2074,1640,51341,,
"2019-01-06 00:00:00",256660,3381,2415,4495,67064,,
"2019-01-07 00:00:00",509581,86505,3877,3432,350708,,
"2019-01-08 00:00:00",191687,85490,8769,5041,25706,,
"2019-01-09 00:00:00",674917,24545,7086,39,75980,,
"2019-01-10 00:00:00",203276,36317,619,6799,127052,,
"2019-01-11 00:00:00",132564,19817,4187,0,64809,,
"2019-01-12 00:00:00",335521,118058,6187,942,160200,,
"2019-01-13 00:00:00",173134,6668,3750,0,159030,,
"2019-01-14 00:00:00",321360,100505,1775,0,29467,,
"2019-01-15 00:00:00",168376,106892,5481,8639,53309,,
"2019-01-16 00:00:00",555291,7945,2615,981,20843,,
"2019-01-17 00:00:00",92334,60733,1419,2948,69139,,
"2019-01-18 00:00:00",252697,8086,1296,0,24575,,
"2019-01-19 00:00:00",401119,3826,2731,0,146502,,
"2019-01-20 00:00:00",160677,57799,1532,0,270701,,
"2019-01-21 00:00:00",425529,92684,1861,4459,96387,,
"2019-01-22 00:00:00",338753,4519,1559,6806,141215,,
"2019-01-23 00:00:00",481206,552,2873,942,100115,,
"2019-01-24 00:00:00",167633,138672,19446,39,8161,,
"2019-01-25 00:00:00",825040,54694,25281,0,70639,,
"2019-01-26 00:00:00",247085,0,923,0,62897,,
"2019-01-27 00:00:00",5589,84378,1088,0,56997,,
"2019-01-28 00:00:00",213234,17211,1911,1679,118172,,
"2019-01-29 00:00:00",53293,133358,6522,942,125120,,
"2019-01-30 00:00:00",719345,71478,3566,2220,199992,490951.4666666667,
