"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","30-day Moving Average","Prior Year: 30-day Moving Average"
"2019-01-01 00:00:00",194229,211628,0,0,187237,,
"2019-01-02 00:00:00",456424,126111,4038,1972,341751,,
"2019-01-03 00:00:00",181730,257995,4266,0,125307,,
"2019-01-04 00:00:00",146230,0,1509,0,183373,,
"2019-01-05 00:00:00",307800,121317,3385,2938,84605,,
"2019-01-06 00:00:00",115987,160492,9111,56,74284,,
"2019-01-07 00:00:00",423284,130977,19707,0,95548,,
"2019-01-08 00:00:00",156042,84391,6054,98,164348,,
"2019-01-09 00:00:00",286290,106149,3320,56,157662,,
"2019-01-10 00:00:00",78407,228866,5054,154,100348,,
"2019-01-11 00:00:00",131674,53550,2612,0,185535,,
"2019-01-12 00:00:00",446769,130740,2203,151,102316,,
"2019-01-13 00:00:00",364981,33298,7672,0,66745,,
"2019-01-14 00:00:00",374355,266888,3680,0,228472,,
"2019-01-15 00:00:00",178768,109495,2497,0,121973,,
"2019-01-16 00:00:00",366937,251645,10184,3027,72160,,
"2019-01-17 00:00:00",417059,226441,2188,205,33566,,
"2019-01-18 00:00:00",419078,197971,1875,0,191696,,
"2019-01-19 00:00:00",189919,695,2859,0,116960,,
"2019-01-20 00:00:00",518381,192225,2450,0,89754,,
"2019-01-21 00:00:00",173827,93596,0,289,271591,,
"2019-01-22 00:00:00",204574,81259,1631,177,209630,,
"2019-01-23 00:00:00",236408,162065,12600,151,67864,,
"2019-01-24 00:00:00",326117,286765,1875,56,116755,,
"2019-01-25 00:00:00",321802,110852,2444,0,130620,,
"2019-01-26 00:00:00",217008,0,3879,0,163937,,
"2019-01-27 00:00:00",140899,104573,1744,0,148596,,
"2019-01-28 00:00:00",465380,121407,2827,154,123356,,
"2019-01-29 00:00:00",85254,107922,4654,151,23152,,
"2019-01-30 00:00:00",109955,118470,4382,98,49863,542761.8,
"2019-01-31 00:00:00",317587,129439,4691,693,49312,539716.1,
"2019-02-01 00:00:00",278279,350900,2078,0,122712,533838.4333333333,
"2019-02-02 00:00:00",430478,54817,4433,0,207479,538102.0666666667,
"2019-02-03 00:00:00",149360,39116,926,151,78492,535999.8333333334,
"2019-02-04 00:00:00",94821,187818,5771,297,91378,531334.4666666667,
"2019-02-05 00:00:00",124144,108971,988,0,50627,528827.8,
"2019-02-06 00:00:00",418086,213666,0,154,149440,532555.4666666667,
"2019-02-07 00:00:00",163820,124892,1509,637,304626,538707.1666666666,
"2019-02-08 00:00:00",178387,179333,1340,294,188302,538513.1,
"2019-02-09 00:00:00",111135,51959,5951,98,104982,533889.6666666666,
"2019-02-10 00:00:00",451045,278852,1509,56,99646,549147.6333333333,
"2019-02-11 00:00:00",70491,239314,2275,98,165859,542342.9,
"2019-02-12 00:00:00",41285,53576,2832,0,84130,532647.1333333333,
"2019-02-13 00:00:00",49656,224521,14944,30,143111,517942.6,
"2019-02-14 00:00:00",289604,75557,9905,56,86286,519565.13333333336,
"2019-02-15 00:00:00",487463,220525,955,2561,141611,524537.2666666667,
"2019-02-16 00:00:00",120497,67405,5114,0,127391,512568.86666666664,
"2019-02-17 00:00:00",263342,57871,32720,828,142780,502132.86666666664,
"2019-02-18 00:00:00",338396,223475,6247,0,219277,518031.6,
"2019-02-19 00:00:00",252669,93067,3596,151,151987,507986.73333333334,
"2019-02-20 00:00:00",359745,174957,8488,98,36489,509335.86666666664,
"2019-02-21 00:00:00",346126,199779,5947,191,486549,527380,
"2019-02-22 00:00:00",551217,214678,15511,0,116721,541347.9,
"2019-02-23 00:00:00",371552,350966,8661,0,188917,547632.1666666666,
