"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","30-day Moving Average","Prior Year: 30-day Moving Average"
"2019-01-01 00:00:00",14,5,1,1,19,,
"2019-01-02 00:00:00",18,4,8,5,17,,
"2019-01-03 00:00:00",17,9,4,0,5,,
"2019-01-04 00:00:00",13,1,5,0,17,,
"2019-01-05 00:00:00",14,7,6,4,11,,
"2019-01-06 00:00:00",12,5,8,4,10,,
"2019-01-07 00:00:00",18,8,7,2,16,,
"2019-01-08 00:00:00",11,5,9,5,15,,
"2019-01-09 00:00:00",16,5,7,3,15,,
"2019-01-10 00:00:00",9,8,4,5,13,,
"2019-01-11 00:00:00",12,2,2,0,17,,
"2019-01-12 00:00:00",13,7,4,1,18,,
"2019-01-13 00:00:00",11,2,4,1,13,,
"2019-01-14 00:00:00",22,12,6,1,18,,
"2019-01-15 00:00:00",17,8,3,2,10,,
"2019-01-16 00:00:00",16,6,9,4,12,,
"2019-01-17 00:00:00",12,7,2,3,8,,
"2019-01-18 00:00:00",17,5,2,0,12,,
"2019-01-19 00:00:00",11,2,5,0,13,,
"2019-01-20 00:00:00",14,9,3,0,19,,
"2019-01-21 00:00:00",12,4,2,3,18,,
"2019-01-22 00:00:00",11,4,3,4,19,,
"2019-01-23 00:00:00",13,5,8,2,11,,
"2019-01-24 00:00:00",17,14,4,1,9,,
"2019-01-25 00:00:00",25,7,6,1,19,,
"2019-01-26 00:00:00",14,1,6,0,12,,
"2019-01-27 00:00:00",6,6,2,1,14,,
"2019-01-28 00:00:00",9,4,3,2,15,,
"2019-01-29 00:00:00",7,4,7,2,10,,
"2019-01-30 00:00:00",12,6,6,2,14,40.3,
"2019-01-31 00:00:00",15,3,6,2,5,40,
"2019-02-01 00:00:00",12,7,3,0,12,39.4,
"2019-02-02 00:00:00",12,2,6,1,9,39.233333333333334,
"2019-02-03 00:00:00",7,2,3,1,7,38.7,
"2019-02-04 00:00:00",7,6,7,2,14,38.5,
"2019-02-05 00:00:00",7,4,3,2,9,38.03333333333333,
"2019-02-06 00:00:00",10,5,0,3,15,37.43333333333333,
"2019-02-07 00:00:00",6,6,2,2,14,36.93333333333333,
"2019-02-08 00:00:00",11,6,4,3,14,36.666666666666664,
"2019-02-09 00:00:00",8,3,7,1,16,36.53333333333333,
"2019-02-10 00:00:00",12,9,3,2,10,36.63333333333333,
"2019-02-11 00:00:00",10,5,6,2,14,36.43333333333333,
"2019-02-12 00:00:00",4,2,3,0,12,36.1,
"2019-02-13 00:00:00",10,8,3,1,13,35.3,
"2019-02-14 00:00:00",11,5,7,1,12,35.166666666666664,
"2019-02-15 00:00:00",15,7,3,4,12,34.96666666666667,
"2019-02-16 00:00:00",10,3,6,0,14,35,
"2019-02-17 00:00:00",11,5,5,2,12,34.96666666666667,
"2019-02-18 00:00:00",11,11,7,2,12,35.36666666666667,
"2019-02-19 00:00:00",12,5,6,2,15,35.2,
"2019-02-20 00:00:00",8,7,7,2,9,35,
"2019-02-21 00:00:00",5,7,7,2,20,35,
"2019-02-22 00:00:00",14,9,3,3,15,35.166666666666664,
"2019-02-23 00:00:00",13,15,7,0,16,35.36666666666667,
"2019-02-24 00:00:00",16,9,7,3,12,35,
"2019-02-25 00:00:00",10,2,5,1,7,34.733333333333334,
"2019-02-26 00:00:00",14,6,4,1,19,35.233333333333334,
"2019-02-27 00:00:00",20,5,5,5,15,35.8,
"2019-02-28 00:00:00",7,9,1,2,11,35.8,
"2019-03-01 00:00:00",9,2,3,2,19,35.63333333333333,
"2019-03-02 00:00:00",8,6,3,4,14,35.766666666666666,
"2019-03-03 00:00:00",16,3,9,1,19,36.233333333333334,
"2019-03-04 00:00:00",13,6,3,0,15,36.46666666666667,
"2019-03-05 00:00:00",15,7,3,4,18,37.36666666666667,
"2019-03-06 00:00:00",8,8,11,2,11,37.5,
"2019-03-07 00:00:00",10,4,3,3,17,37.9,
"2019-03-08 00:00:00",13,8,5,0,16,38.2,
"2019-03-09 00:00:00",11,4,10,2,14,38.56666666666667,
"2019-03-10 00:00:00",10,4,1,1,12,38.233333333333334,
"2019-03-11 00:00:00",8,7,8,2,14,38.36666666666667,
"2019-03-12 00:00:00",12,2,2,3,13,38.233333333333334,
"2019-03-13 00:00:00",15,7,9,1,18,38.666666666666664,
"2019-03-14 00:00:00",12,6,2,1,20,39.333333333333336,
"2019-03-15 00:00:00",12,4,6,4,11,39.4,
"2019-03-16 00:00:00",14,4,6,1,16,39.56666666666667,
"2019-03-17 00:00:00",11,6,0,1,8,39.06666666666667,
"2019-03-18 00:00:00",11,6,5,2,16,39.3,
"2019-03-19 00:00:00",8,4,5,2,16,39.3,
"2019-03-20 00:00:00",13,5,4,1,18,39.233333333333334,
"2019-03-21 00:00:00",9,1,3,2,16,38.93333333333333,
"2019-03-22 00:00:00",9,4,4,2,8,38.733333333333334,
"2019-03-23 00:00:00",13,3,4,0,10,38.36666666666667,
"2019-03-24 00:00:00",5,8,3,1,11,37.833333333333336,
"2019-03-25 00:00:00",17,7,3,2,14,37.56666666666667,
"2019-03-26 00:00:00",15,5,14,3,31,38.266666666666666,
"2019-03-27 00:00:00",13,6,6,4,17,38.96666666666667,
"2019-03-28 00:00:00",15,4,5,1,14,38.8,
"2019-03-29 00:00:00",19,9,7,1,15,38.833333333333336,
"2019-03-30 00:00:00",18,7,5,0,13,39.266666666666666,
"2019-03-31 00:00:00",14,7,5,1,15,39.5,
"2019-04-01 00:00:00",9,10,8,2,14,39.766666666666666,
"2019-04-02 00:00:00",16,8,5,0,19,39.766666666666666,
"2019-04-03 00:00:00",13,7,6,4,16,40.06666666666667,
"2019-04-04 00:00:00",8,5,7,1,17,39.766666666666666,
"2019-04-05 00:00:00",14,4,2,3,10,39.53333333333333,
"2019-04-06 00:00:00",6,4,5,1,12,39.233333333333334,
"2019-04-07 00:00:00",12,6,3,1,18,39.166666666666664,
"2019-04-08 00:00:00",11,5,10,5,12,39.233333333333334,
"2019-04-09 00:00:00",12,8,3,3,15,39.666666666666664,
"2019-04-10 00:00:00",9,3,4,2,16,39.5,
"2019-04-11 00:00:00",13,6,6,2,14,39.8,
"2019-04-12 00:00:00",15,8,8,1,15,39.7,
"2019-04-13 00:00:00",13,5,1,2,13,39.46666666666667,
"2019-04-14 00:00:00",11,4,6,4,10,39.4,
"2019-04-15 00:00:00",9,6,7,2,21,39.53333333333333,
"2019-04-16 00:00:00",15,8,12,1,20,40.53333333333333,
"2019-04-17 00:00:00",17,4,9,3,23,41.06666666666667,
"2019-04-18 00:00:00",13,10,8,2,13,41.43333333333333,
"2019-04-19 00:00:00",18,8,3,4,12,41.56666666666667,
"2019-04-20 00:00:00",15,8,4,1,15,41.96666666666667,
"2019-04-21 00:00:00",13,13,5,0,12,42.5,
"2019-04-22 00:00:00",13,5,6,4,17,43,
"2019-04-23 00:00:00",16,8,1,1,17,43.5,
"2019-04-24 00:00:00",9,7,5,2,16,43.36666666666667,
"2019-04-25 00:00:00",13,3,4,1,14,42.266666666666666,
"2019-04-26 00:00:00",11,7,11,0,16,42.233333333333334,
"2019-04-27 00:00:00",22,10,4,2,13,42.63333333333333,
"2019-04-28 00:00:00",13,5,5,1,18,42.333333333333336,
"2019-04-29 00:00:00",11,14,8,3,21,42.8,
"2019-04-30 00:00:00",12,8,5,0,16,42.766666666666666,
"2019-05-01 00:00:00",12,1,4,3,16,42.53333333333333,
