"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","30-day Moving Average","Prior Year: 30-day Moving Average"
"2019-01-01 00:00:00",665002,235759,22399,14002,739750,,
"2019-01-02 00:00:00",842518,318222,71906,21225,418791,,
"2019-01-03 00:00:00",1264277,235526,1902,38885,794105,,
"2019-01-04 00:00:00",719398,244355,5143,15738,710700,,
"2019-01-05 00:00:00",813393,211372,36283,2112,1669289,,
"2019-01-06 00:00:00",984725,450829,23631,12936,597037,,
"2019-01-07 00:00:00",981016,529768,7464,20441,901769,,
"2019-01-08 00:00:00",799832,302160,8260,18902,742029,,
"2019-01-09 00:00:00",848840,405392,57434,24420,1102028,,
"2019-01-10 00:00:00",982204,381082,24006,12323,697134,,
"2019-01-11 00:00:00",965941,289531,11580,14253,1353625,,
"2019-01-12 00:00:00",698316,430942,39411,8953,786013,,
"2019-01-13 00:00:00",640723,572876,48792,15144,418610,,
"2019-01-14 00:00:00",923182,447909,20636,24198,772570,,
"2019-01-15 00:00:00",1195930,479700,21826,29244,985495,,
"2019-01-16 00:00:00",1058340,559932,17734,29780,926241,,
"2019-01-17 00:00:00",527551,502715,15269,13127,619153,,
"2019-01-18 00:00:00",721935,191040,25392,8022,948898,,
"2019-01-19 00:00:00",334091,289586,29648,15463,1212594,,
"2019-01-20 00:00:00",627465,351200,16229,10808,751802,,
"2019-01-21 00:00:00",598421,359863,21697,19273,722952,,
"2019-01-22 00:00:00",1015727,640492,18925,14630,550737,,
"2019-01-23 00:00:00",975808,365330,10673,20630,831775,,
"2019-01-24 00:00:00",959002,206982,25478,11965,508452,,
"2019-01-25 00:00:00",772465,605235,18540,9106,767090,,
"2019-01-26 00:00:00",982141,271850,27597,10068,985764,,
"2019-01-27 00:00:00",608636,291537,15940,16514,801315,,
"2019-01-28 00:00:00",733602,512018,51117,20916,1194134,,
"2019-01-29 00:00:00",888964,295002,24149,21167,990267,,
"2019-01-30 00:00:00",1101845,378448,43561,20738,470094,2094535.7,
"2019-01-31 00:00:00",949459,368666,18462,11682,1135918,2121445,
"2019-02-01 00:00:00",495723,442460,21559,16048,635464,2119398.066666667,
"2019-02-02 00:00:00",630572,216964,49701,12965,621956,2092646.8333333333,
"2019-02-03 00:00:00",445688,198823,25096,5540,328114,2069577.7,
"2019-02-04 00:00:00",606712,169123,14676,17166,679737,2028076.6,
"2019-02-05 00:00:00",806226,159166,10595,11888,431610,2006420.7,
"2019-02-06 00:00:00",1140949,347266,16378,26244,476567,1991985.3666666667,
"2019-02-07 00:00:00",619253,177326,56809,19930,487881,1974985.9666666666,
"2019-02-08 00:00:00",1391789,501642,32706,28930,1312014,2002618.2666666666,
"2019-02-09 00:00:00",765495,349362,42672,6419,477005,1987425.0666666667,
"2019-02-10 00:00:00",555394,335803,39251,24421,607238,1951664.2333333334,
