"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","30-day Moving Average","Prior Year: 30-day Moving Average"
"2019-01-01 00:00:00",145741,621013,939,4191,945395,,
"2019-01-02 00:00:00",407751,771067,29702,14782,626659,,
"2019-01-03 00:00:00",175858,570027,2991,6995,882144,,
"2019-01-04 00:00:00",659359,572888,1990,7642,683100,,
"2019-01-05 00:00:00",226859,757743,28105,1661,1178181,,
"2019-01-06 00:00:00",314075,683396,15163,3562,1061969,,
"2019-01-07 00:00:00",480983,1036698,29378,12798,1270101,,
"2019-01-08 00:00:00",469591,819246,56227,1265,885997,,
"2019-01-09 00:00:00",156061,1053867,25769,1456,833205,,
"2019-01-10 00:00:00",361892,1246907,49559,618,982001,,
"2019-01-11 00:00:00",444002,1169294,25668,2440,913855,,
"2019-01-12 00:00:00",322447,744939,13855,1995,1237802,,
"2019-01-13 00:00:00",576416,843575,44103,3585,1472080,,
"2019-01-14 00:00:00",479526,934366,27848,15089,859569,,
"2019-01-15 00:00:00",332608,973241,42209,7102,956446,,
"2019-01-16 00:00:00",329937,1004346,16974,4470,1172806,,
"2019-01-17 00:00:00",427833,1224815,46664,3114,1385866,,
"2019-01-18 00:00:00",447501,315736,63027,5674,809282,,
"2019-01-19 00:00:00",594626,1257746,16142,0,1327402,,
"2019-01-20 00:00:00",433301,849136,37423,1870,783406,,
"2019-01-21 00:00:00",470010,591152,4632,0,1386018,,
"2019-01-22 00:00:00",886302,1025432,11512,20621,858877,,
"2019-01-23 00:00:00",410377,417411,9470,5754,732010,,
"2019-01-24 00:00:00",574014,805086,19000,6792,907609,,
"2019-01-25 00:00:00",712752,967781,12953,3170,1040351,,
"2019-01-26 00:00:00",329005,921758,34875,5896,1038948,,
"2019-01-27 00:00:00",354394,811348,12999,3576,876006,,
"2019-01-28 00:00:00",521543,968426,16303,3963,977450,,
"2019-01-29 00:00:00",150218,844405,36637,11937,789547,,
"2019-01-30 00:00:00",629302,541555,43802,8046,849999,2294634.3333333335,
"2019-01-31 00:00:00",385019,853368,51157,1695,679950,2303098.2,
"2019-02-01 00:00:00",435657,772188,13453,1233,785460,2308365.7666666666,
"2019-02-02 00:00:00",340308,1073562,33815,4932,577584,2321438.566666667,
"2019-02-03 00:00:00",197763,656527,10011,4109,395038,2299387.3333333335,
"2019-02-04 00:00:00",512746,663643,28268,2043,257831,2275120.2,
"2019-02-05 00:00:00",788847,392095,4083,6358,154767,2250719.566666667,
"2019-02-06 00:00:00",523676,607649,14559,6305,764735,2220284.8,
"2019-02-07 00:00:00",280026,336994,30497,8227,738439,2192346.7,
"2019-02-08 00:00:00",305660,1262787,43412,5357,1622315,2231319.2333333334,
"2019-02-09 00:00:00",278423,968348,19538,187,1392038,2231904.533333333,
"2019-02-10 00:00:00",310723,1079477,7112,4636,1189444,2233108.8666666667,
"2019-02-11 00:00:00",273068,343177,12584,3239,528301,2194419.533333333,
"2019-02-12 00:00:00",239130,630944,21805,7446,1192391,2166151.3666666667,
"2019-02-13 00:00:00",535624,1155748,8090,6235,881180,2175167.4,
"2019-02-14 00:00:00",408233,1114136,50616,618,1818767,2211192.9,
"2019-02-15 00:00:00",565376,1230352,12904,3754,818316,2214598.433333333,
"2019-02-16 00:00:00",317948,801911,23952,1834,462142,2165248.1,
"2019-02-17 00:00:00",433877,539016,20582,2512,1410253,2190748.6666666665,
"2019-02-18 00:00:00",341349,1299929,23954,11999,1313119,2183896.8,
"2019-02-19 00:00:00",359588,774350,49694,3347,1269454,2195606.7,
"2019-02-20 00:00:00",166072,447813,10002,3912,778624,2160760.466666667,
"2019-02-21 00:00:00",372391,573946,68777,717,784406,2127343.533333333,
"2019-02-22 00:00:00",551528,726984,38406,2037,289631,2128462.3666666667,
"2019-02-23 00:00:00",116325,364555,21393,8210,872108,2097465.2666666666,
"2019-02-24 00:00:00",460529,844755,45744,5296,1347122,2096346.7,
"2019-02-25 00:00:00",172635,1566489,40550,5686,1676697,2134065.9,
"2019-02-26 00:00:00",289794,670080,36600,15425,1269338,2141496.533333333,
"2019-02-27 00:00:00",1130222,621767,55548,3081,1089991,2155260.3666666667,
"2019-02-28 00:00:00",174422,711958,19019,8097,389806,2137612.1666666665,
"2019-03-01 00:00:00",536007,623446,20556,3850,1428411,2155597.7,
"2019-03-02 00:00:00",296185,750041,5704,5123,567791,2144052.8666666667,
"2019-03-03 00:00:00",367959,849463,6798,6381,504112,2134943.566666667,
"2019-03-04 00:00:00",645697,780910,35781,5325,1370744,2161885.7333333334,
"2019-03-05 00:00:00",405110,817809,2126,3441,800885,2187416.7333333334,
