"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","30-day Moving Average","Prior Year: 30-day Moving Average"
"2019-01-01 00:00:00",19,34,5,12,66,,
"2019-01-02 00:00:00",69,43,18,14,45,,
"2019-01-03 00:00:00",51,29,9,19,59,,
"2019-01-04 00:00:00",52,37,8,12,63,,
"2019-01-05 00:00:00",48,40,14,9,73,,
"2019-01-06 00:00:00",53,41,20,10,69,,
"2019-01-07 00:00:00",75,57,11,24,81,,
"2019-01-08 00:00:00",47,38,14,15,57,,
"2019-01-09 00:00:00",69,59,19,18,74,,
"2019-01-10 00:00:00",47,57,17,11,66,,
"2019-01-11 00:00:00",56,46,17,14,67,,
"2019-01-12 00:00:00",52,42,18,10,76,,
"2019-01-13 00:00:00",52,48,17,6,65,,
"2019-01-14 00:00:00",61,53,19,19,76,,
"2019-01-15 00:00:00",54,45,20,13,64,,
"2019-01-16 00:00:00",71,49,13,17,63,,
"2019-01-17 00:00:00",47,49,15,14,56,,
"2019-01-18 00:00:00",53,20,16,16,67,,
"2019-01-19 00:00:00",44,40,18,12,86,,
"2019-01-20 00:00:00",48,36,16,11,55,,
"2019-01-21 00:00:00",56,36,16,7,93,,
"2019-01-22 00:00:00",68,50,10,17,56,,
"2019-01-23 00:00:00",60,33,12,18,52,,
"2019-01-24 00:00:00",55,42,16,11,65,,
"2019-01-25 00:00:00",66,48,17,10,72,,
"2019-01-26 00:00:00",45,36,20,11,71,,
"2019-01-27 00:00:00",52,33,12,11,55,,
"2019-01-28 00:00:00",65,48,18,16,80,,
"2019-01-29 00:00:00",54,38,19,20,62,,
"2019-01-30 00:00:00",71,37,16,18,49,192.73333333333332,
"2019-01-31 00:00:00",54,35,17,14,67,194.43333333333334,
"2019-02-01 00:00:00",52,44,14,18,59,194.36666666666667,
"2019-02-02 00:00:00",54,38,14,9,49,194.26666666666668,
"2019-02-03 00:00:00",40,24,12,5,29,192.2,
"2019-02-04 00:00:00",57,24,17,14,37,191.03333333333333,
"2019-02-05 00:00:00",50,19,11,12,26,188.53333333333333,
"2019-02-06 00:00:00",61,26,9,18,46,185.6,
"2019-02-07 00:00:00",50,21,22,13,42,184.83333333333334,
"2019-02-08 00:00:00",60,57,21,18,93,185.16666666666666,
"2019-02-09 00:00:00",49,46,16,5,78,185.03333333333333,
"2019-02-10 00:00:00",54,42,16,10,68,184.7,
"2019-02-11 00:00:00",55,22,18,21,42,183.36666666666667,
"2019-02-12 00:00:00",48,30,19,12,70,183.06666666666666,
"2019-02-13 00:00:00",66,50,11,14,79,182.8,
"2019-02-14 00:00:00",61,47,15,15,85,183.7,
"2019-02-15 00:00:00",61,53,18,13,70,183.76666666666668,
"2019-02-16 00:00:00",40,38,11,16,37,182.46666666666667,
"2019-02-17 00:00:00",53,23,13,11,52,181.8,
"2019-02-18 00:00:00",57,61,24,20,86,183.4,
"2019-02-19 00:00:00",64,39,14,15,76,184.8,
"2019-02-20 00:00:00",54,33,11,17,54,183.5,
"2019-02-21 00:00:00",46,22,19,14,51,181.86666666666667,
"2019-02-22 00:00:00",48,36,13,19,40,181.23333333333332,
"2019-02-23 00:00:00",36,20,12,13,55,179.46666666666667,
"2019-02-24 00:00:00",52,34,19,6,90,179.06666666666666,
"2019-02-25 00:00:00",41,57,24,16,80,180.23333333333332,
"2019-02-26 00:00:00",61,36,18,19,79,181.9,
"2019-02-27 00:00:00",59,25,13,7,59,179.76666666666668,
