"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-01-01 00:00:00",0,0,0,0,22795,,
"2019-01-02 00:00:00",0,0,0,0,179163,,
"2019-01-03 00:00:00",0,0,0,0,15490,,
"2019-01-04 00:00:00",0,53542,0,0,134014,,
"2019-01-05 00:00:00",0,0,0,0,42058,,
"2019-01-06 00:00:00",0,0,0,0,65654,,
"2019-01-07 00:00:00",0,0,0,0,256882,109942.57142857143,
"2019-01-08 00:00:00",0,0,0,0,15722,108932.14285714286,
"2019-01-09 00:00:00",0,0,0,0,74907,94038.42857142857,
"2019-01-10 00:00:00",0,8806,0,0,52584,100595.57142857143,
"2019-01-11 00:00:00",0,0,0,0,50552,81023.57142857143,
"2019-01-12 00:00:00",0,2694,0,0,81605,87058.14285714286,
"2019-01-13 00:00:00",0,0,0,0,38957,83244.28571428571,
"2019-01-14 00:00:00",0,21006,0,0,15050,51697.857142857145,
"2019-01-15 00:00:00",0,0,1088,0,620,49695.857142857145,
"2019-01-16 00:00:00",0,4979,0,0,19786,42532.857142857145,
"2019-01-17 00:00:00",0,0,0,0,68680,43574.28571428572,
"2019-01-18 00:00:00",0,0,0,0,23235,39671.857142857145,
"2019-01-19 00:00:00",0,0,0,0,136558,47137.28571428572,
"2019-01-20 00:00:00",0,0,0,0,176201,66743.57142857143,
"2019-01-21 00:00:00",0,22072,0,0,82123,76477.71428571429,
"2019-01-22 00:00:00",0,0,1088,0,65518,85748.85714285714,
"2019-01-23 00:00:00",0,0,0,0,25887,85909,
"2019-01-24 00:00:00",0,1383,0,0,7745,77401.57142857143,
"2019-01-25 00:00:00",0,0,0,0,43419,80285,
"2019-01-26 00:00:00",0,0,0,0,60499,69419.42857142857,
"2019-01-27 00:00:00",0,4979,1088,0,46470,51753.28571428572,
"2019-01-28 00:00:00",0,0,0,0,108695,52396,
"2019-01-29 00:00:00",0,0,0,0,20165,45761.57142857143,
"2019-01-30 00:00:00",0,0,0,0,117344,58826.857142857145,
"2019-01-31 00:00:00",0,0,0,0,0,57522.857142857145,
"2019-02-01 00:00:00",0,0,0,0,144944,72026.42857142857,
"2019-02-02 00:00:00",0,43995,0,0,15490,71881.57142857143,
"2019-02-03 00:00:00",0,0,0,0,39545,70025.42857142857,
"2019-02-04 00:00:00",0,0,235,0,46564,61183.28571428572,
"2019-02-05 00:00:00",0,0,0,0,30980,62728.28571428572,
"2019-02-06 00:00:00",0,0,0,0,65422,55310.857142857145,
"2019-02-07 00:00:00",0,9959,0,0,240815,91135.85714285714,
"2019-02-08 00:00:00",0,0,0,0,92397,83629.14285714286,
"2019-02-09 00:00:00",0,0,0,0,30980,79557,
"2019-02-10 00:00:00",0,0,0,0,38725,79439.85714285714,
"2019-02-11 00:00:00",0,0,0,0,182600,98839.85714285714,
"2019-02-12 00:00:00",0,0,0,0,7745,95520.57142857143,
"2019-02-13 00:00:00",0,0,0,0,31503,90675,
"2019-02-14 00:00:00",0,0,0,0,36129,60011.28571428572,
"2019-02-15 00:00:00",0,36363,0,0,75406,62778.857142857145,
"2019-02-16 00:00:00",0,0,0,0,68219,68098.71428571429,
"2019-02-17 00:00:00",0,0,0,0,107774,77962.85714285714,
"2019-02-18 00:00:00",0,48872,0,0,15490,61071.71428571428,
"2019-02-19 00:00:00",0,0,1088,0,291832,101811,
"2019-02-20 00:00:00",0,60173,0,0,194914,133751.57142857142,
"2019-02-21 00:00:00",0,0,0,0,124187,146331.2857142857,
"2019-02-22 00:00:00",0,0,0,0,30540,134727,
"2019-02-23 00:00:00",0,23777,0,0,69109,138251,
"2019-02-24 00:00:00",0,4979,0,0,31212,128025,
"2019-02-25 00:00:00",0,0,0,0,42187,124857.14285714286,
"2019-02-26 00:00:00",0,0,0,0,74804,93697.71428571429,
"2019-02-27 00:00:00",0,58705,0,0,147046,86649.71428571429,
