"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-01-01 00:00:00",0,2,0,0,8,,
"2019-01-02 00:00:00",0,0,0,0,7,,
"2019-01-03 00:00:00",0,2,0,0,3,,
"2019-01-04 00:00:00",0,1,0,0,8,,
"2019-01-05 00:00:00",0,2,0,0,4,,
"2019-01-06 00:00:00",0,0,0,0,8,,
"2019-01-07 00:00:00",0,2,0,0,9,8,
"2019-01-08 00:00:00",0,1,0,0,7,7.714285714285714,
"2019-01-09 00:00:00",0,1,0,0,11,8.428571428571429,
"2019-01-10 00:00:00",0,1,0,0,5,8.571428571428571,
"2019-01-11 00:00:00",0,0,0,0,8,8.428571428571429,
"2019-01-12 00:00:00",0,2,0,0,7,8.857142857142858,
"2019-01-13 00:00:00",0,1,0,0,6,8.714285714285714,
"2019-01-14 00:00:00",0,2,0,0,4,8,
"2019-01-15 00:00:00",0,0,1,0,6,7.857142857142857,
"2019-01-16 00:00:00",0,3,0,0,5,7.285714285714286,
"2019-01-17 00:00:00",0,2,0,0,6,7.571428571428571,
"2019-01-18 00:00:00",0,1,0,0,5,7.285714285714286,
"2019-01-19 00:00:00",0,0,0,0,7,7,
"2019-01-20 00:00:00",0,2,0,0,12,8,
"2019-01-21 00:00:00",0,2,0,0,7,8.428571428571429,
"2019-01-22 00:00:00",0,2,1,0,12,9.571428571428571,
"2019-01-23 00:00:00",0,1,0,0,4,9.142857142857142,
"2019-01-24 00:00:00",0,2,0,0,4,8.857142857142858,
"2019-01-25 00:00:00",0,0,0,0,9,9.285714285714286,
"2019-01-26 00:00:00",0,0,0,0,8,9.428571428571429,
"2019-01-27 00:00:00",0,1,1,0,9,9,
"2019-01-28 00:00:00",0,2,1,0,10,9.571428571428571,
"2019-01-29 00:00:00",0,2,0,0,4,8.285714285714286,
"2019-01-30 00:00:00",0,0,0,0,9,8.857142857142858,
"2019-01-31 00:00:00",0,1,0,0,2,8.428571428571429,
"2019-02-01 00:00:00",0,2,0,0,8,8.571428571428571,
"2019-02-02 00:00:00",0,1,0,0,5,8.285714285714286,
"2019-02-03 00:00:00",0,0,0,0,5,7.428571428571429,
"2019-02-04 00:00:00",0,1,1,0,9,7.142857142857143,
"2019-02-05 00:00:00",0,0,0,0,5,7,
"2019-02-06 00:00:00",0,2,0,0,9,7.285714285714286,
"2019-02-07 00:00:00",0,3,0,0,11,8.857142857142858,
"2019-02-08 00:00:00",0,2,0,0,9,9,
"2019-02-09 00:00:00",0,0,0,0,6,9,
"2019-02-10 00:00:00",0,2,0,0,6,9.428571428571429,
"2019-02-11 00:00:00",0,1,0,0,9,9.285714285714286,
"2019-02-12 00:00:00",0,1,0,0,4,9.285714285714286,
