"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-01-01 00:00:00",0,0,0,0,0,,
"2019-01-02 00:00:00",0,0,0,0,0,,
"2019-01-03 00:00:00",0,0,0,0,0,,
"2019-01-04 00:00:00",0,0,0,0,0,,
"2019-01-05 00:00:00",0,0,0,0,72839,,
"2019-01-06 00:00:00",0,0,0,0,0,,
"2019-01-07 00:00:00",0,0,0,0,0,10405.57142857143,
"2019-01-08 00:00:00",0,0,0,0,0,10405.57142857143,
"2019-01-09 00:00:00",0,0,0,0,0,10405.57142857143,
"2019-01-10 00:00:00",0,0,0,0,0,10405.57142857143,
"2019-01-11 00:00:00",0,0,0,0,0,10405.57142857143,
"2019-01-12 00:00:00",0,0,0,0,0,0,
"2019-01-13 00:00:00",0,0,261,0,5496,822.4285714285714,
"2019-01-14 00:00:00",0,0,0,0,0,822.4285714285714,
"2019-01-15 00:00:00",0,0,261,0,0,859.7142857142857,
"2019-01-16 00:00:00",0,0,0,0,0,859.7142857142857,
"2019-01-17 00:00:00",0,0,0,0,0,859.7142857142857,
"2019-01-18 00:00:00",0,0,0,0,72839,11265.285714285714,
"2019-01-19 00:00:00",0,0,0,0,72839,21670.85714285714,
"2019-01-20 00:00:00",0,0,0,0,0,20848.428571428572,
"2019-01-21 00:00:00",0,0,0,0,0,20848.428571428572,
"2019-01-22 00:00:00",0,0,0,0,0,20811.14285714286,
"2019-01-23 00:00:00",0,0,0,0,279235,60701.857142857145,
"2019-01-24 00:00:00",0,0,0,0,72839,71107.42857142857,
"2019-01-25 00:00:00",0,0,0,0,0,60701.857142857145,
"2019-01-26 00:00:00",0,0,0,0,72839,60701.857142857145,
"2019-01-27 00:00:00",0,0,0,0,43579,66927.42857142857,
"2019-01-28 00:00:00",0,0,0,0,5496,67712.57142857143,
"2019-01-29 00:00:00",0,0,0,0,0,67712.57142857143,
"2019-01-30 00:00:00",0,0,0,0,0,27821.85714285714,
"2019-01-31 00:00:00",0,0,0,0,95226,31020,
"2019-02-01 00:00:00",0,0,0,0,0,31020,
"2019-02-02 00:00:00",0,0,0,0,72839,31020,
"2019-02-03 00:00:00",0,0,0,0,0,24794.428571428572,
"2019-02-04 00:00:00",0,0,0,0,254905,60424.28571428572,
"2019-02-05 00:00:00",0,0,0,0,72839,70829.85714285714,
"2019-02-06 00:00:00",0,0,0,0,0,70829.85714285714,
"2019-02-07 00:00:00",0,0,0,0,72839,67631.71428571429,
"2019-02-08 00:00:00",0,0,0,0,0,67631.71428571429,
"2019-02-09 00:00:00",0,0,0,0,0,57226.142857142855,
"2019-02-10 00:00:00",0,0,0,0,0,57226.142857142855,
"2019-02-11 00:00:00",0,0,0,0,28470,24878.285714285714,
"2019-02-12 00:00:00",0,0,0,0,0,14472.714285714286,
"2019-02-13 00:00:00",0,0,0,0,292925,56319.142857142855,
"2019-02-14 00:00:00",0,0,0,0,43579,52139.142857142855,
"2019-02-15 00:00:00",0,0,0,0,0,52139.142857142855,
"2019-02-16 00:00:00",0,0,261,0,0,52176.42857142857,
"2019-02-17 00:00:00",0,0,0,0,0,52176.42857142857,
"2019-02-18 00:00:00",0,0,0,0,0,48109.28571428572,
"2019-02-19 00:00:00",0,0,0,0,72839,58514.857142857145,
"2019-02-20 00:00:00",0,0,0,0,0,16668.428571428572,
"2019-02-21 00:00:00",0,0,0,0,0,10442.857142857143,
"2019-02-22 00:00:00",0,0,0,0,0,10442.857142857143,
