"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-01-01 00:00:00",0,0,0,0,0,,
"2019-01-02 00:00:00",0,0,0,0,122611,,
"2019-01-03 00:00:00",0,0,0,0,34680,,
"2019-01-04 00:00:00",0,0,0,0,113545,,
"2019-01-05 00:00:00",0,0,0,0,0,,
"2019-01-06 00:00:00",0,0,0,0,82446,,
"2019-01-07 00:00:00",0,0,0,0,0,50468.857142857145,
"2019-01-08 00:00:00",0,0,0,0,34305,55369.57142857143,
"2019-01-09 00:00:00",0,0,0,0,111951,53846.71428571428,
"2019-01-10 00:00:00",0,0,0,0,32877,53589.142857142855,
"2019-01-11 00:00:00",0,0,0,0,228135,69959.14285714286,
"2019-01-12 00:00:00",0,0,0,0,107381,85299.28571428571,
"2019-01-13 00:00:00",0,0,0,0,86322,85853,
"2019-01-14 00:00:00",0,0,0,0,48106,92725.28571428571,
"2019-01-15 00:00:00",0,0,0,0,0,87824.57142857143,
"2019-01-16 00:00:00",0,0,0,0,79055,83125.14285714286,
"2019-01-17 00:00:00",0,0,0,0,51276,85753.57142857143,
"2019-01-18 00:00:00",0,0,0,0,0,53162.857142857145,
"2019-01-19 00:00:00",0,0,0,0,51266,45146.42857142857,
"2019-01-20 00:00:00",0,0,0,0,1085,32969.71428571428,
"2019-01-21 00:00:00",0,0,0,0,74179,36694.42857142857,
"2019-01-22 00:00:00",0,0,0,0,48670,43647.28571428572,
"2019-01-23 00:00:00",0,0,0,0,138920,52199.42857142857,
"2019-01-24 00:00:00",0,0,0,0,84170,56898.57142857143,
"2019-01-25 00:00:00",0,0,0,0,56629,64988.42857142857,
"2019-01-26 00:00:00",0,0,0,0,59492,66163.57142857143,
"2019-01-27 00:00:00",0,0,0,0,110989,81864.14285714286,
"2019-01-28 00:00:00",0,0,0,0,66492,80766,
"2019-01-29 00:00:00",0,0,0,0,71773,84066.42857142857,
"2019-01-30 00:00:00",0,0,0,0,0,64220.71428571428,
"2019-01-31 00:00:00",0,0,0,0,48582,59136.71428571428,
"2019-02-01 00:00:00",0,0,0,0,54132,58780,
"2019-02-02 00:00:00",0,0,0,0,75757,61103.57142857143,
"2019-02-03 00:00:00",0,0,0,0,259697,82347.57142857143,
"2019-02-04 00:00:00",0,0,0,0,56816,80965.28571428571,
"2019-02-05 00:00:00",0,16387,0,0,0,73053,
"2019-02-06 00:00:00",0,0,0,0,46214,79655,
"2019-02-07 00:00:00",0,0,0,0,58264,81038.14285714286,
"2019-02-08 00:00:00",0,0,0,0,40139,79039.14285714286,
"2019-02-09 00:00:00",0,0,0,0,44506,74574.71428571429,
"2019-02-10 00:00:00",0,0,0,0,33368,42242,
"2019-02-11 00:00:00",0,0,0,0,51442,41474.28571428572,
"2019-02-12 00:00:00",0,0,0,0,111984,55131,
"2019-02-13 00:00:00",0,0,0,0,0,48529,
"2019-02-14 00:00:00",0,0,0,0,49028,47209.57142857143,
"2019-02-15 00:00:00",0,0,0,0,81598,53132.28571428572,
"2019-02-16 00:00:00",0,0,0,0,0,46774.28571428572,
"2019-02-17 00:00:00",0,0,0,0,75023,52725,
"2019-02-18 00:00:00",0,0,0,0,77930,56509,
"2019-02-19 00:00:00",0,0,0,0,67522,50157.28571428572,
"2019-02-20 00:00:00",0,0,0,0,62697,59114,
"2019-02-21 00:00:00",0,0,0,0,163929,75528.42857142857,
"2019-02-22 00:00:00",0,0,0,0,63068,72881.28571428571,
"2019-02-23 00:00:00",0,0,0,0,0,72881.28571428571,
"2019-02-24 00:00:00",0,0,0,0,7876,63288.857142857145,
"2019-02-25 00:00:00",0,32134,0,0,0,56746.57142857143,
