"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-01-01 00:00:00",11036,25408,0,0,0,,
"2019-01-02 00:00:00",17671,0,0,0,0,,
"2019-01-03 00:00:00",97814,6026,0,608,0,,
"2019-01-04 00:00:00",2216,0,0,0,0,,
"2019-01-05 00:00:00",49232,0,0,0,0,,
"2019-01-06 00:00:00",24742,0,0,0,1800,,
"2019-01-07 00:00:00",0,6026,0,0,0,34654.71428571428,
"2019-01-08 00:00:00",32004,0,0,0,0,34020.28571428572,
"2019-01-09 00:00:00",6205,0,0,0,0,32382.285714285714,
"2019-01-10 00:00:00",6205,6026,0,0,0,19208.14285714286,
"2019-01-11 00:00:00",6205,6026,0,0,0,20638.85714285714,
"2019-01-12 00:00:00",62576,37632,0,0,0,27921.285714285714,
"2019-01-13 00:00:00",24195,0,0,0,1800,27843,
"2019-01-14 00:00:00",24459,13407,0,0,0,32391.714285714286,
"2019-01-15 00:00:00",12410,0,0,0,0,29592.571428571428,
"2019-01-16 00:00:00",0,0,0,0,0,28706.14285714286,
"2019-01-17 00:00:00",12004,0,14270,0,0,30712.285714285714,
"2019-01-18 00:00:00",30007,0,0,608,517,33412.57142857143,
"2019-01-19 00:00:00",52002,0,0,0,0,26525.85714285714,
"2019-01-20 00:00:00",21553,0,0,0,0,25891.285714285714,
"2019-01-21 00:00:00",5275,0,0,0,0,21235.285714285714,
"2019-01-22 00:00:00",45008,0,229,0,1800,26182.14285714286,
"2019-01-23 00:00:00",21107,0,0,0,0,29197.428571428572,
"2019-01-24 00:00:00",3536,0,0,0,0,25949.14285714286,
"2019-01-25 00:00:00",16514,0,0,0,0,23860.714285714286,
"2019-01-26 00:00:00",34972,54310,0,0,0,29186.571428571428,
"2019-01-27 00:00:00",9565,0,0,0,0,27474,
"2019-01-28 00:00:00",28255,6026,0,0,0,31617.85714285714,
"2019-01-29 00:00:00",22069,12053,2935,0,0,30192.285714285714,
"2019-01-30 00:00:00",46699,37940,0,0,4689,39938.28571428572,
