"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-01-01 00:00:00",2,1,1,0,0,,
"2019-01-02 00:00:00",1,1,0,0,0,,
"2019-01-03 00:00:00",5,1,0,1,0,,
"2019-01-04 00:00:00",1,0,0,0,1,,
"2019-01-05 00:00:00",4,0,0,0,0,,
"2019-01-06 00:00:00",3,0,0,0,1,,
"2019-01-07 00:00:00",2,2,0,0,0,3.857142857142857,
"2019-01-08 00:00:00",3,1,0,0,0,3.857142857142857,
"2019-01-09 00:00:00",2,0,0,0,0,3.857142857142857,
"2019-01-10 00:00:00",1,3,0,0,0,3.4285714285714284,
"2019-01-11 00:00:00",2,2,0,0,0,3.7142857142857144,
"2019-01-12 00:00:00",4,2,1,0,1,4.285714285714286,
"2019-01-13 00:00:00",2,1,0,0,1,4.285714285714286,
"2019-01-14 00:00:00",2,1,0,0,0,4.142857142857143,
"2019-01-15 00:00:00",2,1,0,0,0,4,
"2019-01-16 00:00:00",1,0,0,0,0,3.857142857142857,
"2019-01-17 00:00:00",2,1,1,0,0,3.857142857142857,
"2019-01-18 00:00:00",3,0,0,1,1,4,
"2019-01-19 00:00:00",3,1,0,0,0,3.4285714285714284,
"2019-01-20 00:00:00",3,1,0,0,0,3.4285714285714284,
"2019-01-21 00:00:00",1,0,0,0,0,3.142857142857143,
"2019-01-22 00:00:00",5,1,1,0,1,3.857142857142857,
"2019-01-23 00:00:00",1,0,1,0,0,4,
"2019-01-24 00:00:00",2,2,0,0,0,4,
"2019-01-25 00:00:00",2,0,0,0,0,3.5714285714285716,
"2019-01-26 00:00:00",2,2,0,0,0,3.5714285714285716,
"2019-01-27 00:00:00",1,0,0,0,0,3.142857142857143,
"2019-01-28 00:00:00",2,2,0,0,0,3.5714285714285716,
"2019-01-29 00:00:00",6,2,1,1,0,3.857142857142857,
"2019-01-30 00:00:00",2,2,0,0,1,4.285714285714286,
"2019-01-31 00:00:00",1,2,1,0,0,4.285714285714286,
"2019-02-01 00:00:00",2,1,0,1,0,4.571428571428571,
"2019-02-02 00:00:00",2,2,1,0,1,4.857142857142857,
"2019-02-03 00:00:00",5,0,1,0,1,5.714285714285714,
"2019-02-04 00:00:00",2,2,1,0,0,5.857142857142857,
"2019-02-05 00:00:00",1,1,0,0,0,4.714285714285714,
"2019-02-06 00:00:00",1,0,0,0,1,4.285714285714286,
"2019-02-07 00:00:00",3,2,0,0,1,4.571428571428571,
"2019-02-08 00:00:00",1,1,0,0,0,4.285714285714286,
"2019-02-09 00:00:00",5,0,0,1,0,4.285714285714286,
"2019-02-10 00:00:00",1,1,0,0,1,3.7142857142857144,
"2019-02-11 00:00:00",2,2,0,0,0,3.5714285714285716,
"2019-02-12 00:00:00",5,0,0,0,1,4.142857142857143,
"2019-02-13 00:00:00",1,1,1,0,0,4.285714285714286,
"2019-02-14 00:00:00",2,1,0,0,0,3.857142857142857,
"2019-02-15 00:00:00",2,1,0,1,1,4.285714285714286,
"2019-02-16 00:00:00",5,2,0,1,0,4.571428571428571,
"2019-02-17 00:00:00",6,3,0,0,0,5.428571428571429,
"2019-02-18 00:00:00",2,2,0,0,0,5.428571428571429,
"2019-02-19 00:00:00",5,1,0,1,0,5.571428571428571,
"2019-02-20 00:00:00",0,1,1,0,0,5.428571428571429,
"2019-02-21 00:00:00",0,3,0,0,0,5.428571428571429,
"2019-02-22 00:00:00",2,2,0,0,0,5.285714285714286,
"2019-02-23 00:00:00",5,1,0,0,0,5,
"2019-02-24 00:00:00",1,0,1,0,0,4,
"2019-02-25 00:00:00",2,2,0,1,0,4.142857142857143,
"2019-02-26 00:00:00",3,1,0,0,0,3.7142857142857144,
"2019-02-27 00:00:00",1,1,1,0,0,3.857142857142857,
"2019-02-28 00:00:00",2,1,0,0,1,4,
"2019-03-01 00:00:00",2,2,1,0,1,4.285714285714286,
"2019-03-02 00:00:00",4,1,1,1,0,4.428571428571429,
"2019-03-03 00:00:00",2,1,0,0,0,4.571428571428571,
"2019-03-04 00:00:00",2,1,0,0,1,4.428571428571429,
"2019-03-05 00:00:00",1,2,1,0,0,4.428571428571429,
"2019-03-06 00:00:00",2,1,1,0,0,4.571428571428571,
"2019-03-07 00:00:00",1,3,0,0,0,4.571428571428571,
"2019-03-08 00:00:00",2,3,0,0,0,4.428571428571429,
"2019-03-09 00:00:00",3,0,0,0,2,4.142857142857143,
"2019-03-10 00:00:00",2,2,1,0,0,4.428571428571429,
"2019-03-11 00:00:00",2,1,0,0,1,4.428571428571429,
"2019-03-12 00:00:00",5,1,2,0,0,5,
"2019-03-13 00:00:00",2,0,0,0,0,4.714285714285714,
"2019-03-14 00:00:00",2,0,0,0,0,4.428571428571429,
"2019-03-15 00:00:00",4,2,0,0,0,4.571428571428571,
"2019-03-16 00:00:00",3,3,0,0,0,4.714285714285714,
"2019-03-17 00:00:00",2,1,0,1,0,4.571428571428571,
"2019-03-18 00:00:00",4,1,2,0,0,5,
"2019-03-19 00:00:00",6,5,0,0,0,5.428571428571429,
"2019-03-20 00:00:00",2,1,0,0,0,5.571428571428571,
"2019-03-21 00:00:00",1,1,0,0,0,5.571428571428571,
"2019-03-22 00:00:00",1,2,0,0,0,5.142857142857143,
"2019-03-23 00:00:00",6,1,1,0,1,5.571428571428571,
"2019-03-24 00:00:00",3,3,1,0,0,6,
"2019-03-25 00:00:00",5,1,0,1,0,6,
"2019-03-26 00:00:00",2,2,1,0,0,5.142857142857143,
"2019-03-27 00:00:00",3,2,1,0,1,5.714285714285714,
"2019-03-28 00:00:00",2,1,0,0,0,5.857142857142857,
"2019-03-29 00:00:00",5,1,0,0,0,6.285714285714286,
"2019-03-30 00:00:00",6,1,1,0,1,6.285714285714286,
"2019-03-31 00:00:00",6,0,1,0,0,6.285714285714286,
"2019-04-01 00:00:00",3,2,0,0,0,6,
"2019-04-02 00:00:00",3,2,0,0,0,6,
"2019-04-03 00:00:00",4,0,0,0,1,5.714285714285714,
"2019-04-04 00:00:00",4,0,0,0,0,5.857142857142857,
"2019-04-05 00:00:00",3,1,0,0,1,5.714285714285714,
"2019-04-06 00:00:00",4,1,0,0,0,5.142857142857143,
"2019-04-07 00:00:00",2,1,0,0,0,4.571428571428571,
"2019-04-08 00:00:00",3,2,1,0,0,4.714285714285714,
"2019-04-09 00:00:00",3,3,0,1,0,5,
"2019-04-10 00:00:00",4,2,0,0,0,5.142857142857143,
"2019-04-11 00:00:00",3,1,1,0,0,5.285714285714286,
"2019-04-12 00:00:00",6,0,0,0,0,5.428571428571429,
"2019-04-13 00:00:00",5,0,0,0,0,5.428571428571429,
"2019-04-14 00:00:00",2,0,0,0,0,5.285714285714286,
"2019-04-15 00:00:00",2,0,0,0,0,4.714285714285714,
"2019-04-16 00:00:00",2,1,0,0,0,4.142857142857143,
"2019-04-17 00:00:00",3,3,0,1,0,4.285714285714286,
"2019-04-18 00:00:00",5,3,1,0,0,4.857142857142857,
"2019-04-19 00:00:00",3,1,0,1,1,4.857142857142857,
"2019-04-20 00:00:00",6,1,2,0,0,5.428571428571429,
"2019-04-21 00:00:00",4,2,0,0,1,6.142857142857143,
"2019-04-22 00:00:00",3,3,0,0,0,6.714285714285714,
"2019-04-23 00:00:00",4,0,0,0,3,7.285714285714286,
"2019-04-24 00:00:00",6,2,0,0,0,7.428571428571429,
"2019-04-25 00:00:00",3,1,0,0,0,6.714285714285714,
"2019-04-26 00:00:00",6,3,0,0,0,7.142857142857143,
"2019-04-27 00:00:00",5,0,0,0,0,6.571428571428571,
"2019-04-28 00:00:00",3,2,0,0,1,6.428571428571429,
"2019-04-29 00:00:00",1,1,0,1,0,6,
"2019-04-30 00:00:00",3,1,1,0,0,5.714285714285714,
"2019-05-01 00:00:00",5,2,1,0,0,5.714285714285714,
"2019-05-02 00:00:00",2,2,1,0,2,6.142857142857143,
"2019-05-03 00:00:00",2,2,0,0,2,5.714285714285714,
"2019-05-04 00:00:00",3,1,0,0,0,5.571428571428571,
"2019-05-05 00:00:00",6,3,1,0,3,6.571428571428571,
"2019-05-06 00:00:00",5,0,1,0,0,7,
"2019-05-07 00:00:00",2,2,0,0,0,6.857142857142857,
"2019-05-08 00:00:00",4,0,0,0,0,6.285714285714286,
"2019-05-09 00:00:00",0,1,2,0,1,5.857142857142857,
"2019-05-10 00:00:00",3,0,0,0,2,5.714285714285714,
"2019-05-11 00:00:00",4,1,0,2,1,6.285714285714286,
"2019-05-12 00:00:00",5,3,0,0,0,5.571428571428571,
"2019-05-13 00:00:00",6,2,0,0,0,5.857142857142857,
"2019-05-14 00:00:00",2,0,0,0,3,6,
"2019-05-15 00:00:00",2,2,0,0,0,6,
"2019-05-16 00:00:00",2,1,0,0,0,5.857142857142857,
"2019-05-17 00:00:00",3,1,0,0,0,5.714285714285714,
"2019-05-18 00:00:00",1,1,0,0,0,4.857142857142857,
"2019-05-19 00:00:00",1,3,0,0,0,4.285714285714286,
"2019-05-20 00:00:00",3,1,0,0,0,3.7142857142857144,
"2019-05-21 00:00:00",2,3,0,0,0,3.7142857142857144,
"2019-05-22 00:00:00",0,2,0,0,0,3.4285714285714284,
"2019-05-23 00:00:00",4,2,0,0,0,3.857142857142857,
"2019-05-24 00:00:00",3,2,1,0,1,4.285714285714286,
"2019-05-25 00:00:00",5,1,0,0,0,4.857142857142857,
"2019-05-26 00:00:00",3,4,0,0,0,5.285714285714286,
