"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-01-01 00:00:00",792164,159364,0,0,24909,,
"2019-01-02 00:00:00",405060,26882,3603,0,14978,,
"2019-01-03 00:00:00",419700,6459,1801,251,64601,,
"2019-01-04 00:00:00",447068,0,275,503,29097,,
"2019-01-05 00:00:00",489706,49778,2080,0,42732,,
"2019-01-06 00:00:00",681150,21298,1801,0,5527,,
"2019-01-07 00:00:00",550687,12919,0,251,24653,611330.1428571428,
"2019-01-08 00:00:00",669821,116615,0,0,46098,590772.5714285715,
"2019-01-09 00:00:00",490552,85275,1801,0,84251,620966.1428571428,
"2019-01-10 00:00:00",792522,1381,10927,251,18106,668162.4285714285,
"2019-01-11 00:00:00",1030668,0,0,0,44461,753617.1428571428,
"2019-01-12 00:00:00",885649,0,3603,251,78568,808442,
"2019-01-13 00:00:00",655071,46934,5507,0,46851,814811.7142857143,
"2019-01-14 00:00:00",809840,56397,9822,0,32501,860533.1428571428,
"2019-01-15 00:00:00",492711,9872,0,503,67383,823095.4285714285,
"2019-01-16 00:00:00",627479,53213,0,251,19368,828585.8571428572,
"2019-01-17 00:00:00",629818,46600,6125,0,46105,815080.2857142857,
"2019-01-18 00:00:00",741614,20899,0,0,203116,799437.4285714285,
"2019-01-19 00:00:00",775935,27978,0,0,18141,778577.8571428572,
"2019-01-20 00:00:00",574456,6459,3603,251,32765,759031,
"2019-01-21 00:00:00",746487,40336,4149,0,99169,756399.5714285715,
"2019-01-22 00:00:00",901063,141751,0,251,19205,826656.8571428572,
"2019-01-23 00:00:00",618495,52949,1801,251,62657,831777.2857142857,
"2019-01-24 00:00:00",672418,150088,282,0,5126,845958,
"2019-01-25 00:00:00",484476,69141,9008,0,37211,793702,
"2019-01-26 00:00:00",576727,20424,0,0,20192,764457.5714285715,
"2019-01-27 00:00:00",429324,65456,0,0,56563,755001.4285714285,
"2019-01-28 00:00:00",566103,28935,2476,0,12439,714974.5714285715,
"2019-01-29 00:00:00",495434,26843,7323,0,36795,644135.2857142857,
"2019-01-30 00:00:00",640285,41424,0,251,11536,638041.2857142857,
"2019-01-31 00:00:00",479535,0,0,0,18892,590971.7142857143,
"2019-02-01 00:00:00",1165505,70946,5521,0,52333,690181.7142857143,
"2019-02-02 00:00:00",661113,110198,1183,0,92041,725495.1428571428,
"2019-02-03 00:00:00",745902,33681,5521,0,79328,770222.2857142857,
"2019-02-04 00:00:00",479922,12919,1801,0,218092,784905.2857142857,
"2019-02-05 00:00:00",536062,64266,1801,0,15160,792175.8571428572,
"2019-02-06 00:00:00",636153,6459,0,0,64075,794060.2857142857,
"2019-02-07 00:00:00",386354,43323,1801,0,109405,800125.5714285715,
"2019-02-08 00:00:00",594346,0,0,0,34382,705042.8571428572,
"2019-02-09 00:00:00",338948,32301,1801,0,21258,637867.2857142857,
"2019-02-10 00:00:00",380327,54171,1801,0,16135,579010.4285714285,
"2019-02-11 00:00:00",681608,40696,0,0,76711,591336.2857142857,
"2019-02-12 00:00:00",330574,25169,1801,0,3903,554787.5714285715,
"2019-02-13 00:00:00",217923,64006,1801,0,35880,499490.71428571426,
"2019-02-14 00:00:00",122315,43403,0,0,25552,449545.85714285716,
"2019-02-15 00:00:00",280447,43676,1801,0,65493,415644.5714285714,
"2019-02-16 00:00:00",190441,6459,3603,251,42494,394064.85714285716,
"2019-02-17 00:00:00",254888,0,0,0,25530,369490.85714285716,
"2019-02-18 00:00:00",184430,23310,0,0,27520,288954.4285714286,
"2019-02-19 00:00:00",215393,580,4893,503,0,268943.14285714284,
"2019-02-20 00:00:00",410430,26895,0,0,55154,293638.5714285714,
"2019-02-21 00:00:00",423379,56482,1801,251,21759,338267.71428571426,
"2019-02-22 00:00:00",263613,27799,0,0,65760,333375.4285714286,
"2019-02-23 00:00:00",557095,0,1801,0,37485,383822.71428571426,
"2019-02-24 00:00:00",537774,6459,1801,0,10837,423316.28571428574,
"2019-02-25 00:00:00",412263,39238,2237,0,10069,455965.85714285716,
"2019-02-26 00:00:00",303561,12919,5521,251,25635,474040,
"2019-02-27 00:00:00",532131,54646,0,0,63401,496568.5714285714,
"2019-02-28 00:00:00",231021,23575,1801,0,32729,465919,
"2019-03-01 00:00:00",430003,27342,4127,0,21745,483925.4285714286,
"2019-03-02 00:00:00",181934,0,0,251,39374,430379.5714285714,
"2019-03-03 00:00:00",346200,34994,0,251,13543,407253.4285714286,
"2019-03-04 00:00:00",369378,12284,5080,0,33056,400966.71428571426,
"2019-03-05 00:00:00",227821,12919,0,251,0,385695.5714285714,
"2019-03-06 00:00:00",301742,23946,2667,251,26166,343494.85714285716,
"2019-03-07 00:00:00",325651,6459,1801,251,74207,360529.71428571426,
"2019-03-08 00:00:00",502131,46837,0,0,291741,411600,
"2019-03-09 00:00:00",372969,40458,1801,503,5014,440055.28571428574,
"2019-03-10 00:00:00",530956,875,0,2187,7782,461028.28571428574,
"2019-03-11 00:00:00",279549,81106,5523,0,26783,457194.28571428574,
"2019-03-12 00:00:00",389040,6459,5474,503,42834,486240,
"2019-03-13 00:00:00",401655,0,654,0,28801,497145.28571428574,
"2019-03-14 00:00:00",419835,64225,1801,2394,44708,514944.4285714286,
"2019-03-15 00:00:00",488938,42946,0,251,59380,479345.28571428574,
"2019-03-16 00:00:00",506889,15096,3603,251,41781,500327.28571428574,
"2019-03-17 00:00:00",368340,0,0,503,14337,477667.28571428574,
"2019-03-18 00:00:00",368826,238,2325,0,44972,481010,
"2019-03-19 00:00:00",483106,1061,4127,503,55021,495225.5714285714,
"2019-03-20 00:00:00",162759,0,3987,0,39279,463070.71428571426,
"2019-03-21 00:00:00",601776,28273,1801,251,14166,479257,
"2019-03-22 00:00:00",463858,70228,2633,0,4398,472057.4285714286,
"2019-03-23 00:00:00",390084,20737,2325,251,2974,450450.4285714286,
"2019-03-24 00:00:00",740000,0,0,251,17396,503945.71428571426,
"2019-03-25 00:00:00",437325,18408,7678,251,90525,523635.4285714286,
"2019-03-26 00:00:00",409653,37322,3709,0,46484,516971,
"2019-03-27 00:00:00",618079,58116,1801,251,220923,615991.8571428572,
"2019-03-28 00:00:00",551028,51197,5049,0,37345,615756.1428571428,
"2019-03-29 00:00:00",394729,23379,1801,251,128209,616792.2857142857,
"2019-03-30 00:00:00",480869,13234,0,0,4835,628587.4285714285,
"2019-03-31 00:00:00",649548,60033,1801,251,39225,627617.8571428572,
"2019-04-01 00:00:00",455389,70303,3603,0,21435,627123.7142857143,
"2019-04-02 00:00:00",437308,40458,1801,251,7577,625727.7142857143,
"2019-04-03 00:00:00",470612,48382,1801,251,52348,579188.1428571428,
"2019-04-04 00:00:00",660577,0,0,0,2084,581765.4285714285,
"2019-04-05 00:00:00",309344,0,10498,2192,25192,553030.5714285715,
"2019-04-06 00:00:00",675508,103498,0,251,45247,599540,
"2019-04-07 00:00:00",888388,12284,1801,0,47406,627971.4285714285,
"2019-04-08 00:00:00",57488,0,8747,0,1296,558942.8571428572,
"2019-04-09 00:00:00",230581,0,3672,0,5432,523555.4285714286,
"2019-04-10 00:00:00",702289,53834,0,251,57143,557858.7142857143,
"2019-04-11 00:00:00",388487,29813,8580,0,17214,526635.1428571428,
"2019-04-12 00:00:00",653045,0,0,251,18633,573021.2857142857,
"2019-04-13 00:00:00",500010,6459,3603,0,103301,542859.8571428572,
"2019-04-14 00:00:00",534277,11405,0,0,10859,486668.5714285714,
"2019-04-15 00:00:00",464082,33558,0,251,67459,557785.7142857143,
"2019-04-16 00:00:00",431957,1464,1801,0,32208,590320.8571428572,
"2019-04-17 00:00:00",549399,40458,0,0,13890,560353.5714285715,
"2019-04-18 00:00:00",408123,0,1801,0,12224,557218.2857142857,
"2019-04-19 00:00:00",536141,0,8282,0,42868,545127,
"2019-04-20 00:00:00",650164,42710,0,0,81991,568197,
"2019-04-21 00:00:00",271807,47689,1801,0,49612,541678.1428571428,
"2019-04-22 00:00:00",0,0,0,0,0,460913.71428571426,
"2019-04-23 00:00:00",386930,6698,4167,251,16425,453348.14285714284,
"2019-04-24 00:00:00",535876,28591,0,0,49730,454841,
"2019-04-25 00:00:00",502414,0,3672,0,24138,470280.4285714286,
"2019-04-26 00:00:00",819791,11885,3603,0,69638,515655.71428571426,
"2019-04-27 00:00:00",987992,21233,238,251,51137,556511.2857142857,
"2019-04-28 00:00:00",585867,46939,0,251,61245,602710.4285714285,
"2019-04-29 00:00:00",593340,23310,3603,0,27417,695235,
"2019-04-30 00:00:00",52223,14732,0,0,3840,646138.2857142857,
"2019-05-01 00:00:00",297728,0,1881,0,524,601272.1428571428,
"2019-05-02 00:00:00",786199,24513,1801,5201,36118,647501.8571428572,
"2019-05-03 00:00:00",816678,39872,3603,0,73256,651572.1428571428,
"2019-05-04 00:00:00",578792,43291,1801,251,37064,594479,
"2019-05-05 00:00:00",630921,43412,3672,0,27098,596021.8571428572,
"2019-05-06 00:00:00",429102,51291,2152,0,35772,577542.7142857143,
"2019-05-07 00:00:00",722689,0,7236,0,29353,675897.4285714285,
"2019-05-08 00:00:00",439743,12284,0,2852,49419,705063.8571428572,
"2019-05-09 00:00:00",453194,0,5521,503,22738,651938.8571428572,
"2019-05-10 00:00:00",541063,53400,0,0,27048,607381.7142857143,
"2019-05-11 00:00:00",356002,39887,0,503,17517,572054.4285714285,
"2019-05-12 00:00:00",779806,45076,1801,0,19137,592157,
"2019-05-13 00:00:00",629228,21518,1801,251,42690,617467.4285714285,
"2019-05-14 00:00:00",359627,0,1801,0,60462,569269.1428571428,
"2019-05-15 00:00:00",515452,25175,7145,105,12963,577346.5714285715,
"2019-05-16 00:00:00",464190,16919,1801,0,17321,579957.2857142857,
"2019-05-17 00:00:00",1724,0,0,0,10415,492904.28571428574,
"2019-05-18 00:00:00",735951,55049,1941,251,11519,548733.1428571428,
"2019-05-19 00:00:00",423962,19936,0,0,10666,492839.14285714284,
"2019-05-20 00:00:00",466251,31788,7276,0,40235,471419.14285714284,
"2019-05-21 00:00:00",429703,21991,0,251,55285,483610.71428571426,
"2019-05-22 00:00:00",641009,50656,0,0,15668,504538.28571428574,
"2019-05-23 00:00:00",584882,66332,0,251,10473,527639.1428571428,
"2019-05-24 00:00:00",409282,101109,7253,0,17516,602356.7142857143,
"2019-05-25 00:00:00",808169,0,586,0,0,602934.2857142857,
"2019-05-26 00:00:00",579597,6459,0,0,25155,625312.5714285715,
"2019-05-27 00:00:00",441662,23310,1801,5201,24052,618237.8571428572,
"2019-05-28 00:00:00",718449,39315,1801,251,78175,665489.5714285715,
"2019-05-29 00:00:00",462144,16919,1801,251,31341,637650.1428571428,
"2019-05-30 00:00:00",390529,41701,1801,0,23166,608401.5714285715,
"2019-05-31 00:00:00",600232,40548,1801,251,21143,626803.7142857143,
"2019-06-01 00:00:00",445835,32598,0,0,35372,584668,
"2019-06-02 00:00:00",625859,23741,0,0,45310,596624.8571428572,
"2019-06-03 00:00:00",400546,28888,1801,0,23340,590703.2857142857,
"2019-06-04 00:00:00",491812,23379,3709,251,7917,546285.5714285715,
"2019-06-05 00:00:00",428981,15372,5329,0,4519,537963.4285714285,
"2019-06-06 00:00:00",340489,0,1801,0,44770,527943.8571428572,
"2019-06-07 00:00:00",450869,0,0,524,107773,512970.85714285716,
"2019-06-08 00:00:00",538831,36230,1881,0,34474,526915.2857142857,
"2019-06-09 00:00:00",1054463,40458,0,0,39595,589716.2857142857,
"2019-06-10 00:00:00",423134,33993,1801,0,54960,598189.5714285715,
"2019-06-11 00:00:00",602247,65198,5474,251,36824,624322,
"2019-06-12 00:00:00",476217,6459,4127,0,23995,632407.1428571428,
"2019-06-13 00:00:00",392868,0,0,0,46773,639918.5714285715,
"2019-06-14 00:00:00",858388,66044,0,0,7933,693232.5714285715,
"2019-06-15 00:00:00",550632,140527,0,251,31583,709172.2857142857,
"2019-06-16 00:00:00",438751,53009,0,0,5591,618148.7142857143,
"2019-06-17 00:00:00",599318,6459,0,350,8131,632487.1428571428,
"2019-06-18 00:00:00",463488,20424,1801,0,36364,605641.7142857143,
"2019-06-19 00:00:00",375660,0,0,0,28037,590341.4285714285,
"2019-06-20 00:00:00",565846,19822,0,0,69274,621098.8571428572,
"2019-06-21 00:00:00",625383,44897,1801,0,63305,592959.4285714285,
"2019-06-22 00:00:00",732827,27000,0,251,39497,603899.8571428572,
"2019-06-23 00:00:00",470693,7462,0,251,9845,602600.1428571428,
"2019-06-24 00:00:00",562237,42241,2105,251,17582,604051.5714285715,
"2019-06-25 00:00:00",620641,17865,3603,251,64512,630450.8571428572,
"2019-06-26 00:00:00",140849,0,0,0,69981,602898.4285714285,
"2019-06-27 00:00:00",480307,17030,1801,251,30037,584967.7142857143,
"2019-06-28 00:00:00",574680,64041,3603,251,27403,575623.5714285715,
"2019-06-29 00:00:00",883291,93727,3603,251,16700,603908.7142857143,
"2019-06-30 00:00:00",366913,17698,0,0,53205,596703.4285714285,
"2019-07-01 00:00:00",685065,41556,9125,0,66320,622081.8571428572,
"2019-07-02 00:00:00",680810,51547,5405,251,38742,632065.1428571428,
"2019-07-03 00:00:00",417688,62039,0,0,15067,672631.4285714285,
"2019-07-04 00:00:00",445442,6459,4759,0,5638,663041.5714285715,
"2019-07-05 00:00:00",580191,81188,0,0,57832,670074.7142857143,
"2019-07-06 00:00:00",639565,88332,1801,503,13235,633769.7142857143,
"2019-07-07 00:00:00",579454,33963,0,0,88453,671491.7142857143,
"2019-07-08 00:00:00",773427,0,0,0,50236,674576.7142857143,
"2019-07-09 00:00:00",543382,2844,3987,251,21219,645280.7142857143,
"2019-07-10 00:00:00",319661,19617,1801,0,39001,628893.1428571428,
"2019-07-11 00:00:00",522505,12919,320,251,78870,650688.5714285715,
"2019-07-12 00:00:00",527093,35443,0,503,36404,633579,
"2019-07-13 00:00:00",746380,62213,0,0,38217,648346.2857142857,
"2019-07-14 00:00:00",482572,35239,1801,251,49303,629388.8571428572,
"2019-07-15 00:00:00",529703,32151,5622,0,9126,594094.7142857143,
"2019-07-16 00:00:00",487482,12284,3279,251,48895,591310.1428571428,
"2019-07-17 00:00:00",521771,68148,0,503,36505,626574,
"2019-07-18 00:00:00",224071,71314,7847,0,199358,610534.4285714285,
"2019-07-19 00:00:00",563174,7462,0,0,38364,611899.7142857143,
"2019-07-20 00:00:00",618432,42747,6035,0,81885,597941.1428571428,
"2019-07-21 00:00:00",383209,59877,0,251,13236,581856.2857142857,
"2019-07-22 00:00:00",577464,0,0,251,56139,590035.1428571428,
"2019-07-23 00:00:00",346619,45915,10809,251,2260,569129.8571428572,
"2019-07-24 00:00:00",484928,40458,3672,503,14829,557338.8571428572,
"2019-07-25 00:00:00",750757,40168,2325,0,68545,608653.8571428572,
"2019-07-26 00:00:00",568807,23549,0,251,73521,616815,
"2019-07-27 00:00:00",446764,0,0,0,73834,584172,
"2019-07-28 00:00:00",598961,0,0,0,6733,605474.8571428572,
"2019-07-29 00:00:00",275056,63858,4127,0,42477,569998.1428571428,
"2019-07-30 00:00:00",333640,6459,5521,0,54600,569193.2857142857,
"2019-07-31 00:00:00",626978,82154,1801,251,21061,596029.7142857143,
"2019-08-01 00:00:00",602904,0,0,0,51507,566403.2857142857,
"2019-08-02 00:00:00",721701,51283,1801,0,31507,586426.7142857143,
"2019-08-03 00:00:00",453586,94653,3987,251,2920,591398.1428571428,
"2019-08-04 00:00:00",503620,5086,2325,0,9393,579216.7142857143,
