"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-01-01 00:00:00",31,8,1,0,8,,
"2019-01-02 00:00:00",27,4,4,1,8,,
"2019-01-03 00:00:00",30,5,3,1,14,,
"2019-01-04 00:00:00",29,0,2,2,13,,
"2019-01-05 00:00:00",26,8,6,0,11,,
"2019-01-06 00:00:00",30,3,3,0,14,,
"2019-01-07 00:00:00",29,9,2,2,11,49.285714285714285,
"2019-01-08 00:00:00",34,7,1,0,12,50.142857142857146,
"2019-01-09 00:00:00",25,7,4,1,19,51.857142857142854,
"2019-01-10 00:00:00",28,7,4,1,9,51.285714285714285,
"2019-01-11 00:00:00",33,3,0,1,12,51.714285714285715,
"2019-01-12 00:00:00",28,3,2,1,16,51.57142857142857,
"2019-01-13 00:00:00",29,5,5,0,20,52.857142857142854,
"2019-01-14 00:00:00",30,5,4,1,16,53.285714285714285,
"2019-01-15 00:00:00",24,7,1,2,15,52.57142857142857,
"2019-01-16 00:00:00",30,5,1,1,12,51.57142857142857,
"2019-01-17 00:00:00",35,5,2,0,13,52.42857142857143,
"2019-01-18 00:00:00",27,3,2,0,18,52.57142857142857,
"2019-01-19 00:00:00",32,5,2,1,7,52.142857142857146,
"2019-01-20 00:00:00",27,5,3,1,10,50.285714285714285,
"2019-01-21 00:00:00",25,3,4,0,15,49,
"2019-01-22 00:00:00",25,10,1,1,12,49,
"2019-01-23 00:00:00",30,7,2,1,20,50.57142857142857,
"2019-01-24 00:00:00",31,9,4,1,15,51.285714285714285,
"2019-01-25 00:00:00",24,5,6,0,16,51.42857142857143,
"2019-01-26 00:00:00",34,10,1,0,9,52.42857142857143,
"2019-01-27 00:00:00",24,5,2,1,11,52,
"2019-01-28 00:00:00",23,6,6,1,12,52.142857142857146,
"2019-01-29 00:00:00",33,5,2,0,13,52.714285714285715,
"2019-01-30 00:00:00",26,10,0,1,11,51,
"2019-01-31 00:00:00",21,5,1,0,9,47.57142857142857,
"2019-02-01 00:00:00",31,6,3,0,26,49.714285714285715,
"2019-02-02 00:00:00",34,8,1,0,26,51.857142857142854,
"2019-02-03 00:00:00",28,5,3,1,10,52.42857142857143,
"2019-02-04 00:00:00",20,5,1,0,17,51.714285714285715,
"2019-02-05 00:00:00",20,4,1,0,10,49.142857142857146,
"2019-02-06 00:00:00",27,2,0,0,12,48.142857142857146,
"2019-02-07 00:00:00",13,6,2,0,5,46.714285714285715,
"2019-02-08 00:00:00",27,6,0,1,18,44.714285714285715,
"2019-02-09 00:00:00",19,7,1,0,14,40.714285714285715,
"2019-02-10 00:00:00",21,6,2,0,16,40.42857142857143,
"2019-02-11 00:00:00",25,6,1,0,11,40.42857142857143,
"2019-02-12 00:00:00",22,4,2,0,13,41.285714285714285,
"2019-02-13 00:00:00",14,8,2,0,13,40.714285714285715,
"2019-02-14 00:00:00",12,5,0,0,11,41,
"2019-02-15 00:00:00",21,3,1,0,12,38.857142857142854,
"2019-02-16 00:00:00",15,6,2,1,16,38.714285714285715,
"2019-02-17 00:00:00",15,3,0,0,13,36.714285714285715,
"2019-02-18 00:00:00",19,3,0,1,15,36,
"2019-02-19 00:00:00",18,5,1,2,9,35.142857142857146,
"2019-02-20 00:00:00",28,8,2,2,10,37,
"2019-02-21 00:00:00",22,5,1,1,10,38.57142857142857,
"2019-02-22 00:00:00",24,7,1,0,13,39.714285714285715,
"2019-02-23 00:00:00",28,2,3,0,13,40.57142857142857,
"2019-02-24 00:00:00",29,6,2,0,8,42.57142857142857,
"2019-02-25 00:00:00",25,2,3,1,13,43.42857142857143,
"2019-02-26 00:00:00",26,9,2,1,12,45.57142857142857,
"2019-02-27 00:00:00",28,9,2,1,14,46.142857142857146,
"2019-02-28 00:00:00",19,8,1,0,8,45.714285714285715,
"2019-03-01 00:00:00",34,11,2,0,14,48,
"2019-03-02 00:00:00",22,7,0,1,11,47.285714285714285,
"2019-03-03 00:00:00",29,4,1,1,9,47.142857142857146,
"2019-03-04 00:00:00",26,5,3,0,11,47.285714285714285,
"2019-03-05 00:00:00",23,5,0,1,7,45.285714285714285,
"2019-03-06 00:00:00",32,3,4,1,9,44.57142857142857,
"2019-03-07 00:00:00",23,7,2,3,22,47.57142857142857,
"2019-03-08 00:00:00",27,5,1,0,13,45.42857142857143,
"2019-03-09 00:00:00",22,7,3,2,9,45.714285714285715,
"2019-03-10 00:00:00",29,4,2,1,2,44.857142857142854,
"2019-03-11 00:00:00",30,8,4,0,20,47.285714285714285,
"2019-03-12 00:00:00",26,6,5,2,19,50.42857142857143,
"2019-03-13 00:00:00",34,5,2,0,17,51.714285714285715,
"2019-03-14 00:00:00",24,6,2,1,14,50.285714285714285,
"2019-03-15 00:00:00",31,8,0,2,15,51.714285714285715,
"2019-03-16 00:00:00",28,6,5,1,19,54,
"2019-03-17 00:00:00",24,3,0,2,15,54.857142857142854,
"2019-03-18 00:00:00",34,5,3,0,15,54.142857142857146,
"2019-03-19 00:00:00",31,6,2,2,10,53.142857142857146,
"2019-03-20 00:00:00",15,2,3,0,7,48.714285714285715,
"2019-03-21 00:00:00",38,6,2,1,16,51,
"2019-03-22 00:00:00",29,8,4,1,13,50.857142857142854,
"2019-03-23 00:00:00",30,6,2,1,12,49.714285714285715,
"2019-03-24 00:00:00",33,3,0,1,10,50.142857142857146,
"2019-03-25 00:00:00",29,8,5,1,17,50.57142857142857,
"2019-03-26 00:00:00",23,6,2,0,11,49.285714285714285,
"2019-03-27 00:00:00",28,5,4,1,19,53.57142857142857,
"2019-03-28 00:00:00",32,7,6,0,16,53.285714285714285,
"2019-03-29 00:00:00",29,4,2,2,14,52.714285714285715,
"2019-03-30 00:00:00",30,6,4,0,13,53,
"2019-03-31 00:00:00",31,9,2,1,15,54.57142857142857,
"2019-04-01 00:00:00",25,8,5,0,13,53.285714285714285,
"2019-04-02 00:00:00",30,5,3,1,14,54.857142857142854,
"2019-04-03 00:00:00",32,6,1,1,20,55.285714285714285,
"2019-04-04 00:00:00",24,5,0,1,19,53.57142857142857,
"2019-04-05 00:00:00",30,3,5,1,14,53.857142857142854,
"2019-04-06 00:00:00",30,7,3,1,9,53.42857142857143,
"2019-04-07 00:00:00",31,5,3,0,15,52.857142857142854,
"2019-04-08 00:00:00",4,1,2,0,7,47.57142857142857,
"2019-04-09 00:00:00",16,0,3,0,7,43.714285714285715,
"2019-04-10 00:00:00",38,7,2,1,12,43.714285714285715,
"2019-04-11 00:00:00",28,7,4,0,20,45.142857142857146,
"2019-04-12 00:00:00",34,10,4,2,20,47.57142857142857,
"2019-04-13 00:00:00",30,7,3,0,19,48.857142857142854,
"2019-04-14 00:00:00",29,4,2,0,13,48,
"2019-04-15 00:00:00",27,5,3,1,21,54.142857142857146,
"2019-04-16 00:00:00",32,6,2,0,14,58.142857142857146,
"2019-04-17 00:00:00",29,1,1,1,9,55.42857142857143,
"2019-04-18 00:00:00",29,8,2,1,13,54.57142857142857,
"2019-04-19 00:00:00",30,4,6,0,15,52.42857142857143,
"2019-04-20 00:00:00",27,6,1,0,13,50.714285714285715,
"2019-04-21 00:00:00",15,5,1,0,7,47.857142857142854,
"2019-04-22 00:00:00",1,0,0,0,0,39.857142857142854,
"2019-04-23 00:00:00",29,5,3,2,13,39.57142857142857,
"2019-04-24 00:00:00",26,7,2,1,17,41.285714285714285,
"2019-04-25 00:00:00",32,4,1,0,6,39.857142857142854,
"2019-04-26 00:00:00",36,9,4,1,21,42.142857142857146,
"2019-04-27 00:00:00",35,4,3,1,16,43.857142857142854,
"2019-04-28 00:00:00",34,6,0,1,16,48,
"2019-04-29 00:00:00",31,4,3,0,17,55.714285714285715,
"2019-04-30 00:00:00",6,2,0,0,2,49.714285714285715,
"2019-05-01 00:00:00",10,0,1,0,1,43.857142857142854,
