"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-01-01 00:00:00",191025,2459,14781,0,3648,,
"2019-01-02 00:00:00",335243,1416,2142,0,24381,,
"2019-01-03 00:00:00",732883,4417,3650,0,46428,,
"2019-01-04 00:00:00",362753,0,1825,0,1430,,
"2019-01-05 00:00:00",415668,5833,1071,0,0,,
"2019-01-06 00:00:00",230296,0,3433,1189,72422,,
"2019-01-07 00:00:00",482642,2833,4058,0,2727,421523,
"2019-01-08 00:00:00",346451,0,0,0,963,440880.14285714284,
"2019-01-09 00:00:00",719076,8834,1071,0,12748,494958.28571428574,
"2019-01-10 00:00:00",530126,22588,1071,0,0,461588,
"2019-01-11 00:00:00",567709,5833,1071,1991,0,491673.28571428574,
"2019-01-12 00:00:00",315934,0,5693,0,14984,479393.28571428574,
"2019-01-13 00:00:00",141755,1416,0,1189,0,456110.4285714286,
"2019-01-14 00:00:00",158355,65191,11127,0,19240,422060.85714285716,
"2019-01-15 00:00:00",468421,10370,2142,0,2727,441524.5714285714,
"2019-01-16 00:00:00",556875,40707,1071,0,43998,427370.4285714286,
"2019-01-17 00:00:00",392198,32627,1587,0,16828,411578.5714285714,
"2019-01-18 00:00:00",210614,0,0,1189,32963,364173.28571428574,
"2019-01-19 00:00:00",329921,23230,1829,0,11426,368429.71428571426,
"2019-01-20 00:00:00",215540,4417,2004,0,963,379653.14285714284,
"2019-01-21 00:00:00",505157,65993,0,0,43889,431242.5714285714,
"2019-01-22 00:00:00",452267,0,0,0,43202,432929.4285714286,
"2019-01-23 00:00:00",661458,1416,6502,1023,68214,446638.4285714286,
"2019-01-24 00:00:00",538489,37789,0,0,36334,470834.28571428574,
"2019-01-25 00:00:00",400564,0,5179,0,75193,504572.71428571426,
"2019-01-26 00:00:00",323863,0,1228,1991,22296,502140.14285714284,
"2019-01-27 00:00:00",370619,0,1319,0,33327,528188.7142857143,
"2019-01-28 00:00:00",531942,17871,1071,0,45295,525494.5714285715,
"2019-01-29 00:00:00",473222,4417,2374,0,14829,525405.1428571428,
"2019-01-30 00:00:00",847836,1416,1071,0,15113,543522.5714285715,
"2019-01-31 00:00:00",510982,2613,1071,0,43802,535787.5714285715,
"2019-02-01 00:00:00",583387,2511,1088,1189,0,551107.4285714285,
"2019-02-02 00:00:00",383578,737,179,0,41549,562059.5714285715,
"2019-02-03 00:00:00",834212,63982,0,0,12673,634288.4285714285,
"2019-02-04 00:00:00",425580,0,9608,0,7815,612406,
"2019-02-05 00:00:00",512378,4417,1071,0,5331,616456.7142857143,
"2019-02-06 00:00:00",108861,4095,0,0,32730,513635.28571428574,
"2019-02-07 00:00:00",210889,0,2082,0,2727,464668.14285714284,
"2019-02-08 00:00:00",88278,4417,0,0,5763,394708.4285714286,
"2019-02-09 00:00:00",296118,0,1071,1189,0,376470.4285714286,
"2019-02-10 00:00:00",136098,35048,0,0,18407,273425.5714285714,
"2019-02-11 00:00:00",128470,4417,4060,0,7010,230704.85714285713,
"2019-02-12 00:00:00",158303,4417,1886,0,51318,186808.57142857142,
"2019-02-13 00:00:00",98880,23715,0,0,11846,185202.14285714287,
"2019-02-14 00:00:00",84352,5833,0,0,23764,170666.7142857143,
"2019-02-15 00:00:00",205127,23038,737,0,21867,192425.7142857143,
"2019-02-16 00:00:00",430094,70009,10635,1189,5918,223778.2857142857,
"2019-02-17 00:00:00",162494,8162,2912,1189,3332,222140.85714285713,
"2019-02-18 00:00:00",285172,0,0,0,11084,243897.7142857143,
"2019-02-19 00:00:00",638128,0,12453,1189,54642,313967.71428571426,
"2019-02-20 00:00:00",244285,4417,0,0,0,330290.71428571426,
"2019-02-21 00:00:00",448539,57014,0,1189,303146,429710.5714285714,
"2019-02-22 00:00:00",342768,61740,0,1108,135552,471196,
"2019-02-23 00:00:00",341102,0,1071,0,12439,447876.71428571426,
"2019-02-24 00:00:00",374137,0,1071,0,36588,481263,
"2019-02-25 00:00:00",476773,19799,3478,802,15043,512640,
