"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-01-01 00:00:00",13,4,5,0,1,,
"2019-01-02 00:00:00",16,4,2,0,3,,
"2019-01-03 00:00:00",19,5,5,0,5,,
"2019-01-04 00:00:00",22,3,5,0,2,,
"2019-01-05 00:00:00",25,6,4,0,3,,
"2019-01-06 00:00:00",16,4,4,1,2,,
"2019-01-07 00:00:00",24,6,6,0,3,31.142857142857142,
"2019-01-08 00:00:00",15,3,1,0,4,31.142857142857142,
"2019-01-09 00:00:00",18,6,1,0,5,31.857142857142858,
"2019-01-10 00:00:00",13,2,1,0,1,29.428571428571427,
"2019-01-11 00:00:00",24,4,4,2,1,29.857142857142858,
"2019-01-12 00:00:00",19,4,6,0,5,29.285714285714285,
"2019-01-13 00:00:00",15,5,1,1,0,28.571428571428573,
"2019-01-14 00:00:00",15,5,4,0,3,26.857142857142858,
"2019-01-15 00:00:00",15,3,6,0,5,27.714285714285715,
"2019-01-16 00:00:00",16,3,1,0,7,27.285714285714285,
"2019-01-17 00:00:00",21,6,3,0,5,29.857142857142858,
"2019-01-18 00:00:00",20,4,0,1,7,29.428571428571427,
"2019-01-19 00:00:00",23,5,3,0,3,29.428571428571427,
"2019-01-20 00:00:00",15,4,3,0,2,29.714285714285715,
"2019-01-21 00:00:00",15,3,0,1,6,29.428571428571427,
"2019-01-22 00:00:00",19,2,1,1,5,29.285714285714285,
"2019-01-23 00:00:00",17,5,7,1,5,30.428571428571427,
"2019-01-24 00:00:00",17,2,1,0,7,29.285714285714285,
"2019-01-25 00:00:00",20,2,3,0,7,29.285714285714285,
"2019-01-26 00:00:00",16,5,2,2,5,28.714285714285715,
"2019-01-27 00:00:00",17,3,2,1,4,29.142857142857142,
"2019-01-28 00:00:00",15,3,3,0,7,29.571428571428573,
"2019-01-29 00:00:00",11,3,3,0,2,28.285714285714285,
"2019-01-30 00:00:00",17,7,3,0,6,28,
"2019-01-31 00:00:00",15,1,4,0,8,28.142857142857142,
"2019-02-01 00:00:00",24,4,2,1,3,28.428571428571427,
"2019-02-02 00:00:00",19,4,2,0,2,28,
"2019-02-03 00:00:00",17,5,1,0,4,28,
"2019-02-04 00:00:00",18,1,3,0,3,27.571428571428573,
"2019-02-05 00:00:00",17,4,1,0,2,28.285714285714285,
"2019-02-06 00:00:00",8,2,1,0,3,25.571428571428573,
"2019-02-07 00:00:00",7,1,2,0,4,23.571428571428573,
"2019-02-08 00:00:00",10,2,1,0,6,21.428571428571427,
"2019-02-09 00:00:00",13,3,2,1,3,20.714285714285715,
"2019-02-10 00:00:00",11,1,0,0,5,19.285714285714285,
"2019-02-11 00:00:00",9,4,4,0,3,18.571428571428573,
"2019-02-12 00:00:00",17,5,3,0,4,19.285714285714285,
"2019-02-13 00:00:00",7,3,2,0,5,19.714285714285715,
"2019-02-14 00:00:00",9,5,1,0,3,20.285714285714285,
"2019-02-15 00:00:00",15,4,2,0,8,21.714285714285715,
"2019-02-16 00:00:00",21,6,4,1,4,23.714285714285715,
"2019-02-17 00:00:00",11,4,4,1,3,24.571428571428573,
"2019-02-18 00:00:00",12,4,1,0,3,24.571428571428573,
"2019-02-19 00:00:00",15,0,3,1,6,24,
"2019-02-20 00:00:00",17,4,2,1,1,25.142857142857142,
"2019-02-21 00:00:00",17,7,4,1,7,27.714285714285715,
"2019-02-22 00:00:00",20,5,1,2,6,28.428571428571427,
"2019-02-23 00:00:00",18,3,3,0,2,27,
"2019-02-24 00:00:00",21,3,3,0,2,27.857142857142858,
"2019-02-25 00:00:00",18,3,4,1,5,29.428571428571427,
"2019-02-26 00:00:00",14,4,5,0,5,29.857142857142858,
"2019-02-27 00:00:00",11,8,3,0,4,30,
