"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-01-01 00:00:00",0,0,0,0,0,,
"2019-01-02 00:00:00",0,0,0,0,0,,
"2019-01-03 00:00:00",0,0,0,0,0,,
"2019-01-04 00:00:00",0,0,0,0,0,,
"2019-01-05 00:00:00",0,13759,0,0,0,,
"2019-01-06 00:00:00",0,0,0,0,0,,
"2019-01-07 00:00:00",0,0,0,0,0,1965.5714285714287,
"2019-01-08 00:00:00",0,0,1584,0,0,2191.8571428571427,
"2019-01-09 00:00:00",0,0,1584,0,0,2418.1428571428573,
"2019-01-10 00:00:00",0,0,0,0,0,2418.1428571428573,
"2019-01-11 00:00:00",0,0,0,0,0,2418.1428571428573,
"2019-01-12 00:00:00",0,0,0,0,0,452.57142857142856,
"2019-01-13 00:00:00",0,0,225,0,0,484.7142857142857,
"2019-01-14 00:00:00",0,0,0,0,0,484.7142857142857,
"2019-01-15 00:00:00",0,0,0,0,0,258.42857142857144,
"2019-01-16 00:00:00",0,0,0,0,0,32.142857142857146,
"2019-01-17 00:00:00",0,0,0,0,0,32.142857142857146,
"2019-01-18 00:00:00",0,0,0,0,0,32.142857142857146,
"2019-01-19 00:00:00",0,0,0,0,0,32.142857142857146,
"2019-01-20 00:00:00",0,0,0,0,0,0,
"2019-01-21 00:00:00",0,0,0,0,0,0,
"2019-01-22 00:00:00",0,0,0,0,0,0,
"2019-01-23 00:00:00",0,0,0,0,0,0,
"2019-01-24 00:00:00",0,0,0,0,0,0,
"2019-01-25 00:00:00",0,0,0,0,0,0,
"2019-01-26 00:00:00",0,0,0,0,0,0,
"2019-01-27 00:00:00",0,0,0,0,0,0,
"2019-01-28 00:00:00",0,0,0,0,0,0,
"2019-01-29 00:00:00",0,0,0,0,0,0,
"2019-01-30 00:00:00",0,0,0,0,0,0,
"2019-01-31 00:00:00",0,0,120,0,0,17.142857142857142,
"2019-02-01 00:00:00",0,0,0,0,0,17.142857142857142,
"2019-02-02 00:00:00",0,0,0,0,0,17.142857142857142,
"2019-02-03 00:00:00",0,0,0,0,0,17.142857142857142,
"2019-02-04 00:00:00",0,0,120,0,0,34.285714285714285,
"2019-02-05 00:00:00",0,0,0,0,0,34.285714285714285,
"2019-02-06 00:00:00",0,0,0,0,0,34.285714285714285,
"2019-02-07 00:00:00",0,1960,13991,0,0,2296,
"2019-02-08 00:00:00",0,0,0,0,0,2296,
"2019-02-09 00:00:00",299,0,0,0,0,2338.714285714286,
"2019-02-10 00:00:00",0,0,1584,0,0,2565,
"2019-02-11 00:00:00",0,0,1584,0,0,2774.1428571428573,
"2019-02-12 00:00:00",0,0,6315,0,0,3676.285714285714,
"2019-02-13 00:00:00",0,0,0,0,0,3676.285714285714,
"2019-02-14 00:00:00",0,0,120,0,0,1414.5714285714287,
"2019-02-15 00:00:00",0,0,225,0,0,1446.7142857142858,
"2019-02-16 00:00:00",0,401,0,0,0,1461.2857142857142,
"2019-02-17 00:00:00",0,0,0,0,0,1235,
"2019-02-18 00:00:00",0,0,0,0,0,1008.7142857142857,
"2019-02-19 00:00:00",0,0,286,0,0,147.42857142857142,
"2019-02-20 00:00:00",0,0,0,0,0,147.42857142857142,
"2019-02-21 00:00:00",0,0,0,0,0,130.28571428571428,
"2019-02-22 00:00:00",0,0,6849,0,0,1076.5714285714287,
"2019-02-23 00:00:00",0,0,0,0,0,1019.2857142857143,
"2019-02-24 00:00:00",0,0,0,0,0,1019.2857142857143,
