"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-01-01 00:00:00",0,0,0,0,0,,
"2019-01-02 00:00:00",0,40261,0,0,336599,,
"2019-01-03 00:00:00",0,0,0,0,133135,,
"2019-01-04 00:00:00",0,0,0,0,79726,,
"2019-01-05 00:00:00",0,0,0,0,164070,,
"2019-01-06 00:00:00",0,0,0,0,0,,
"2019-01-07 00:00:00",0,0,0,0,135167,126994.14285714286,
"2019-01-08 00:00:00",0,0,2147,0,295545,169521.7142857143,
"2019-01-09 00:00:00",0,28301,2147,0,146072,140901.85714285713,
"2019-01-10 00:00:00",0,0,0,0,170089,146181,
"2019-01-11 00:00:00",0,0,0,0,0,134791.57142857142,
"2019-01-12 00:00:00",0,0,0,0,178685,136879.42857142858,
"2019-01-13 00:00:00",0,0,284,0,79391,148261.57142857142,
"2019-01-14 00:00:00",0,32268,0,0,95803,147248,
"2019-01-15 00:00:00",0,0,0,0,71538,114940.14285714286,
"2019-01-16 00:00:00",0,0,0,0,169446,113929.28571428571,
"2019-01-17 00:00:00",0,0,0,0,68046,99351.71428571429,
"2019-01-18 00:00:00",0,39713,0,0,0,105025,
"2019-01-19 00:00:00",0,0,0,0,0,79498.57142857143,
"2019-01-20 00:00:00",0,0,0,0,39819,73804.85714285714,
"2019-01-21 00:00:00",0,0,0,0,0,55508.857142857145,
"2019-01-22 00:00:00",0,0,88,0,405505,103231.14285714286,
"2019-01-23 00:00:00",0,0,0,0,95341,92644.71428571429,
"2019-01-24 00:00:00",0,0,0,0,97368,96833.57142857143,
"2019-01-25 00:00:00",0,0,0,0,305628,134821.42857142858,
"2019-01-26 00:00:00",0,0,0,9139,182510,162199.85714285713,
"2019-01-27 00:00:00",0,0,0,0,194779,184337,
"2019-01-28 00:00:00",0,0,0,0,170380,208677,
"2019-01-29 00:00:00",0,0,0,0,203603,179821.14285714287,
"2019-01-30 00:00:00",0,0,0,0,248872,201754.14285714287,
"2019-01-31 00:00:00",0,0,50,0,266452,225916.14285714287,
"2019-02-01 00:00:00",0,45340,0,0,117587,205530.42857142858,
"2019-02-02 00:00:00",0,0,0,0,39571,183805,
"2019-02-03 00:00:00",0,0,0,0,0,155979.42857142858,
"2019-02-04 00:00:00",0,0,50,0,0,131646.57142857142,
"2019-02-05 00:00:00",0,38376,0,0,86638,120419.71428571429,
"2019-02-06 00:00:00",0,0,0,0,216526,115798.85714285714,
"2019-02-07 00:00:00",0,0,0,0,91360,90778.57142857143,
"2019-02-08 00:00:00",0,0,0,0,59492,76002,
"2019-02-09 00:00:00",1897,0,0,0,366568,122986.85714285714,
"2019-02-10 00:00:00",0,0,2147,0,0,123293.57142857143,
"2019-02-11 00:00:00",0,42366,2147,0,140060,149654.14285714287,
"2019-02-12 00:00:00",0,0,0,0,197669,160033.2857142857,
"2019-02-13 00:00:00",0,0,0,0,96653,142908.57142857142,
"2019-02-14 00:00:00",0,0,50,0,363446,181785.2857142857,
"2019-02-15 00:00:00",0,0,284,0,169931,197602.85714285713,
"2019-02-16 00:00:00",0,31218,0,0,148569,170649,
"2019-02-17 00:00:00",0,0,0,0,21563,173422.7142857143,
"2019-02-18 00:00:00",0,0,0,0,179886,172753,
"2019-02-19 00:00:00",0,0,0,0,117352,161279.14285714287,
