"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-01-01 00:00:00",0,0,0,0,66900,,
"2019-01-02 00:00:00",0,0,0,0,0,,
"2019-01-03 00:00:00",0,0,0,0,0,,
"2019-01-04 00:00:00",0,0,0,0,16430,,
"2019-01-05 00:00:00",0,0,0,0,7300,,
"2019-01-06 00:00:00",0,0,0,0,0,,
"2019-01-07 00:00:00",0,0,0,0,0,12947.142857142857,
"2019-01-08 00:00:00",0,0,0,0,0,3390,
"2019-01-09 00:00:00",0,0,0,0,0,3390,
"2019-01-10 00:00:00",0,0,0,0,0,3390,
"2019-01-11 00:00:00",0,0,0,0,0,1042.857142857143,
"2019-01-12 00:00:00",0,0,0,0,8789,1255.5714285714287,
"2019-01-13 00:00:00",0,0,0,0,0,1255.5714285714287,
"2019-01-14 00:00:00",0,0,0,0,14121,3272.8571428571427,
"2019-01-15 00:00:00",0,0,0,0,0,3272.8571428571427,
"2019-01-16 00:00:00",0,0,0,0,0,3272.8571428571427,
"2019-01-17 00:00:00",0,0,0,0,0,3272.8571428571427,
"2019-01-18 00:00:00",0,0,0,0,8789,4528.428571428572,
"2019-01-19 00:00:00",0,0,0,0,0,3272.8571428571427,
"2019-01-20 00:00:00",0,0,0,0,0,3272.8571428571427,
"2019-01-21 00:00:00",0,0,0,0,0,1255.5714285714287,
"2019-01-22 00:00:00",0,0,0,0,0,1255.5714285714287,
"2019-01-23 00:00:00",0,0,0,0,0,1255.5714285714287,
"2019-01-24 00:00:00",0,0,0,0,0,1255.5714285714287,
"2019-01-25 00:00:00",0,0,0,0,8789,1255.5714285714287,
"2019-01-26 00:00:00",0,0,0,0,0,1255.5714285714287,
"2019-01-27 00:00:00",0,0,0,0,8789,2511.1428571428573,
"2019-01-28 00:00:00",0,0,0,0,8789,3766.714285714286,
"2019-01-29 00:00:00",0,0,0,0,0,3766.714285714286,
"2019-01-30 00:00:00",0,0,0,0,0,3766.714285714286,
"2019-01-31 00:00:00",0,0,0,0,0,3766.714285714286,
"2019-02-01 00:00:00",0,0,0,0,11164,4106,
"2019-02-02 00:00:00",0,0,0,0,0,4106,
"2019-02-03 00:00:00",0,0,0,0,0,2850.4285714285716,
"2019-02-04 00:00:00",0,0,0,0,0,1594.857142857143,
"2019-02-05 00:00:00",0,0,0,0,0,1594.857142857143,
"2019-02-06 00:00:00",0,0,0,0,0,1594.857142857143,
"2019-02-07 00:00:00",0,0,0,0,60998,10308.857142857143,
"2019-02-08 00:00:00",0,0,0,0,8789,9969.57142857143,
"2019-02-09 00:00:00",0,0,0,0,8789,11225.142857142857,
"2019-02-10 00:00:00",0,0,0,0,0,11225.142857142857,
"2019-02-11 00:00:00",0,0,0,0,16430,13572.285714285714,
"2019-02-12 00:00:00",0,0,0,0,0,13572.285714285714,
"2019-02-13 00:00:00",0,0,0,0,0,13572.285714285714,
"2019-02-14 00:00:00",0,0,0,0,0,4858.285714285715,
"2019-02-15 00:00:00",0,0,0,0,0,3602.714285714286,
"2019-02-16 00:00:00",0,0,0,0,8789,3602.714285714286,
"2019-02-17 00:00:00",0,0,0,0,0,3602.714285714286,
"2019-02-18 00:00:00",0,0,0,0,0,1255.5714285714287,
"2019-02-19 00:00:00",0,0,0,0,0,1255.5714285714287,
"2019-02-20 00:00:00",0,0,0,0,8789,2511.1428571428573,
"2019-02-21 00:00:00",0,0,0,0,0,2511.1428571428573,
"2019-02-22 00:00:00",0,0,0,0,8789,3766.714285714286,
"2019-02-23 00:00:00",0,0,0,0,14417,4570.714285714285,
"2019-02-24 00:00:00",0,0,0,0,0,4570.714285714285,
"2019-02-25 00:00:00",0,0,0,0,0,4570.714285714285,
"2019-02-26 00:00:00",0,0,0,0,20875,7552.857142857143,
"2019-02-27 00:00:00",0,0,0,0,0,6297.285714285715,
"2019-02-28 00:00:00",0,0,0,0,8789,7552.857142857143,
"2019-03-01 00:00:00",0,0,0,0,8789,7552.857142857143,
"2019-03-02 00:00:00",0,0,0,0,0,5493.285714285715,
"2019-03-03 00:00:00",0,0,0,0,0,5493.285714285715,
"2019-03-04 00:00:00",0,0,0,0,0,5493.285714285715,
"2019-03-05 00:00:00",0,0,0,0,61448,11289.42857142857,
"2019-03-06 00:00:00",0,0,0,0,17578,13800.57142857143,
"2019-03-07 00:00:00",0,0,0,0,1752,12795.285714285714,
"2019-03-08 00:00:00",0,0,0,0,0,11539.714285714286,
"2019-03-09 00:00:00",0,0,0,0,0,11539.714285714286,
"2019-03-10 00:00:00",0,0,0,0,0,11539.714285714286,
"2019-03-11 00:00:00",0,0,0,0,64564,20763.14285714286,
"2019-03-12 00:00:00",0,0,0,0,0,11984.857142857143,
"2019-03-13 00:00:00",0,0,0,0,67741,19151,
"2019-03-14 00:00:00",0,0,0,0,0,18900.714285714286,
"2019-03-15 00:00:00",0,0,0,0,0,18900.714285714286,
"2019-03-16 00:00:00",0,0,0,0,25219,22503.428571428572,
"2019-03-17 00:00:00",0,0,0,0,0,22503.428571428572,
"2019-03-18 00:00:00",0,0,0,0,0,13280,
"2019-03-19 00:00:00",0,0,0,0,0,13280,
"2019-03-20 00:00:00",0,0,0,0,0,3602.714285714286,
"2019-03-21 00:00:00",0,0,0,0,16430,5949.857142857143,
"2019-03-22 00:00:00",0,0,0,0,8789,7205.428571428572,
"2019-03-23 00:00:00",0,0,0,0,0,3602.714285714286,
"2019-03-24 00:00:00",0,0,0,0,0,3602.714285714286,
"2019-03-25 00:00:00",0,0,0,0,0,3602.714285714286,
"2019-03-26 00:00:00",0,0,0,0,0,3602.714285714286,
"2019-03-27 00:00:00",0,0,0,0,0,3602.714285714286,
"2019-03-28 00:00:00",0,0,0,0,0,1255.5714285714287,
"2019-03-29 00:00:00",0,0,0,0,0,0,
"2019-03-30 00:00:00",0,0,0,0,0,0,
"2019-03-31 00:00:00",0,0,0,0,0,0,
"2019-04-01 00:00:00",0,0,0,0,0,0,
"2019-04-02 00:00:00",0,0,0,0,0,0,
"2019-04-03 00:00:00",0,0,0,0,0,0,
"2019-04-04 00:00:00",0,0,0,0,0,0,
"2019-04-05 00:00:00",0,0,0,0,140529,20075.571428571428,
"2019-04-06 00:00:00",0,0,0,0,12086,21802.14285714286,
"2019-04-07 00:00:00",0,0,0,0,0,21802.14285714286,
"2019-04-08 00:00:00",0,0,0,0,0,21802.14285714286,
"2019-04-09 00:00:00",0,0,0,0,69695,31758.571428571428,
"2019-04-10 00:00:00",0,0,0,0,12086,33485.142857142855,
"2019-04-11 00:00:00",0,0,0,0,16430,35832.28571428572,
"2019-04-12 00:00:00",0,0,0,0,12086,17483.285714285714,
"2019-04-13 00:00:00",0,0,0,0,0,15756.714285714286,
"2019-04-14 00:00:00",0,0,0,0,62869,24738,
"2019-04-15 00:00:00",0,0,0,0,0,24738,
"2019-04-16 00:00:00",0,0,0,0,3512,15283.285714285714,
"2019-04-17 00:00:00",0,0,0,0,8789,14812.285714285714,
"2019-04-18 00:00:00",0,0,0,0,12923,14311.285714285714,
"2019-04-19 00:00:00",0,0,0,0,0,12584.714285714286,
"2019-04-20 00:00:00",0,0,0,0,1571,12809.142857142857,
"2019-04-21 00:00:00",0,0,0,0,0,3827.8571428571427,
"2019-04-22 00:00:00",0,0,0,0,0,3827.8571428571427,
"2019-04-23 00:00:00",0,0,0,0,0,3326.1428571428573,
"2019-04-24 00:00:00",0,0,0,0,8789,3326.1428571428573,
"2019-04-25 00:00:00",0,0,0,0,16430,3827.1428571428573,
"2019-04-26 00:00:00",0,0,0,0,0,3827.1428571428573,
"2019-04-27 00:00:00",0,0,0,0,42828,9721,
"2019-04-28 00:00:00",0,0,0,0,0,9721,
"2019-04-29 00:00:00",0,0,0,0,0,9721,
"2019-04-30 00:00:00",0,0,0,0,0,9721,
"2019-05-01 00:00:00",0,0,0,0,19980,11319.714285714286,
"2019-05-02 00:00:00",0,0,0,0,8789,10228.142857142857,
"2019-05-03 00:00:00",0,0,0,0,0,10228.142857142857,
"2019-05-04 00:00:00",0,0,0,0,16254,6431.857142857143,
"2019-05-05 00:00:00",0,0,0,0,7643,7523.714285714285,
"2019-05-06 00:00:00",0,0,0,0,0,7523.714285714285,
"2019-05-07 00:00:00",0,0,0,0,8789,8779.285714285714,
"2019-05-08 00:00:00",0,0,0,0,0,5925,
"2019-05-09 00:00:00",0,0,0,0,39898,10369.142857142857,
"2019-05-10 00:00:00",0,0,0,0,0,10369.142857142857,
"2019-05-11 00:00:00",0,0,0,0,8789,9302.714285714286,
"2019-05-12 00:00:00",0,0,0,0,0,8210.857142857143,
"2019-05-13 00:00:00",0,0,0,0,9372,9549.714285714286,
"2019-05-14 00:00:00",0,0,0,0,12086,10020.714285714286,
"2019-05-15 00:00:00",0,0,0,0,8789,11276.285714285714,
"2019-05-16 00:00:00",0,0,0,0,38627,11094.714285714286,
"2019-05-17 00:00:00",0,0,0,0,0,11094.714285714286,
"2019-05-18 00:00:00",0,0,0,0,2337,10173,
"2019-05-19 00:00:00",0,0,0,0,12086,11899.57142857143,
"2019-05-20 00:00:00",0,0,0,0,12086,12287.285714285714,
"2019-05-21 00:00:00",0,0,0,0,24025,13992.857142857143,
"2019-05-22 00:00:00",0,0,0,0,0,12737.285714285714,
"2019-05-23 00:00:00",0,0,0,0,0,7219.142857142857,
"2019-05-24 00:00:00",0,0,0,0,0,7219.142857142857,
"2019-05-25 00:00:00",0,0,0,0,8789,8140.857142857143,
"2019-05-26 00:00:00",0,0,0,0,0,6414.285714285715,
"2019-05-27 00:00:00",0,0,0,0,8789,5943.285714285715,
"2019-05-28 00:00:00",0,0,0,0,0,2511.1428571428573,
"2019-05-29 00:00:00",0,0,0,0,0,2511.1428571428573,
"2019-05-30 00:00:00",0,0,0,0,8789,3766.714285714286,
"2019-05-31 00:00:00",0,0,0,0,12086,5493.285714285715,
"2019-06-01 00:00:00",0,0,0,0,39507,9881.57142857143,
"2019-06-02 00:00:00",0,0,0,0,0,9881.57142857143,
"2019-06-03 00:00:00",0,0,0,0,8789,9881.57142857143,
"2019-06-04 00:00:00",0,0,0,0,0,9881.57142857143,
"2019-06-05 00:00:00",0,0,0,0,0,9881.57142857143,
"2019-06-06 00:00:00",0,0,0,0,8789,9881.57142857143,
"2019-06-07 00:00:00",0,0,0,0,5399,8926.285714285714,
"2019-06-08 00:00:00",0,0,0,0,0,3282.4285714285716,
"2019-06-09 00:00:00",0,0,0,0,0,3282.4285714285716,
"2019-06-10 00:00:00",0,0,0,0,0,2026.857142857143,
"2019-06-11 00:00:00",0,0,0,0,0,2026.857142857143,
"2019-06-12 00:00:00",0,0,0,0,47637,8832.142857142857,
"2019-06-13 00:00:00",0,0,0,0,0,7576.571428571428,
"2019-06-14 00:00:00",0,0,0,0,0,6805.285714285715,
"2019-06-15 00:00:00",0,0,0,0,0,6805.285714285715,
"2019-06-16 00:00:00",0,0,0,0,0,6805.285714285715,
"2019-06-17 00:00:00",0,0,0,0,0,6805.285714285715,
"2019-06-18 00:00:00",0,0,0,0,47637,13610.57142857143,
"2019-06-19 00:00:00",0,0,0,0,0,6805.285714285715,
"2019-06-20 00:00:00",0,0,0,0,0,6805.285714285715,
"2019-06-21 00:00:00",0,0,0,0,0,6805.285714285715,
"2019-06-22 00:00:00",0,0,0,0,0,6805.285714285715,
"2019-06-23 00:00:00",0,0,0,0,0,6805.285714285715,
"2019-06-24 00:00:00",0,0,0,0,212477,37159.142857142855,
"2019-06-25 00:00:00",0,0,0,0,12086,32080.428571428572,
"2019-06-26 00:00:00",0,0,0,0,0,32080.428571428572,
"2019-06-27 00:00:00",0,0,0,0,37971,37504.857142857145,
"2019-06-28 00:00:00",0,0,0,0,0,37504.857142857145,
"2019-06-29 00:00:00",0,0,0,0,0,37504.857142857145,
"2019-06-30 00:00:00",0,0,0,0,0,37504.857142857145,
"2019-07-01 00:00:00",0,0,0,0,0,7151,
"2019-07-02 00:00:00",0,0,0,0,0,5424.428571428572,
"2019-07-03 00:00:00",0,0,0,0,144121,26013.14285714286,
"2019-07-04 00:00:00",0,0,0,0,0,20588.714285714286,
"2019-07-05 00:00:00",0,0,0,0,8789,21844.285714285714,
"2019-07-06 00:00:00",0,0,0,0,0,21844.285714285714,
"2019-07-07 00:00:00",0,0,0,0,8789,23099.85714285714,
"2019-07-08 00:00:00",0,0,0,0,0,23099.85714285714,
"2019-07-09 00:00:00",0,0,0,0,8789,24355.428571428572,
"2019-07-10 00:00:00",0,0,0,0,61887,12607.714285714286,
"2019-07-11 00:00:00",0,0,0,0,0,12607.714285714286,
"2019-07-12 00:00:00",0,0,0,0,68938,21200.428571428572,
"2019-07-13 00:00:00",0,0,0,0,0,21200.428571428572,
"2019-07-14 00:00:00",0,0,0,0,0,19944.85714285714,
"2019-07-15 00:00:00",0,0,0,0,42590,26029.14285714286,
"2019-07-16 00:00:00",0,0,0,0,8789,26029.14285714286,
"2019-07-17 00:00:00",0,0,0,0,0,17188.14285714286,
"2019-07-18 00:00:00",0,0,0,0,12086,18914.714285714286,
"2019-07-19 00:00:00",0,0,0,0,0,9066.42857142857,
"2019-07-20 00:00:00",0,0,0,0,44106,15367.285714285714,
"2019-07-21 00:00:00",0,0,0,0,0,15367.285714285714,
"2019-07-22 00:00:00",0,0,0,0,40148,15018.42857142857,
"2019-07-23 00:00:00",0,0,0,0,8789,15018.42857142857,
"2019-07-24 00:00:00",0,0,0,0,0,15018.42857142857,
"2019-07-25 00:00:00",0,0,0,0,0,13291.857142857143,
"2019-07-26 00:00:00",0,0,0,0,43258,19471.571428571428,
"2019-07-27 00:00:00",0,0,0,0,8789,14426.285714285714,
"2019-07-28 00:00:00",0,0,0,0,36415,19628.428571428572,
"2019-07-29 00:00:00",0,0,0,0,8789,15148.57142857143,
"2019-07-30 00:00:00",0,0,0,0,0,13893,
"2019-07-31 00:00:00",0,0,0,0,8789,15148.57142857143,
"2019-08-01 00:00:00",0,0,0,0,31427,19638.14285714286,
"2019-08-02 00:00:00",0,0,0,0,0,13458.42857142857,
"2019-08-03 00:00:00",0,0,0,0,20875,15185,
"2019-08-04 00:00:00",0,0,0,0,0,9982.857142857143,
"2019-08-05 00:00:00",0,0,0,0,54137,16461.14285714286,
"2019-08-06 00:00:00",0,0,0,0,0,16461.14285714286,
"2019-08-07 00:00:00",0,0,0,0,63735,24310.571428571428,
"2019-08-08 00:00:00",0,0,0,0,0,19821,
"2019-08-09 00:00:00",0,0,0,0,38752,25357,
"2019-08-10 00:00:00",0,0,0,0,0,22374.85714285714,
"2019-08-11 00:00:00",0,0,0,0,0,22374.85714285714,
"2019-08-12 00:00:00",0,0,0,0,15843,16904.285714285714,
"2019-08-13 00:00:00",0,0,0,0,0,16904.285714285714,
"2019-08-14 00:00:00",0,0,0,0,0,7799.285714285715,
"2019-08-15 00:00:00",0,0,0,0,0,7799.285714285715,
"2019-08-16 00:00:00",0,0,0,0,16627,4638.571428571428,
"2019-08-17 00:00:00",0,0,0,0,0,4638.571428571428,
"2019-08-18 00:00:00",0,0,0,0,31427,9128.142857142857,
"2019-08-19 00:00:00",0,0,0,0,0,6864.857142857143,
"2019-08-20 00:00:00",0,0,0,0,46354,13486.857142857143,
"2019-08-21 00:00:00",0,0,0,0,0,13486.857142857143,
"2019-08-22 00:00:00",0,0,0,0,0,13486.857142857143,
"2019-08-23 00:00:00",0,0,0,0,20875,14093.714285714286,
"2019-08-24 00:00:00",0,0,0,0,0,14093.714285714286,
"2019-08-25 00:00:00",0,0,0,0,0,9604.142857142857,
"2019-08-26 00:00:00",0,0,0,0,0,9604.142857142857,
"2019-08-27 00:00:00",0,0,0,0,20875,5964.285714285715,
"2019-08-28 00:00:00",0,0,0,0,12712,7780.285714285715,
"2019-08-29 00:00:00",0,0,0,0,40315,13539.57142857143,
"2019-08-30 00:00:00",0,0,0,0,0,10557.42857142857,
"2019-08-31 00:00:00",0,0,0,0,46271,17167.571428571428,
"2019-09-01 00:00:00",0,0,0,0,0,17167.571428571428,
"2019-09-02 00:00:00",0,0,0,0,8789,18423.14285714286,
"2019-09-03 00:00:00",0,0,0,0,12086,17167.571428571428,
"2019-09-04 00:00:00",0,0,0,0,42567,21432.571428571428,
"2019-09-05 00:00:00",0,0,0,0,16430,18020.428571428572,
"2019-09-06 00:00:00",0,0,0,0,12086,19747,
