"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-01-01 00:00:00",271922,0,10725,0,446907,,
"2019-01-02 00:00:00",363042,0,20614,403,362056,,
"2019-01-03 00:00:00",319790,29763,3229,2205,647300,,
"2019-01-04 00:00:00",198747,84292,5507,2087,267850,,
"2019-01-05 00:00:00",166727,258645,4617,4045,984396,,
"2019-01-06 00:00:00",72504,55207,5979,0,355088,,
"2019-01-07 00:00:00",303391,178481,20684,2155,287401,819395.8571428572,
"2019-01-08 00:00:00",54995,131945,2492,655,502768,814153.2857142857,
"2019-01-09 00:00:00",322363,232588,9566,2501,328730,835529.4285714285,
"2019-01-10 00:00:00",443065,44650,12851,2083,758358,872489.7142857143,
"2019-01-11 00:00:00",198470,142497,18796,5769,301579,888007.7142857143,
"2019-01-12 00:00:00",50310,82823,18462,3385,417769,767196,
"2019-01-13 00:00:00",140501,71480,30478,5020,247016,768012.8571428572,
"2019-01-14 00:00:00",217389,32159,17456,4612,909813,823629.5714285715,
"2019-01-15 00:00:00",311607,313719,4835,1248,261127,852155.4285714285,
"2019-01-16 00:00:00",157040,97174,17096,4899,531060,839515.7142857143,
"2019-01-17 00:00:00",211130,407621,9906,1335,177297,774698.5714285715,
"2019-01-18 00:00:00",101859,31972,9655,4637,528532,776062.2857142857,
"2019-01-19 00:00:00",151505,204013,3043,378,568161,826683.8571428572,
"2019-01-20 00:00:00",133997,102700,14337,2201,322116,838234.7142857143,
"2019-01-21 00:00:00",160534,0,26387,4492,422951,757225.2857142857,
"2019-01-22 00:00:00",124300,198063,30957,3097,198874,709047.5714285715,
"2019-01-23 00:00:00",210353,43158,13180,6070,549459,711183.1428571428,
"2019-01-24 00:00:00",174723,270043,6981,567,203827,689590.7142857143,
"2019-01-25 00:00:00",181694,255114,9541,4142,848166,778448.1428571428,
"2019-01-26 00:00:00",330486,306322,8303,4049,264587,776540.5714285715,
"2019-01-27 00:00:00",37608,27452,12840,1803,651824,798851.5714285715,
"2019-01-28 00:00:00",158264,328196,19426,4386,279716,823941,
"2019-01-29 00:00:00",281665,113392,8741,2810,668167,898153,
"2019-01-30 00:00:00",259699,122539,12073,7683,448846,902241.7142857143,
"2019-01-31 00:00:00",335219,120077,17473,3059,439270,939235.7142857143,
"2019-02-01 00:00:00",265890,318767,3670,7910,599554,924540.7142857143,
"2019-02-02 00:00:00",165110,154852,6108,592,509076,913396.4285714285,
"2019-02-03 00:00:00",71596,42819,15482,634,197613,855770.1428571428,
"2019-02-04 00:00:00",192216,127492,11057,3278,65523,799995.4285714285,
"2019-02-05 00:00:00",330380,37847,18467,4815,851497,824028.2857142857,
"2019-02-06 00:00:00",90721,201599,12709,2462,160331,769311.5714285715,
"2019-02-07 00:00:00",344216,232965,36249,5584,954057,863307.7142857143,
"2019-02-08 00:00:00",102850,35679,13558,2216,570725,796055.7142857143,
"2019-02-09 00:00:00",203567,0,6424,3787,851329,828822.8571428572,
"2019-02-10 00:00:00",48069,225068,8222,5618,433872,884923.7142857143,
"2019-02-11 00:00:00",272673,0,13906,3009,320402,914984.1428571428,
"2019-02-12 00:00:00",305449,374485,10973,378,521455,910660.4285714285,
"2019-02-13 00:00:00",68010,79132,22089,7426,341287,917820.5714285715,
"2019-02-14 00:00:00",495319,188714,15434,3671,516697,867358.1428571428,
"2019-02-15 00:00:00",55036,144540,8283,3677,553621,873091,
"2019-02-16 00:00:00",109272,76051,5352,2797,292938,790420.1428571428,
"2019-02-17 00:00:00",124971,337694,13372,1254,258644,792575.1428571428,
"2019-02-18 00:00:00",160769,148332,10506,2982,197718,779763.2857142857,
"2019-02-19 00:00:00",161831,119904,5162,1927,901032,776494.1428571428,
"2019-02-20 00:00:00",86688,242378,13586,3434,293508,793872.8571428572,
"2019-02-21 00:00:00",281821,113153,16207,1269,339713,727062.5714285715,
"2019-02-22 00:00:00",147803,229504,3520,2021,885815,798991.8571428572,
"2019-02-23 00:00:00",246603,0,3892,189,647682,857842.4285714285,
"2019-02-24 00:00:00",65634,73856,9021,3307,469471,841464.4285714285,
"2019-02-25 00:00:00",305514,257008,14706,746,253435,885907.7142857143,
"2019-02-26 00:00:00",108681,117741,16429,4734,592344,835918.1428571428,
"2019-02-27 00:00:00",120908,280502,29191,757,380670,860551.4285714285,
"2019-02-28 00:00:00",303670,240248,12758,3906,414471,892392.8571428572,
"2019-03-01 00:00:00",105594,226140,10420,2462,749769,867496,
"2019-03-02 00:00:00",142893,0,19689,2011,403637,820333.7142857143,
"2019-03-03 00:00:00",79433,34166,13529,1470,287549,791027.8571428572,
"2019-03-04 00:00:00",140523,211142,9495,5679,617001,812803.7142857143,
"2019-03-05 00:00:00",267127,85294,12569,3691,414405,804683.2857142857,
"2019-03-06 00:00:00",198252,76183,6234,5187,298972,772226.1428571428,
"2019-03-07 00:00:00",147341,149041,8743,3914,791863,790204.5714285715,
"2019-03-08 00:00:00",220687,279673,7046,2523,353548,757217.7142857143,
"2019-03-09 00:00:00",88261,313298,9614,757,447463,798812.5714285715,
"2019-03-10 00:00:00",18486,0,11100,5948,346911,793997.7142857143,
"2019-03-11 00:00:00",272389,60979,16296,2617,606992,790488.1428571428,
"2019-03-12 00:00:00",106968,140659,16667,1811,408932,775052.7142857143,
"2019-03-13 00:00:00",86502,182221,8340,4938,292759,773614.4285714285,
"2019-03-14 00:00:00",191827,214619,20755,4027,781695,789617.2857142857,
"2019-03-15 00:00:00",316627,0,13274,3212,807320,829182.2857142857,
"2019-03-16 00:00:00",129370,113066,7108,2027,268710,780737.5714285715,
"2019-03-17 00:00:00",244226,108400,20396,4791,169396,804275.4285714285,
"2019-03-18 00:00:00",105710,13499,20321,4758,639910,779264.7142857143,
"2019-03-19 00:00:00",239083,204089,22443,1648,552773,828550.1428571428,
"2019-03-20 00:00:00",210881,308083,5688,3888,310604,866319.2857142857,
"2019-03-21 00:00:00",381712,77326,3636,4102,699100,859598.2857142857,
"2019-03-22 00:00:00",103834,257776,12633,5503,406723,809032.1428571428,
"2019-03-23 00:00:00",107089,32406,8905,378,458349,821439,
"2019-03-24 00:00:00",68503,0,14636,189,892739,882704.2857142857,
"2019-03-25 00:00:00",123933,107399,11567,8149,311539,851045.5714285715,
"2019-03-26 00:00:00",292677,330397,13893,3342,338497,845155.7142857143,
"2019-03-27 00:00:00",287435,90361,26992,3780,505878,855913.1428571428,
"2019-03-28 00:00:00",138968,422087,3984,3250,253968,806824.7142857143,
"2019-03-29 00:00:00",176785,196377,17923,4521,551628,829791.1428571428,
"2019-03-30 00:00:00",152219,218289,4070,2015,323393,843056.4285714285,
"2019-03-31 00:00:00",89951,133072,13057,0,406227,795376.4285714285,
"2019-04-01 00:00:00",72146,92661,14781,1506,603449,827084.4285714285,
"2019-04-02 00:00:00",381594,117576,14794,189,501720,832379.4285714285,
"2019-04-03 00:00:00",190819,121760,16473,378,530346,824569.4285714285,
"2019-04-04 00:00:00",246187,72775,9411,869,375269,807748.7142857143,
"2019-04-05 00:00:00",163387,229356,6730,189,313639,774329.7142857143,
"2019-04-06 00:00:00",87161,169609,4869,378,395308,768235.4285714285,
"2019-04-07 00:00:00",101437,150187,31018,4663,173410,742293.8571428572,
"2019-04-08 00:00:00",149291,127633,15190,556,286118,712900.4285714285,
"2019-04-09 00:00:00",267070,78777,11462,0,501317,690436.5714285715,
"2019-04-10 00:00:00",112209,0,4150,378,393730,640535.2857142857,
"2019-04-11 00:00:00",542604,110922,6604,189,129993,652792.5714285715,
"2019-04-12 00:00:00",81762,144503,7678,2858,550362,663344.4285714285,
"2019-04-13 00:00:00",111018,247969,18255,594,305780,667100.4285714285,
"2019-04-14 00:00:00",106528,346742,25781,2188,725236,773637.7142857143,
"2019-04-15 00:00:00",186437,72804,7415,810,46311,735778.8571428572,
"2019-04-16 00:00:00",168908,69529,16262,19,319181,695103.7142857143,
"2019-04-17 00:00:00",391005,31899,7120,189,544685,761450.8571428572,
"2019-04-18 00:00:00",311809,195801,6494,189,436014,784307.2857142857,
"2019-04-19 00:00:00",96754,33303,4672,378,533124,767317,
"2019-04-20 00:00:00",104467,215072,2170,2418,650277,808858.1428571428,
"2019-04-21 00:00:00",116581,285071,13180,402,469881,762949.4285714285,
"2019-04-22 00:00:00",112866,186412,6008,696,439535,824626.5714285715,
"2019-04-23 00:00:00",261289,137396,18850,189,236243,836064.8571428572,
"2019-04-24 00:00:00",162496,72303,5992,0,463291,797376.8571428572,
"2019-04-25 00:00:00",236240,120757,6793,3808,467402,780904.4285714285,
"2019-04-26 00:00:00",105187,159176,7779,378,441630,787464.2857142857,
"2019-04-27 00:00:00",106733,0,4413,639,489876,734215,
"2019-04-28 00:00:00",207111,227630,14413,0,304383,715418.1428571428,
"2019-04-29 00:00:00",178198,55114,16507,556,97882,658666.8571428572,
"2019-04-30 00:00:00",18023,31855,5490,189,14129,575198.2857142857,
"2019-05-01 00:00:00",417999,119774,25218,2148,561655,635585.8571428572,
"2019-05-02 00:00:00",216492,121300,11221,1519,349362,616285,
"2019-05-03 00:00:00",308667,83456,8088,189,356023,622323.7142857143,
"2019-05-04 00:00:00",48122,152860,4734,189,711274,667397.7142857143,
"2019-05-05 00:00:00",76277,161283,41405,1590,250295,635585.2857142857,
"2019-05-06 00:00:00",237437,66459,16096,632,269932,670199.1428571428,
"2019-05-07 00:00:00",127541,225775,14920,0,748588,819790.1428571428,
"2019-05-08 00:00:00",147606,100151,5829,378,464382,761440.4285714285,
"2019-05-09 00:00:00",161800,25600,9383,983,647555,782215.7142857143,
"2019-05-10 00:00:00",286821,236329,10171,567,186510,777069.4285714285,
"2019-05-11 00:00:00",54707,0,6259,1784,413856,714130.4285714285,
"2019-05-12 00:00:00",49737,73738,22471,0,288559,700367,
"2019-05-13 00:00:00",66996,143921,13690,1253,375242,701873.5714285715,
"2019-05-14 00:00:00",259883,324099,15746,0,365647,680237.8571428572,
"2019-05-15 00:00:00",96967,418565,4490,378,149012,673247.2857142857,
"2019-05-16 00:00:00",426565,93180,8540,0,436126,690260,
"2019-05-17 00:00:00",158830,105723,15989,378,363074,679345.1428571428,
"2019-05-18 00:00:00",30451,98412,2557,1973,557584,709969.8571428572,
"2019-05-19 00:00:00",99868,0,9712,0,324884,709963.7142857143,
"2019-05-20 00:00:00",98267,248463,19794,810,632653,766947.4285714285,
"2019-05-21 00:00:00",217679,53381,11479,189,543406,747055.8571428572,
"2019-05-22 00:00:00",247874,198323,8957,594,332484,764030.2857142857,
"2019-05-23 00:00:00",132595,147575,4849,1193,342129,716020.4285714285,
"2019-05-24 00:00:00",191411,223556,7932,189,375497,738105,
"2019-05-25 00:00:00",101969,58420,5568,593,327983,710041.4285714285,
"2019-05-26 00:00:00",148357,293742,9715,3460,223129,744889.8571428572,
"2019-05-27 00:00:00",125531,196946,11146,949,740130,755563.5714285715,
"2019-05-28 00:00:00",209864,0,6006,189,638104,759567.8571428572,
"2019-05-29 00:00:00",117693,49770,9395,567,270468,710947.8571428572,
"2019-05-30 00:00:00",338612,173741,23263,363,687051,795903.4285714285,
"2019-05-31 00:00:00",174738,68871,1239,946,594214,801820.8571428572,
"2019-06-01 00:00:00",122099,194530,8906,2229,216508,808926.5714285715,
"2019-06-02 00:00:00",32513,226045,9668,216,236224,784107.1428571428,
"2019-06-03 00:00:00",384996,55138,17109,1874,449132,760328.1428571428,
"2019-06-04 00:00:00",219596,94897,15303,0,303330,728751.4285714285,
"2019-06-05 00:00:00",200027,78601,13018,1816,647066,799127.8571428572,
"2019-06-06 00:00:00",221330,127658,11905,189,247888,711405.1428571428,
"2019-06-07 00:00:00",174347,26893,6148,378,650154,713964,
"2019-06-08 00:00:00",43648,235064,3504,1619,333083,724341.8571428572,
"2019-06-09 00:00:00",37003,272525,16689,3220,155395,721508.4285714285,
"2019-06-10 00:00:00",157529,174633,12360,1683,454414,706132.4285714285,
"2019-06-11 00:00:00",185806,27141,19838,1939,332715,696748.7142857143,
"2019-06-12 00:00:00",196240,68664,6618,378,966410,739289,
"2019-06-13 00:00:00",531490,357270,16625,868,278079,821483.4285714285,
"2019-06-14 00:00:00",188799,137587,14298,567,555252,826995.4285714285,
"2019-06-15 00:00:00",112027,0,15030,189,334915,804887.2857142857,
"2019-06-16 00:00:00",86611,52665,25180,0,391001,814976.4285714285,
"2019-06-17 00:00:00",159099,72041,23574,999,480511,805777.1428571428,
"2019-06-18 00:00:00",238571,71966,17521,0,398004,828437.4285714285,
"2019-06-19 00:00:00",298003,336144,2845,567,129890,761171.8571428572,
"2019-06-20 00:00:00",303056,18990,7992,189,288215,680330.2857142857,
"2019-06-21 00:00:00",27577,281132,14296,567,462056,664490.8571428572,
"2019-06-22 00:00:00",266716,296018,3963,0,230466,712348.1428571428,
"2019-06-23 00:00:00",53927,84660,12406,1590,327355,701559.8571428572,
"2019-06-24 00:00:00",104089,0,18346,1148,432750,675861.2857142857,
"2019-06-25 00:00:00",323851,194847,9867,189,381297,702145.4285714285,
"2019-06-26 00:00:00",176103,35521,5019,567,389283,679151.7142857143,
"2019-06-27 00:00:00",190599,84801,11499,226,241350,666299.5714285715,
"2019-06-28 00:00:00",229328,29339,1384,567,294388,633353.7142857143,
"2019-06-29 00:00:00",56562,79662,8002,828,420657,600289.2857142857,
"2019-06-30 00:00:00",55836,53056,20381,0,392696,606293.5714285715,
"2019-07-01 00:00:00",118944,337137,10465,3704,688901,692410.4285714285,
