"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-01-01 00:00:00",143140,0,9857,2058,57984,,
"2019-01-02 00:00:00",53882,0,9385,0,57922,,
"2019-01-03 00:00:00",185353,0,7897,5507,92387,,
"2019-01-04 00:00:00",166695,0,5987,1189,125929,,
"2019-01-05 00:00:00",209553,0,1091,3567,158755,,
"2019-01-06 00:00:00",183180,1199,3210,2171,148576,,
"2019-01-07 00:00:00",86506,0,7720,4322,428235,309038.14285714284,
"2019-01-08 00:00:00",114248,0,6551,6235,97433,310670.71428571426,
"2019-01-09 00:00:00",127469,0,6122,1189,121104,329913,
"2019-01-10 00:00:00",287993,0,7283,4471,150964,352708.4285714286,
"2019-01-11 00:00:00",213172,0,9061,3567,118686,359092.28571428574,
"2019-01-12 00:00:00",256433,0,7791,2378,101254,358362.14285714284,
"2019-01-13 00:00:00",78857,38745,6626,3552,82252,340033,
"2019-01-14 00:00:00",170175,0,5621,1823,100703,304538.5714285714,
"2019-01-15 00:00:00",103207,0,12936,2378,205611,318776.4285714286,
"2019-01-16 00:00:00",207245,1199,11042,4756,93414,327601.14285714284,
"2019-01-17 00:00:00",78056,0,19641,8957,328433,325369.14285714284,
"2019-01-18 00:00:00",368574,0,7100,5655,147274,351671.5714285714,
"2019-01-19 00:00:00",268745,0,9852,2378,70611,349347.4285714286,
"2019-01-20 00:00:00",149160,0,13571,3907,230772,376115.5714285714,
"2019-01-21 00:00:00",277464,0,16493,2378,140832,398807.71428571426,
"2019-01-22 00:00:00",140966,0,5310,1895,168323,397716.71428571426,
"2019-01-23 00:00:00",72153,0,9725,6907,343886,414147.28571428574,
"2019-01-24 00:00:00",194958,0,11381,8406,130588,401325.14285714284,
"2019-01-25 00:00:00",249111,57517,11163,4756,107399,387231.4285714286,
"2019-01-26 00:00:00",235731,0,8555,3970,159471,395251.4285714286,
"2019-01-27 00:00:00",368065,15983,2291,2490,79953,405447.5714285714,
"2019-01-28 00:00:00",184364,1199,4240,3646,142133,390935.4285714286,
"2019-01-29 00:00:00",93086,30036,6336,4218,109685,380487.85714285716,
"2019-01-30 00:00:00",128923,3130,7634,2378,115936,355534.85714285716,
"2019-01-31 00:00:00",121739,1199,12306,1189,377990,379690.71428571426,
"2019-02-01 00:00:00",120674,0,11455,2378,252538,373561.85714285716,
"2019-02-02 00:00:00",250714,0,2824,2403,112234,367911.71428571426,
"2019-02-03 00:00:00",132588,0,8692,5201,91916,334999.4285714286,
"2019-02-04 00:00:00",133428,0,7240,4256,52186,315217.71428571426,
"2019-02-05 00:00:00",273676,27935,16001,2378,107060,341459.14285714284,
"2019-02-06 00:00:00",160932,43242,5941,4658,307345,379190.14285714284,
"2019-02-07 00:00:00",118742,0,14093,6322,509615,398382.85714285716,
"2019-02-08 00:00:00",50033,0,6709,3567,186285,378318.28571428574,
"2019-02-09 00:00:00",211882,0,6262,2748,124082,375003.71428571426,
"2019-02-10 00:00:00",372034,0,11317,2614,44201,402399.4285714286,
"2019-02-11 00:00:00",124013,0,5328,10248,143792,414723.71428571426,
"2019-02-12 00:00:00",116153,0,9680,3759,53524,379875.71428571426,
