"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-01-01 00:00:00",19,1,15,1,45,,
"2019-01-02 00:00:00",12,0,22,1,42,,
"2019-01-03 00:00:00",27,1,13,8,49,,
"2019-01-04 00:00:00",20,2,14,7,46,,
"2019-01-05 00:00:00",18,4,7,4,59,,
"2019-01-06 00:00:00",18,3,9,4,44,,
"2019-01-07 00:00:00",28,2,19,7,51,88.85714285714286,
"2019-01-08 00:00:00",17,3,8,8,59,90.85714285714286,
"2019-01-09 00:00:00",23,3,17,6,51,94.14285714285714,
"2019-01-10 00:00:00",24,1,15,5,58,94.85714285714286,
"2019-01-11 00:00:00",25,4,17,6,56,97.57142857142857,
"2019-01-12 00:00:00",23,1,11,5,51,97.42857142857143,
"2019-01-13 00:00:00",17,2,17,6,42,98.28571428571429,
"2019-01-14 00:00:00",26,1,18,7,56,98.42857142857143,
"2019-01-15 00:00:00",15,6,14,7,47,97.57142857142857,
"2019-01-16 00:00:00",21,3,21,6,54,98.28571428571429,
"2019-01-17 00:00:00",18,6,23,7,45,97.71428571428571,
"2019-01-18 00:00:00",18,2,15,7,62,97.14285714285714,
"2019-01-19 00:00:00",21,4,8,5,47,96.28571428571429,
"2019-01-20 00:00:00",21,2,20,6,50,98.42857142857143,
"2019-01-21 00:00:00",21,0,26,8,60,99.42857142857143,
"2019-01-22 00:00:00",19,4,19,7,40,99.42857142857143,
"2019-01-23 00:00:00",18,2,21,7,60,99.85714285714286,
"2019-01-24 00:00:00",28,3,14,6,45,99.42857142857143,
"2019-01-25 00:00:00",19,7,16,6,60,100,
"2019-01-26 00:00:00",22,5,16,5,43,100.85714285714286,
"2019-01-27 00:00:00",14,3,13,4,43,97.71428571428571,
"2019-01-28 00:00:00",23,6,14,8,46,95.14285714285714,
"2019-01-29 00:00:00",18,5,15,7,59,97.28571428571429,
"2019-01-30 00:00:00",24,3,18,6,53,96.71428571428571,
"2019-01-31 00:00:00",26,4,25,6,57,99.85714285714286,
"2019-02-01 00:00:00",20,4,17,6,75,101.85714285714286,
"2019-02-02 00:00:00",22,3,8,5,47,101,
"2019-02-03 00:00:00",20,1,17,4,50,103.14285714285714,
"2019-02-04 00:00:00",27,2,15,9,42,102.85714285714286,
"2019-02-05 00:00:00",25,3,22,7,47,102.85714285714286,
"2019-02-06 00:00:00",21,5,19,7,43,101.57142857142857,
"2019-02-07 00:00:00",21,4,23,7,55,100.42857142857143,
"2019-02-08 00:00:00",21,3,14,4,62,97.85714285714286,
"2019-02-09 00:00:00",21,0,16,7,53,99.57142857142857,
"2019-02-10 00:00:00",14,4,16,7,36,97.42857142857143,
"2019-02-11 00:00:00",23,0,12,8,67,99.57142857142857,
"2019-02-12 00:00:00",25,4,16,8,57,100.42857142857143,
"2019-02-13 00:00:00",19,2,26,5,59,102.71428571428571,
"2019-02-14 00:00:00",29,2,18,7,42,101,
"2019-02-15 00:00:00",16,3,20,8,55,100.71428571428571,
"2019-02-16 00:00:00",28,1,10,6,65,102.57142857142857,
"2019-02-17 00:00:00",16,5,10,5,51,104,
"2019-02-18 00:00:00",31,4,17,11,45,103.71428571428571,
"2019-02-19 00:00:00",17,2,13,10,50,101.14285714285714,
"2019-02-20 00:00:00",24,8,23,4,50,100.85714285714286,
"2019-02-21 00:00:00",25,4,17,6,56,102.28571428571429,
"2019-02-22 00:00:00",18,7,10,7,52,101.14285714285714,
"2019-02-23 00:00:00",21,1,10,4,58,98.85714285714286,
"2019-02-24 00:00:00",18,2,14,9,55,100.42857142857143,
"2019-02-25 00:00:00",29,3,21,8,51,101,
"2019-02-26 00:00:00",25,3,20,9,51,103.28571428571429,
"2019-02-27 00:00:00",19,5,26,5,48,102.42857142857143,
"2019-02-28 00:00:00",17,5,14,6,59,101.42857142857143,
"2019-03-01 00:00:00",15,6,21,5,64,103.85714285714286,
"2019-03-02 00:00:00",17,0,12,5,46,101.85714285714286,
"2019-03-03 00:00:00",21,1,13,5,46,100.14285714285714,
"2019-03-04 00:00:00",27,4,16,11,47,99.14285714285714,
"2019-03-05 00:00:00",24,3,11,9,51,97.71428571428571,
"2019-03-06 00:00:00",20,2,17,8,59,98.14285714285714,
"2019-03-07 00:00:00",20,4,11,5,68,99.14285714285714,
"2019-03-08 00:00:00",28,3,17,6,53,98.57142857142857,
"2019-03-09 00:00:00",12,5,16,5,52,100,
