"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-01-01 00:00:00",346584,434263,10971,822,35987,,
"2019-01-02 00:00:00",672857,406237,34482,822,74703,,
"2019-01-03 00:00:00",395725,586177,21575,411,45846,,
"2019-01-04 00:00:00",170500,314483,18440,1234,86540,,
"2019-01-05 00:00:00",570169,438356,18512,822,127011,,
"2019-01-06 00:00:00",372860,323466,8655,1839,77199,,
"2019-01-07 00:00:00",539867,374164,17091,1748,118966,949914,
"2019-01-08 00:00:00",289821,671711,25932,1994,167555,996826.4285714285,
"2019-01-09 00:00:00",240069,375673,4497,1793,62571,924755.4285714285,
"2019-01-10 00:00:00",148384,479472,13937,411,28033,870541.5714285715,
"2019-01-11 00:00:00",491030,584236,18718,2281,114534,959056.2857142857,
"2019-01-12 00:00:00",510864,364086,11440,2145,50583,928234.5714285715,
"2019-01-13 00:00:00",585400,394188,10480,0,41418,963587,
"2019-01-14 00:00:00",482563,692176,48353,822,91730,1001273.8571428572,
"2019-01-15 00:00:00",211555,444989,7414,1645,31435,935563,
"2019-01-16 00:00:00",629746,342380,13772,1893,41123,984750.2857142857,
"2019-01-17 00:00:00",254448,318951,15330,2560,75142,984206.4285714285,
"2019-01-18 00:00:00",162794,378700,10339,822,64226,899361.1428571428,
"2019-01-19 00:00:00",306106,341324,11780,1234,78015,870695.5714285715,
"2019-01-20 00:00:00",461892,311975,26725,822,65800,847228.1428571428,
"2019-01-21 00:00:00",511952,339546,16782,1234,50024,790641.5714285715,
"2019-01-22 00:00:00",489275,434112,28728,1234,114656,843636.8571428572,
"2019-01-23 00:00:00",263953,454952,17847,5792,72579,813095.1428571428,
"2019-01-24 00:00:00",299845,223228,2879,411,35961,798222.8571428572,
"2019-01-25 00:00:00",697482,444208,17661,1741,104762,890933,
"2019-01-26 00:00:00",378894,159163,46566,411,25490,872656.4285714285,
"2019-01-27 00:00:00",310009,508365,11949,822,104576,882443.2857142857,
"2019-01-28 00:00:00",475739,398820,22948,1272,64845,888741.2857142857,
"2019-01-29 00:00:00",540300,524613,3710,822,131280,907701.2857142857,
"2019-01-30 00:00:00",177732,221569,2879,1825,35267,854008.4285714285,
"2019-01-31 00:00:00",172525,138507,18275,0,35991,825861.7142857143,
"2019-02-01 00:00:00",181769,386228,22036,3391,110876,745639.8571428572,
"2019-02-02 00:00:00",156823,362398,35250,2244,63413,747011.8571428572,
"2019-02-03 00:00:00",204816,234219,4101,4707,121812,694716.5714285715,
