"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-01-01 00:00:00",188945,125718,23601,2892,51522,,
"2019-01-02 00:00:00",410586,169303,6650,2892,41482,,
"2019-01-03 00:00:00",184779,261892,34596,4400,17866,,
"2019-01-04 00:00:00",372908,272512,13531,4339,52672,,
"2019-01-05 00:00:00",558244,230495,16179,4610,306983,,
"2019-01-06 00:00:00",298339,237700,7479,4339,66887,,
"2019-01-07 00:00:00",311504,261667,29847,5705,101992,669295.8571428572,
"2019-01-08 00:00:00",349734,193841,14426,1446,51809,700521.2857142857,
"2019-01-09 00:00:00",385297,460867,33726,5505,150344,758353.4285714285,
"2019-01-10 00:00:00",343859,279045,13521,1821,110840,793432.5714285715,
"2019-01-11 00:00:00",748087,132489,14819,14633,75170,831894.8571428572,
"2019-01-12 00:00:00",350735,233439,26041,4641,128528,778591,
"2019-01-13 00:00:00",333528,306779,22386,0,29089,789596.1428571428,
"2019-01-14 00:00:00",408719,596769,20930,2892,56434,843171.7142857143,
"2019-01-15 00:00:00",444130,317419,13850,6809,33128,872326,
"2019-01-16 00:00:00",420247,265459,5629,1446,73411,833819.2857142857,
"2019-01-17 00:00:00",388651,323425,18479,0,47444,837949.5714285715,
"2019-01-18 00:00:00",515985,195220,50228,2892,40666,812205.8571428572,
"2019-01-19 00:00:00",330035,294055,13332,4339,57244,805866,
"2019-01-20 00:00:00",312170,172329,62586,2892,112966,801746.2857142857,
"2019-01-21 00:00:00",444334,332962,17862,5514,82660,772830.2857142857,
"2019-01-22 00:00:00",454263,312704,21245,4339,89709,782390.7142857143,
"2019-01-23 00:00:00",509534,359322,7112,3767,29923,802885.7142857143,
"2019-01-24 00:00:00",339261,187761,12186,1446,62153,777858.4285714285,
"2019-01-25 00:00:00",611742,335812,40123,4339,75463,815356.5714285715,
"2019-01-26 00:00:00",410890,231327,34735,1446,42109,818428.2857142857,
"2019-01-27 00:00:00",491592,351529,9075,7200,37478,851847.2857142857,
"2019-01-28 00:00:00",423065,551533,33765,6425,22211,873799.7142857143,
"2019-01-29 00:00:00",290792,148192,20639,12229,18927,817874,
"2019-01-30 00:00:00",294272,276111,10342,2028,161828,794291.7142857143,
"2019-01-31 00:00:00",579540,118197,17908,0,30275,814736.2857142857,
"2019-02-01 00:00:00",540229,325592,16127,2892,39288,794257.7142857143,
"2019-02-02 00:00:00",400158,472811,26259,1446,33096,824723.7142857143,
"2019-02-03 00:00:00",414347,389622,8629,2980,64282,822293,
"2019-02-04 00:00:00",418571,73839,13580,2892,15540,749067.8571428572,
"2019-02-05 00:00:00",209309,187412,10637,8521,21983,741508.4285714285,
"2019-02-06 00:00:00",251785,184162,18228,0,101034,714455.2857142857,
"2019-02-07 00:00:00",294634,352345,10231,2892,29858,706461.1428571428,
"2019-02-08 00:00:00",218505,413225,13938,0,63767,675790.4285714285,
"2019-02-09 00:00:00",148228,252680,6739,0,54982,608484.5714285715,
"2019-02-10 00:00:00",171957,218617,24062,1166,91703,555290.8571428572,
"2019-02-11 00:00:00",245896,251745,15956,4339,107024,569653.1428571428,
"2019-02-12 00:00:00",169344,374435,9856,6447,50689,594354.2857142857,
"2019-02-13 00:00:00",165895,220096,9140,4430,25821,575807.5714285715,
"2019-02-14 00:00:00",159079,66276,38568,1446,29529,519370,
"2019-02-15 00:00:00",128004,133663,5491,0,45031,462620.71428571426,
