"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-01-01 00:00:00",316690,56940,4271,252,337592,,
"2019-01-02 00:00:00",336042,13140,3361,2982,337952,,
"2019-01-03 00:00:00",841211,0,6650,252,803428,,
"2019-01-04 00:00:00",735455,43179,26251,0,552333,,
"2019-01-05 00:00:00",748116,0,5740,252,591469,,
"2019-01-06 00:00:00",676465,47147,4212,766,827015,,
"2019-01-07 00:00:00",881328,86622,13107,773,880038,1311577.2857142857,
"2019-01-08 00:00:00",367231,27542,4292,3951,680319,1364090.2857142857,
"2019-01-09 00:00:00",815742,13140,3285,252,312349,1428560.5714285714,
"2019-01-10 00:00:00",912771,29206,9740,0,424677,1389253.857142857,
"2019-01-11 00:00:00",807681,0,2964,0,229290,1343927.7142857143,
"2019-01-12 00:00:00",505501,39788,10481,252,621042,1319854.7142857143,
"2019-01-13 00:00:00",599192,13140,8734,0,582639,1269583.4285714286,
"2019-01-14 00:00:00",907703,51345,7985,252,533553,1218007.7142857143,
"2019-01-15 00:00:00",579056,0,4343,4389,576203,1229529.857142857,
"2019-01-16 00:00:00",598828,44306,5363,267,627072,1248253.7142857143,
"2019-01-17 00:00:00",663944,70367,17715,1387,342534,1208189.7142857143,
"2019-01-18 00:00:00",864033,38397,2880,605,1032945,1336607.5714285714,
"2019-01-19 00:00:00",273690,17207,2911,252,690348,1309085.142857143,
"2019-01-20 00:00:00",790094,54354,5878,0,413012,1317604,
"2019-01-21 00:00:00",733456,13140,5451,520,595931,1295841.142857143,
"2019-01-22 00:00:00",908967,70386,3471,252,344985,1319279.857142857,
"2019-01-23 00:00:00",466058,0,8352,2255,471112,1272414.2857142857,
"2019-01-24 00:00:00",452631,76177,1604,1189,172140,1216384.857142857,
"2019-01-25 00:00:00",860665,43728,0,0,778165,1179770.4285714286,
"2019-01-26 00:00:00",965391,545,3903,4087,532837,1254392.4285714286,
"2019-01-27 00:00:00",645727,35494,5449,1019,443838,1235562.5714285714,
"2019-01-28 00:00:00",938251,0,11917,2516,1133370,1340927.857142857,
"2019-01-29 00:00:00",712301,28567,6211,0,536899,1334630.142857143,
"2019-01-30 00:00:00",798844,22263,5815,505,520551,1391801.7142857143,
"2019-01-31 00:00:00",534776,48620,3921,4014,681360,1473080.4285714286,
"2019-02-01 00:00:00",492938,36517,3211,505,666260,1404062.4285714286,
"2019-02-02 00:00:00",615340,0,3361,2812,230879,1310580.857142857,
"2019-02-03 00:00:00",595833,22263,1440,252,480696,1306146,
"2019-02-04 00:00:00",712534,98233,3819,0,901915,1253352.4285714286,
"2019-02-05 00:00:00",566110,13140,960,3386,815613,1269814.142857143,
"2019-02-06 00:00:00",503727,13140,4525,0,320594,1197529.4285714286,
"2019-02-07 00:00:00",965780,67151,10365,773,292779,1206694.7142857143,
"2019-02-08 00:00:00",619181,37086,960,6501,601193,1216050.142857143,
"2019-02-09 00:00:00",422879,10560,4222,0,668596,1252316.5714285714,
"2019-02-10 00:00:00",453389,0,1707,505,557515,1239835.4285714286,
"2019-02-11 00:00:00",763232,29064,9700,520,1092636,1265357,
"2019-02-12 00:00:00",716883,13140,5685,512,644727,1262748.142857143,
"2019-02-13 00:00:00",572453,24083,6558,267,203807,1257774.2857142857,
"2019-02-14 00:00:00",743451,43172,5696,252,482634,1248968.142857143,
"2019-02-15 00:00:00",505339,13140,1920,684,296788,1185104.142857143,
"2019-02-16 00:00:00",935763,42311,1440,1166,674855,1263572.5714285714,
"2019-02-17 00:00:00",419777,0,6486,513,363403,1231724.2857142857,
"2019-02-18 00:00:00",691251,0,9487,1023,589679,1145479.857142857,
"2019-02-19 00:00:00",258129,45893,17691,3150,359767,1046006.1428571428,
"2019-02-20 00:00:00",455738,13140,6554,54,431559,1060274.4285714286,
"2019-02-21 00:00:00",486347,47852,2030,2057,1251110,1133730.2857142857,
"2019-02-22 00:00:00",645433,40303,8140,505,631679,1206328.5714285714,
"2019-02-23 00:00:00",539216,21794,2600,520,261020,1087702.142857143,
"2019-02-24 00:00:00",513389,0,3242,1534,730590,1153213.142857143,
"2019-02-25 00:00:00",636427,34449,9331,267,330131,1113093.857142857,
"2019-02-26 00:00:00",405034,81151,4251,979,166597,1109291.142857143,
"2019-02-27 00:00:00",396308,3699,3339,0,377767,1091300.4285714286,
"2019-02-28 00:00:00",817460,50049,960,773,230927,992839.2857142857,
"2019-03-01 00:00:00",472014,51547,3469,252,859652,1001535.7142857143,
"2019-03-02 00:00:00",329802,13140,960,267,428661,994061.2857142857,
"2019-03-03 00:00:00",1448786,56984,480,505,540256,1108097.7142857143,
"2019-03-04 00:00:00",571847,13140,25155,0,601358,1136796.857142857,
"2019-03-05 00:00:00",418504,59893,3457,2052,564875,1192621,
"2019-03-06 00:00:00",532928,29418,3840,1781,124099,1179900.2857142857,
"2019-03-07 00:00:00",592561,44941,960,1923,665151,1209238.5714285714,
"2019-03-08 00:00:00",452746,0,13492,773,410369,1136445,
"2019-03-09 00:00:00",542035,54260,6061,252,401412,1169472.4285714286,
"2019-03-10 00:00:00",557915,0,2388,0,317883,1002497.4285714285,
"2019-03-11 00:00:00",922333,42008,2880,2154,579078,1050633.7142857143,
"2019-03-12 00:00:00",334704,25278,1920,6835,430853,1015035,
"2019-03-13 00:00:00",398077,0,480,3951,374919,1027229.4285714285,
"2019-03-14 00:00:00",757870,75887,10620,520,484654,1030660.1428571428,
"2019-03-15 00:00:00",930060,36248,1920,505,357903,1094839.7142857143,
"2019-03-16 00:00:00",274813,0,960,3890,404223,1049106.142857143,
"2019-03-17 00:00:00",651462,32801,5995,252,498124,1093456,
"2019-03-18 00:00:00",623590,61547,10005,535,152925,993477,
"2019-03-19 00:00:00",451985,60389,4462,219,839117,1072988.4285714286,
"2019-03-20 00:00:00",652477,53214,2472,267,422235,1123450.857142857,
"2019-03-21 00:00:00",316735,13140,4285,252,391969,1037283.8571428572,
"2019-03-22 00:00:00",904327,13140,5237,787,702854,1080099.4285714286,
"2019-03-23 00:00:00",330198,24337,4801,457,550397,1112428.7142857143,
"2019-03-24 00:00:00",893699,54121,4494,562,604126,1165052.7142857143,
"2019-03-25 00:00:00",571890,29792,3339,267,914468,1260932.142857143,
"2019-03-26 00:00:00",482008,15839,5995,868,250308,1175053.4285714286,
"2019-03-27 00:00:00",716466,22010,960,3480,574082,1201672.4285714286,
"2019-03-28 00:00:00",511642,39422,1970,1080,179371,1202687.2857142857,
"2019-03-29 00:00:00",643752,53942,5828,252,527875,1146302,
"2019-03-30 00:00:00",664141,0,5581,4473,612536,1200093.4285714286,
"2019-03-31 00:00:00",785678,13140,3574,758,491138,1162562.857142857,
"2019-04-01 00:00:00",717094,64410,20680,1590,243846,1095114.7142857143,
"2019-04-02 00:00:00",502401,0,0,3552,511182,1132559.5714285714,
"2019-04-03 00:00:00",570594,0,6241,0,297430,1069312,
"2019-04-04 00:00:00",742335,76498,4229,505,806044,1197329.857142857,
"2019-04-05 00:00:00",574972,13929,3592,252,164098,1129500.4285714286,
"2019-04-06 00:00:00",394161,7002,3860,821,276813,1043204.1428571428,
"2019-04-07 00:00:00",704389,14254,3840,2090,618148,1050123.142857143,
"2019-04-08 00:00:00",414418,4997,7453,2752,1000570,1104776.2857142857,
"2019-04-09 00:00:00",380386,44718,0,1211,206041,1049807.857142857,
"2019-04-10 00:00:00",842035,27309,2034,0,408347,1107730.857142857,
"2019-04-11 00:00:00",701816,74610,18129,2249,540298,1065943.7142857143,
"2019-04-12 00:00:00",770256,34243,5188,0,577076,1155932.142857143,
"2019-04-13 00:00:00",401250,13140,4922,252,711697,1220018.5714285714,
"2019-04-14 00:00:00",517014,96369,4498,252,1112399,1275420.142857143,
"2019-04-15 00:00:00",625458,0,2991,3399,677395,1258141.857142857,
"2019-04-16 00:00:00",404083,24365,3684,0,749291,1336580.2857142857,
"2019-04-17 00:00:00",585902,0,6764,0,128791,1256827.5714285714,
"2019-04-18 00:00:00",725125,13140,480,3981,491440,1242122.5714285714,
"2019-04-19 00:00:00",390379,100543,5101,505,403648,1172610.2857142857,
"2019-04-20 00:00:00",641445,26281,2400,0,398816,1163707.4285714286,
"2019-04-21 00:00:00",617783,482,1440,0,574767,1087127.2857142857,
"2019-04-22 00:00:00",929108,5261,12165,0,377551,1089247.5714285714,
"2019-04-23 00:00:00",434815,311,4889,2877,863640,1107120.2857142857,
"2019-04-24 00:00:00",469211,82312,7949,3560,424297,1145102.142857143,
"2019-04-25 00:00:00",634958,63578,2705,307,402468,1126509.142857143,
"2019-04-26 00:00:00",814570,8150,8029,1191,510925,1189750.4285714286,
"2019-04-27 00:00:00",804510,23909,12163,691,541027,1234516,
"2019-04-28 00:00:00",436769,0,2053,0,594024,1211426.5714285714,
"2019-04-29 00:00:00",383549,0,4302,520,825872,1195734.7142857143,
"2019-04-30 00:00:00",555633,104261,960,713,342947,1152589.2857142857,
"2019-05-01 00:00:00",523804,67754,3361,2811,635548,1187724.7142857143,
"2019-05-02 00:00:00",456744,13140,3635,1015,739099,1203384.5714285714,
"2019-05-03 00:00:00",782041,26281,3389,761,322184,1173640.5714285714,
"2019-05-04 00:00:00",548513,15820,480,0,551587,1135654.7142857143,
"2019-05-05 00:00:00",746976,0,1593,2297,339261,1143837.857142857,
"2019-05-06 00:00:00",607830,59437,29487,267,763147,1178970,
"2019-05-07 00:00:00",764123,52938,3572,3548,474020,1220925.2857142857,
"2019-05-08 00:00:00",626183,40081,8644,520,552732,1220194.4285714286,
"2019-05-09 00:00:00",647525,0,6464,2331,639582,1231947,
"2019-05-10 00:00:00",660224,0,7349,252,1174743,1333077,
"2019-05-11 00:00:00",314922,30205,1373,2287,583667,1306798.857142857,
"2019-05-12 00:00:00",413037,24020,1699,267,653284,1307110.2857142857,
"2019-05-13 00:00:00",914032,74754,14886,267,371319,1294980.4285714286,
"2019-05-14 00:00:00",678683,25498,11460,2150,448924,1276196.7142857143,
"2019-05-15 00:00:00",545244,0,8868,252,780672,1291464.5714285714,
"2019-05-16 00:00:00",426067,32528,4254,0,462103,1238471.7142857143,
"2019-05-17 00:00:00",524404,64252,10454,0,425153,1121571.142857143,
"2019-05-18 00:00:00",401222,33450,0,758,443850,1113975,
"2019-05-19 00:00:00",954791,0,728,252,621554,1183263.2857142857,
"2019-05-20 00:00:00",672464,84461,5125,1019,941584,1230319.7142857143,
"2019-05-21 00:00:00",636032,72524,3361,773,420932,1225592,
"2019-05-22 00:00:00",423397,10449,2531,0,514294,1170682.7142857143,
"2019-05-23 00:00:00",707319,26281,480,505,732695,1248158.142857143,
"2019-05-24 00:00:00",652668,0,7981,0,287910,1237343.142857143,
"2019-05-25 00:00:00",399929,0,2993,252,791908,1282457.7142857143,
"2019-05-26 00:00:00",546844,60731,960,0,200704,1172731,
"2019-05-27 00:00:00",790575,40193,18271,0,451458,1114994.2857142857,
"2019-05-28 00:00:00",481407,0,8899,4312,622682,1112662.5714285714,
"2019-05-29 00:00:00",845377,579,4805,252,722777,1201679.5714285714,
"2019-05-30 00:00:00",602601,15996,5543,0,303980,1124656.5714285714,
"2019-05-31 00:00:00",494565,45197,2400,252,240048,1100928.7142857143,
"2019-06-01 00:00:00",538421,19343,7822,6966,333800,1059681.7142857143,
"2019-06-02 00:00:00",534133,1913,3339,509,403624,1078864.7142857143,
"2019-06-03 00:00:00",747920,74387,2931,0,1754556,1261621.5714285714,
"2019-06-04 00:00:00",517820,0,12214,1375,716014,1280210.5714285714,
"2019-06-05 00:00:00",479186,22711,5537,520,617995,1216233.142857143,
"2019-06-06 00:00:00",743218,1542,1920,510,524358,1265294.4285714286,
"2019-06-07 00:00:00",574141,27530,1920,5189,358039,1291631,
"2019-06-08 00:00:00",301955,22568,5169,252,334816,1257117.7142857143,
"2019-06-09 00:00:00",606813,13140,2880,0,427082,1272317.142857143,
"2019-06-10 00:00:00",517835,29985,5692,2415,1021751,1129157.857142857,
"2019-06-11 00:00:00",663186,14810,7254,2530,269359,1087689,
"2019-06-12 00:00:00",663880,48378,4169,252,857402,1151708,
"2019-06-13 00:00:00",659110,56597,6016,1541,553746,1152488.4285714286,
"2019-06-14 00:00:00",388498,81383,1440,0,312807,1126389.7142857143,
"2019-06-15 00:00:00",630832,44696,480,1975,374739,1181813,
"2019-06-16 00:00:00",437840,18705,2262,505,394478,1153795.2857142857,
"2019-06-17 00:00:00",534039,0,5896,560,579247,1088375.7142857143,
"2019-06-18 00:00:00",715312,11972,6538,0,256730,1093148.857142857,
"2019-06-19 00:00:00",1089605,0,10660,4239,380948,1080487.5714285714,
"2019-06-20 00:00:00",855035,0,5606,513,425502,1081865.4285714286,
"2019-06-21 00:00:00",466052,68649,3697,505,587174,1130715.2857142857,
"2019-06-22 00:00:00",499021,18036,2599,1011,761225,1163453.7142857143,
"2019-06-23 00:00:00",403641,37445,8504,2610,200390,1134710.5714285714,
"2019-06-24 00:00:00",578448,0,23674,0,975846,1200171.142857143,
"2019-06-25 00:00:00",379557,13140,6886,1663,788129,1228574.4285714286,
"2019-06-26 00:00:00",851395,4164,3953,0,292474,1180936.2857142857,
"2019-06-27 00:00:00",391214,33619,7284,762,347121,1108556.857142857,
"2019-06-28 00:00:00",547258,19581,2880,520,544838,1106985.4285714286,
"2019-06-29 00:00:00",475954,17813,2771,1029,498719,1066184.5714285714,
"2019-06-30 00:00:00",916310,0,7053,557,308292,1148987.7142857143,
"2019-07-01 00:00:00",508605,0,5343,0,740500,1102770.7142857143,
"2019-07-02 00:00:00",643797,66319,2749,1884,363863,1086947.5714285714,
"2019-07-03 00:00:00",498483,127858,4548,0,368936,1065210.2857142857,
"2019-07-04 00:00:00",676916,50218,1179,252,682246,1155326.142857143,
"2019-07-05 00:00:00",1034992,0,3853,3074,721830,1247993.5714285714,
"2019-07-06 00:00:00",401223,0,2314,1017,272798,1202431.4285714286,
"2019-07-07 00:00:00",590568,0,5282,2701,924712,1244010.142857143,
"2019-07-08 00:00:00",286765,13140,23059,0,477499,1179155.2857142857,
"2019-07-09 00:00:00",631495,30865,1920,252,863099,1243300.7142857143,
"2019-07-10 00:00:00",802624,56160,2880,252,375568,1277252.2857142857,
