"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-01-01 00:00:00",707917,6020,8250,899,346774,,
"2019-01-02 00:00:00",718872,8949,3023,2352,489509,,
"2019-01-03 00:00:00",637167,4593,1924,899,369086,,
"2019-01-04 00:00:00",657628,3010,10832,2197,207695,,
"2019-01-05 00:00:00",603949,0,7750,10568,375888,,
"2019-01-06 00:00:00",571563,3968,3397,1412,480109,,
"2019-01-07 00:00:00",1055941,6999,4016,7539,462772,1111925.7142857143,
"2019-01-08 00:00:00",1013280,0,7110,4885,255227,1142017.4285714286,
"2019-01-09 00:00:00",836091,12020,5372,6745,201072,1118959.4285714286,
"2019-01-10 00:00:00",740945,28187,837,2316,764823,1193736.4285714286,
"2019-01-11 00:00:00",696239,2877,0,0,683214,1265303.4285714286,
"2019-01-12 00:00:00",962915,26316,8490,899,305458,1309006.857142857,
"2019-01-13 00:00:00",920841,3010,3523,0,220962,1321562,
"2019-01-14 00:00:00",762484,0,27557,3729,494573,1286001.4285714286,
"2019-01-15 00:00:00",440295,36589,2394,3208,381119,1226444.7142857143,
"2019-01-16 00:00:00",899983,857,8897,894,247784,1240318.2857142857,
"2019-01-17 00:00:00",508866,4386,2113,894,483018,1163485.142857143,
"2019-01-18 00:00:00",678636,0,5071,5211,315872,1109550.857142857,
"2019-01-19 00:00:00",684734,3010,9324,899,400274,1080145.5714285714,
"2019-01-20 00:00:00",718807,3010,9498,513,236721,1054461.7142857143,
"2019-01-21 00:00:00",671478,34393,7041,1794,401783,1029911.2857142857,
"2019-01-22 00:00:00",556486,7502,10245,1558,242597,1023451.7142857143,
"2019-01-23 00:00:00",838380,522,4220,5827,477005,1047386,
"2019-01-24 00:00:00",471120,3010,4645,1678,214675,1003936.1428571428,
"2019-01-25 00:00:00",603630,0,0,9895,324358,994377.8571428572,
"2019-01-26 00:00:00",394784,0,1674,4628,300879,937766.8571428572,
"2019-01-27 00:00:00",480052,0,5539,0,307434,912692,
"2019-01-28 00:00:00",890113,54790,5151,1323,441450,952168.7142857143,
"2019-01-29 00:00:00",651201,4909,4540,0,323986,975918.4285714285,
"2019-01-30 00:00:00",408979,8288,837,5770,272845,886027.4285714285,
"2019-01-31 00:00:00",443232,3010,7603,894,272600,890629,
"2019-02-01 00:00:00",403345,0,20130,1799,374893,870955.4285714285,
"2019-02-02 00:00:00",470227,0,5142,4349,271599,878005.7142857143,
"2019-02-03 00:00:00",445633,8288,1768,899,356724,880904,
"2019-02-04 00:00:00",601470,0,6581,4089,334204,817120.7142857143,
"2019-02-05 00:00:00",321954,8584,4690,2296,1000259,867570.2857142857,
"2019-02-06 00:00:00",562393,3010,1674,2219,692914,948354.7142857143,
"2019-02-07 00:00:00",451855,6020,4822,8787,343168,960828,
"2019-02-08 00:00:00",517975,5681,1453,10479,318975,968598.7142857143,
"2019-02-09 00:00:00",508512,21308,5107,510,438638,1000421.5714285715,
"2019-02-10 00:00:00",513543,0,1225,2312,187490,984887.1428571428,
"2019-02-11 00:00:00",564668,6020,8422,7962,236603,967362.8571428572,
"2019-02-12 00:00:00",1098455,3010,8662,362,452154,999485.7142857143,
"2019-02-13 00:00:00",529788,0,2224,894,271186,934040.2857142857,
"2019-02-14 00:00:00",790889,2630,3421,13669,410417,992093.8571428572,
"2019-02-15 00:00:00",664469,42709,1674,894,271291,1010161.8571428572,
"2019-02-16 00:00:00",998300,0,1668,4060,411251,1073190.7142857143,
"2019-02-17 00:00:00",506405,481,9056,0,418873,1106082.7142857143,
"2019-02-18 00:00:00",597649,0,12265,438,460073,1141332.857142857,
"2019-02-19 00:00:00",585574,54129,2186,894,683023,1107499,
"2019-02-20 00:00:00",879598,44964,12323,44,644102,1218490.4285714286,
"2019-02-21 00:00:00",348697,9722,3962,5459,260624,1133838.7142857143,
"2019-02-22 00:00:00",392425,8910,8606,2991,445493,1116322.4285714286,
"2019-02-23 00:00:00",619885,0,7387,6034,264961,1042463.5714285715,
"2019-02-24 00:00:00",611377,0,3529,3197,395240,1053681.7142857143,
"2019-02-25 00:00:00",512881,3010,12217,894,512513,1049551.5714285714,
"2019-02-26 00:00:00",460610,0,7914,1794,289743,968730.7142857143,
"2019-02-27 00:00:00",838721,10573,2758,3079,452451,929666.5714285715,
"2019-02-28 00:00:00",635756,7459,12595,3203,435837,996293.1428571428,
"2019-03-01 00:00:00",324570,9660,4330,2430,420533,982450,
"2019-03-02 00:00:00",709882,6422,4905,894,319472,1002922.8571428572,
"2019-03-03 00:00:00",823760,12570,4641,1799,503253,1050448.7142857143,
"2019-03-04 00:00:00",463429,3010,5253,0,495369,1039812.4285714285,
"2019-03-05 00:00:00",835441,6020,4604,894,540863,1129492.7142857143,
"2019-03-06 00:00:00",620674,0,16902,11610,249935,1071141,
"2019-03-07 00:00:00",602191,0,4490,0,475962,1069397,
"2019-03-08 00:00:00",704325,0,3353,3205,453289,1126918.142857143,
"2019-03-09 00:00:00",495221,43548,2666,1925,203748,1084851.2857142857,
"2019-03-10 00:00:00",677425,964,6785,2756,356719,1041797.8571428572,
"2019-03-11 00:00:00",709442,0,2511,1788,366801,1058009.5714285714,
"2019-03-12 00:00:00",712800,0,2591,1322,257922,998982.8571428572,
"2019-03-13 00:00:00",706672,39457,2349,3535,254621,1014342.1428571428,
"2019-03-14 00:00:00",407765,5919,3918,9658,318207,966174.2857142857,
"2019-03-15 00:00:00",739151,59407,2056,1799,264598,952294.4285714285,
"2019-03-16 00:00:00",796906,0,5396,3617,262516,998198.1428571428,
"2019-03-17 00:00:00",680301,0,9883,2071,550925,1026559.5714285715,
"2019-03-18 00:00:00",812272,0,1325,3637,411988,1047799.5714285715,
"2019-03-19 00:00:00",472026,6020,4866,2984,244132,1012855.7142857143,
"2019-03-20 00:00:00",575769,43104,7720,894,236157,992428.2857142857,
"2019-03-21 00:00:00",696730,3010,1611,1276,313918,1031153.5714285715,
"2019-03-22 00:00:00",561793,3010,837,7805,483872,1029768.5714285715,
"2019-03-23 00:00:00",663474,26501,14694,1386,384535,1032933.5714285715,
"2019-03-24 00:00:00",670295,0,4740,5890,406061,1010620.2857142857,
"2019-03-25 00:00:00",713333,483,2306,894,423433,997938.2857142857,
"2019-03-26 00:00:00",604901,0,5765,1799,354701,1031815,
"2019-03-27 00:00:00",472640,3010,4892,2693,158793,1000155.7142857143,
"2019-03-28 00:00:00",487120,40777,905,4466,285601,971916.2857142857,
"2019-03-29 00:00:00",350200,3010,13967,4766,338233,922324.7142857143,
"2019-03-30 00:00:00",587448,0,8545,1919,243345,886705.7142857143,
"2019-03-31 00:00:00",519795,3010,837,1872,429544,867858.7142857143,
"2019-04-01 00:00:00",911276,3010,11161,2572,267315,875699.4285714285,
"2019-04-02 00:00:00",443357,0,916,5694,285023,842531.5714285715,
"2019-04-03 00:00:00",474608,410,9581,0,259850,857163,
"2019-04-04 00:00:00",545480,1464,8791,1799,272874,858811.5714285715,
"2019-04-05 00:00:00",614657,39277,6622,2895,420778,912247.8571428572,
"2019-04-06 00:00:00",472648,23491,12505,7239,324149,912073,
"2019-04-07 00:00:00",581587,3010,3915,1143,268528,898233.7142857143,
"2019-04-08 00:00:00",761035,6831,5451,9490,492136,909606.7142857143,
"2019-04-09 00:00:00",691369,0,2583,4753,224831,936541.7142857143,
"2019-04-10 00:00:00",577156,38198,1305,3684,379276,972994.7142857143,
"2019-04-11 00:00:00",471142,146,10961,4288,315275,968909.5714285715,
"2019-04-12 00:00:00",544593,0,1674,4410,205908,922103.2857142857,
"2019-04-13 00:00:00",492021,3010,2306,3269,368446,926248.8571428572,
"2019-04-14 00:00:00",563509,3010,13856,9879,488911,957817.8571428572,
"2019-04-15 00:00:00",736312,1531,3208,1607,354244,932383.1428571428,
"2019-04-16 00:00:00",1132612,0,4988,217,345339,1012329,
"2019-04-17 00:00:00",652739,0,3497,0,411209,1022018.2857142857,
"2019-04-18 00:00:00",467999,6167,512,44,280040,1015296.8571428572,
"2019-04-19 00:00:00",815873,54573,2362,2824,364187,1084330.4285714286,
"2019-04-20 00:00:00",715367,32903,13771,4469,462711,1135783.2857142857,
"2019-04-21 00:00:00",333543,0,1349,0,193642,1057121.7142857143,
"2019-04-22 00:00:00",826877,0,8618,2462,413884,1079256,
"2019-04-23 00:00:00",863027,0,21362,899,213651,1024367.8571428572,
"2019-04-24 00:00:00",611660,9467,14141,2693,428147,1024177.1428571428,
"2019-04-25 00:00:00",542530,13972,8498,4214,270829,1036360.1428571428,
"2019-04-26 00:00:00",556238,919,837,3576,347669,989134.2857142857,
"2019-04-27 00:00:00",411524,0,7297,6321,306657,918073.8571428572,
"2019-04-28 00:00:00",417802,0,13601,0,282325,944530,
"2019-04-29 00:00:00",685088,22488,5472,4489,465802,934744,
"2019-04-30 00:00:00",302653,6020,837,899,171128,846543.7142857143,
"2019-05-01 00:00:00",725803,3010,3023,2193,309127,843264.7142857143,
"2019-05-02 00:00:00",270221,3010,12721,8614,464105,831640.1428571428,
"2019-05-03 00:00:00",495952,6020,3646,2453,197595,802558.1428571428,
"2019-05-04 00:00:00",508101,14510,3830,3722,250694,809566.5714285715,
"2019-05-05 00:00:00",509070,5336,0,899,461558,847157.4285714285,
"2019-05-06 00:00:00",618080,0,7684,2060,407832,826059.7142857143,
"2019-05-07 00:00:00",492484,0,2077,6448,321000,874698.5714285715,
"2019-05-08 00:00:00",799114,51118,2463,7325,307098,892407.2857142857,
"2019-05-09 00:00:00",948768,0,5647,0,209377,950281.5714285715,
"2019-05-10 00:00:00",554166,49546,3807,9884,417817,997360.7142857143,
"2019-05-11 00:00:00",569924,0,968,7452,269299,1006901.4285714285,
"2019-05-12 00:00:00",777099,0,3908,2001,443235,1042527,
"2019-05-13 00:00:00",1028808,2396,4506,894,598712,1128192.857142857,
"2019-05-14 00:00:00",621659,3010,18344,7178,557287,1183259.857142857,
"2019-05-15 00:00:00",765578,0,8973,899,248955,1162872.2857142857,
"2019-05-16 00:00:00",679720,6831,12420,0,548282,1174795.4285714286,
"2019-05-17 00:00:00",782787,23161,7821,0,462829,1209278,
"2019-05-18 00:00:00",711753,5355,6481,7387,315154,1237633.4285714286,
"2019-05-19 00:00:00",444564,0,263,2686,241927,1160947.4285714286,
"2019-05-20 00:00:00",779191,0,3348,511,529066,1114775.857142857,
"2019-05-21 00:00:00",414548,0,9335,3341,621113,1092041.4285714286,
"2019-05-22 00:00:00",788122,4152,3009,590,361850,1111086.857142857,
"2019-05-23 00:00:00",503539,6094,512,6105,539942,1083792.5714285714,
"2019-05-24 00:00:00",476113,919,3878,6594,174277,995961.8571428572,
"2019-05-25 00:00:00",406494,0,5331,899,312315,950091.7142857143,
"2019-05-26 00:00:00",546863,0,11732,3068,563947,1012401.7142857143,
"2019-05-27 00:00:00",484691,4686,6987,0,480688,964535.4285714285,
"2019-05-28 00:00:00",734230,443,7481,894,549825,999469.1428571428,
"2019-05-29 00:00:00",664524,31172,2776,899,331488,981345.7142857143,
"2019-05-30 00:00:00",280895,3010,4899,0,456690,936960.1428571428,
"2019-05-31 00:00:00",478888,0,6240,12392,473250,981101.2857142857,
"2019-06-01 00:00:00",608050,5196,2614,2778,466467,1032539.2857142857,
"2019-06-02 00:00:00",423970,0,9075,0,246018,968746.7142857143,
"2019-06-03 00:00:00",313486,0,3435,2210,426800,935729.5714285715,
"2019-06-04 00:00:00",914633,0,1956,0,420784,942086.5714285715,
"2019-06-05 00:00:00",781929,0,2341,2305,672641,1003280.4285714285,
"2019-06-06 00:00:00",380814,0,12922,1018,326004,999746.5714285715,
"2019-06-07 00:00:00",469256,5071,1674,2945,276588,968998.5714285715,
"2019-06-08 00:00:00",836997,40563,5779,7011,308116,985193,
"2019-06-09 00:00:00",706460,17698,9945,1466,205327,1022597.8571428572,
"2019-06-10 00:00:00",592646,0,4142,3611,505747,1074057.142857143,
"2019-06-11 00:00:00",685836,8132,2195,3471,216106,1013824,
"2019-06-12 00:00:00",707947,1254,4889,899,633708,998035.5714285715,
"2019-06-13 00:00:00",515217,0,4231,0,300331,1012181.4285714285,
"2019-06-14 00:00:00",576559,0,9242,10812,403393,1047106,
"2019-06-15 00:00:00",477638,974,8892,0,298620,988199.8571428572,
"2019-06-16 00:00:00",713922,0,9342,4783,477180,1025961.2857142857,
"2019-06-17 00:00:00",665862,0,3278,1844,278291,1003551.1428571428,
"2019-06-18 00:00:00",910210,0,12272,0,437129,1066961.142857143,
"2019-06-19 00:00:00",520498,0,3655,899,245343,984346.5714285715,
"2019-06-20 00:00:00",444198,25517,4878,3003,308140,979483.5714285715,
"2019-06-21 00:00:00",485933,0,16849,1799,394524,965069.1428571428,
"2019-06-22 00:00:00",625994,0,3082,8592,384713,998820.2857142857,
"2019-06-23 00:00:00",454594,4440,8877,3273,244132,928833.1428571428,
"2019-06-24 00:00:00",926984,0,9118,5138,343714,976787.2857142857,
"2019-06-25 00:00:00",498074,3010,4697,899,315275,899979.5714285715,
"2019-06-26 00:00:00",706452,0,4682,3596,295831,934289.1428571428,
"2019-06-27 00:00:00",441988,0,1674,1921,476162,953718.7142857143,
"2019-06-28 00:00:00",586154,3010,2511,1794,339391,958540.5714285715,
"2019-06-29 00:00:00",600166,3275,982,0,230359,931740.5714285715,
"2019-06-30 00:00:00",681350,0,10063,3083,356908,979753,
"2019-07-01 00:00:00",551687,0,4727,0,615243,963567.5714285715,
"2019-07-02 00:00:00",611569,13631,4658,2404,376941,990317,
"2019-07-03 00:00:00",614185,3010,5194,0,257412,971637,
"2019-07-04 00:00:00",516542,1461,3119,899,290468,956029.1428571428,
"2019-07-05 00:00:00",379173,0,4590,2094,445769,941567.1428571428,
"2019-07-06 00:00:00",553444,0,1674,7663,233251,936031.4285714285,
"2019-07-07 00:00:00",434690,1653,4121,0,359286,900080.8571428572,
"2019-07-08 00:00:00",784075,3010,11777,2555,285468,887970.7142857143,
"2019-07-09 00:00:00",630946,0,1674,5381,272302,873842.1428571428,
"2019-07-10 00:00:00",591904,12040,5089,1733,301249,878444.2857142857,
"2019-07-11 00:00:00",673113,4303,1475,6523,275052,899583.8571428572,
"2019-07-12 00:00:00",566624,0,10469,1926,369880,916337.2857142857,
"2019-07-13 00:00:00",664387,0,1937,602,314005,942751.5714285715,
"2019-07-14 00:00:00",647156,1914,4538,0,186754,948553.4285714285,
"2019-07-15 00:00:00",768041,0,5565,9296,489413,975043.4285714285,
