"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-01-01 00:00:00",52,5,7,3,67,,
"2019-01-02 00:00:00",40,2,6,5,64,,
"2019-01-03 00:00:00",39,1,4,3,69,,
"2019-01-04 00:00:00",35,4,8,2,53,,
"2019-01-05 00:00:00",38,1,8,5,75,,
"2019-01-06 00:00:00",37,3,5,5,68,,
"2019-01-07 00:00:00",50,4,8,7,84,123.85714285714286,
"2019-01-08 00:00:00",49,2,7,5,60,122.28571428571429,
"2019-01-09 00:00:00",45,2,8,5,57,122.28571428571429,
"2019-01-10 00:00:00",44,4,4,1,74,123.85714285714286,
"2019-01-11 00:00:00",36,1,4,2,74,126,
"2019-01-12 00:00:00",36,4,12,3,69,125.57142857142857,
"2019-01-13 00:00:00",40,1,8,1,58,124.14285714285714,
"2019-01-14 00:00:00",54,2,12,4,90,125.42857142857143,
"2019-01-15 00:00:00",37,3,6,5,74,125.71428571428571,
"2019-01-16 00:00:00",42,2,9,1,70,126.71428571428571,
"2019-01-17 00:00:00",44,6,7,2,58,125.28571428571429,
"2019-01-18 00:00:00",47,2,5,4,58,125.14285714285714,
"2019-01-19 00:00:00",31,4,7,1,64,122.71428571428571,
"2019-01-20 00:00:00",41,5,11,2,60,124.28571428571429,
"2019-01-21 00:00:00",42,3,9,2,90,122,
"2019-01-22 00:00:00",45,5,7,4,67,122.42857142857143,
"2019-01-23 00:00:00",46,2,7,3,76,123.85714285714286,
"2019-01-24 00:00:00",34,3,5,4,50,120.85714285714286,
"2019-01-25 00:00:00",38,2,1,4,66,120.14285714285714,
"2019-01-26 00:00:00",33,3,3,7,59,119.85714285714286,
"2019-01-27 00:00:00",38,1,9,3,60,118.71428571428571,
"2019-01-28 00:00:00",43,3,11,5,77,117.71428571428571,
"2019-01-29 00:00:00",47,4,7,1,70,117.85714285714286,
"2019-01-30 00:00:00",43,1,2,4,73,116.28571428571429,
"2019-01-31 00:00:00",38,4,7,2,67,119.42857142857143,
"2019-02-01 00:00:00",41,1,7,2,71,121,
"2019-02-02 00:00:00",34,1,6,6,63,121.71428571428571,
"2019-02-03 00:00:00",37,1,3,2,62,120.85714285714286,
"2019-02-04 00:00:00",41,2,7,4,96,122.42857142857143,
"2019-02-05 00:00:00",48,3,4,3,69,122.14285714285714,
"2019-02-06 00:00:00",41,2,6,5,66,121.71428571428571,
"2019-02-07 00:00:00",40,3,7,7,69,122.85714285714286,
"2019-02-08 00:00:00",39,4,3,10,75,124.14285714285714,
