"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-01-01 00:00:00",0,0,0,757,89620,,
"2019-01-02 00:00:00",22266,0,0,6351,128191,,
"2019-01-03 00:00:00",3423,0,0,0,0,,
"2019-01-04 00:00:00",6350,0,0,0,72616,,
"2019-01-05 00:00:00",39087,0,0,2929,84843,,
"2019-01-06 00:00:00",0,0,0,3552,82143,,
"2019-01-07 00:00:00",0,0,0,2561,106439,93019,
"2019-01-08 00:00:00",0,0,0,0,134486,99320.14285714286,
"2019-01-09 00:00:00",93819,0,2178,3112,83777,103045.71428571429,
"2019-01-10 00:00:00",0,0,0,757,89704,115479.85714285714,
"2019-01-11 00:00:00",0,0,902,799,0,104442,
"2019-01-12 00:00:00",897,65498,0,757,79711,107299.71428571429,
"2019-01-13 00:00:00",0,0,0,4675,74946,106431.85714285714,
"2019-01-14 00:00:00",0,0,1565,0,80584,102596,
"2019-01-15 00:00:00",6046,0,0,757,144107,104942.57142857143,
"2019-01-16 00:00:00",0,0,0,1515,126378,97086.28571428571,
"2019-01-17 00:00:00",0,0,0,1152,0,84327.71428571429,
"2019-01-18 00:00:00",0,0,0,0,0,84084.71428571429,
"2019-01-19 00:00:00",0,0,0,0,90554,76040.42857142857,
"2019-01-20 00:00:00",0,0,0,757,12144,66509.14285714286,
"2019-01-21 00:00:00",9852,0,17866,5099,83525,71393.85714285714,
"2019-01-22 00:00:00",6350,56323,0,2794,80968,70754.42857142857,
"2019-01-23 00:00:00",76127,0,1494,4392,362275,115953.71428571429,
"2019-01-24 00:00:00",0,0,0,0,0,115789.14285714286,
"2019-01-25 00:00:00",0,0,1565,2357,91012,129351.28571428571,
"2019-01-26 00:00:00",13530,5508,0,0,223180,151017.7142857143,
"2019-01-27 00:00:00",0,0,563,757,83638,161311.7142857143,
"2019-01-28 00:00:00",18181,0,0,5053,180081,173736.42857142858,
"2019-01-29 00:00:00",6350,0,0,463,0,153790.2857142857,
"2019-01-30 00:00:00",57958,50375,0,1515,91436,119075.71428571429,
"2019-01-31 00:00:00",0,0,0,0,170954,143497.7142857143,
"2019-02-01 00:00:00",6094,0,1556,0,77674,142124.85714285713,
"2019-02-02 00:00:00",1140,0,0,401,213918,138302,
"2019-02-03 00:00:00",0,0,1565,757,96691,140309.7142857143,
"2019-02-04 00:00:00",0,0,0,429,95694,124996.42857142857,
"2019-02-05 00:00:00",12124,0,0,1957,0,126034.71428571429,
"2019-02-06 00:00:00",51464,0,0,1515,281727,145094.7142857143,
"2019-02-07 00:00:00",0,52537,0,757,77794,139399.7142857143,
"2019-02-08 00:00:00",0,0,7568,800,0,128405.85714285714,
"2019-02-09 00:00:00",0,0,1606,757,133498,117035,
"2019-02-10 00:00:00",19455,0,0,757,0,105777.71428571429,
"2019-02-11 00:00:00",6094,0,1865,757,318338,138768.14285714287,
"2019-02-12 00:00:00",6094,28085,2383,2357,100164,156626,
"2019-02-13 00:00:00",63528,0,0,1515,126484,136171.85714285713,
"2019-02-14 00:00:00",11318,7810,0,757,179898,145985.7142857143,
"2019-02-15 00:00:00",10356,0,0,757,116495,163020.14285714287,
"2019-02-16 00:00:00",0,0,0,459,164122,167122.7142857143,
"2019-02-17 00:00:00",0,0,0,757,192227,191804.42857142858,
"2019-02-18 00:00:00",2248,0,3423,757,80418,157489,
"2019-02-19 00:00:00",6094,48422,5392,2917,77726,157698.42857142858,
"2019-02-20 00:00:00",51692,0,0,2273,85153,150211.57142857142,
"2019-02-21 00:00:00",0,2819,0,757,26802,126010.57142857143,
"2019-02-22 00:00:00",5707,0,1565,757,83777,120896.14285714286,
"2019-02-23 00:00:00",0,0,0,0,79533,108746.42857142857,
"2019-02-24 00:00:00",0,0,0,757,83296,93184.85714285714,
"2019-02-25 00:00:00",0,0,548,757,146647,101914.28571428571,
"2019-02-26 00:00:00",7347,50375,0,0,0,90081.57142857143,
"2019-02-27 00:00:00",35371,0,0,757,0,75368.57142857143,
"2019-02-28 00:00:00",7146,0,0,1515,181824,98241,
"2019-03-01 00:00:00",17932,0,0,757,95373,101420.28571428571,
"2019-03-02 00:00:00",5765,0,0,0,0,90882,
"2019-03-03 00:00:00",4903,0,12809,757,85353,93706.28571428571,
"2019-03-04 00:00:00",3525,0,0,757,179694,98852.57142857143,
"2019-03-05 00:00:00",13664,0,0,0,183056,118709.28571428571,
"2019-03-06 00:00:00",4903,0,0,2477,87400,127088,
"2019-03-07 00:00:00",34201,0,0,3191,136317,124691.42857142857,
"2019-03-08 00:00:00",4903,0,0,3997,90628,122615.14285714286,
"2019-03-09 00:00:00",4903,6275,0,757,172804,148183.14285714287,
"2019-03-10 00:00:00",0,0,0,757,0,133459.2857142857,
"2019-03-11 00:00:00",0,0,1565,1515,183177,133785,
"2019-03-12 00:00:00",5493,0,2328,1197,31819,111516.28571428571,
"2019-03-13 00:00:00",4903,0,0,757,195607,126729,
"2019-03-14 00:00:00",0,0,0,3910,92254,115651.14285714286,
"2019-03-15 00:00:00",7224,0,1442,0,88418,115302,
"2019-03-16 00:00:00",0,0,0,0,0,88910.42857142857,
"2019-03-17 00:00:00",4163,0,0,757,222276,121259.14285714286,
"2019-03-18 00:00:00",0,0,9202,757,15060,98225.28571428571,
"2019-03-19 00:00:00",19041,0,0,1953,77478,106458.57142857143,
"2019-03-20 00:00:00",49437,54522,0,1515,145869,113612.14285714286,
"2019-03-21 00:00:00",4903,0,705,757,90589,113725.14285714286,
"2019-03-22 00:00:00",2541,0,0,1515,32859,105129.71428571429,
"2019-03-23 00:00:00",12335,0,0,0,209445,136812.7142857143,
"2019-03-24 00:00:00",0,0,0,757,136694,123991.85714285714,
"2019-03-25 00:00:00",4903,0,0,0,0,121117.85714285714,
"2019-03-26 00:00:00",17797,0,0,4698,92482,123476,
"2019-03-27 00:00:00",46626,0,0,757,27496,98267,
"2019-03-28 00:00:00",0,0,0,757,94982,98093.28571428571,
"2019-03-29 00:00:00",17932,0,3952,757,84545,108131.85714285714,
"2019-03-30 00:00:00",5766,50375,1093,1676,109746,100542.85714285714,
"2019-03-31 00:00:00",4516,0,0,2354,225849,114152.57142857143,
"2019-04-01 00:00:00",0,2038,7755,757,83053,126824.28571428571,
"2019-04-02 00:00:00",675,0,1853,2670,128329,129474.14285714286,
"2019-04-03 00:00:00",27059,0,548,2273,8496,124259.28571428571,
"2019-04-04 00:00:00",4124,0,0,399,84277,123268,
"2019-04-05 00:00:00",19464,0,2933,757,97734,125225.57142857143,
"2019-04-06 00:00:00",7198,58106,0,0,166764,134284.2857142857,
"2019-04-07 00:00:00",0,0,1451,1515,115966,118029.14285714286,
