"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-01-01 00:00:00",0,0,0,711,0,,
"2019-01-02 00:00:00",0,0,0,2135,0,,
"2019-01-03 00:00:00",0,0,0,1197,0,,
"2019-01-04 00:00:00",9866,0,0,0,0,,
"2019-01-05 00:00:00",8724,0,0,0,0,,
"2019-01-06 00:00:00",0,0,0,711,0,,
"2019-01-07 00:00:00",0,0,0,0,603,3421,
"2019-01-08 00:00:00",33168,0,0,0,0,8057.714285714285,
"2019-01-09 00:00:00",0,0,0,1510,541,8045.857142857143,
"2019-01-10 00:00:00",20679,0,0,711,0,10930.714285714286,
"2019-01-11 00:00:00",2387,0,0,0,0,9862.285714285714,
"2019-01-12 00:00:00",130123,0,0,711,0,27306.714285714286,
"2019-01-13 00:00:00",3093,0,0,711,0,27748.714285714286,
"2019-01-14 00:00:00",0,0,474,0,0,27730.285714285714,
"2019-01-15 00:00:00",1113,0,0,711,0,23252.571428571428,
"2019-01-16 00:00:00",0,0,1514,1423,0,23379.14285714286,
"2019-01-17 00:00:00",0,0,0,711,0,20424.85714285714,
"2019-01-18 00:00:00",3017,0,0,0,0,20514.85714285714,
"2019-01-19 00:00:00",3086,0,0,2000,0,2550.714285714286,
"2019-01-20 00:00:00",0,0,0,1636,0,2240.8571428571427,
"2019-01-21 00:00:00",0,0,474,0,0,2240.8571428571427,
"2019-01-22 00:00:00",8724,0,0,0,0,3226.5714285714284,
"2019-01-23 00:00:00",8724,0,0,1423,2478,4610.571428571428,
"2019-01-24 00:00:00",0,0,0,0,0,4509,
"2019-01-25 00:00:00",0,0,474,711,0,4247.428571428572,
"2019-01-26 00:00:00",18992,0,0,1201,0,6405.714285714285,
"2019-01-27 00:00:00",6294,0,0,711,0,7172.714285714285,
"2019-01-28 00:00:00",0,0,304,1234,131191,26066.428571428572,
"2019-01-29 00:00:00",8724,0,0,0,0,26066.428571428572,
"2019-01-30 00:00:00",0,0,0,3901,0,24820,
"2019-01-31 00:00:00",13073,0,0,3037,0,27121.428571428572,
"2019-02-01 00:00:00",4784,0,0,400,0,27692.571428571428,
"2019-02-02 00:00:00",0,0,0,0,0,24807.714285714286,
"2019-02-03 00:00:00",77954,0,474,711,0,35112.857142857145,
"2019-02-04 00:00:00",0,0,0,87,0,16163.857142857143,
"2019-02-05 00:00:00",6118,0,0,711,0,15893.285714285714,
"2019-02-06 00:00:00",4784,0,0,1423,0,16222.714285714286,
"2019-02-07 00:00:00",0,0,0,711,0,14022.857142857143,
"2019-02-08 00:00:00",1318,0,0,1179,0,13639,
"2019-02-09 00:00:00",59399,0,0,711,0,22226.285714285714,
"2019-02-10 00:00:00",0,0,0,711,0,11022,
"2019-02-11 00:00:00",7329,0,0,711,0,12158.285714285714,
"2019-02-12 00:00:00",4784,0,1820,711,0,12227.714285714286,
"2019-02-13 00:00:00",0,0,0,1423,0,11544.285714285714,
"2019-02-14 00:00:00",0,0,0,1890,0,11712.714285714286,
"2019-02-15 00:00:00",0,0,0,711,0,11457.57142857143,
"2019-02-16 00:00:00",33582,0,0,0,0,7667.714285714285,
"2019-02-17 00:00:00",0,0,0,711,0,7667.714285714285,
"2019-02-18 00:00:00",0,0,0,711,0,6620.571428571428,
"2019-02-19 00:00:00",4784,0,0,0,0,6258.857142857143,
"2019-02-20 00:00:00",12990,0,0,2135,0,8216.42857142857,
"2019-02-21 00:00:00",0,0,0,711,0,8048,
"2019-02-22 00:00:00",0,0,474,711,541,8193.285714285714,
"2019-02-23 00:00:00",57133,0,0,0,0,11557.714285714286,
"2019-02-24 00:00:00",2534,0,0,1636,0,12051.857142857143,
"2019-02-25 00:00:00",0,0,0,3510,0,12451.714285714286,
"2019-02-26 00:00:00",2948,0,0,1199,0,12360.714285714286,
"2019-02-27 00:00:00",6911,0,0,3020,0,11618.57142857143,
"2019-02-28 00:00:00",0,0,0,2209,0,11832.57142857143,
"2019-03-01 00:00:00",4203,0,0,711,0,12287.857142857143,
"2019-03-02 00:00:00",67987,0,0,0,0,13838.42857142857,
"2019-03-03 00:00:00",4947,0,474,1172,0,14184.714285714286,
"2019-03-04 00:00:00",0,0,0,711,0,13784.857142857143,
"2019-03-05 00:00:00",0,0,0,0,0,13192.42857142857,
"2019-03-06 00:00:00",4203,0,0,711,0,12475.857142857143,
"2019-03-07 00:00:00",0,0,1702,711,0,12505.142857142857,
"2019-03-08 00:00:00",4203,0,0,0,0,12403.42857142857,
"2019-03-09 00:00:00",4203,0,0,711,0,3393.1428571428573,
"2019-03-10 00:00:00",50413,0,0,711,0,9754.714285714286,
"2019-03-11 00:00:00",7489,0,474,1423,0,10994.142857142857,
"2019-03-12 00:00:00",4203,0,0,0,0,11594.57142857143,
"2019-03-13 00:00:00",4203,0,0,1909,0,11765.57142857143,
"2019-03-14 00:00:00",29905,0,0,1423,0,15896.285714285714,
"2019-03-15 00:00:00",4203,0,0,2527,0,16257.285714285714,
"2019-03-16 00:00:00",0,0,0,0,0,15555.142857142857,
"2019-03-17 00:00:00",0,0,0,711,0,8353.142857142857,
"2019-03-18 00:00:00",2989,0,474,711,603,7695,
"2019-03-19 00:00:00",0,0,2389,711,0,7537.571428571428,
"2019-03-20 00:00:00",4203,0,0,1423,0,7468.285714285715,
"2019-03-21 00:00:00",4203,0,0,711,0,3694.8571428571427,
"2019-03-22 00:00:00",1667,0,0,1423,0,3175,
"2019-03-23 00:00:00",4203,0,0,1201,0,3947,
"2019-03-24 00:00:00",62364,0,0,3292,0,13225,
"2019-03-25 00:00:00",4203,0,0,0,0,13142.57142857143,
"2019-03-26 00:00:00",536,0,0,1423,0,12979.57142857143,
"2019-03-27 00:00:00",8406,0,0,711,0,13478.285714285714,
"2019-03-28 00:00:00",0,0,1774,711,0,13131.285714285714,
"2019-03-29 00:00:00",1491,0,0,1638,0,13136.857142857143,
"2019-03-30 00:00:00",4203,0,0,0,0,12965.285714285714,
"2019-03-31 00:00:00",4656,0,0,711,0,4352.571428571428,
"2019-04-01 00:00:00",0,0,0,711,0,3853.714285714286,
"2019-04-02 00:00:00",0,0,0,711,541,3752.714285714286,
"2019-04-03 00:00:00",0,0,0,2135,0,2755.1428571428573,
"2019-04-04 00:00:00",4818,0,0,0,0,3088.285714285714,
"2019-04-05 00:00:00",4818,0,2047,711,0,3723.714285714286,
"2019-04-06 00:00:00",4818,0,0,398,0,3868.4285714285716,
"2019-04-07 00:00:00",65494,0,0,2621,0,12832.285714285714,
"2019-04-08 00:00:00",0,0,0,711,0,12832.285714285714,
"2019-04-09 00:00:00",614,0,0,0,0,12741,
"2019-04-10 00:00:00",0,0,0,2078,0,12732.857142857143,
"2019-04-11 00:00:00",0,0,0,0,0,12044.57142857143,
"2019-04-12 00:00:00",0,0,0,2394,0,11304,
"2019-04-13 00:00:00",70369,0,0,799,0,20725.714285714286,
"2019-04-14 00:00:00",0,0,0,3079,0,11434.857142857143,
"2019-04-15 00:00:00",2769,0,1311,1197,0,12087.285714285714,
"2019-04-16 00:00:00",0,0,0,1423,0,12202.857142857143,
"2019-04-17 00:00:00",0,0,0,1423,0,12109.285714285714,
"2019-04-18 00:00:00",0,0,0,711,0,12210.857142857143,
"2019-04-19 00:00:00",14482,0,0,0,0,13937.714285714286,
"2019-04-20 00:00:00",9636,0,0,463,15759,7465,
"2019-04-21 00:00:00",78261,0,0,2135,0,18510.428571428572,
"2019-04-22 00:00:00",0,0,0,711,0,17858,
"2019-04-23 00:00:00",0,0,895,711,0,17884.285714285714,
"2019-04-24 00:00:00",0,0,0,3106,0,18124.714285714286,
"2019-04-25 00:00:00",0,0,0,0,0,18023.14285714286,
"2019-04-26 00:00:00",0,0,0,924,0,16086.285714285714,
"2019-04-27 00:00:00",118869,0,0,2075,0,29669.85714285714,
"2019-04-28 00:00:00",0,0,0,1884,0,18453.714285714286,
"2019-04-29 00:00:00",0,0,0,0,541,18429.428571428572,
"2019-04-30 00:00:00",0,0,0,2417,0,18545.14285714286,
"2019-05-01 00:00:00",0,0,0,1423,0,18304.714285714286,
"2019-05-02 00:00:00",0,0,0,0,84201,30333.428571428572,
"2019-05-03 00:00:00",0,0,0,0,0,30201.428571428572,
"2019-05-04 00:00:00",15994,0,0,1327,0,15398.285714285714,
"2019-05-05 00:00:00",0,0,0,3013,0,15559.57142857143,
"2019-05-06 00:00:00",4631,0,0,0,0,16143.857142857143,
"2019-05-07 00:00:00",11296,0,0,711,0,17514,
"2019-05-08 00:00:00",0,0,0,4388,0,17937.571428571428,
"2019-05-09 00:00:00",0,0,0,711,29603,10239.57142857143,
"2019-05-10 00:00:00",6310,0,0,0,0,11141,
"2019-05-11 00:00:00",11173,0,0,1423,0,10465.857142857143,
"2019-05-12 00:00:00",115956,0,0,711,0,26702.14285714286,
"2019-05-13 00:00:00",0,0,0,711,0,26142.14285714286,
"2019-05-14 00:00:00",0,0,0,1423,0,24630,
"2019-05-15 00:00:00",0,0,0,1289,0,24187.285714285714,
"2019-05-16 00:00:00",0,0,0,0,0,19856.571428571428,
"2019-05-17 00:00:00",0,0,0,0,0,18955.14285714286,
"2019-05-18 00:00:00",6310,0,0,2127,0,18361.14285714286,
"2019-05-19 00:00:00",75590,0,0,711,0,12594.714285714286,
"2019-05-20 00:00:00",0,0,474,711,0,12662.57142857143,
"2019-05-21 00:00:00",0,0,0,711,0,12560.857142857143,
"2019-05-22 00:00:00",0,0,0,711,0,12478.285714285714,
"2019-05-23 00:00:00",0,0,0,0,0,12478.285714285714,
"2019-05-24 00:00:00",6310,0,0,1785,0,13634.857142857143,
"2019-05-25 00:00:00",16636,0,0,0,0,14806,
"2019-05-26 00:00:00",74212,0,474,1600,0,14803.857142857143,
"2019-05-27 00:00:00",0,0,3741,461,603,15321.142857142857,
"2019-05-28 00:00:00",0,0,0,711,0,15321.142857142857,
"2019-05-29 00:00:00",18244,0,0,711,0,17927.428571428572,
"2019-05-30 00:00:00",6310,0,0,1596,0,19057,
"2019-05-31 00:00:00",0,803,0,711,0,18116.85714285714,
"2019-06-01 00:00:00",5230,0,0,711,0,16589.14285714286,
"2019-06-02 00:00:00",62576,0,0,0,0,14630.42857142857,
"2019-06-03 00:00:00",0,0,0,711,0,14045.285714285714,
"2019-06-04 00:00:00",3990,803,0,0,0,14628.42857142857,
"2019-06-05 00:00:00",0,0,474,711,0,12090,
"2019-06-06 00:00:00",0,0,0,2799,0,11360.285714285714,
"2019-06-07 00:00:00",0,0,0,0,0,11143.857142857143,
"2019-06-08 00:00:00",3465,0,0,711,0,10891.57142857143,
"2019-06-09 00:00:00",49087,0,0,463,0,9030.857142857143,
"2019-06-10 00:00:00",0,0,0,0,0,8929.285714285714,
"2019-06-11 00:00:00",0,0,0,2573,0,8612.142857142857,
"2019-06-12 00:00:00",1097,0,1671,3106,0,9282.142857142857,
"2019-06-13 00:00:00",0,0,0,0,0,8882.285714285714,
"2019-06-14 00:00:00",0,0,0,711,0,8983.857142857143,
"2019-06-15 00:00:00",8784,0,0,3595,0,10155.857142857143,
"2019-06-16 00:00:00",84264,0,474,1350,0,15375.57142857143,
"2019-06-17 00:00:00",0,0,0,0,0,15375.57142857143,
"2019-06-18 00:00:00",3990,0,1396,3502,0,16277.857142857143,
"2019-06-19 00:00:00",0,0,0,2135,825,15861.42857142857,
"2019-06-20 00:00:00",0,0,0,0,0,15861.42857142857,
"2019-06-21 00:00:00",0,0,474,802,0,15942.285714285714,
"2019-06-22 00:00:00",9042,0,0,711,0,15567.142857142857,
"2019-06-23 00:00:00",57605,0,0,0,0,11498,
"2019-06-24 00:00:00",0,0,0,0,0,11498,
"2019-06-25 00:00:00",0,0,0,711,0,10329.714285714286,
"2019-06-26 00:00:00",3990,0,0,711,0,10578.42857142857,
"2019-06-27 00:00:00",0,0,0,1423,0,10781.714285714286,
"2019-06-28 00:00:00",1916,0,0,0,0,10873,
"2019-06-29 00:00:00",9847,0,0,1423,8050,12239.857142857143,
"2019-06-30 00:00:00",72203,0,0,0,0,14325.285714285714,
"2019-07-01 00:00:00",2610,0,0,0,0,14698.142857142857,
"2019-07-02 00:00:00",0,0,0,0,0,14596.57142857143,
"2019-07-03 00:00:00",0,0,1080,2135,0,14384.142857142857,
"2019-07-04 00:00:00",4188,0,0,1423,0,14982.57142857143,
"2019-07-05 00:00:00",6334,0,0,0,0,15613.714285714286,
"2019-07-06 00:00:00",0,0,1550,711,0,13176.57142857143,
"2019-07-07 00:00:00",40791,0,0,0,0,8689.142857142857,
"2019-07-08 00:00:00",0,0,0,0,0,8316.285714285714,
"2019-07-09 00:00:00",807,0,0,711,0,8533.285714285714,
"2019-07-10 00:00:00",0,0,0,3415,0,8561.857142857143,
"2019-07-11 00:00:00",0,0,2491,0,0,8116,
"2019-07-12 00:00:00",4188,0,0,0,603,7895.714285714285,
"2019-07-13 00:00:00",3027,0,0,400,0,8062.285714285715,
"2019-07-14 00:00:00",70904,0,0,711,0,12465.857142857143,
"2019-07-15 00:00:00",0,0,4161,3443,0,13552.285714285714,
