"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","30-day Moving Average","Prior Year: 30-day Moving Average"
"2019-01-01 00:00:00",4019639,8115746,194285,5593,2010600,,
"2019-01-02 00:00:00",4128574,8616971,236045,9317,2323458,,
"2019-01-03 00:00:00",3068426,8105625,315992,6104,3549702,,
"2019-01-04 00:00:00",3898868,8159311,230910,12183,2263020,,
"2019-01-05 00:00:00",4307216,8392072,280363,1437,3116556,,
"2019-01-06 00:00:00",3739697,6059475,204217,6620,2495558,,
"2019-01-07 00:00:00",3826980,10527733,291426,8009,2889613,,
"2019-01-08 00:00:00",3573719,9387668,254904,7247,1782270,,
"2019-01-09 00:00:00",2846057,8113880,187895,11834,3262871,,
"2019-01-10 00:00:00",3174461,9154840,206975,6777,2939140,,
"2019-01-11 00:00:00",2796512,8753392,270352,14314,1841578,,
"2019-01-12 00:00:00",2295509,7560274,203232,13476,2030282,,
"2019-01-13 00:00:00",3543961,8473873,252103,8021,1451654,,
"2019-01-14 00:00:00",3073902,8416279,311776,9323,2623650,,
"2019-01-15 00:00:00",2271352,6898169,228228,8738,2081479,,
"2019-01-16 00:00:00",4021853,7596714,196647,11885,2433696,,
"2019-01-17 00:00:00",4726147,7660459,251497,9132,2248611,,
"2019-01-18 00:00:00",2814092,9086842,224096,10347,3259524,,
"2019-01-19 00:00:00",4278369,5485945,212208,3792,1892878,,
"2019-01-20 00:00:00",2966581,8329216,189824,9427,2288251,,
"2019-01-21 00:00:00",3357010,8580211,194278,6104,2315165,,
"2019-01-22 00:00:00",2632671,7602376,232741,9930,2957601,,
"2019-01-23 00:00:00",3369953,8838451,275682,13931,2509297,,
"2019-01-24 00:00:00",3827719,7215148,190600,4244,1834413,,
"2019-01-25 00:00:00",3705746,7367813,241357,17099,2540464,,
"2019-01-26 00:00:00",3115608,7508422,282468,8819,2763814,,
"2019-01-27 00:00:00",2757226,6478086,159157,14015,2409224,,
"2019-01-28 00:00:00",2407842,7108862,252600,12212,2807328,,
"2019-01-29 00:00:00",2487691,8252495,165853,15509,2326666,,
"2019-01-30 00:00:00",2483361,9191703,156978,11646,1504150,14016369.6,
"2019-01-31 00:00:00",2279074,6507045,233528,10066,2909800,13936158.133333333,
"2019-02-01 00:00:00",2371113,8474762,266382,10524,3030601,13897458.933333334,
"2019-02-02 00:00:00",2703624,7105577,194647,8854,3222622,13837107.6,
"2019-02-03 00:00:00",1863342,7869254,119384,12129,2246070,13755303.366666667,
"2019-02-04 00:00:00",1700202,5442299,224012,13458,1833617,13525834.7,
"2019-02-05 00:00:00",2768701,6169483,134111,11620,2242675,13486535.133333333,
"2019-02-06 00:00:00",2600967,6095661,149492,6838,1646862,13251736.266666668,
"2019-02-07 00:00:00",1470971,7007750,119991,5270,1959428,13103656.7,
"2019-02-08 00:00:00",2514609,5919029,140554,6653,2387938,12988531.066666666,
"2019-02-09 00:00:00",2580486,7983565,146375,6056,2396907,12909569.866666667,
"2019-02-10 00:00:00",1796072,6655072,158635,10391,2077065,12810272.433333334,
"2019-02-11 00:00:00",2148475,7672353,210287,17376,2159286,12813772.6,
"2019-02-12 00:00:00",3212340,8913896,211727,6438,2707911,12857863.033333333,
"2019-02-13 00:00:00",2810440,7861382,184293,13688,2808440,12832640.1,
"2019-02-14 00:00:00",2215938,9490947,231933,22271,2938826,12946371.6,
"2019-02-15 00:00:00",2804583,5896774,182925,7752,2182315,12840156.633333333,
"2019-02-16 00:00:00",2923976,8944523,229187,13493,2483420,12830115.433333334,
"2019-02-17 00:00:00",2031755,7544944,187410,6679,2547758,12727569.566666666,
"2019-02-18 00:00:00",2715514,7955611,210401,10781,3233627,12802661.2,
"2019-02-19 00:00:00",2504508,7622142,243809,16230,2147686,12761030.333333334,
"2019-02-20 00:00:00",2825238,8422568,243106,8073,2319059,12739873.066666666,
"2019-02-21 00:00:00",2310209,7269199,252062,5876,2426540,12700825.1,
"2019-02-22 00:00:00",2730714,9512612,195404,6847,2458110,12697371.166666666,
"2019-02-23 00:00:00",2682595,8832199,197471,21109,1525162,12703584.8,
"2019-02-24 00:00:00",3064782,6947222,198235,8098,1689682,12638102.933333334,
"2019-02-25 00:00:00",1861418,7069456,211245,19583,3099323,12590832.533333333,
"2019-02-26 00:00:00",2576604,7768193,264790,8151,1825636,12611688.733333332,
"2019-02-27 00:00:00",2464956,7600456,259903,7956,2942602,12634589.933333334,
"2019-02-28 00:00:00",2707692,7995862,260948,16837,2282486,12635110.833333334,
"2019-03-01 00:00:00",2632142,7442024,247875,5257,2529283,12618735.733333332,
"2019-03-02 00:00:00",3151490,10273786,260529,8188,1972251,12742959.7,
"2019-03-03 00:00:00",2269531,7933929,186021,7345,2880603,12713761.1,
"2019-03-04 00:00:00",2625777,7486637,219149,8265,2499718,12700568.166666666,
"2019-03-05 00:00:00",1519136,7356775,168579,8649,2422878,12679429.533333333,
"2019-03-06 00:00:00",2894575,6061555,178932,13882,1981177,12743314.166666666,
"2019-03-07 00:00:00",2848806,8654470,258217,5624,2953935,12856463.566666666,
"2019-03-08 00:00:00",2239211,8265188,197364,17127,2602274,12950509.266666668,
"2019-03-09 00:00:00",2441436,7871669,172461,5979,2397306,13028024.233333332,
"2019-03-10 00:00:00",2603639,6036155,233017,6317,1263064,13000471.5,
"2019-03-11 00:00:00",2625747,7214815,275386,11074,2351652,12979315.166666666,
"2019-03-12 00:00:00",2128934,8557713,256855,18553,3022216,13088883.033333333,
"2019-03-13 00:00:00",2490411,8321637,220011,9360,1786923,13109568.9,
"2019-03-14 00:00:00",3492708,7792970,240934,15332,3067622,13094810.933333334,
"2019-03-15 00:00:00",2774739,8596743,210301,12475,2874486,13121160.966666667,
"2019-03-16 00:00:00",3017503,8076517,214482,22009,2075532,13071365.6,
"2019-03-17 00:00:00",2273845,6314007,182471,5666,1778686,13054043,
"2019-03-18 00:00:00",2793229,8413176,310246,11425,2411838,13032220.3,
"2019-03-19 00:00:00",2678979,8636462,235088,7684,3400508,13120226.666666666,
"2019-03-20 00:00:00",2095023,7372734,222496,9438,2349397,13050998.4,
"2019-03-21 00:00:00",4153813,6601205,210995,15759,2148149,13070850.066666666,
"2019-03-22 00:00:00",1924997,8477269,239727,16814,3462537,13080960.033333333,
"2019-03-23 00:00:00",3085475,8129889,144652,11024,2189271,13124173.766666668,
"2019-03-24 00:00:00",2084167,6772578,269045,12531,1909920,12995658.133333333,
"2019-03-25 00:00:00",3005752,9859158,248217,20365,2811149,13085195.466666667,
"2019-03-26 00:00:00",2850174,8472701,183895,6634,2487554,13154960.433333334,
"2019-03-27 00:00:00",2964182,7227209,234387,19739,1738760,13152402.166666666,
"2019-03-28 00:00:00",2802565,7478616,180414,6299,2057794,13155145.133333333,
"2019-03-29 00:00:00",2451660,6930285,224323,11169,1872205,13095603.5,
"2019-03-30 00:00:00",2269346,5305307,297290,6725,2321252,12993473.2,
"2019-03-31 00:00:00",4902452,9008121,188713,6926,1743620,13093248.166666666,
"2019-04-01 00:00:00",2996977,7835381,269299,15184,2397081,13021504.6,
"2019-04-02 00:00:00",4807792,7303591,281450,17869,2943472,13090729.766666668,
"2019-04-03 00:00:00",2516720,8773277,188844,17689,2364369,13124775.233333332,
"2019-04-04 00:00:00",2420977,7573152,227625,15116,1884416,13146284.133333333,
"2019-04-05 00:00:00",3348193,6844702,287493,10883,2208972,13198621.533333333,
"2019-04-06 00:00:00",3218833,6472339,221484,9602,2122608,13109415.133333333,
"2019-04-07 00:00:00",2461201,7386594,216107,7161,1728206,13058685.266666668,
"2019-04-08 00:00:00",2818073,6942954,198502,3849,1841054,13022537.966666667,
"2019-04-09 00:00:00",2666814,4551357,199328,13984,2447307,13013757.8,
"2019-04-10 00:00:00",3423848,8017684,178656,15447,2552103,13070726.566666666,
"2019-04-11 00:00:00",2321171,8724392,203422,8107,2900096,13076490.533333333,
"2019-04-12 00:00:00",2530507,8433798,230285,13357,2662101,13111214,
"2019-04-13 00:00:00",3649257,7825712,267786,6748,2129055,13086846.733333332,
"2019-04-14 00:00:00",1793128,6999183,201479,2870,2433470,12985559.3,
"2019-04-15 00:00:00",2816989,7412999,244704,18159,2123213,12959226.366666667,
"2019-04-16 00:00:00",2953922,7347200,232501,10689,2816851,13052776.2,
"2019-04-17 00:00:00",3382563,8120032,186710,7991,1924954,13042187.1,
"2019-04-18 00:00:00",2208146,7537371,293592,4978,2648037,12966633.9,
"2019-04-19 00:00:00",2484558,6840299,260593,7967,2431710,12965835.766666668,
"2019-04-20 00:00:00",2747441,7749970,205605,12564,2677606,12974611.4,
"2019-04-21 00:00:00",2747529,6058312,175436,5286,1249424,12845098.933333334,
"2019-04-22 00:00:00",1280225,8102911,301625,24273,1670270,12772399.166666666,
"2019-04-23 00:00:00",3163791,7369555,197938,15506,2027717,12829941.666666666,
"2019-04-24 00:00:00",2512690,6763440,297072,9492,2208182,12691482.266666668,
"2019-04-25 00:00:00",2781861,8983937,255467,10332,2504075,12709306.166666666,
"2019-04-26 00:00:00",3587886,11006231,245217,7387,2126581,12868940.933333334,
"2019-04-27 00:00:00",2910238,8020280,233021,14622,3627623,12944945.033333333,
"2019-04-28 00:00:00",2143871,8502991,206344,14410,2677528,13013462.533333333,
"2019-04-29 00:00:00",2359937,7911559,258532,10171,2597187,13111377.966666667,
"2019-04-30 00:00:00",1515172,3896382,110106,12339,756774,12792741.6,
"2019-05-01 00:00:00",2120781,9351263,174684,11988,2203114,12804337.933333334,
"2019-05-02 00:00:00",3146223,12910658,318555,12725,3923368,12969583.433333334,
"2019-05-03 00:00:00",3812335,7396348,288078,7430,2116360,12961571.966666667,
"2019-05-04 00:00:00",3284396,8112685,201676,6088,2260176,13019696.9,
"2019-05-05 00:00:00",3437288,7859232,225040,11201,1851515,13042498.566666666,
"2019-05-06 00:00:00",3033580,8951133,227702,12835,3220253,13155853.766666668,
"2019-05-07 00:00:00",3434305,6499221,203521,7555,2148458,13172313.433333334,
"2019-05-08 00:00:00",2864587,9154172,220513,12740,2601412,13273946.366666667,
"2019-05-09 00:00:00",3219972,7788677,207642,11395,2744653,13410398.3,
"2019-05-10 00:00:00",3155634,9615708,247536,11703,1765810,13430686.666666666,
"2019-05-11 00:00:00",1943599,7965753,233824,7296,2727346,13388041.033333333,
"2019-05-12 00:00:00",2506880,8026385,157010,13990,1981005,13348547.933333334,
"2019-05-13 00:00:00",2508814,8235469,249633,11537,2411780,13333170.766666668,
"2019-05-14 00:00:00",2610687,7331810,287090,25980,1994561,13360504.333333334,
"2019-05-15 00:00:00",2871449,8248746,268930,6791,1482051,13369234.5,
"2019-05-16 00:00:00",2198223,8042472,201132,3296,2306567,13348918.7,
"2019-05-17 00:00:00",1772258,6156292,149402,12579,2171276,13236904.366666667,
"2019-05-18 00:00:00",3176341,8661420,237696,11638,2843425,13311517.666666666,
"2019-05-19 00:00:00",2112094,7559758,262393,13193,1758756,13300886.1,
"2019-05-20 00:00:00",2882058,8407835,253473,12365,2924104,13337108.6,
"2019-05-21 00:00:00",2725902,8197859,239072,9271,2656031,13456847.366666667,
"2019-05-22 00:00:00",3496600,8259184,255276,13369,2465102,13560521.966666667,
"2019-05-23 00:00:00",2689108,8715532,269383,8681,2396879,13604024.3,
"2019-05-24 00:00:00",2839416,8404221,210466,14066,2573312,13679044.633333333,
"2019-05-25 00:00:00",2673014,7992671,250217,13823,2038452,13626794.5,
"2019-05-26 00:00:00",2005291,5564250,230185,9215,1041817,13356042.033333333,
"2019-05-27 00:00:00",2527663,7275864,290415,9051,3063069,13301384.3,
"2019-05-28 00:00:00",3876698,8706079,308620,15603,2278120,13356050.333333334,
"2019-05-29 00:00:00",2538208,9751276,271021,10424,2518548,13421120.266666668,
"2019-05-30 00:00:00",2375255,8239112,269578,12147,2419541,13655283.233333332,
"2019-05-31 00:00:00",2116608,8751617,233328,6181,2459541,13645464.833333334,
"2019-06-01 00:00:00",3634454,8636507,250252,3552,2474695,13468394.866666667,
"2019-06-02 00:00:00",3482775,7120326,232543,5108,1946219,13440608.9,
"2019-06-03 00:00:00",2287570,8829779,262176,17986,2958926,13456989.233333332,
"2019-06-04 00:00:00",2960656,7961599,226567,6595,2482694,13465450.033333333,
"2019-06-05 00:00:00",2755828,9197789,231206,8537,2115575,13427563.866666667,
"2019-06-06 00:00:00",3180131,6026416,179015,14993,1811792,13391539.733333332,
"2019-06-07 00:00:00",2682770,9570534,266191,16244,2828299,13408560.1,
"2019-06-08 00:00:00",3382409,8612708,256171,3970,2169157,13423629.166666666,
"2019-06-09 00:00:00",2216878,8060615,223706,3070,1963000,13345990.933333334,
"2019-06-10 00:00:00",3308461,8663806,235626,17860,1676037,13380123.433333334,
"2019-06-11 00:00:00",3400369,9444702,255497,22354,3180658,13500734.5,
"2019-06-12 00:00:00",2303138,7927964,209502,6321,2528561,13486009.033333333,
"2019-06-13 00:00:00",3054170,8408151,222080,13909,1622461,13521697.066666666,
"2019-06-14 00:00:00",2144644,8556515,270994,10610,2290149,13534862.633333333,
"2019-06-15 00:00:00",2189695,8480456,292339,13576,1760987,13534375.233333332,
"2019-06-16 00:00:00",2551874,8431010,244717,4400,2351018,13645081.666666666,
"2019-06-17 00:00:00",2620840,8104341,219795,8283,3037338,13613750.933333334,
"2019-06-18 00:00:00",3148609,8594222,240421,13365,2816579,13717317.566666666,
"2019-06-19 00:00:00",2377099,8303936,207384,6609,1716263,13655032.166666666,
"2019-06-20 00:00:00",2214124,6825980,252545,12138,2200313,13577597.633333333,
"2019-06-21 00:00:00",3489834,9962877,292924,10723,1457453,13601740.233333332,
"2019-06-22 00:00:00",2632923,6845563,308798,3809,2631597,13546510.766666668,
"2019-06-23 00:00:00",2770962,8561291,226835,13160,2373476,13543318.866666667,
"2019-06-24 00:00:00",2648712,9283170,245567,8944,2082208,13586666.433333334,
"2019-06-25 00:00:00",1868269,7340459,291048,13288,2431537,13689795.133333333,
"2019-06-26 00:00:00",3126308,7111383,235745,7885,2359473,13678952.766666668,
"2019-06-27 00:00:00",2326096,8493818,234773,15653,1687195,13598032.9,
"2019-06-28 00:00:00",2647885,9178757,256928,9368,2381789,13577541.133333333,
"2019-06-29 00:00:00",2704975,6357818,204642,6995,1935579,13507353.466666667,
"2019-06-30 00:00:00",3713955,7199894,123053,6439,1886576,13486108.433333334,
"2019-07-01 00:00:00",2642846,7402598,228007,7886,2649136,13417142.7,
"2019-07-02 00:00:00",3616558,9158559,266675,9702,2629988,13513626.1,
"2019-07-03 00:00:00",3345192,7741467,245014,8803,2405517,13493278.033333333,
"2019-07-04 00:00:00",3493975,7538660,236747,18578,2855403,13510119.6,
"2019-07-05 00:00:00",3157196,8514612,254402,14078,2133264,13502273.3,
"2019-07-06 00:00:00",2151988,7603133,323844,11608,1903391,13528327.8,
"2019-07-07 00:00:00",2569689,6521099,241651,6865,1416456,13374718.466666667,
"2019-07-08 00:00:00",3300053,8487325,214780,14232,2936249,13392326.266666668,
"2019-07-09 00:00:00",3097203,7676002,160309,17857,2215219,13415637.566666666,
"2019-07-10 00:00:00",2672859,8344326,200103,6114,2440311,13407701.333333334,
"2019-07-11 00:00:00",2298535,8784366,225528,10406,3546181,13359749.166666666,
"2019-07-12 00:00:00",1855660,8265182,163580,5154,2291740,13346610.166666666,
"2019-07-13 00:00:00",3045531,8276997,192422,7001,2326044,13364184.1,
"2019-07-14 00:00:00",2466359,9671301,328300,5298,2010314,13404471.933333334,
"2019-07-15 00:00:00",2429705,9320971,398068,9782,2832710,13479611.133333333,
"2019-07-16 00:00:00",2129561,8044293,251384,8944,2326471,13452199.2,
"2019-07-17 00:00:00",3848256,7686404,232614,8182,2586047,13464562.3,
"2019-07-18 00:00:00",2166844,6586411,166896,12328,2179738,13341196.466666667,
"2019-07-19 00:00:00",2547413,7595556,192148,5234,1584660,13318320.3,
"2019-07-20 00:00:00",2262908,7899810,168441,12744,2969298,13378590.533333333,
"2019-07-21 00:00:00",2213185,6801612,164905,7924,1704201,13234523.7,
"2019-07-22 00:00:00",3447400,9261506,199240,21265,1990664,13317769.3,
"2019-07-23 00:00:00",2391817,6654245,198324,10433,2466524,13243623.4,
"2019-07-24 00:00:00",2589744,8477806,247487,11201,2470844,13227906.233333332,
"2019-07-25 00:00:00",2447181,7410191,204131,5739,2119789,13235987.333333334,
"2019-07-26 00:00:00",2994766,8882369,227642,20418,2359611,13290787.633333333,
"2019-07-27 00:00:00",2452790,6670510,257458,17403,1672313,13234552.1,
"2019-07-28 00:00:00",2592631,7229112,178028,7464,1939770,13150294.2,
"2019-07-29 00:00:00",2495507,8740042,212366,9618,2258642,13233833.533333333,
"2019-07-30 00:00:00",3418471,9898319,281544,9593,2617986,13343700.266666668,
"2019-07-31 00:00:00",2128131,6700188,221922,5124,2065619,13283383.566666666,
"2019-08-01 00:00:00",3319479,7783635,230047,13807,1923470,13203015.3,
"2019-08-02 00:00:00",2712041,7792895,178780,12777,2834276,13195841.1,
"2019-08-03 00:00:00",3346837,7852110,181740,5580,1736862,13161833.666666666,
"2019-08-04 00:00:00",2878569,7569369,258363,10546,2064229,13118751.266666668,
"2019-08-05 00:00:00",3676172,8940871,221069,14455,2909231,13244345.866666667,
"2019-08-06 00:00:00",3395257,8090105,336525,13375,1906910,13343893.266666668,
"2019-08-07 00:00:00",2494025,7204191,243837,14611,2188358,13250306.033333333,
"2019-08-08 00:00:00",2664015,6094791,218131,8023,1425765,13158443.666666666,
"2019-08-09 00:00:00",1306179,5497737,209299,4128,1469143,12985869.2,
"2019-08-10 00:00:00",1168428,3346841,102320,6554,993477,12677621.8,
"2019-08-11 00:00:00",1716032,3626658,184231,5763,1360936,12488031.566666666,
"2019-08-12 00:00:00",2953029,7259043,222416,11687,2262905,12450067.7,
