"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","30-day Moving Average","Prior Year: 30-day Moving Average"
"2019-01-01 00:00:00",3105419,2240851,217575,9475,531733,,
"2019-01-02 00:00:00",3683590,2835773,183066,11901,641701,,
"2019-01-03 00:00:00",3266861,3592767,208071,14615,864757,,
"2019-01-04 00:00:00",2987009,3571517,164084,9231,507776,,
"2019-01-05 00:00:00",4095345,3221934,171322,16853,1013752,,
"2019-01-06 00:00:00",3215055,3111453,153484,13252,870990,,
"2019-01-07 00:00:00",3745208,3810381,234464,20990,997989,,
"2019-01-08 00:00:00",4167065,3125131,178127,6329,844477,,
"2019-01-09 00:00:00",4053520,3412847,210834,15484,1270273,,
"2019-01-10 00:00:00",3672523,3299757,178125,11343,750833,,
"2019-01-11 00:00:00",5104195,3081527,238687,24731,759725,,
"2019-01-12 00:00:00",4296370,2223597,143511,21316,1074488,,
"2019-01-13 00:00:00",3683406,2994719,189776,8208,694050,,
"2019-01-14 00:00:00",3820417,4296074,296783,8873,1335098,,
"2019-01-15 00:00:00",3302592,3141274,173696,12642,641983,,
"2019-01-16 00:00:00",4454435,3794029,198168,8212,1122412,,
"2019-01-17 00:00:00",3395351,3272578,179281,7938,1099778,,
"2019-01-18 00:00:00",3992526,4155190,185891,21149,1157034,,
"2019-01-19 00:00:00",4305566,3544398,207186,8901,854481,,
"2019-01-20 00:00:00",3714233,3498377,213837,7098,767884,,
"2019-01-21 00:00:00",4241218,3556905,169508,16655,1045113,,
"2019-01-22 00:00:00",4186048,3861503,181593,13482,763591,,
"2019-01-23 00:00:00",4338396,3302368,142842,15351,901083,,
"2019-01-24 00:00:00",4046430,3130350,175979,6078,965530,,
"2019-01-25 00:00:00",4159700,3364232,175217,13883,1438745,,
"2019-01-26 00:00:00",3833733,3779881,213482,14420,676056,,
"2019-01-27 00:00:00",3584374,3326591,158097,15135,850601,,
"2019-01-28 00:00:00",5012673,3360754,173617,21789,1219171,,
"2019-01-29 00:00:00",4566365,3062404,199898,18643,924354,,
"2019-01-30 00:00:00",4896943,3042683,133790,24111,1069218,8422095.266666668,
"2019-01-31 00:00:00",3612414,3528344,163751,12682,803651,8489288.166666666,
"2019-02-01 00:00:00",4722434,3429167,113567,12482,750865,8545037.266666668,
"2019-02-02 00:00:00",4392007,2998788,173345,5583,1166078,8571328.033333333,
"2019-02-03 00:00:00",4053740,3603783,156996,8646,745274,8615621.833333334,
"2019-02-04 00:00:00",3694544,2482398,198329,16295,914452,8575181.566666666,
"2019-02-05 00:00:00",2917509,2874050,114764,12201,734237,8551465.7,
"2019-02-06 00:00:00",3521483,2820741,101818,3988,773071,8498533.566666666,
"2019-02-07 00:00:00",2435816,3647100,81195,7035,875923,8456064.666666666,
"2019-02-08 00:00:00",2567176,3481166,105274,6430,1114472,8399782.833333334,
"2019-02-09 00:00:00",2441409,3117753,110831,9529,878212,8354620.833333333,
"2019-02-10 00:00:00",2484393,3131706,161317,4769,659010,8262364.733333333,
"2019-02-11 00:00:00",2705419,3033804,166684,6124,1170554,8239808.566666666,
"2019-02-12 00:00:00",1973794,2533784,173457,13143,963676,8176065.4,
"2019-02-13 00:00:00",1783935,3587753,207303,17514,1045405,8072221.1,
"2019-02-14 00:00:00",1542033,2771406,164057,12373,851323,8007854.766666667,
"2019-02-15 00:00:00",2175124,2818572,138259,17112,835120,7888085.533333333,
"2019-02-16 00:00:00",2618390,3074243,206749,12010,885404,7849481.033333333,
"2019-02-17 00:00:00",2363380,3435962,130448,10341,981845,7763153.2,
"2019-02-18 00:00:00",2427319,3304781,211331,8986,1712852,7721311.066666666,
"2019-02-19 00:00:00",2585956,2607439,164833,10816,819031,7654199.533333333,
"2019-02-20 00:00:00",2662101,3605367,196910,13491,941447,7600530.133333334,
"2019-02-21 00:00:00",2847193,3363845,140656,14865,1007930,7546139.2,
"2019-02-22 00:00:00",3409448,4185012,212079,12423,1219342,7557414.833333333,
"2019-02-23 00:00:00",3679953,3702504,162306,11435,1067377,7567388.033333333,
"2019-02-24 00:00:00",2980734,3649363,195565,11520,1091871,7526630.166666667,
"2019-02-25 00:00:00",3180004,4018531,197084,16772,943116,7521228.2,
"2019-02-26 00:00:00",3028839,4742703,253719,17034,992613,7557898.566666666,
"2019-02-27 00:00:00",2946265,3491032,194696,14957,1051761,7488255.2,
"2019-02-28 00:00:00",3290440,3666928,143046,16449,990938,7466126.033333333,
"2019-03-01 00:00:00",2648164,3137971,212988,8329,675977,7383348.7,
"2019-03-02 00:00:00",2706394,2867418,110904,10986,897761,7332436.4,
"2019-03-03 00:00:00",3430075,2627762,198030,9311,803496,7267108.733333333,
"2019-03-04 00:00:00",3188380,4044826,179586,20738,1247307,7265276.966666667,
"2019-03-05 00:00:00",2362712,3403200,191526,14143,810347,7205727.133333334,
"2019-03-06 00:00:00",2570633,2776418,197372,6900,991146,7180275.933333334,
"2019-03-07 00:00:00",3382466,3570335,203758,19115,1097780,7234299.366666666,
"2019-03-08 00:00:00",3269336,2731902,167428,12863,1249744,7241305.833333333,
